DateHeure,Valeur,Qualite,Min,Max
1/7/13 0:00,0,v,,
1/7/13 1:00,0,v,,
1/7/13 2:00,0,v,,
1/7/13 3:00,0,v,,
1/7/13 4:00,0,v,,
1/7/13 5:00,0,v,,
1/7/13 6:00,0,v,,
1/7/13 7:00,0,v,,
1/7/13 8:00,0,v,,
1/7/13 9:00,0,v,,
1/7/13 10:00,0,v,,
1/7/13 11:00,0,v,,
1/7/13 12:00,0,v,,
1/7/13 13:00,0,v,,
1/7/13 14:00,0,v,,
1/7/13 15:00,0,v,,
1/7/13 16:00,0,v,,
1/7/13 17:00,0,v,,
1/7/13 18:00,0,v,,
1/7/13 19:00,0,v,,
1/7/13 20:00,0,v,,
1/7/13 21:00,0,v,,
1/7/13 22:00,0,v,,
1/7/13 23:00,0,v,,
2/7/13 0:00,0,v,,
2/7/13 1:00,0,v,,
2/7/13 2:00,0,v,,
2/7/13 3:00,0,v,,
2/7/13 4:00,0,v,,
2/7/13 5:00,0,v,,
2/7/13 6:00,0,v,,
2/7/13 7:00,0,v,,
2/7/13 8:00,0,v,,
2/7/13 9:00,0,v,,
2/7/13 10:00,0,v,,
2/7/13 11:00,0,v,,
2/7/13 12:00,0,v,,
2/7/13 13:00,0,v,,
2/7/13 14:00,0,v,,
2/7/13 15:00,0,v,,
2/7/13 16:00,0,v,,
2/7/13 17:00,0,v,,
2/7/13 18:00,0,v,,
2/7/13 19:00,0,v,,
2/7/13 20:00,0,v,,
2/7/13 21:00,0,v,,
2/7/13 22:00,0,v,,
2/7/13 23:00,0,v,,
3/7/13 0:00,0,v,,
3/7/13 1:00,0,v,,
3/7/13 2:00,0,v,,
3/7/13 3:00,0,v,,
3/7/13 4:00,0,v,,
3/7/13 5:00,0,v,,
3/7/13 6:00,0,v,,
3/7/13 7:00,0,v,,
3/7/13 8:00,0,v,,
3/7/13 9:00,0,v,,
3/7/13 10:00,0,v,,
3/7/13 11:00,0,v,,
3/7/13 12:00,0,v,,
3/7/13 13:00,0,v,,
3/7/13 14:00,0,v,,
3/7/13 15:00,0,v,,
3/7/13 16:00,0,v,,
3/7/13 17:00,0,v,,
3/7/13 18:00,0,v,,
3/7/13 19:00,0,v,,
3/7/13 20:00,0,v,,
3/7/13 21:00,0,v,,
3/7/13 22:00,0,v,,
3/7/13 23:00,0,v,,
4/7/13 0:00,0,v,,
4/7/13 1:00,0,v,,
4/7/13 2:00,0,v,,
4/7/13 3:00,0,v,,
4/7/13 4:00,0,v,,
4/7/13 5:00,0,v,,
4/7/13 6:00,0,v,,
4/7/13 7:00,0,v,,
4/7/13 8:00,0,v,,
4/7/13 9:00,0,v,,
4/7/13 10:00,0,v,,
4/7/13 11:00,0,v,,
4/7/13 12:00,0,v,,
4/7/13 13:00,0,v,,
4/7/13 14:00,0,v,,
4/7/13 15:00,0,v,,
4/7/13 16:00,0,v,,
4/7/13 17:00,0,v,,
4/7/13 18:00,0,v,,
4/7/13 19:00,0,v,,
4/7/13 20:00,0,v,,
4/7/13 21:00,0,v,,
4/7/13 22:00,0,v,,
4/7/13 23:00,0,v,,
5/7/13 0:00,0,v,,
5/7/13 1:00,0,v,,
5/7/13 2:00,0,v,,
5/7/13 3:00,0,v,,
5/7/13 4:00,0,v,,
5/7/13 5:00,0,v,,
5/7/13 6:00,0,v,,
5/7/13 7:00,0,v,,
5/7/13 8:00,0,v,,
5/7/13 9:00,0,v,,
5/7/13 10:00,0,v,,
5/7/13 11:00,0,v,,
5/7/13 12:00,0,v,,
5/7/13 13:00,0,v,,
5/7/13 14:00,0,v,,
5/7/13 15:00,0,v,,
5/7/13 16:00,0,v,,
5/7/13 17:00,0,v,,
5/7/13 18:00,0,v,,
5/7/13 19:00,0,v,,
5/7/13 20:00,0,v,,
5/7/13 21:00,0,v,,
5/7/13 22:00,0,v,,
5/7/13 23:00,0,v,,
6/7/13 0:00,0,v,,
6/7/13 1:00,0,v,,
6/7/13 2:00,0,v,,
6/7/13 3:00,0,v,,
6/7/13 4:00,0,v,,
6/7/13 5:00,0,v,,
6/7/13 6:00,0,v,,
6/7/13 7:00,0,v,,
6/7/13 8:00,0,v,,
6/7/13 9:00,0,v,,
6/7/13 10:00,0,v,,
6/7/13 11:00,0,v,,
6/7/13 12:00,0,v,,
6/7/13 13:00,0,v,,
6/7/13 14:00,0,v,,
6/7/13 15:00,0,v,,
6/7/13 16:00,0,v,,
6/7/13 17:00,0,v,,
6/7/13 18:00,0,v,,
6/7/13 19:00,0,v,,
6/7/13 20:00,0,v,,
6/7/13 21:00,0,v,,
6/7/13 22:00,0,v,,
6/7/13 23:00,0,v,,
7/7/13 0:00,0,v,,
7/7/13 1:00,0,v,,
7/7/13 2:00,0,v,,
7/7/13 3:00,0,v,,
7/7/13 4:00,0,v,,
7/7/13 5:00,0,v,,
7/7/13 6:00,0,v,,
7/7/13 7:00,0,v,,
7/7/13 8:00,0,v,,
7/7/13 9:00,0,v,,
7/7/13 10:00,0,v,,
7/7/13 11:00,0,v,,
7/7/13 12:00,0,v,,
7/7/13 13:00,0,v,,
7/7/13 14:00,0,v,,
7/7/13 15:00,0,v,,
7/7/13 16:00,0,v,,
7/7/13 17:00,0,v,,
7/7/13 18:00,0,v,,
7/7/13 19:00,0,v,,
7/7/13 20:00,0,v,,
7/7/13 21:00,0,v,,
7/7/13 22:00,0,v,,
7/7/13 23:00,0,v,,
8/7/13 0:00,0,v,,
8/7/13 1:00,0,v,,
8/7/13 2:00,0,v,,
8/7/13 3:00,0,v,,
8/7/13 4:00,0,v,,
8/7/13 5:00,0,v,,
8/7/13 6:00,0,v,,
8/7/13 7:00,0,v,,
8/7/13 8:00,0,v,,
8/7/13 9:00,0,v,,
8/7/13 10:00,0,v,,
8/7/13 11:00,0,v,,
8/7/13 12:00,0,v,,
8/7/13 13:00,0,v,,
8/7/13 14:00,0,v,,
8/7/13 15:00,0,v,,
8/7/13 16:00,0,v,,
8/7/13 17:00,0,v,,
8/7/13 18:00,0,v,,
8/7/13 19:00,0,v,,
8/7/13 20:00,0,v,,
8/7/13 21:00,0,v,,
8/7/13 22:00,0,v,,
8/7/13 23:00,0,v,,
9/7/13 0:00,0,v,,
9/7/13 1:00,0,v,,
9/7/13 2:00,0,v,,
9/7/13 3:00,0,v,,
9/7/13 4:00,0,v,,
9/7/13 5:00,0,v,,
9/7/13 6:00,0,v,,
9/7/13 7:00,0,v,,
9/7/13 8:00,0,v,,
9/7/13 9:00,0,v,,
9/7/13 10:00,0,v,,
9/7/13 11:00,0,v,,
9/7/13 12:00,0,v,,
9/7/13 13:00,0,v,,
9/7/13 14:00,0,v,,
9/7/13 15:00,0,v,,
9/7/13 16:00,0,v,,
9/7/13 17:00,0,v,,
9/7/13 18:00,0,v,,
9/7/13 19:00,0,v,,
9/7/13 20:00,0,v,,
9/7/13 21:00,0,v,,
9/7/13 22:00,0,v,,
9/7/13 23:00,0,v,,
10/7/13 0:00,0,v,,
10/7/13 1:00,0,v,,
10/7/13 2:00,0,v,,
10/7/13 3:00,0,v,,
10/7/13 4:00,0,v,,
10/7/13 5:00,0,v,,
10/7/13 6:00,0,v,,
10/7/13 7:00,0,v,,
10/7/13 8:00,0,v,,
10/7/13 9:00,0,v,,
10/7/13 10:00,0,v,,
10/7/13 11:00,0,v,,
10/7/13 12:00,0,v,,
10/7/13 13:00,0,v,,
10/7/13 14:00,0,v,,
10/7/13 15:00,0,v,,
10/7/13 16:00,0,v,,
10/7/13 17:00,0,v,,
10/7/13 18:00,0,v,,
10/7/13 19:00,0,v,,
10/7/13 20:00,0,v,,
10/7/13 21:00,0,v,,
10/7/13 22:00,0,v,,
10/7/13 23:00,0,v,,
11/7/13 0:00,0,v,,
11/7/13 1:00,0,v,,
11/7/13 2:00,0,v,,
11/7/13 3:00,0,v,,
11/7/13 4:00,0,v,,
11/7/13 5:00,0,v,,
11/7/13 6:00,0,v,,
11/7/13 7:00,0,v,,
11/7/13 8:00,0,v,,
11/7/13 9:00,0,v,,
11/7/13 10:00,0,v,,
11/7/13 11:00,0,v,,
11/7/13 12:00,0,v,,
11/7/13 13:00,0,v,,
11/7/13 14:00,0,v,,
11/7/13 15:00,0,v,,
11/7/13 16:00,0,v,,
11/7/13 17:00,0,v,,
11/7/13 18:00,0,v,,
11/7/13 19:00,0,v,,
11/7/13 20:00,0,v,,
11/7/13 21:00,0,v,,
11/7/13 22:00,0,v,,
11/7/13 23:00,0,v,,
12/7/13 0:00,0,v,,
12/7/13 1:00,0,v,,
12/7/13 2:00,0,v,,
12/7/13 3:00,0,v,,
12/7/13 4:00,0,v,,
12/7/13 5:00,0,v,,
12/7/13 6:00,0,v,,
12/7/13 7:00,0,v,,
12/7/13 8:00,0,v,,
12/7/13 9:00,0,v,,
12/7/13 10:00,0,v,,
12/7/13 11:00,0,v,,
12/7/13 12:00,0,v,,
12/7/13 13:00,0,v,,
12/7/13 14:00,0,v,,
12/7/13 15:00,0,v,,
12/7/13 16:00,0,v,,
