Sample Name,datetime,discharge,d7Li,2SD,Li,Na
SE 2-01,2015-11-03 10:00:00.000,101.9,21.3583546162302,0.0599744694213161,0.611370493461145,1224.84153202345
SE 2-03,2015-11-03 12:00:00.005,76.8,21.779063690214,0.174378579011167,0.618935213818203,1240.82010749038
SE 2-04,2015-11-03 13:00:00.010,70.9,21.7106811342629,0.107985574520791,0.627539115159438,1239.6767915771
SE 2-05,2015-11-03 14:00:00.015,68.2,22.2434896307466,0.0953334317954729,0.605566015338998,1251.65414860293
SE 2-06,2015-11-03 15:00:00.020,66.3,22.022545090842,0.363025880671838,0.595206978900084,1248.26034304281
SE 2-07,2015-11-03 16:00:00.025,64.5,22.4344248174686,0.171156545531246,0.590092387298241,1251.15513723389
SE 2-08,2015-11-03 17:00:00.030,63.6,,,0.611353896154381,1257.60101400037
SE 2-09,2015-11-03 18:00:00.035,63.6,22.3462033393225,0.0948347936104176,0.579785010797926,1252.91614607095
SE 2-10,2015-11-03 19:00:00.040,67,,,0.596057049818556,1264.96664746059
SE 2-11,2015-11-03 20:00:00.045,71.9,22.4805016309516,0.265065749614183,0.591650190264055,1270.01790875607
SE 2-12,2015-11-03 21:00:00.050,83.8,,,0.558216023794534,1215.69257362498
SE 2-13,2015-11-03 22:00:00.055,97,22.1055831992338,0.0167522598009084,0.5986125873221,1206.50385316064
SE 2-14,2015-11-03 23:00:00.060,103.3,,,0.588163402768355,1208.28057187811
SE 2-15,2015-11-04 00:00:00.065,109.1,21.89665286341,0.224574225114562,0.559530342474709,1195.84406055643
SE 2-16,2015-11-04 01:00:00.070,115.6,,,0.598266484750923,1196.64369129504
SE 2-17,2015-11-04 02:00:00.075,111.4,21.8058226881931,0.131761944179516,0.588482288474823,1179.81171718028
SE 2-18,2015-11-04 03:00:00.080,121.2,21.369809717093,0.223860288579517,0.579446165737252,1155.86345215384
SE 2-19,2015-11-04 04:00:00.085,126.2,21.5725226154387,0.130133760624215,0.560461614878477,1148.12952423617
SE 2-20,2015-11-04 05:00:00.090,124.3,21.6223594867452,0.0743033910869003,0.572062852673143,1104.91409089663
SE 2-21,2015-11-04 06:00:00.095,118.5,21.0606829604768,0.187972252698372,0.587344875580649,1144.13727168475
SE 2-22,2015-11-04 07:00:00.100,110.7,,,0.581440522779418,1150.68891329252
SE 2-23,2015-11-04 08:00:00.105,104.4,21.3050077402934,0.144422837183234,0.544577911098527,1140.1505725199
SE 2-24,2015-11-04 09:00:00.110,108.8,,,0.556356074696776,1122.39738154128
