# Time          3.5000E+00
# Units: Weight % Component
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -1.0997992E+00    1.5964064E+00    3.9533443E+00    3.1028142E-01    6.2478508E-01    7.4336741E+00    0.0000000E+00    7.1780235E-01    9.5907614E-03    7.7996865E-04    7.4771096E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -1.0998664E+00    1.6005312E+00    3.9553884E+00    3.1108312E-01    6.2680428E-01    7.4295933E+00    0.0000000E+00    7.2012217E-01    9.5872564E-03    7.7965749E-04    7.4770220E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -1.0999407E+00    1.6046559E+00    3.9574130E+00    3.1188480E-01    6.2882525E-01    7.4255783E+00    0.0000000E+00    7.2244402E-01    9.5838973E-03    7.7936068E-04    7.4769183E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -1.1000158E+00    1.6087880E+00    3.9594382E+00    3.1268793E-01    6.3085091E-01    7.4215614E+00    0.0000000E+00    7.2477126E-01    9.5805494E-03    7.7906680E-04    7.4768129E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -1.1000916E+00    1.6129273E+00    3.9614638E+00    3.1349245E-01    6.3288108E-01    7.4175421E+00    0.0000000E+00    7.2710368E-01    9.5772119E-03    7.7877556E-04    7.4767061E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -1.1001680E+00    1.6170733E+00    3.9634899E+00    3.1429827E-01    6.3491560E-01    7.4135204E+00    0.0000000E+00    7.2944110E-01    9.5738841E-03    7.7848671E-04    7.4765978E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -1.1002450E+00    1.6212257E+00    3.9655165E+00    3.1510535E-01    6.3695431E-01    7.4094961E+00    0.0000000E+00    7.3178332E-01    9.5705655E-03    7.7820003E-04    7.4764883E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -1.1003225E+00    1.6253842E+00    3.9675436E+00    3.1591362E-01    6.3899706E-01    7.4054690E+00    0.0000000E+00    7.3413019E-01    9.5672556E-03    7.7791533E-04    7.4763777E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -1.1004006E+00    1.6295487E+00    3.9695712E+00    3.1672303E-01    6.4104373E-01    7.4014392E+00    0.0000000E+00    7.3648157E-01    9.5639541E-03    7.7763244E-04    7.4762659E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -1.1004791E+00    1.6337188E+00    3.9715993E+00    3.1753354E-01    6.4309420E-01    7.3974064E+00    0.0000000E+00    7.3883731E-01    9.5606606E-03    7.7735122E-04    7.4761531E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.0500000E+00   -1.1005580E+00    1.6378944E+00    3.9736277E+00    3.1834511E-01    6.4514837E-01    7.3933707E+00    0.0000000E+00    7.4119731E-01    9.5573748E-03    7.7707153E-04    7.4760394E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.1500000E+00   -1.1006374E+00    1.6420751E+00    3.9756566E+00    3.1915770E-01    6.4720615E-01    7.3893321E+00    0.0000000E+00    7.4356145E-01    9.5540966E-03    7.7679328E-04    7.4759248E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.2500000E+00   -1.1007171E+00    1.6462610E+00    3.9776858E+00    3.1997127E-01    6.4926746E-01    7.3852905E+00    0.0000000E+00    7.4592964E-01    9.5508258E-03    7.7651634E-04    7.4758094E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.3500000E+00   -1.1007972E+00    1.6504518E+00    3.9797154E+00    3.2078581E-01    6.5133221E-01    7.3812458E+00    0.0000000E+00    7.4830179E-01    9.5475622E-03    7.7624065E-04    7.4756932E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.4500000E+00   -1.1008777E+00    1.6546474E+00    3.9817453E+00    3.2160127E-01    6.5340036E-01    7.3771982E+00    0.0000000E+00    7.5067784E-01    9.5443056E-03    7.7596611E-04    7.4755762E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5500000E+00   -1.1009585E+00    1.6588477E+00    3.9837756E+00    3.2241765E-01    6.5547183E-01    7.3731475E+00    0.0000000E+00    7.5305771E-01    9.5410561E-03    7.7569266E-04    7.4754585E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.6500000E+00   -1.1010396E+00    1.6630525E+00    3.9858062E+00    3.2323491E-01    6.5754658E-01    7.3690937E+00    0.0000000E+00    7.5544135E-01    9.5378134E-03    7.7542023E-04    7.4753401E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.7500000E+00   -1.1011210E+00    1.6672618E+00    3.9878370E+00    3.2405305E-01    6.5962457E-01    7.3650369E+00    0.0000000E+00    7.5782870E-01    9.5345775E-03    7.7514878E-04    7.4752210E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.8500000E+00   -1.1012027E+00    1.6714756E+00    3.9898681E+00    3.2487204E-01    6.6170575E-01    7.3609770E+00    0.0000000E+00    7.6021972E-01    9.5313482E-03    7.7487824E-04    7.4751013E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.9500000E+00   -1.1012847E+00    1.6756936E+00    3.9918995E+00    3.2569187E-01    6.6379009E-01    7.3569140E+00    0.0000000E+00    7.6261438E-01    9.5281257E-03    7.7460858E-04    7.4749810E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.0500000E+00   -1.1013670E+00    1.6799159E+00    3.9939310E+00    3.2651253E-01    6.6587756E-01    7.3528479E+00    0.0000000E+00    7.6501263E-01    9.5249097E-03    7.7433976E-04    7.4748600E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.1500000E+00   -1.1014495E+00    1.6841425E+00    3.9959628E+00    3.2733400E-01    6.6796813E-01    7.3487787E+00    0.0000000E+00    7.6741444E-01    9.5217002E-03    7.7407174E-04    7.4747385E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.2500000E+00   -1.1015323E+00    1.6883732E+00    3.9979948E+00    3.2815629E-01    6.7006178E-01    7.3447063E+00    0.0000000E+00    7.6981980E-01    9.5184972E-03    7.7380450E-04    7.4746164E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.3500000E+00   -1.1016154E+00    1.6926080E+00    4.0000270E+00    3.2897938E-01    6.7215850E-01    7.3406309E+00    0.0000000E+00    7.7222867E-01    9.5153007E-03    7.7353799E-04    7.4744937E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.4500000E+00   -1.1016987E+00    1.6968469E+00    4.0020594E+00    3.2980326E-01    6.7425825E-01    7.3365523E+00    0.0000000E+00    7.7464103E-01    9.5121106E-03    7.7327220E-04    7.4743705E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
