# Time          1.0000E-01
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    4.9999986E+01    2.7576263E+02    6.8455950E+02    2.0412211E+02    2.3021259E+05    1.8740590E+04
    1.5000000E-01    4.9999988E+01    2.7588112E+02    6.8597703E+02    2.0463291E+02    2.2956688E+05    1.8687302E+04
    2.5000000E-01    4.9999989E+01    2.7599980E+02    6.8739756E+02    2.0514489E+02    2.2892557E+05    1.8634460E+04
    3.5000000E-01    4.9999991E+01    2.7611866E+02    6.8882089E+02    2.0565799E+02    2.2828199E+05    1.8581506E+04
    4.5000000E-01    4.9999992E+01    2.7623770E+02    6.9024689E+02    2.0617215E+02    2.2763613E+05    1.8528430E+04
    5.5000000E-01    4.9999993E+01    2.7635690E+02    6.9167542E+02    2.0668733E+02    2.2698799E+05    1.8475226E+04
    6.5000000E-01    4.9999994E+01    2.7647625E+02    6.9310635E+02    2.0720347E+02    2.2633756E+05    1.8421887E+04
    7.5000000E-01    4.9999996E+01    2.7659575E+02    6.9453957E+02    2.0772055E+02    2.2568484E+05    1.8368408E+04
    8.5000000E-01    4.9999996E+01    2.7671539E+02    6.9597498E+02    2.0823853E+02    2.2502983E+05    1.8314783E+04
    9.5000000E-01    4.9999997E+01    2.7683516E+02    6.9741249E+02    2.0875736E+02    2.2437254E+05    1.8261009E+04
    1.0500000E+00    4.9999998E+01    2.7695506E+02    6.9885202E+02    2.0927704E+02    2.2371295E+05    1.8207082E+04
    1.1500000E+00    4.9999999E+01    2.7707508E+02    7.0029350E+02    2.0979753E+02    2.2305106E+05    1.8152997E+04
    1.2500000E+00    4.9999999E+01    2.7719523E+02    7.0173688E+02    2.1031880E+02    2.2238688E+05    1.8098752E+04
    1.3500000E+00    5.0000000E+01    2.7731548E+02    7.0318209E+02    2.1084085E+02    2.2172040E+05    1.8044343E+04
    1.4500000E+00    5.0000000E+01    2.7743585E+02    7.0462908E+02    2.1136365E+02    2.2105160E+05    1.7989769E+04
    1.5500000E+00    5.0000000E+01    2.7755632E+02    7.0607782E+02    2.1188719E+02    2.2038050E+05    1.7935025E+04
    1.6500000E+00    5.0000000E+01    2.7767690E+02    7.0752827E+02    2.1241146E+02    2.1970707E+05    1.7880109E+04
    1.7500000E+00    5.0000000E+01    2.7779758E+02    7.0898039E+02    2.1293643E+02    2.1903131E+05    1.7825019E+04
    1.8500000E+00    5.0000000E+01    2.7791836E+02    7.1043416E+02    2.1346212E+02    2.1835321E+05    1.7769754E+04
    1.9500000E+00    5.0000000E+01    2.7803923E+02    7.1188955E+02    2.1398850E+02    2.1767276E+05    1.7714309E+04
    2.0500000E+00    5.0000000E+01    2.7816020E+02    7.1334655E+02    2.1451557E+02    2.1698995E+05    1.7658684E+04
    2.1500000E+00    5.0000000E+01    2.7828126E+02    7.1480513E+02    2.1504332E+02    2.1630477E+05    1.7602876E+04
    2.2500000E+00    5.0000000E+01    2.7840241E+02    7.1626528E+02    2.1557174E+02    2.1561720E+05    1.7546883E+04
    2.3500000E+00    5.0000000E+01    2.7852366E+02    7.1772699E+02    2.1610084E+02    2.1492723E+05    1.7490703E+04
    2.4500000E+00    5.0000000E+01    2.7864499E+02    7.1919025E+02    2.1663061E+02    2.1423485E+05    1.7434335E+04
    2.5500000E+00    5.0000000E+01    2.7876640E+02    7.2065504E+02    2.1716105E+02    2.1354004E+05    1.7377776E+04
    2.6500000E+00    5.0000000E+01    2.7888791E+02    7.2212137E+02    2.1769214E+02    2.1284279E+05    1.7321025E+04
    2.7500000E+00    5.0000000E+01    2.7900950E+02    7.2358921E+02    2.1822390E+02    2.1214308E+05    1.7264079E+04
    2.8500000E+00    5.0000000E+01    2.7913117E+02    7.2505857E+02    2.1875632E+02    2.1144090E+05    1.7206937E+04
    2.9500000E+00    5.0000000E+01    2.7925292E+02    7.2652945E+02    2.1928939E+02    2.1073624E+05    1.7149597E+04
    3.0500000E+00    5.0000000E+01    2.7937476E+02    7.2800183E+02    2.1982312E+02    2.1002907E+05    1.7092058E+04
    3.1500000E+00    5.0000000E+01    2.7949667E+02    7.2947572E+02    2.2035750E+02    2.0931938E+05    1.7034317E+04
    3.2500000E+00    5.0000000E+01    2.7961867E+02    7.3095111E+02    2.2089253E+02    2.0860716E+05    1.6976374E+04
    3.3500000E+00    5.0000000E+01    2.7974074E+02    7.3242801E+02    2.2142822E+02    2.0789238E+05    1.6918225E+04
    3.4500000E+00    5.0000000E+01    2.7986289E+02    7.3390640E+02    2.2196456E+02    2.0717503E+05    1.6859870E+04
    3.5500000E+00    5.0000000E+01    2.7998512E+02    7.3538629E+02    2.2250155E+02    2.0645510E+05    1.6801308E+04
