# Time          1.0000E-01
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    1.0031346E-02    1.8083045E-01
    1.5000000E-01    9.9699711E-03    1.8000998E-01
    2.5000000E-01    9.9538015E-03    1.8000024E-01
    3.5000000E-01    9.9381010E-03    1.8000020E-01
    4.5000000E-01    9.9223367E-03    1.8000025E-01
    5.5000000E-01    9.9065053E-03    1.8000030E-01
    6.5000000E-01    9.8906090E-03    1.8000035E-01
    7.5000000E-01    9.8746493E-03    1.8000040E-01
    8.5000000E-01    9.8586280E-03    1.8000045E-01
    9.5000000E-01    9.8425464E-03    1.8000050E-01
    1.0500000E+00    9.8264058E-03    1.8000055E-01
    1.1500000E+00    9.8102073E-03    1.8000060E-01
    1.2500000E+00    9.7939522E-03    1.8000066E-01
    1.3500000E+00    9.7776412E-03    1.8000071E-01
    1.4500000E+00    9.7612753E-03    1.8000076E-01
    1.5500000E+00    9.7448554E-03    1.8000081E-01
    1.6500000E+00    9.7283822E-03    1.8000086E-01
    1.7500000E+00    9.7118564E-03    1.8000092E-01
    1.8500000E+00    9.6952786E-03    1.8000097E-01
    1.9500000E+00    9.6786494E-03    1.8000102E-01
    2.0500000E+00    9.6619695E-03    1.8000108E-01
    2.1500000E+00    9.6452393E-03    1.8000113E-01
    2.2500000E+00    9.6284594E-03    1.8000118E-01
    2.3500000E+00    9.6116301E-03    1.8000124E-01
    2.4500000E+00    9.5947520E-03    1.8000129E-01
    2.5500000E+00    9.5778254E-03    1.8000134E-01
    2.6500000E+00    9.5608508E-03    1.8000140E-01
    2.7500000E+00    9.5438284E-03    1.8000145E-01
    2.8500000E+00    9.5267586E-03    1.8000151E-01
    2.9500000E+00    9.5096417E-03    1.8000156E-01
    3.0500000E+00    9.4924781E-03    1.8000162E-01
    3.1500000E+00    9.4752681E-03    1.8000167E-01
    3.2500000E+00    9.4580118E-03    1.8000173E-01
    3.3500000E+00    9.4407095E-03    1.8000178E-01
    3.4500000E+00    9.4233616E-03    1.8000184E-01
    3.5500000E+00    9.4059681E-03    1.8000189E-01
    3.6500000E+00    9.3885295E-03    1.8000195E-01
    3.7500000E+00    9.3710457E-03    1.8000200E-01
    3.8500000E+00    9.3535171E-03    1.8000206E-01
    3.9500000E+00    9.3359438E-03    1.8000211E-01
    4.0500000E+00    9.3183261E-03    1.8000217E-01
    4.1500000E+00    9.3006640E-03    1.8000223E-01
    4.2500000E+00    9.2829577E-03    1.8000228E-01
    4.3500000E+00    9.2652075E-03    1.8000234E-01
    4.4500000E+00    9.2474133E-03    1.8000240E-01
    4.5500000E+00    9.2295755E-03    1.8000245E-01
    4.6500000E+00    9.2116940E-03    1.8000251E-01
    4.7500000E+00    9.1937691E-03    1.8000257E-01
    4.8500000E+00    9.1758008E-03    1.8000262E-01
    4.9500000E+00    9.1577893E-03    1.8000268E-01
    5.0500000E+00    9.1397347E-03    1.8000274E-01
    5.1500000E+00    9.1216371E-03    1.8000280E-01
    5.2500000E+00    9.1034965E-03    1.8000285E-01
    5.3500000E+00    9.0853131E-03    1.8000291E-01
    5.4500000E+00    9.0670870E-03    1.8000297E-01
    5.5500000E+00    9.0488182E-03    1.8000303E-01
    5.6500000E+00    9.0305068E-03    1.8000309E-01
    5.7500000E+00    9.0121530E-03    1.8000314E-01
    5.8500000E+00    8.9937568E-03    1.8000320E-01
    5.9500000E+00    8.9753182E-03    1.8000326E-01
    6.0500000E+00    8.9568373E-03    1.8000332E-01
    6.1500000E+00    8.9383142E-03    1.8000338E-01
    6.2500000E+00    8.9197490E-03    1.8000344E-01
    6.3500000E+00    8.9011417E-03    1.8000350E-01
    6.4500000E+00    8.8824924E-03    1.8000356E-01
    6.5500000E+00    8.8638011E-03    1.8000362E-01
    6.6500000E+00    8.8450678E-03    1.8000368E-01
    6.7500000E+00    8.8262927E-03    1.8000374E-01
    6.8500000E+00    8.8074758E-03    1.8000380E-01
    6.9500000E+00    8.7886170E-03    1.8000386E-01
    7.0500000E+00    8.7697166E-03    1.8000392E-01
    7.1500000E+00    8.7507744E-03    1.8000398E-01
    7.2500000E+00    8.7317906E-03    1.8000404E-01
    7.3500000E+00    8.7127651E-03    1.8000410E-01
    7.4500000E+00    8.6936980E-03    1.8000416E-01
    7.5500000E+00    8.6745894E-03    1.8000422E-01
    7.6500000E+00    8.6554393E-03    1.8000428E-01
    7.7500000E+00    8.6362477E-03    1.8000434E-01
    7.8500000E+00    8.6170146E-03    1.8000440E-01
    7.9500000E+00    8.5977401E-03    1.8000446E-01
    8.0500000E+00    8.5784242E-03    1.8000453E-01
    8.1500000E+00    8.5590668E-03    1.8000459E-01
    8.2500000E+00    8.5396682E-03    1.8000465E-01
    8.3500000E+00    8.5202282E-03    1.8000471E-01
    8.4500000E+00    8.5007468E-03    1.8000477E-01
    8.5500000E+00    8.4812242E-03    1.8000483E-01
    8.6500000E+00    8.4616603E-03    1.8000490E-01
    8.7500000E+00    8.4420552E-03    1.8000496E-01
    8.8500000E+00    8.4224088E-03    1.8000502E-01
    8.9500000E+00    8.4027212E-03    1.8000508E-01
    9.0500000E+00    8.3829924E-03    1.8000515E-01
    9.1500000E+00    8.3632224E-03    1.8000521E-01
    9.2500000E+00    8.3434112E-03    1.8000527E-01
    9.3500000E+00    8.3235589E-03    1.8000534E-01
    9.4500000E+00    8.3036655E-03    1.8000540E-01
    9.5500000E+00    8.2837309E-03    1.8000546E-01
    9.6500000E+00    8.2637552E-03    1.8000553E-01
    9.7500000E+00    8.2437384E-03    1.8000559E-01
    9.8500000E+00    8.2236805E-03    1.8000565E-01
    9.9500000E+00    8.2035815E-03    1.8000572E-01
    1.0050000E+01    8.1834415E-03    1.8000578E-01
    1.0150000E+01    8.1632604E-03    1.8000585E-01
    1.0250000E+01    8.1430383E-03    1.8000591E-01
    1.0350000E+01    8.1227751E-03    1.8000598E-01
    1.0450000E+01    8.1024709E-03    1.8000604E-01
    1.0550000E+01    8.0821257E-03    1.8000611E-01
    1.0650000E+01    8.0617395E-03    1.8000617E-01
    1.0750000E+01    8.0413123E-03    1.8000624E-01
    1.0850000E+01    8.0208441E-03    1.8000630E-01
    1.0950000E+01    8.0003350E-03    1.8000637E-01
    1.1050000E+01    7.9797849E-03    1.8000643E-01
    1.1150000E+01    7.9591938E-03    1.8000650E-01
    1.1250000E+01    7.9385618E-03    1.8000656E-01
    1.1350000E+01    7.9178888E-03    1.8000663E-01
    1.1450000E+01    7.8971749E-03    1.8000669E-01
    1.1550000E+01    7.8764201E-03    1.8000676E-01
    1.1650000E+01    7.8556244E-03    1.8000683E-01
    1.1750000E+01    7.8347878E-03    1.8000689E-01
    1.1850000E+01    7.8139103E-03    1.8000696E-01
    1.1950000E+01    7.7929920E-03    1.8000703E-01
    1.2050000E+01    7.7720327E-03    1.8000709E-01
    1.2150000E+01    7.7510326E-03    1.8000716E-01
    1.2250000E+01    7.7299917E-03    1.8000723E-01
    1.2350000E+01    7.7089100E-03    1.8000730E-01
    1.2450000E+01    7.6877874E-03    1.8000736E-01
    1.2550000E+01    7.6666240E-03    1.8000743E-01
    1.2650000E+01    7.6454199E-03    1.8000750E-01
    1.2750000E+01    7.6241749E-03    1.8000757E-01
    1.2850000E+01    7.6028892E-03    1.8000763E-01
    1.2950000E+01    7.5815627E-03    1.8000770E-01
    1.3050000E+01    7.5601955E-03    1.8000777E-01
    1.3150000E+01    7.5387876E-03    1.8000784E-01
    1.3250000E+01    7.5173390E-03    1.8000791E-01
    1.3350000E+01    7.4958496E-03    1.8000797E-01
    1.3450000E+01    7.4743196E-03    1.8000804E-01
    1.3550000E+01    7.4527490E-03    1.8000811E-01
    1.3650000E+01    7.4311377E-03    1.8000818E-01
    1.3750000E+01    7.4094858E-03    1.8000825E-01
    1.3850000E+01    7.3877933E-03    1.8000832E-01
    1.3950000E+01    7.3660602E-03    1.8000839E-01
    1.4050000E+01    7.3442865E-03    1.8000846E-01
    1.4150000E+01    7.3224724E-03    1.8000853E-01
    1.4250000E+01    7.3006177E-03    1.8000860E-01
    1.4350000E+01    7.2787225E-03    1.8000867E-01
    1.4450000E+01    7.2567869E-03    1.8000874E-01
    1.4550000E+01    7.2348108E-03    1.8000881E-01
    1.4650000E+01    7.2127943E-03    1.8000888E-01
    1.4750000E+01    7.1907374E-03    1.8000895E-01
    1.4850000E+01    7.1686402E-03    1.8000902E-01
    1.4950000E+01    7.1465027E-03    1.8000909E-01
    1.5050000E+01    7.1243248E-03    1.8000916E-01
    1.5150000E+01    7.1021067E-03    1.8000923E-01
    1.5250000E+01    7.0798484E-03    1.8000930E-01
    1.5350000E+01    7.0575499E-03    1.8000937E-01
    1.5450000E+01    7.0352112E-03    1.8000944E-01
    1.5550000E+01    7.0128324E-03    1.8000952E-01
    1.5650000E+01    6.9904136E-03    1.8000959E-01
    1.5750000E+01    6.9679547E-03    1.8000966E-01
    1.5850000E+01    6.9454558E-03    1.8000973E-01
    1.5950000E+01    6.9229169E-03    1.8000980E-01
    1.6050000E+01    6.9003382E-03    1.8000988E-01
    1.6150000E+01    6.8777195E-03    1.8000995E-01
    1.6250000E+01    6.8550611E-03    1.8001002E-01
    1.6350000E+01    6.8323629E-03    1.8001009E-01
    1.6450000E+01    6.8096250E-03    1.8001017E-01
