# Time          3.5000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    2.1459753E-02    3.8576373E-01
    1.5000000E-01    1.0238975E-02    1.8516154E-01
    2.5000000E-01    9.9419307E-03    1.8012354E-01
    3.5000000E-01    9.9194335E-03    1.8000324E-01
    4.5000000E-01    9.9034265E-03    1.8000038E-01
    5.5000000E-01    9.8875138E-03    1.8000036E-01
    6.5000000E-01    9.8715419E-03    1.8000041E-01
    7.5000000E-01    9.8555087E-03    1.8000046E-01
    8.5000000E-01    9.8394155E-03    1.8000051E-01
    9.5000000E-01    9.8232636E-03    1.8000056E-01
    1.0500000E+00    9.8070540E-03    1.8000061E-01
    1.1500000E+00    9.7907879E-03    1.8000067E-01
    1.2500000E+00    9.7744661E-03    1.8000072E-01
    1.3500000E+00    9.7580897E-03    1.8000077E-01
    1.4500000E+00    9.7416593E-03    1.8000082E-01
    1.5500000E+00    9.7251758E-03    1.8000087E-01
    1.6500000E+00    9.7086397E-03    1.8000093E-01
    1.7500000E+00    9.6920519E-03    1.8000098E-01
    1.8500000E+00    9.6754128E-03    1.8000103E-01
    1.9500000E+00    9.6587230E-03    1.8000109E-01
    2.0500000E+00    9.6419831E-03    1.8000114E-01
    2.1500000E+00    9.6251935E-03    1.8000119E-01
    2.2500000E+00    9.6083547E-03    1.8000125E-01
    2.3500000E+00    9.5914671E-03    1.8000130E-01
    2.4500000E+00    9.5745310E-03    1.8000135E-01
    2.5500000E+00    9.5575470E-03    1.8000141E-01
    2.6500000E+00    9.5405154E-03    1.8000146E-01
    2.7500000E+00    9.5234364E-03    1.8000152E-01
    2.8500000E+00    9.5063104E-03    1.8000157E-01
    2.9500000E+00    9.4891377E-03    1.8000163E-01
    3.0500000E+00    9.4719185E-03    1.8000168E-01
    3.1500000E+00    9.4546532E-03    1.8000174E-01
    3.2500000E+00    9.4373420E-03    1.8000179E-01
    3.3500000E+00    9.4199852E-03    1.8000185E-01
    3.4500000E+00    9.4025829E-03    1.8000190E-01
    3.5500000E+00    9.3851354E-03    1.8000196E-01
    3.6500000E+00    9.3676429E-03    1.8000201E-01
    3.7500000E+00    9.3501055E-03    1.8000207E-01
    3.8500000E+00    9.3325235E-03    1.8000212E-01
    3.9500000E+00    9.3148971E-03    1.8000218E-01
    4.0500000E+00    9.2972264E-03    1.8000224E-01
    4.1500000E+00    9.2795115E-03    1.8000229E-01
    4.2500000E+00    9.2617526E-03    1.8000235E-01
    4.3500000E+00    9.2439499E-03    1.8000241E-01
    4.4500000E+00    9.2261036E-03    1.8000246E-01
    4.5500000E+00    9.2082136E-03    1.8000252E-01
    4.6500000E+00    9.1902802E-03    1.8000258E-01
    4.7500000E+00    9.1723035E-03    1.8000263E-01
    4.8500000E+00    9.1542835E-03    1.8000269E-01
    4.9500000E+00    9.1362205E-03    1.8000275E-01
    5.0500000E+00    9.1181144E-03    1.8000281E-01
    5.1500000E+00    9.0999655E-03    1.8000286E-01
    5.2500000E+00    9.0817737E-03    1.8000292E-01
    5.3500000E+00    9.0635392E-03    1.8000298E-01
    5.4500000E+00    9.0452621E-03    1.8000304E-01
    5.5500000E+00    9.0269425E-03    1.8000310E-01
    5.6500000E+00    9.0085803E-03    1.8000316E-01
    5.7500000E+00    8.9901758E-03    1.8000321E-01
    5.8500000E+00    8.9717289E-03    1.8000327E-01
    5.9500000E+00    8.9532398E-03    1.8000333E-01
    6.0500000E+00    8.9347085E-03    1.8000339E-01
    6.1500000E+00    8.9161350E-03    1.8000345E-01
    6.2500000E+00    8.8975195E-03    1.8000351E-01
    6.3500000E+00    8.8788620E-03    1.8000357E-01
    6.4500000E+00    8.8601624E-03    1.8000363E-01
    6.5500000E+00    8.8414210E-03    1.8000369E-01
    6.6500000E+00    8.8226377E-03    1.8000375E-01
    6.7500000E+00    8.8038126E-03    1.8000381E-01
    6.8500000E+00    8.7849457E-03    1.8000387E-01
    6.9500000E+00    8.7660370E-03    1.8000393E-01
    7.0500000E+00    8.7470867E-03    1.8000399E-01
    7.1500000E+00    8.7280947E-03    1.8000405E-01
    7.2500000E+00    8.7090611E-03    1.8000411E-01
    7.3500000E+00    8.6899859E-03    1.8000417E-01
    7.4500000E+00    8.6708692E-03    1.8000423E-01
    7.5500000E+00    8.6517110E-03    1.8000429E-01
    7.6500000E+00    8.6325112E-03    1.8000435E-01
    7.7500000E+00    8.6132700E-03    1.8000441E-01
    7.8500000E+00    8.5939874E-03    1.8000448E-01
    7.9500000E+00    8.5746634E-03    1.8000454E-01
    8.0500000E+00    8.5552979E-03    1.8000460E-01
    8.1500000E+00    8.5358912E-03    1.8000466E-01
    8.2500000E+00    8.5164431E-03    1.8000472E-01
    8.3500000E+00    8.4969537E-03    1.8000478E-01
    8.4500000E+00    8.4774230E-03    1.8000485E-01
    8.5500000E+00    8.4578510E-03    1.8000491E-01
    8.6500000E+00    8.4382378E-03    1.8000497E-01
    8.7500000E+00    8.4185833E-03    1.8000503E-01
    8.8500000E+00    8.3988876E-03    1.8000510E-01
    8.9500000E+00    8.3791508E-03    1.8000516E-01
    9.0500000E+00    8.3593727E-03    1.8000522E-01
    9.1500000E+00    8.3395535E-03    1.8000529E-01
    9.2500000E+00    8.3196931E-03    1.8000535E-01
    9.3500000E+00    8.2997916E-03    1.8000541E-01
    9.4500000E+00    8.2798490E-03    1.8000548E-01
    9.5500000E+00    8.2598652E-03    1.8000554E-01
    9.6500000E+00    8.2398404E-03    1.8000560E-01
    9.7500000E+00    8.2197744E-03    1.8000567E-01
    9.8500000E+00    8.1996674E-03    1.8000573E-01
    9.9500000E+00    8.1795193E-03    1.8000580E-01
    1.0050000E+01    8.1593302E-03    1.8000586E-01
    1.0150000E+01    8.1391000E-03    1.8000592E-01
    1.0250000E+01    8.1188288E-03    1.8000599E-01
    1.0350000E+01    8.0985166E-03    1.8000605E-01
    1.0450000E+01    8.0781634E-03    1.8000612E-01
    1.0550000E+01    8.0577691E-03    1.8000618E-01
    1.0650000E+01    8.0373339E-03    1.8000625E-01
    1.0750000E+01    8.0168577E-03    1.8000631E-01
    1.0850000E+01    7.9963405E-03    1.8000638E-01
    1.0950000E+01    7.9757823E-03    1.8000644E-01
    1.1050000E+01    7.9551832E-03    1.8000651E-01
    1.1150000E+01    7.9345432E-03    1.8000658E-01
