# Time          1.0000E-01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1485579E-14   -4.0115303E-11   -1.6226745E-10   -3.2554263E-11    1.2242663E-10    1.0112562E-11
    1.5000000E-01   -2.0240654E-14   -4.0132372E-11   -1.6260346E-10   -3.2635729E-11    1.1718679E-10    9.6647663E-12
    2.5000000E-01   -1.8859300E-14   -4.0149433E-11   -1.6294018E-10   -3.2717381E-11    1.1733637E-10    9.6638087E-12
    3.5000000E-01   -1.7473241E-14   -4.0166502E-11   -1.6327757E-10   -3.2799212E-11    1.1748245E-10    9.6639967E-12
    4.5000000E-01   -1.6084118E-14   -4.0183577E-11   -1.6361559E-10   -3.2881213E-11    1.1763761E-10    9.6662000E-12
    5.5000000E-01   -1.4692003E-14   -4.0200656E-11   -1.6395420E-10   -3.2963375E-11    1.1780067E-10    9.6701786E-12
    6.5000000E-01   -1.3296942E-14   -4.0217736E-11   -1.6429339E-10   -3.3045692E-11    1.1797053E-10    9.6757130E-12
    7.5000000E-01   -1.1898975E-14   -4.0234814E-11   -1.6463312E-10   -3.3128158E-11    1.1814625E-10    9.6826143E-12
    8.5000000E-01   -1.0498137E-14   -4.0251890E-11   -1.6497337E-10   -3.3210767E-11    1.1832705E-10    9.6907196E-12
    9.5000000E-01   -9.0944565E-15   -4.0268960E-11   -1.6531411E-10   -3.3293513E-11    1.1851229E-10    9.6998881E-12
    1.0500000E+00   -7.6879593E-15   -4.0286022E-11   -1.6565534E-10   -3.3376393E-11    1.1870140E-10    9.7099974E-12
    1.1500000E+00   -6.2786672E-15   -4.0303074E-11   -1.6599703E-10   -3.3459403E-11    1.1889393E-10    9.7209411E-12
    1.2500000E+00   -4.8665988E-15   -4.0320115E-11   -1.6633916E-10   -3.3542538E-11    1.1908948E-10    9.7326261E-12
    1.3500000E+00   -3.4517707E-15   -4.0337142E-11   -1.6668173E-10   -3.3625797E-11    1.1928769E-10    9.7449713E-12
    1.4500000E+00   -2.0341969E-15   -4.0354153E-11   -1.6702473E-10   -3.3709175E-11    1.1948830E-10    9.7579053E-12
    1.5500000E+00   -6.1388972E-16   -4.0371146E-11   -1.6736814E-10   -3.3792672E-11    1.1969103E-10    9.7713655E-12
    1.6500000E+00    0.0000000E+00   -4.0388120E-11   -1.6771195E-10   -3.3876284E-11    1.1989568E-10    9.7852968E-12
    1.7500000E+00    0.0000000E+00   -4.0405071E-11   -1.6805616E-10   -3.3960009E-11    1.2010205E-10    9.7996505E-12
    1.8500000E+00    0.0000000E+00   -4.0421999E-11   -1.6840076E-10   -3.4043848E-11    1.2030998E-10    9.8143838E-12
    1.9500000E+00    0.0000000E+00   -4.0438900E-11   -1.6874575E-10   -3.4127797E-11    1.2051933E-10    9.8294586E-12
    2.0500000E+00    0.0000000E+00   -4.0455774E-11   -1.6909111E-10   -3.4211856E-11    1.2072997E-10    9.8448413E-12
    2.1500000E+00    0.0000000E+00   -4.0472618E-11   -1.6943685E-10   -3.4296024E-11    1.2094178E-10    9.8605020E-12
    2.2500000E+00    0.0000000E+00   -4.0489429E-11   -1.6978296E-10   -3.4380300E-11    1.2115468E-10    9.8764142E-12
    2.3500000E+00    0.0000000E+00   -4.0506206E-11   -1.7012945E-10   -3.4464683E-11    1.2136858E-10    9.8925542E-12
    2.4500000E+00    0.0000000E+00   -4.0522947E-11   -1.7047630E-10   -3.4549173E-11    1.2158339E-10    9.9089010E-12
    2.5500000E+00    0.0000000E+00   -4.0539648E-11   -1.7082351E-10   -3.4633769E-11    1.2179905E-10    9.9254359E-12
    2.6500000E+00    0.0000000E+00   -4.0556309E-11   -1.7117109E-10   -3.4718470E-11    1.2201551E-10    9.9421420E-12
    2.7500000E+00    0.0000000E+00   -4.0572926E-11   -1.7151902E-10   -3.4803277E-11    1.2223269E-10    9.9590044E-12
    2.8500000E+00    0.0000000E+00   -4.0589497E-11   -1.7186732E-10   -3.4888189E-11    1.2245057E-10    9.9760096E-12
    2.9500000E+00    0.0000000E+00   -4.0606020E-11   -1.7221597E-10   -3.4973206E-11    1.2266909E-10    9.9931456E-12
    3.0500000E+00    0.0000000E+00   -4.0622492E-11   -1.7256499E-10   -3.5058327E-11    1.2288822E-10    1.0010402E-11
    3.1500000E+00    0.0000000E+00   -4.0638911E-11   -1.7291435E-10   -3.5143552E-11    1.2310791E-10    1.0027768E-11
    3.2500000E+00    0.0000000E+00   -4.0655274E-11   -1.7326408E-10   -3.5228882E-11    1.2332815E-10    1.0045235E-11
    3.3500000E+00    0.0000000E+00   -4.0671578E-11   -1.7361416E-10   -3.5314316E-11    1.2354889E-10    1.0062797E-11
    3.4500000E+00    0.0000000E+00   -4.0687820E-11   -1.7396460E-10   -3.5399854E-11    1.2377011E-10    1.0080445E-11
    3.5500000E+00    0.0000000E+00   -4.0703999E-11   -1.7431539E-10   -3.5485495E-11    1.2399180E-10    1.0098173E-11
    3.6500000E+00    0.0000000E+00   -4.0720110E-11   -1.7466654E-10   -3.5571241E-11    1.2421391E-10    1.0115975E-11
    3.7500000E+00    0.0000000E+00   -4.0736152E-11   -1.7501804E-10   -3.5657090E-11    1.2443645E-10    1.0133846E-11
    3.8500000E+00    0.0000000E+00   -4.0752120E-11   -1.7536989E-10   -3.5743043E-11    1.2465938E-10    1.0151782E-11
    3.9500000E+00    0.0000000E+00   -4.0768011E-11   -1.7572210E-10   -3.5829100E-11    1.2488270E-10    1.0169778E-11
    4.0500000E+00    0.0000000E+00   -4.0783824E-11   -1.7607466E-10   -3.5915260E-11    1.2510637E-10    1.0187829E-11
    4.1500000E+00    0.0000000E+00   -4.0799554E-11   -1.7642758E-10   -3.6001524E-11    1.2533041E-10    1.0205934E-11
    4.2500000E+00    0.0000000E+00   -4.0815197E-11   -1.7678085E-10   -3.6087892E-11    1.2555477E-10    1.0224087E-11
    4.3500000E+00    0.0000000E+00   -4.0830751E-11   -1.7713448E-10   -3.6174363E-11    1.2577947E-10    1.0242287E-11
    4.4500000E+00    0.0000000E+00   -4.0846212E-11   -1.7748845E-10   -3.6260938E-11    1.2600448E-10    1.0260530E-11
    4.5500000E+00    0.0000000E+00   -4.0861577E-11   -1.7784279E-10   -3.6347616E-11    1.2622979E-10    1.0278815E-11
    4.6500000E+00    0.0000000E+00   -4.0876841E-11   -1.7819747E-10   -3.6434398E-11    1.2645539E-10    1.0297138E-11
    4.7500000E+00    0.0000000E+00   -4.0892000E-11   -1.7855251E-10   -3.6521284E-11    1.2668128E-10    1.0315499E-11
    4.8500000E+00    0.0000000E+00   -4.0907052E-11   -1.7890790E-10   -3.6608273E-11    1.2690744E-10    1.0333894E-11
    4.9500000E+00    0.0000000E+00   -4.0921992E-11   -1.7926365E-10   -3.6695366E-11    1.2713387E-10    1.0352322E-11
    5.0500000E+00    0.0000000E+00   -4.0936815E-11   -1.7961975E-10   -3.6782562E-11    1.2736056E-10    1.0370782E-11
    5.1500000E+00    0.0000000E+00   -4.0951519E-11   -1.7997620E-10   -3.6869862E-11    1.2758750E-10    1.0389271E-11
    5.2500000E+00    0.0000000E+00   -4.0966097E-11   -1.8033301E-10   -3.6957266E-11    1.2781468E-10    1.0407790E-11
    5.3500000E+00    0.0000000E+00   -4.0980547E-11   -1.8069017E-10   -3.7044773E-11    1.2804211E-10    1.0426335E-11
    5.4500000E+00    0.0000000E+00   -4.0994864E-11   -1.8104769E-10   -3.7132384E-11    1.2826976E-10    1.0444907E-11
    5.5500000E+00    0.0000000E+00   -4.1009042E-11   -1.8140555E-10   -3.7220098E-11    1.2849763E-10    1.0463504E-11
    5.6500000E+00    0.0000000E+00   -4.1023077E-11   -1.8176378E-10   -3.7307916E-11    1.2872573E-10    1.0482125E-11
    5.7500000E+00    0.0000000E+00   -4.1036965E-11   -1.8212235E-10   -3.7395837E-11    1.2895403E-10    1.0500768E-11
    5.8500000E+00    0.0000000E+00   -4.1050701E-11   -1.8248128E-10   -3.7483862E-11    1.2918255E-10    1.0519434E-11
    5.9500000E+00    0.0000000E+00   -4.1064279E-11   -1.8284056E-10   -3.7571990E-11    1.2941127E-10    1.0538121E-11
    6.0500000E+00    0.0000000E+00   -4.1077694E-11   -1.8320020E-10   -3.7660222E-11    1.2964018E-10    1.0556829E-11
    6.1500000E+00    0.0000000E+00   -4.1090942E-11   -1.8356019E-10   -3.7748558E-11    1.2986928E-10    1.0575556E-11
    6.2500000E+00    0.0000000E+00   -4.1104015E-11   -1.8392053E-10   -3.7836997E-11    1.3009857E-10    1.0594302E-11
    6.3500000E+00    0.0000000E+00   -4.1116910E-11   -1.8428123E-10   -3.7925540E-11    1.3032805E-10    1.0613067E-11
