# Time          1.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2719009E-01   -4.4351923E+00   -8.6055476E+00   -3.1804923E+01    6.1704650E-03   -9.7681545E-03
    1.5000000E-01   -2.1023055E-01   -4.3883818E+00   -8.5654663E+00   -3.1404778E+01    5.9053672E-03   -1.0043039E-02
    2.5000000E-01   -1.9215650E-01   -4.3376525E+00   -8.5215825E+00   -3.1125498E+01    5.9312605E-03   -1.0025832E-02
    3.5000000E-01   -1.7474675E-01   -4.2884136E+00   -8.4789647E+00   -3.0899805E+01    5.9571668E-03   -1.0007665E-02
    4.5000000E-01   -1.5797181E-01   -4.2406214E+00   -8.4375787E+00   -3.0704226E+01    5.9837738E-03   -9.9879576E-03
    5.5000000E-01   -1.4178663E-01   -4.1941815E+00   -8.3973428E+00   -3.0528252E+01    6.0110254E-03   -9.9668588E-03
    6.5000000E-01   -1.2615060E-01   -4.1490086E+00   -8.3581830E+00   -3.0366252E+01    6.0388670E-03   -9.9445066E-03
    7.5000000E-01   -1.1102712E-01   -4.1050253E+00   -8.3200322E+00   -3.0214839E+01    6.0672536E-03   -9.9210198E-03
    8.5000000E-01   -9.6383091E-02   -4.0621614E+00   -8.2828300E+00   -3.0071809E+01    6.0961482E-03   -9.8965006E-03
    9.5000000E-01   -8.2188505E-02   -4.0203530E+00   -8.2465211E+00   -2.9935641E+01    6.1255202E-03   -9.8710373E-03
    1.0500000E+00   -6.8416063E-02   -3.9795417E+00   -8.2110552E+00   -2.9805235E+01    6.1553444E-03   -9.8447062E-03
    1.1500000E+00   -5.5040862E-02   -3.9396739E+00   -8.1763863E+00   -2.9679768E+01    6.1855999E-03   -9.8175737E-03
    1.2500000E+00   -4.2040126E-02   -3.9007004E+00   -8.1424721E+00   -2.9558603E+01    6.2162696E-03   -9.7896971E-03
    1.3500000E+00   -2.9392971E-02   -3.8625760E+00   -8.1092738E+00   -2.9441240E+01    6.2473393E-03   -9.7611262E-03
    1.4500000E+00   -1.7080204E-02   -3.8252588E+00   -8.0767556E+00   -2.9327273E+01    6.2787974E-03   -9.7319043E-03
    1.5500000E+00   -5.0841446E-03   -3.7887103E+00   -8.0448844E+00   -2.9216369E+01    6.3106345E-03   -9.7020689E-03
    1.6500000E+00    6.6115481E-03   -3.7528945E+00   -8.0136296E+00   -2.9108250E+01    6.3428431E-03   -9.6716525E-03
    1.7500000E+00    1.8021984E-02   -3.7177781E+00   -7.9829626E+00   -2.9002684E+01    6.3754173E-03   -9.6406833E-03
    1.8500000E+00    2.9161152E-02   -3.6833301E+00   -7.9528572E+00   -2.8899469E+01    6.4083523E-03   -9.6091856E-03
    1.9500000E+00    4.0042040E-02   -3.6495216E+00   -7.9232887E+00   -2.8798432E+01    6.4416449E-03   -9.5771805E-03
    2.0500000E+00    5.0676729E-02   -3.6163256E+00   -7.8942342E+00   -2.8699422E+01    6.4752925E-03   -9.5446861E-03
    2.1500000E+00    6.1076473E-02   -3.5837168E+00   -7.8656721E+00   -2.8602308E+01    6.5092936E-03   -9.5117178E-03
    2.2500000E+00    7.1251777E-02   -3.5516716E+00   -7.8375825E+00   -2.8506972E+01    6.5436475E-03   -9.4782887E-03
    2.3500000E+00    8.1212457E-02   -3.5201678E+00   -7.8099465E+00   -2.8413309E+01    6.5783541E-03   -9.4444101E-03
    2.4500000E+00    9.0967700E-02   -3.4891845E+00   -7.7827464E+00   -2.8321226E+01    6.6134140E-03   -9.4100913E-03
    2.5500000E+00    1.0052612E-01   -3.4587021E+00   -7.7559656E+00   -2.8230638E+01    6.6488283E-03   -9.3753400E-03
    2.6500000E+00    1.0989579E-01   -3.4287019E+00   -7.7295884E+00   -2.8141469E+01    6.6845986E-03   -9.3401625E-03
    2.7500000E+00    1.1908433E-01   -3.3991666E+00   -7.7036001E+00   -2.8053650E+01    6.7207270E-03   -9.3045639E-03
    2.8500000E+00    1.2809886E-01   -3.3700796E+00   -7.6779869E+00   -2.7967117E+01    6.7572157E-03   -9.2685479E-03
    2.9500000E+00    1.3694612E-01   -3.3414253E+00   -7.6527354E+00   -2.7881811E+01    6.7940678E-03   -9.2321176E-03
    3.0500000E+00    1.4563248E-01   -3.3131889E+00   -7.6278332E+00   -2.7797680E+01    6.8312862E-03   -9.1952747E-03
    3.1500000E+00    1.5416391E-01   -3.2853564E+00   -7.6032686E+00   -2.7714672E+01    6.8688745E-03   -9.1580204E-03
    3.2500000E+00    1.6254609E-01   -3.2579146E+00   -7.5790304E+00   -2.7632744E+01    6.9068365E-03   -9.1203549E-03
    3.3500000E+00    1.7078439E-01   -3.2308506E+00   -7.5551079E+00   -2.7551851E+01    6.9451761E-03   -9.0822780E-03
    3.4500000E+00    1.7888387E-01   -3.2041526E+00   -7.5314910E+00   -2.7471954E+01    6.9838977E-03   -9.0437886E-03
    3.5500000E+00    1.8684936E-01   -3.1778091E+00   -7.5081702E+00   -2.7393016E+01    7.0230057E-03   -9.0048851E-03
    3.6500000E+00    1.9468543E-01   -3.1518091E+00   -7.4851362E+00   -2.7315003E+01    7.0625051E-03   -8.9655654E-03
    3.7500000E+00    2.0239640E-01   -3.1261424E+00   -7.4623805E+00   -2.7237881E+01    7.1024007E-03   -8.9258268E-03
    3.8500000E+00    2.0998642E-01   -3.1007990E+00   -7.4398947E+00   -2.7161620E+01    7.1426978E-03   -8.8856663E-03
    3.9500000E+00    2.1745940E-01   -3.0757694E+00   -7.4176708E+00   -2.7086192E+01    7.1834019E-03   -8.8450804E-03
    4.0500000E+00    2.2481907E-01   -3.0510446E+00   -7.3957014E+00   -2.7011568E+01    7.2245186E-03   -8.8040652E-03
    4.1500000E+00    2.3206901E-01   -3.0266159E+00   -7.3739791E+00   -2.6937724E+01    7.2660537E-03   -8.7626163E-03
    4.2500000E+00    2.3921259E-01   -3.0024751E+00   -7.3524971E+00   -2.6864636E+01    7.3080134E-03   -8.7207290E-03
    4.3500000E+00    2.4625307E-01   -2.9786142E+00   -7.3312486E+00   -2.6792279E+01    7.3504039E-03   -8.6783985E-03
    4.4500000E+00    2.5319354E-01   -2.9550256E+00   -7.3102275E+00   -2.6720632E+01    7.3932318E-03   -8.6356194E-03
    4.5500000E+00    2.6003694E-01   -2.9317021E+00   -7.2894275E+00   -2.6649675E+01    7.4365036E-03   -8.5923860E-03
    4.6500000E+00    2.6678612E-01   -2.9086366E+00   -7.2688428E+00   -2.6579387E+01    7.4802263E-03   -8.5486924E-03
    4.7500000E+00    2.7344377E-01   -2.8858225E+00   -7.2484679E+00   -2.6509750E+01    7.5244069E-03   -8.5045324E-03
    4.8500000E+00    2.8001249E-01   -2.8632532E+00   -7.2282973E+00   -2.6440746E+01    7.5690529E-03   -8.4598993E-03
    4.9500000E+00    2.8649475E-01   -2.8409225E+00   -7.2083258E+00   -2.6372357E+01    7.6141716E-03   -8.4147865E-03
    5.0500000E+00    2.9289294E-01   -2.8188246E+00   -7.1885486E+00   -2.6304568E+01    7.6597709E-03   -8.3691867E-03
    5.1500000E+00    2.9920934E-01   -2.7969536E+00   -7.1689607E+00   -2.6237361E+01    7.7058586E-03   -8.3230927E-03
    5.2500000E+00    3.0544613E-01   -2.7753040E+00   -7.1495577E+00   -2.6170724E+01    7.7524430E-03   -8.2764967E-03
    5.3500000E+00    3.1160543E-01   -2.7538705E+00   -7.1303350E+00   -2.6104640E+01    7.7995324E-03   -8.2293909E-03
    5.4500000E+00    3.1768924E-01   -2.7326480E+00   -7.1112883E+00   -2.6039096E+01    7.8471355E-03   -8.1817671E-03
    5.5500000E+00    3.2369953E-01   -2.7116314E+00   -7.0924135E+00   -2.5974078E+01    7.8952611E-03   -8.1336167E-03
    5.6500000E+00    3.2963814E-01   -2.6908161E+00   -7.0737068E+00   -2.5909575E+01    7.9439184E-03   -8.0849310E-03
    5.7500000E+00    3.3550688E-01   -2.6701973E+00   -7.0551640E+00   -2.5845574E+01    7.9931166E-03   -8.0357011E-03
    5.8500000E+00    3.4130748E-01   -2.6497707E+00   -7.0367817E+00   -2.5782062E+01    8.0428655E-03   -7.9859175E-03
    5.9500000E+00    3.4704161E-01   -2.6295319E+00   -7.0185562E+00   -2.5719028E+01    8.0931748E-03   -7.9355707E-03
    6.0500000E+00    3.5271088E-01   -2.6094768E+00   -7.0004840E+00   -2.5656462E+01    8.1440546E-03   -7.8846508E-03
    6.1500000E+00    3.5831682E-01   -2.5896013E+00   -6.9825617E+00   -2.5594353E+01    8.1955155E-03   -7.8331476E-03
    6.2500000E+00    3.6386094E-01   -2.5699015E+00   -6.9647862E+00   -2.5532690E+01    8.2475681E-03   -7.7810505E-03
    6.3500000E+00    3.6934468E-01   -2.5503737E+00   -6.9471542E+00   -2.5471464E+01    8.3002234E-03   -7.7283489E-03
    6.4500000E+00    3.7476943E-01   -2.5310142E+00   -6.9296628E+00   -2.5410665E+01    8.3534927E-03   -7.6750316E-03
    6.5500000E+00    3.8013652E-01   -2.5118195E+00   -6.9123090E+00   -2.5350284E+01    8.4073875E-03   -7.6210871E-03
    6.6500000E+00    3.8544727E-01   -2.4927861E+00   -6.8950899E+00   -2.5290312E+01    8.4619198E-03   -7.5665037E-03
    6.7500000E+00    3.9070291E-01   -2.4739108E+00   -6.8780027E+00   -2.5230740E+01    8.5171019E-03   -7.5112691E-03
    6.8500000E+00    3.9590467E-01   -2.4551902E+00   -6.8610449E+00   -2.5171560E+01    8.5729463E-03   -7.4553711E-03
    6.9500000E+00    4.0105372E-01   -2.4366213E+00   -6.8442137E+00   -2.5112763E+01    8.6294660E-03   -7.3987966E-03
    7.0500000E+00    4.0615119E-01   -2.4182011E+00   -6.8275066E+00   -2.5054343E+01    8.6866742E-03   -7.3415325E-03
    7.1500000E+00    4.1119818E-01   -2.3999266E+00   -6.8109212E+00   -2.4996290E+01    8.7445848E-03   -7.2835653E-03
    7.2500000E+00    4.1619575E-01   -2.3817949E+00   -6.7944551E+00   -2.4938599E+01    8.8032117E-03   -7.2248808E-03
    7.3500000E+00    4.2114493E-01   -2.3638032E+00   -6.7781061E+00   -2.4881260E+01    8.8625694E-03   -7.1654648E-03
    7.4500000E+00    4.2604672E-01   -2.3459490E+00   -6.7618717E+00   -2.4824269E+01    8.9226728E-03   -7.1053022E-03
    7.5500000E+00    4.3090209E-01   -2.3282295E+00   -6.7457499E+00   -2.4767617E+01    8.9835374E-03   -7.0443780E-03
    7.6500000E+00    4.3571197E-01   -2.3106421E+00   -6.7297385E+00   -2.4711299E+01    9.0451787E-03   -6.9826764E-03
    7.7500000E+00    4.4047727E-01   -2.2931845E+00   -6.7138354E+00   -2.4655307E+01    9.1076132E-03   -6.9201811E-03
    7.8500000E+00    4.4519887E-01   -2.2758542E+00   -6.6980386E+00   -2.4599635E+01    9.1708575E-03   -6.8568754E-03
    7.9500000E+00    4.4987763E-01   -2.2586489E+00   -6.6823463E+00   -2.4544279E+01    9.2349289E-03   -6.7927423E-03
    8.0500000E+00    4.5451439E-01   -2.2415662E+00   -6.6667564E+00   -2.4489230E+01    9.2998451E-03   -6.7277640E-03
    8.1500000E+00    4.5910993E-01   -2.2246040E+00   -6.6512670E+00   -2.4434485E+01    9.3656243E-03   -6.6619221E-03
    8.2500000E+00    4.6366505E-01   -2.2077600E+00   -6.6358765E+00   -2.4380036E+01    9.4322856E-03   -6.5951980E-03
    8.3500000E+00    4.6818051E-01   -2.1910322E+00   -6.6205830E+00   -2.4325879E+01    9.4998482E-03   -6.5275721E-03
    8.4500000E+00    4.7265705E-01   -2.1744186E+00   -6.6053847E+00   -2.4272008E+01    9.5683323E-03   -6.4590246E-03
