# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.4841009E+00   -5.4723143E+00   -3.9524922E+00   -4.5244178E+00   -3.9281841E+00   -4.2989716E+00   -7.9805040E+00   -1.5476406E+01   -6.6115294E+00   -6.9073666E+00   -8.0029259E+00   -4.1316046E+00   -2.6916847E+00   -2.9599218E+00   -3.5583599E+00   -8.7915956E+00   -1.1060826E+01   -8.0565583E+00   -3.6872609E+00   -1.6074214E+01   -9.6764322E+00   -8.3786930E+00   -8.8519350E+00   -9.7588501E+00   -1.3512744E+01   -1.5868046E+01   -8.3575055E+00   -1.1006289E+01   -1.3876597E+01   -9.1496389E+00   -8.6883216E+00   -1.1963410E+01   -7.3557689E+00
    1.5000000E-01    5.5265360E+00   -5.5194606E+00   -4.4218703E+00   -4.9828541E+00   -4.4094567E+00   -4.7685444E+00   -7.7213310E+00   -1.5959088E+01   -6.4764791E+00   -7.3738749E+00   -8.4712350E+00   -4.5568633E+00   -3.1779279E+00   -3.4426039E+00   -4.0410368E+00   -8.4100371E+00   -1.0594397E+01   -7.7324115E+00   -4.1361303E+00   -1.6434769E+01   -9.2473773E+00   -8.8986786E+00   -9.2398200E+00   -1.0689753E+01   -1.3923618E+01   -1.5860916E+01   -9.2994157E+00   -1.1853472E+01   -1.4298479E+01   -9.1122546E+00   -9.1097325E+00   -1.2834204E+01   -8.2639368E+00
    2.5000000E-01    5.5382992E+00   -5.5314939E+00   -4.4556467E+00   -5.0119945E+00   -4.4483869E+00   -4.8023511E+00   -7.7425342E+00   -1.5998649E+01   -6.3888197E+00   -7.4071949E+00   -8.5051975E+00   -4.5731759E+00   -3.2186401E+00   -3.4821641E+00   -4.0805966E+00   -8.4055608E+00   -1.0566395E+01   -7.7405436E+00   -4.1653639E+00   -1.6428690E+01   -9.2308533E+00   -8.9497144E+00   -9.2446539E+00   -1.0757881E+01   -1.3940708E+01   -1.5866122E+01   -9.3721819E+00   -1.1891515E+01   -1.4320207E+01   -9.1007755E+00   -9.1280480E+00   -1.2885168E+01   -8.3263793E+00
    3.5000000E-01    5.5452647E+00   -5.5384492E+00   -4.4527873E+00   -5.0058625E+00   -4.4492405E+00   -4.7995059E+00   -7.7782687E+00   -1.5999962E+01   -6.3161815E+00   -7.4042957E+00   -8.5026970E+00   -4.5583403E+00   -3.2206671E+00   -3.4834773E+00   -4.0819098E+00   -8.4274455E+00   -1.0574348E+01   -7.7693619E+00   -4.1604146E+00   -1.6399881E+01   -9.2457831E+00   -8.9580039E+00   -9.2228421E+00   -1.0753084E+01   -1.3927622E+01   -1.5871238E+01   -9.3706572E+00   -1.1866866E+01   -1.4310393E+01   -9.0937993E+00   -9.1161013E+00   -1.2870404E+01   -8.3185921E+00
    4.5000000E-01    5.5519924E+00   -5.5451575E+00   -4.4487473E+00   -4.9986846E+00   -4.4488234E+00   -4.7954777E+00   -7.8136984E+00   -1.5999997E+01   -6.2538347E+00   -7.4001913E+00   -8.4989415E+00   -4.5430215E+00   -3.2214031E+00   -3.4835130E+00   -4.0819454E+00   -8.4495740E+00   -1.0583022E+01   -7.7981577E+00   -4.1544026E+00   -1.6371026E+01   -9.2612044E+00   -8.9647877E+00   -9.2007753E+00   -1.0745982E+01   -1.3913737E+01   -1.5875912E+01   -9.3666936E+00   -1.1840799E+01   -1.4299646E+01   -9.0870513E+00   -9.1033013E+00   -1.2853645E+01   -8.3085807E+00
    5.5000000E-01    5.5586587E+00   -5.5518043E+00   -4.4447043E+00   -4.9915838E+00   -4.4483714E+00   -4.7914444E+00   -7.8484731E+00   -1.5999998E+01   -6.1991974E+00   -7.3960473E+00   -8.4951089E+00   -4.5281698E+00   -3.2221077E+00   -3.4835139E+00   -4.0819463E+00   -8.4711723E+00   -1.0591287E+01   -7.8263610E+00   -4.1484202E+00   -1.6342759E+01   -9.2761570E+00   -8.9714757E+00   -9.1792367E+00   -1.0738924E+01   -1.3899990E+01   -1.5880176E+01   -9.3626927E+00   -1.1815259E+01   -1.4288957E+01   -9.0803644E+00   -9.0905913E+00   -1.2836974E+01   -8.2985963E+00
    6.5000000E-01    5.5652697E+00   -5.5583956E+00   -4.4406895E+00   -4.9845871E+00   -4.4479179E+00   -4.7874375E+00   -7.8826183E+00   -1.5999998E+01   -6.1505576E+00   -7.3918971E+00   -8.4912369E+00   -4.5137799E+00   -3.2228151E+00   -3.4835140E+00   -4.0819462E+00   -8.4922518E+00   -1.0599145E+01   -7.8539902E+00   -4.1424961E+00   -1.6315065E+01   -9.2906462E+00   -8.9781075E+00   -9.1582151E+00   -1.0731969E+01   -1.3886404E+01   -1.5884060E+01   -9.3587192E+00   -1.1790264E+01   -1.4278352E+01   -9.0737328E+00   -9.0779948E+00   -1.2820444E+01   -8.2886986E+00
    7.5000000E-01    5.5718262E+00   -5.5649326E+00   -4.4367032E+00   -4.9776920E+00   -4.4474641E+00   -4.7834574E+00   -7.9161644E+00   -1.5999998E+01   -6.1067172E+00   -7.3877435E+00   -8.4873318E+00   -4.4998238E+00   -3.2235264E+00   -3.4835140E+00   -4.0819462E+00   -8.5128413E+00   -1.0606621E+01   -7.8810748E+00   -4.1366301E+00   -1.6287913E+01   -9.3046998E+00   -8.9846848E+00   -9.1376818E+00   -1.0725115E+01   -1.3872973E+01   -1.5887591E+01   -9.3547744E+00   -1.1765785E+01   -1.4267830E+01   -9.0671556E+00   -9.0655109E+00   -1.2804056E+01   -8.2788876E+00
    8.5000000E-01    5.5783291E+00   -5.5714158E+00   -4.4327452E+00   -4.9708956E+00   -4.4470097E+00   -4.7795036E+00   -7.9491401E+00   -1.5999998E+01   -6.0668047E+00   -7.3835879E+00   -8.4833986E+00   -4.4862758E+00   -3.2242414E+00   -3.4835140E+00   -4.0819461E+00   -8.5329676E+00   -1.0613742E+01   -7.9076426E+00   -4.1308215E+00   -1.6261277E+01   -9.3183438E+00   -8.9912085E+00   -9.1176102E+00   -1.0718360E+01   -1.3859694E+01   -1.5890795E+01   -9.3508577E+00   -1.1741797E+01   -1.4257390E+01   -9.0606321E+00   -9.0531380E+00   -1.2787807E+01   -8.2691621E+00
    9.5000000E-01    5.5847792E+00   -5.5778463E+00   -4.4288148E+00   -4.9641948E+00   -4.4465549E+00   -4.7755758E+00   -7.9815713E+00   -1.5999998E+01   -6.0301663E+00   -7.3794318E+00   -8.4794413E+00   -4.4731120E+00   -3.2249601E+00   -3.4835140E+00   -4.0819460E+00   -8.5526553E+00   -1.0620529E+01   -7.9337189E+00   -4.1250694E+00   -1.6235130E+01   -9.3316021E+00   -8.9976794E+00   -9.0979756E+00   -1.0711701E+01   -1.3846564E+01   -1.5893693E+01   -9.3469687E+00   -1.1718273E+01   -1.4247030E+01   -9.0541613E+00   -9.0408745E+00   -1.2771695E+01   -8.2595210E+00
