# Time          3.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5060351E+00   -5.4992107E+00   -4.4602797E+00   -5.0323154E+00   -4.4361143E+00   -4.8068860E+00   -7.5808537E+00   -1.5984338E+01   -7.1176346E+00   -7.4115042E+00   -8.5069550E+00   -4.6385118E+00   -3.2011618E+00   -3.4678540E+00   -4.0662869E+00   -8.3085610E+00   -1.0533923E+01   -7.6112199E+00   -4.1801295E+00   -1.6558474E+01   -9.1661376E+00   -8.9031610E+00   -9.3422337E+00   -1.0763933E+01   -1.3993314E+01   -1.5838324E+01   -9.3625456E+00   -1.1993768E+01   -1.4357125E+01   -9.1330195E+00   -9.1750179E+00   -1.2936851E+01   -8.3458181E+00
    1.5000000E-01    5.5006311E+00   -5.4921751E+00   -4.2612896E+00   -4.8308678E+00   -4.2396187E+00   -4.6078780E+00   -7.7588441E+00   -1.5788142E+01   -6.7002498E+00   -7.2148636E+00   -8.3107933E+00   -4.4302617E+00   -3.0046190E+00   -3.2716574E+00   -3.8700917E+00   -8.5103625E+00   -1.0746533E+01   -7.8024890E+00   -3.9872623E+00   -1.6354140E+01   -9.3750716E+00   -8.7033079E+00   -9.1376593E+00   -1.0369771E+01   -1.3799016E+01   -1.5855389E+01   -8.9708233E+00   -1.1593649E+01   -1.4165267E+01   -9.1366979E+00   -8.9824263E+00   -1.2552114E+01   -7.9574060E+00
    2.5000000E-01    5.5082394E+00   -5.4997638E+00   -4.2574233E+00   -4.8232914E+00   -4.2396794E+00   -4.6040341E+00   -7.8004070E+00   -1.5788671E+01   -6.4896662E+00   -7.2109494E+00   -8.3074642E+00   -4.4116618E+00   -3.0058734E+00   -3.2721867E+00   -3.8706210E+00   -8.5368654E+00   -1.0757819E+01   -7.8365381E+00   -3.9808875E+00   -1.6320240E+01   -9.3939871E+00   -8.7114667E+00   -9.1114302E+00   -1.0362766E+01   -1.3783853E+01   -1.5862850E+01   -8.9675282E+00   -1.1563595E+01   -1.4153813E+01   -9.1290686E+00   -8.9683810E+00   -1.2534285E+01   -7.9472065E+00
    3.5000000E-01    5.5226700E+00   -5.5148235E+00   -4.3263185E+00   -4.8868737E+00   -4.3143584E+00   -4.6729746E+00   -7.8006528E+00   -1.5864047E+01   -6.3681441E+00   -7.2792138E+00   -8.3765067E+00   -4.4599017E+00   -3.0825859E+00   -3.3475627E+00   -3.9459962E+00   -8.5032367E+00   -1.0695329E+01   -7.8193241E+00   -4.0438387E+00   -1.6342287E+01   -9.3452586E+00   -8.8005959E+00   -9.1459088E+00   -1.0500375E+01   -1.3832328E+01   -1.5867922E+01   -9.1104576E+00   -1.1665635E+01   -1.4207609E+01   -9.1153062E+00   -9.0188859E+00   -1.2651037E+01   -8.0777193E+00
    4.5000000E-01    5.5386245E+00   -5.5313350E+00   -4.3915724E+00   -4.9462254E+00   -4.3862170E+00   -4.7382723E+00   -7.8099457E+00   -1.5936715E+01   -6.2872540E+00   -7.3437514E+00   -8.4418502E+00   -4.5030184E+00   -3.1567921E+00   -3.4202306E+00   -4.0186635E+00   -8.4761815E+00   -1.0636365E+01   -7.8099733E+00   -4.1026800E+00   -1.6355846E+01   -9.3016592E+00   -8.8886220E+00   -9.1736605E+00   -1.0631206E+01   -1.3875129E+01   -1.5873036E+01   -9.2471973E+00   -1.1757466E+01   -1.4256318E+01   -9.0999404E+00   -9.0635226E+00   -1.2758592E+01   -8.2006391E+00
    5.5000000E-01    5.5515385E+00   -5.5445326E+00   -4.4258358E+00   -4.9754374E+00   -4.4262920E+00   -4.7725653E+00   -7.8350580E+00   -1.5977514E+01   -6.2252265E+00   -7.3775242E+00   -8.4762498E+00   -4.5189817E+00   -3.1988915E+00   -3.4610298E+00   -4.0594623E+00   -8.4732050E+00   -1.0607560E+01   -7.8207996E+00   -4.1321647E+00   -1.6347175E+01   -9.2854694E+00   -8.9420326E+00   -9.1770091E+00   -1.0700615E+01   -1.3891125E+01   -1.5877898E+01   -9.3216599E+00   -1.1794481E+01   -1.4277368E+01   -9.0873253E+00   -9.0809820E+00   -1.2809129E+01   -8.2637905E+00
    6.5000000E-01    5.5609427E+00   -5.5540322E+00   -4.4366537E+00   -4.9823371E+00   -4.4417281E+00   -4.7833998E+00   -7.8671021E+00   -1.5993534E+01   -6.1729509E+00   -7.3880594E+00   -8.4872107E+00   -4.5159817E+00   -3.2158921E+00   -3.4770495E+00   -4.0754818E+00   -8.4856804E+00   -1.0601227E+01   -7.8429777E+00   -4.1398616E+00   -1.6325767E+01   -9.2884402E+00   -8.9673548E+00   -9.1647055E+00   -1.0723332E+01   -1.3888519E+01   -1.5882183E+01   -9.3482960E+00   -1.1792795E+01   -1.4278682E+01   -9.0780214E+00   -9.0795732E+00   -1.2818139E+01   -8.2821049E+00
    7.5000000E-01    5.5684449E+00   -5.5615494E+00   -4.4371336E+00   -4.9795682E+00   -4.4461155E+00   -4.7838890E+00   -7.9005548E+00   -1.5998421E+01   -6.1267688E+00   -7.3883366E+00   -8.4877939E+00   -4.5052296E+00   -3.2215821E+00   -3.4819363E+00   -4.0803686E+00   -8.5040096E+00   -1.0604552E+01   -7.8688558E+00   -4.1380651E+00   -1.6300073E+01   -9.2992513E+00   -8.9797280E+00   -9.1464668E+00   -1.0725418E+01   -1.3878232E+01   -1.5885956E+01   -9.3536312E+00   -1.1775005E+01   -1.4271644E+01   -9.0705349E+00   -9.0703212E+00   -1.2809305E+01   -8.2807570E+00
    8.5000000E-01    5.5752229E+00   -5.5683165E+00   -4.4342885E+00   -4.9737678E+00   -4.4468889E+00   -4.7810497E+00   -7.9337774E+00   -1.5999661E+01   -6.0850663E+00   -7.3852948E+00   -8.4849983E+00   -4.4923293E+00   -3.2235619E+00   -3.4831769E+00   -4.0816091E+00   -8.5237632E+00   -1.0610750E+01   -7.8953533E+00   -4.1332553E+00   -1.6273571E+01   -9.3122385E+00   -8.9877581E+00   -9.1267770E+00   -1.0720881E+01   -1.3865666E+01   -1.5889332E+01   -9.3520496E+00   -1.1752493E+01   -1.4262032E+01   -9.0637454E+00   -9.0586993E+00   -1.2794883E+01   -8.2731250E+00
    9.5000000E-01    5.5817560E+00   -5.5748318E+00   -4.4305906E+00   -4.9672483E+00   -4.4467040E+00   -4.7773552E+00   -7.9664721E+00   -1.5999934E+01   -6.0469571E+00   -7.3813808E+00   -8.4812968E+00   -4.4791669E+00   -3.2245578E+00   -3.4834497E+00   -4.0818818E+00   -8.5435331E+00   -1.0617453E+01   -7.9216008E+00   -4.1276995E+00   -1.6247268E+01   -9.3254940E+00   -8.9945827E+00   -9.1070629E+00   -1.0714672E+01   -1.3852632E+01   -1.5892375E+01   -9.3486618E+00   -1.1729118E+01   -1.4251820E+01   -9.0571937E+00   -9.0465549E+00   -1.2779115E+01   -8.2639085E+00
