# Time series at grid cell: 140   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                8.70543443110703E-05   3.43671919536330E-05   4.13154465021445E-05   3.97486255511699E-05   4.00066997353326E-10   1.00000313914960E-16   1.24243127756687E-05   1.80536054167660E-04   6.70700700810520E-04   6.18921456022320E+00   1.22446677812819E-07   9.69783536214390E-09
  2.00000E-02                8.70559780965965E-05   3.43679258543940E-05   4.13156286552140E-05   3.97493954709141E-05   4.00040565670277E-10   1.00000313914960E-16   1.24246977355408E-05   1.80540800068906E-04   6.70700700810520E-04   6.18922902514509E+00   1.22449917992677E-07   9.69809235375956E-09
  3.00000E-02                8.70576118820085E-05   3.43686597534244E-05   4.13158108082707E-05   3.97501653905950E-05   4.00014136643223E-10   1.00000313914960E-16   1.24250826953813E-05   1.80545545966469E-04   6.70700700810519E-04   6.18924348990323E+00   1.22453158183319E-07   9.69834934619781E-09
  4.00000E-02                8.70592456673060E-05   3.43693936507239E-05   4.13159929613147E-05   3.97509353102127E-05   3.99987710262717E-10   1.00000313914960E-16   1.24254676551902E-05   1.80550291860347E-04   6.70700700810519E-04   6.18925795450042E+00   1.22456398384746E-07   9.69860633945880E-09
  5.00000E-02                8.70608794524893E-05   3.43701275462925E-05   4.13161751143459E-05   3.97517052297672E-05   3.99961286528394E-10   1.00000313914960E-16   1.24258526149674E-05   1.80555037750539E-04   6.70700700810520E-04   6.18927241893668E+00   1.22459638596958E-07   9.69886333354253E-09
  5.00010E-02                8.70608796155950E-05   3.43701276195596E-05   4.13161751325309E-05   3.97517053066307E-05   3.99961292742247E-10   1.00000313914960E-16   1.24258526533991E-05   1.80555038224345E-04   6.70700700810531E-04   6.18927234572474E+00   1.22459638920498E-07   9.69886335920390E-09
  5.00030E-02                8.70608799418067E-05   3.43701277660937E-05   4.13161751689008E-05   3.97517054603576E-05   3.99961303938443E-10   1.00000313914960E-16   1.24258527302626E-05   1.80555039171955E-04   6.70700700810518E-04   6.18927234861750E+00   1.22459639567570E-07   9.69886341052596E-09
  5.00070E-02                8.70608805942298E-05   3.43701280591620E-05   4.13161752416404E-05   3.97517057678113E-05   3.99961322044176E-10   1.00000313914960E-16   1.24258528839895E-05   1.80555041067171E-04   6.70700700810519E-04   6.18927235440859E+00   1.22459640861685E-07   9.69886351316777E-09
  5.00150E-02                8.70608818990763E-05   3.43701286452985E-05   4.13161753871195E-05   3.97517063827189E-05   3.99961345051635E-10   1.00000313914960E-16   1.24258531914432E-05   1.80555044857590E-04   6.70700700810519E-04   6.18927236599074E+00   1.22459643449825E-07   9.69886371844412E-09
  5.00309E-02                8.70608845087694E-05   3.43701298175714E-05   4.13161756780779E-05   3.97517076125340E-05   3.99961358001843E-10   1.00000313914960E-16   1.24258538063508E-05   1.80555052438395E-04   6.70700700810519E-04   6.18927238915490E+00   1.22459648625883E-07   9.69886412897860E-09
  5.00629E-02                8.70608897281553E-05   3.43701321621173E-05   4.13161762599947E-05   3.97517100721642E-05   3.99961323639641E-10   1.00000313914960E-16   1.24258550361659E-05   1.80555067599945E-04   6.70700700810519E-04   6.18927243548302E+00   1.22459658977593E-07   9.69886495001447E-09
  5.01268E-02                8.70609001669278E-05   3.43701368512091E-05   4.13161774238282E-05   3.97517149914248E-05   3.99961183796674E-10   1.00000313914960E-16   1.24258574957963E-05   1.80555097922974E-04   6.70700700810522E-04   6.18927252813902E+00   1.22459679680534E-07   9.69886659204731E-09
  5.02546E-02                8.70609210444735E-05   3.43701462293928E-05   4.13161797514953E-05   3.97517248299463E-05   3.99960854884056E-10   1.00000313914960E-16   1.24258624150573E-05   1.80555158568986E-04   6.70700700810533E-04   6.18927271345083E+00   1.22459721086089E-07   9.69886987608623E-09
  5.05101E-02                8.70609627995686E-05   3.43701649857612E-05   4.13161844068295E-05   3.97517445069912E-05   3.99960178409358E-10   1.00000313914960E-16   1.24258722535809E-05   1.80555279861004E-04   6.70700700810573E-04   6.18927308407430E+00   1.22459803897091E-07   9.69887644415524E-09
  5.10213E-02                8.70610463097734E-05   3.43702024985010E-05   4.13161937174984E-05   3.97517838610881E-05   3.99958821756236E-10   1.00000313914960E-16   1.24258919306337E-05   1.80555522445088E-04   6.70700700810737E-04   6.18927382532092E+00   1.22459969519140E-07   9.69888958029670E-09
  5.20436E-02                8.70612133302422E-05   3.43702775239930E-05   4.13162123388374E-05   3.97518625693105E-05   3.99956108091932E-10   1.00000313914960E-16   1.24259312847624E-05   1.80556007613461E-04   6.70700700811390E-04   6.18927530781286E+00   1.22460300763517E-07   9.69891585260137E-09
  5.40882E-02                8.70615473714153E-05   3.43704275750277E-05   4.13162495815214E-05   3.97520199858694E-05   3.99950680824191E-10   1.00000313914960E-16   1.24260099931119E-05   1.80556977951031E-04   6.70700700814000E-04   6.18927827279162E+00   1.22460963253394E-07   9.69896839729848E-09
  5.81773E-02                8.70622154521393E-05   3.43707276759882E-05   4.13163240668452E-05   3.97523348181974E-05   3.99939826645644E-10   1.00000313914960E-16   1.24261674091825E-05   1.80558918619034E-04   6.70700700810519E-04   6.18928420272867E+00   1.22462288230475E-07   9.69907348647474E-09
  6.63557E-02                8.70635516147934E-05   3.43713278774045E-05   4.13164730375178E-05   3.97529644834345E-05   3.99918119613340E-10   1.00000313914960E-16   1.24264822418010E-05   1.80562799957787E-04   6.70700700810520E-04   6.18929606252083E+00   1.22464938195444E-07   9.69928366566306E-09
  7.63557E-02                8.70651853996755E-05   3.43720617684104E-05   4.13166551905154E-05   3.97537344028222E-05   3.99891657840403E-10   1.00000313914960E-16   1.24268672014949E-05   1.80567545838221E-04   6.70700700810520E-04   6.18931054013508E+00   1.22468178435783E-07   9.69954066189092E-09
  8.63557E-02                8.70668191844432E-05   3.43727956576847E-05   4.13168373435004E-05   3.97545043221467E-05   3.99865243601986E-10   1.00000313914960E-16   1.24272521611571E-05   1.80572291715014E-04   6.70700700810520E-04   6.18932500398684E+00   1.22471418687213E-07   9.69979765896653E-09
  9.63557E-02                8.70684529690967E-05   3.43735295452275E-05   4.13170194964725E-05   3.97552742414080E-05   3.99838832129593E-10   1.00000313914960E-16   1.24276371207878E-05   1.80577037588121E-04   6.70700700810519E-04   6.18933946767721E+00   1.22474658949435E-07   9.70005465686535E-09
  1.00000E-01                8.70690483767469E-05   3.43737969990158E-05   4.13170858793174E-05   3.97555548266218E-05   3.99829362638257E-10   1.00000313914960E-16   1.24277774133946E-05   1.80578767148183E-04   6.70700700810519E-04   6.18934469125607E+00   1.22475839815591E-07   9.70014831598725E-09
  1.07289E-01                8.70702391919867E-05   3.43743319056710E-05   4.13172186450003E-05   3.97561159970157E-05   3.99810026367087E-10   1.00000313914960E-16   1.24280579985916E-05   1.80582226265945E-04   6.70700700810519E-04   6.18935526045803E+00   1.22478201550958E-07   9.70033563445010E-09
  1.17289E-01                8.70718729764009E-05   3.43750657895884E-05   4.13174007979458E-05   3.97568859161445E-05   3.99783553633157E-10   1.00000313914960E-16   1.24284429581560E-05   1.80586972131268E-04   6.70700700810519E-04   6.18936974405512E+00   1.22481441835319E-07   9.70059263403562E-09
  1.27289E-01                8.70735067607008E-05   3.43757996717738E-05   4.13175829508786E-05   3.97576558352101E-05   3.99757150159149E-10   1.00000313914960E-16   1.24288279176888E-05   1.80591717992970E-04   6.70700700810520E-04   6.18938420724864E+00   1.22484682130921E-07   9.70084963448117E-09
  1.37289E-01                8.70751405448864E-05   3.43765335522269E-05   4.13177651037986E-05   3.97584257542124E-05   3.99730749508519E-10   1.00000313914960E-16   1.24292128771900E-05   1.80596463850984E-04   6.70700700810520E-04   6.18939867028055E+00   1.22487922437318E-07   9.70110663575034E-09
  1.47289E-01                8.70767743289577E-05   3.43772674309476E-05   4.13179472567059E-05   3.97591956731515E-05   3.99704351501335E-10   1.00000313914960E-16   1.24295978366595E-05   1.80601209705311E-04   6.70700700810520E-04   6.18941313315163E+00   1.22491162754510E-07   9.70136363784310E-09
  1.57289E-01                8.70784081129147E-05   3.43780013079359E-05   4.13181294096005E-05   3.97599655920273E-05   3.99677956136788E-10   1.00000313914960E-16   1.24299827960974E-05   1.80605955555950E-04   6.70700700810520E-04   6.18942759586188E+00   1.22494403082497E-07   9.70162064075954E-09
  1.67289E-01                8.70800418967574E-05   3.43787351831915E-05   4.13183115624823E-05   3.97607355108399E-05   3.99651563414549E-10   1.00000313914960E-16   1.24303677555037E-05   1.80610701402900E-04   6.70700700810520E-04   6.18944205841131E+00   1.22497643421281E-07   9.70187764449974E-09
  1.77289E-01                8.70816756804857E-05   3.43794690567143E-05   4.13184937153514E-05   3.97615054295892E-05   3.99625173334287E-10   1.00000313914960E-16   1.24307527148784E-05   1.80615447246162E-04   6.70700700810518E-04   6.18945652079994E+00   1.22500883770863E-07   9.70213464906380E-09
  1.87289E-01                8.70833094640998E-05   3.43802029285042E-05   4.13186758682076E-05   3.97622753482752E-05   3.99598785895664E-10   1.00000313914960E-16   1.24311376742214E-05   1.80620193085734E-04   6.70700700810519E-04   6.18947098302778E+00   1.22504124131243E-07   9.70239165445181E-09
  1.97289E-01                8.70849432475996E-05   3.43809367985610E-05   4.13188580210511E-05   3.97630452668980E-05   3.99572401098358E-10   1.00000313914960E-16   1.24315226335328E-05   1.80624938921618E-04   6.70700700810519E-04   6.18948544509483E+00   1.22507364502422E-07   9.70264866066385E-09
  2.07289E-01                8.70865770309851E-05   3.43816706668845E-05   4.13190401738820E-05   3.97638151854575E-05   3.99546018942034E-10   1.00000313914960E-16   1.24319075928126E-05   1.80629684753812E-04   6.70700700810520E-04   6.18949990700111E+00   1.22510604884402E-07   9.70290566769998E-09
  2.17289E-01                8.70882108142563E-05   3.43824045334746E-05   4.13192223267001E-05   3.97645851039538E-05   3.99519639426362E-10   1.00000313914960E-16   1.24322925520607E-05   1.80634430582316E-04   6.70700700810519E-04   6.18951436874662E+00   1.22513845277183E-07   9.70316267556030E-09
  2.27289E-01                8.70898445974130E-05   3.43831383983313E-05   4.13194044795054E-05   3.97653550223869E-05   3.99493262551018E-10   1.00000313914960E-16   1.24326775112773E-05   1.80639176407130E-04   6.70700700810519E-04   6.18952883033138E+00   1.22517085680767E-07   9.70341968424489E-09
  2.37289E-01                8.70914783804558E-05   3.43838722614543E-05   4.13195866322980E-05   3.97661249407567E-05   3.99466888315658E-10   1.00000313914960E-16   1.24330624704622E-05   1.80643922228253E-04   6.70700700810518E-04   6.18954329175540E+00   1.22520326095153E-07   9.70367669375386E-09
  2.47289E-01                8.70931121633840E-05   3.43846061228435E-05   4.13197687850778E-05   3.97668948590632E-05   3.99440516719965E-10   1.00000313914960E-16   1.24334474296154E-05   1.80648668045686E-04   6.70700700810519E-04   6.18955775301868E+00   1.22523566520344E-07   9.70393370408727E-09
  2.57289E-01                8.70947459461979E-05   3.43853399824987E-05   4.13199509378449E-05   3.97676647773065E-05   3.99414147763600E-10   1.00000313914960E-16   1.24338323887371E-05   1.80653413859428E-04   6.70700700810519E-04   6.18957221412124E+00   1.22526806956340E-07   9.70419071524520E-09
  2.67289E-01                8.70963797288975E-05   3.43860738404198E-05   4.13201330905993E-05   3.97684346954865E-05   3.99387781446242E-10   1.00000313914960E-16   1.24342173478271E-05   1.80658159669479E-04   6.70700700810518E-04   6.18958667506308E+00   1.22530047403141E-07   9.70444772722776E-09
  2.77289E-01                8.70980135114829E-05   3.43868076966068E-05   4.13203152433409E-05   3.97692046136033E-05   3.99361417767546E-10   1.00000313914960E-16   1.24346023068855E-05   1.80662905475837E-04   6.70700700810519E-04   6.18960113584423E+00   1.22533287860750E-07   9.70470474003502E-09
  2.87289E-01                8.70996472939539E-05   3.43875415510593E-05   4.13204973960697E-05   3.97699745316568E-05   3.99335056727195E-10   1.00000313914960E-16   1.24349872659123E-05   1.80667651278505E-04   6.70700700810520E-04   6.18961559646468E+00   1.22536528329167E-07   9.70496175366708E-09
  2.97289E-01                8.71012810763105E-05   3.43882754037774E-05   4.13206795487859E-05   3.97707444496471E-05   3.99308698324855E-10   1.00000313914960E-16   1.24353722249074E-05   1.80672397077480E-04   6.70700700810520E-04   6.18963005692445E+00   1.22539768808392E-07   9.70521876812400E-09
  3.07289E-01                8.71029148585530E-05   3.43890092547607E-05   4.13208617014892E-05   3.97715143675741E-05   3.99282342560193E-10   1.00000313914960E-16   1.24357571838709E-05   1.80677142872763E-04   6.70700700810520E-04   6.18964451722355E+00   1.22543009298428E-07   9.70547578340590E-09
  3.17289E-01                8.71045486406812E-05   3.43897431040092E-05   4.13210438541799E-05   3.97722842854379E-05   3.99255989432884E-10   1.00000313914960E-16   1.24361421428028E-05   1.80681888664353E-04   6.70700700810520E-04   6.18965897736198E+00   1.22546249799274E-07   9.70573279951282E-09
  3.27289E-01                8.71061824226950E-05   3.43904769515228E-05   4.13212260068577E-05   3.97730542032384E-05   3.99229638942597E-10   1.00000313914960E-16   1.24365271017030E-05   1.80686634452250E-04   6.70700700810520E-04   6.18967343733976E+00   1.22549490310932E-07   9.70598981644489E-09
  3.37289E-01                8.71078162045945E-05   3.43912107973012E-05   4.13214081595229E-05   3.97738241209757E-05   3.99203291088998E-10   1.00000313914960E-16   1.24369120605717E-05   1.80691380236454E-04   6.70700700810519E-04   6.18968789715690E+00   1.22552730833402E-07   9.70624683420215E-09
  3.47289E-01                8.71094499863797E-05   3.43919446413445E-05   4.13215903121753E-05   3.97745940386497E-05   3.99176945871762E-10   1.00000313914960E-16   1.24372970194087E-05   1.80696126016964E-04   6.70700700810519E-04   6.18970235681341E+00   1.22555971366686E-07   9.70650385278473E-09
  3.57289E-01                8.71110837680506E-05   3.43926784836523E-05   4.13217724648149E-05   3.97753639562605E-05   3.99150603290555E-10   1.00000313914960E-16   1.24376819782140E-05   1.80700871793780E-04   6.70700700810519E-04   6.18971681630930E+00   1.22559211910785E-07   9.70676087219266E-09
  3.67289E-01                8.71127175496072E-05   3.43934123242246E-05   4.13219546174418E-05   3.97761338738080E-05   3.99124263345054E-10   1.00000313914960E-16   1.24380669369878E-05   1.80705617566902E-04   6.70700700810518E-04   6.18973127564458E+00   1.22562452465699E-07   9.70701789242608E-09
  3.77289E-01                8.71143513310494E-05   3.43941461630611E-05   4.13221367700560E-05   3.97769037912923E-05   3.99097926034919E-10   1.00000313914960E-16   1.24384518957299E-05   1.80710363336330E-04   6.70700700810520E-04   6.18974573481926E+00   1.22565693031429E-07   9.70727491348507E-09
  3.87289E-01                8.71159851123774E-05   3.43948800001620E-05   4.13223189226574E-05   3.97776737087133E-05   3.99071591359826E-10   1.00000313914960E-16   1.24388368544404E-05   1.80715109102063E-04   6.70700700810520E-04   6.18976019383335E+00   1.22568933607977E-07   9.70753193536968E-09
  3.97289E-01                8.71176188935911E-05   3.43956138355268E-05   4.13225010752461E-05   3.97784436260710E-05   3.99045259319450E-10   1.00000313914960E-16   1.24392218131193E-05   1.80719854864100E-04   6.70700700810519E-04   6.18977465268685E+00   1.22572174195343E-07   9.70778895808002E-09
  4.07289E-01                8.71192526746905E-05   3.43963476691556E-05   4.13226832278221E-05   3.97792135433654E-05   3.99018929913453E-10   1.00000313914960E-16   1.24396067717665E-05   1.80724600622443E-04   6.70700700810519E-04   6.18978911137979E+00   1.22575414793529E-07   9.70804598161618E-09
  4.17289E-01                8.71208864556757E-05   3.43970815010480E-05   4.13228653803852E-05   3.97799834605967E-05   3.98992603141513E-10   1.00000313914960E-16   1.24399917303821E-05   1.80729346377090E-04   6.70700700810518E-04   6.18980356991216E+00   1.22578655402535E-07   9.70830300597821E-09
  4.27289E-01                8.71225202365465E-05   3.43978153312041E-05   4.13230475329357E-05   3.97807533777646E-05   3.98966279003294E-10   1.00000313914960E-16   1.24403766889661E-05   1.80734092128041E-04   6.70700700810519E-04   6.18981802828399E+00   1.22581896022362E-07   9.70856003116624E-09
  4.37289E-01                8.71241540173030E-05   3.43985491596236E-05   4.13232296854734E-05   3.97815232948693E-05   3.98939957498469E-10   1.00000313914960E-16   1.24407616475184E-05   1.80738837875296E-04   6.70700700810518E-04   6.18983248649528E+00   1.22585136653011E-07   9.70881705718033E-09
  4.47289E-01                8.71257877979451E-05   3.43992829863064E-05   4.13234118379983E-05   3.97822932119107E-05   3.98913638626712E-10   1.00000313914960E-16   1.24411466060391E-05   1.80743583618854E-04   6.70700700810519E-04   6.18984694454603E+00   1.22588377294483E-07   9.70907408402056E-09
