# Time series at grid cell:  30   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                4.41106426809482E-05   1.42265559215699E-05   3.65275921957348E-05   1.98587523120808E-05   8.68072273776292E-09   1.00000313914832E-16   2.47937615613392E-06   5.41027433859288E-05   6.70700700809667E-04   5.70378322209243E+00   5.04088452241622E-08   3.99012765714816E-09
  2.00000E-02                4.41119653228353E-05   1.42272030156937E-05   3.65277396589579E-05   1.98593512404483E-05   8.67920881339064E-09   1.00000313914832E-16   2.47967562031767E-06   5.41066895840307E-05   6.70700700809667E-04   5.70380418365195E+00   5.04105857676765E-08   3.99026465822403E-09
  3.00000E-02                4.41132879646198E-05   1.42278501097392E-05   3.65278871221696E-05   1.98599501687600E-05   8.67769524190052E-09   1.00000313914832E-16   2.47997508447353E-06   5.41106357821239E-05   6.70700700809667E-04   5.70382514451612E+00   5.04123263131998E-08   3.99040165970430E-09
  4.00000E-02                4.41146106063016E-05   1.42284972037065E-05   3.65280345853698E-05   1.98605490970160E-05   8.67618202186068E-09   1.00000313914832E-16   2.48027454860152E-06   5.41145819802072E-05   6.70700700809667E-04   5.70384610469538E+00   5.04140668607225E-08   3.99053866158812E-09
  5.00000E-02                4.41159332478809E-05   1.42291442975955E-05   3.65281820485586E-05   1.98611480252162E-05   8.67466915312852E-09   1.00000313914832E-16   2.48057401270163E-06   5.41185281782802E-05   6.70700700809667E-04   5.70386706418980E+00   5.04158074102438E-08   3.99067566387533E-09
  5.00010E-02                4.41159333799242E-05   1.42291443621969E-05   3.65281820632803E-05   1.98611480850090E-05   8.67466903600932E-09   1.00000313914832E-16   2.48057404259805E-06   5.41185285722754E-05   6.70700700809672E-04   5.70386699187332E+00   5.04158075842369E-08   3.99067567757131E-09
  5.00030E-02                4.41159336440109E-05   1.42291444913996E-05   3.65281820927238E-05   1.98611482045947E-05   8.67466880134313E-09   1.00000313914832E-16   2.48057410239090E-06   5.41185293602651E-05   6.70700700809667E-04   5.70386699605590E+00   5.04158079322204E-08   3.99067570496305E-09
  5.00070E-02                4.41159341721845E-05   1.42291447498052E-05   3.65281821516106E-05   1.98611484437661E-05   8.67466833030159E-09   1.00000313914832E-16   2.48057422197660E-06   5.41185309362431E-05   6.70700700809667E-04   5.70386700444188E+00   5.04158086281757E-08   3.99067575974560E-09
  5.00150E-02                4.41159352285316E-05   1.42291452666162E-05   3.65281822693842E-05   1.98611489221089E-05   8.67466738154048E-09   1.00000313914832E-16   2.48057446114801E-06   5.41185340881923E-05   6.70700700809668E-04   5.70386702121376E+00   5.04158100200412E-08   3.99067586930703E-09
  5.00309E-02                4.41159373412258E-05   1.42291463002383E-05   3.65281825049315E-05   1.98611498787945E-05   8.67466545859389E-09   1.00000313914832E-16   2.48057493949083E-06   5.41185403920652E-05   6.70700700809667E-04   5.70386705475725E+00   5.04158128036007E-08   3.99067608841592E-09
  5.00629E-02                4.41159415666143E-05   1.42291483674824E-05   3.65281829760260E-05   1.98611517921658E-05   8.67466152035953E-09   1.00000313914832E-16   2.48057589617654E-06   5.41185529997192E-05   6.70700700809668E-04   5.70386712184322E+00   5.04158183700968E-08   3.99067652658301E-09
  5.01268E-02                4.41159500173916E-05   1.42291525019711E-05   3.65281839182152E-05   1.98611556189083E-05   8.67465333676123E-09   1.00000313914832E-16   2.48057780954825E-06   5.41185782147213E-05   6.70700700809671E-04   5.70386725601177E+00   5.04158295010186E-08   3.99067740274852E-09
  5.02546E-02                4.41159669189475E-05   1.42291607709492E-05   3.65281858025933E-05   1.98611632723940E-05   8.67463609534673E-09   1.00000313914832E-16   2.48058163629276E-06   5.41186286438581E-05   6.70700700809682E-04   5.70386752433924E+00   5.04158517569687E-08   3.99067915459954E-09
  5.05101E-02                4.41160007220639E-05   1.42291773089090E-05   3.65281895713499E-05   1.98611785793677E-05   8.67459968116969E-09   1.00000313914832E-16   2.48058928978620E-06   5.41187295002305E-05   6.70700700809729E-04   5.70386806097276E+00   5.04158962558520E-08   3.99068265724146E-09
  5.10213E-02                4.41160683283160E-05   1.42292103848429E-05   3.65281971088633E-05   1.98612091933235E-05   8.67452390576371E-09   1.00000313914832E-16   2.48060459679071E-06   5.41189312101610E-05   6.70700700809916E-04   5.70386913420631E+00   5.04159852337730E-08   3.99068966090933E-09
  5.20436E-02                4.41162035408968E-05   1.42292765367674E-05   3.65282121838910E-05   1.98612704212701E-05   8.67436957808232E-09   1.00000313914832E-16   2.48063521087027E-06   5.41193346277980E-05   6.70700700810663E-04   5.70387128063777E+00   5.04161631709993E-08   3.99070366673096E-09
  5.40882E-02                4.41164739663651E-05   1.42294088408438E-05   3.65282423339507E-05   1.98613928773024E-05   8.67405944768758E-09   1.00000313914832E-16   2.48069643931160E-06   5.41201414638314E-05   6.70700700813650E-04   5.70387557346311E+00   5.04165190359459E-08   3.99073167760850E-09
  5.81773E-02                4.41170148152117E-05   1.42296734474459E-05   3.65283026340370E-05   1.98616377884140E-05   8.67343880762650E-09   1.00000313914832E-16   2.48081889430052E-06   5.41217551204357E-05   6.70700700809667E-04   5.70388415902322E+00   5.04172307601779E-08   3.99078769895265E-09
  6.63557E-02                4.41180965144943E-05   1.42302026618279E-05   3.65284232342268E-05   1.98621276113549E-05   8.67219764039926E-09   1.00000313914832E-16   2.48106380577097E-06   5.41249824455325E-05   6.70700700809667E-04   5.70390132979887E+00   5.04186542115894E-08   3.99089974203387E-09
  7.63557E-02                4.41194191558032E-05   1.42308497555107E-05   3.65285706973855E-05   1.98627265394082E-05   8.67068363616214E-09   1.00000313914832E-16   2.48136326979760E-06   5.41289286415123E-05   6.70700700809667E-04   5.70392230102676E+00   5.04203947524780E-08   3.99103674425160E-09
  8.63557E-02                4.41207417970094E-05   1.42314968491152E-05   3.65287181605327E-05   1.98633254674057E-05   8.66917198052125E-09   1.00000313914832E-16   2.48166273379636E-06   5.41328748394839E-05   6.70700700809667E-04   5.70394325803312E+00   5.04221353088342E-08   3.99117374796946E-09
  9.63557E-02                4.41220644381131E-05   1.42321439426413E-05   3.65288656236685E-05   1.98639243953474E-05   8.66766073703459E-09   1.00000313914832E-16   2.48196219776723E-06   5.41368210375062E-05   6.70700700809666E-04   5.70396421435355E+00   5.04238758676000E-08   3.99131075212376E-09
  1.00000E-01                4.41225464542881E-05   1.42323797659048E-05   3.65289193643367E-05   1.98641426654081E-05   8.66711635254512E-09   1.00000313914832E-16   2.48207133279758E-06   5.41382591749576E-05   6.70700700809666E-04   5.70397180416506E+00   5.04245102303192E-08   3.99136068470258E-09
  1.07289E-01                4.41235104865838E-05   1.42328514123902E-05   3.65290268456669E-05   1.98645792054999E-05   8.66601194149100E-09   1.00000313914832E-16   2.48228960284348E-06   5.41411354339877E-05   6.70700700809666E-04   5.70398710504600E+00   5.04257788500804E-08   3.99146054138013E-09
  1.17289E-01                4.41248331274727E-05   1.42334985057525E-05   3.65291743087788E-05   1.98651781333250E-05   8.66449847817954E-09   1.00000313914832E-16   2.48258906675600E-06   5.41450816290262E-05   6.70700700809666E-04   5.70400808008129E+00   5.04275193931034E-08   3.99159754475457E-09
  1.27289E-01                4.41261557682590E-05   1.42341455990364E-05   3.65293217718791E-05   1.98657770610942E-05   8.66298823055803E-09   1.00000313914832E-16   2.48288853064063E-06   5.41490278269256E-05   6.70700700809666E-04   5.70402903428635E+00   5.04292599574417E-08   3.99173455010509E-09
  1.37289E-01                4.41274784089427E-05   1.42347926922421E-05   3.65294692349681E-05   1.98663759888078E-05   8.66147842125746E-09   1.00000313914832E-16   2.48318799449739E-06   5.41529740249019E-05   6.70700700809665E-04   5.70404998780500E+00   5.04310005243669E-08   3.99187155590607E-09
  1.47289E-01                4.41288010495238E-05   1.42354397853694E-05   3.65296166980456E-05   1.98669749164655E-05   8.65996896496105E-09   1.00000313914832E-16   2.48348745832626E-06   5.41569202228696E-05   6.70700700809665E-04   5.70407094063934E+00   5.04327410933033E-08   3.99200856211058E-09
  1.57289E-01                4.41301236900023E-05   1.42360868784183E-05   3.65297641611117E-05   1.98675738440675E-05   8.65845985896526E-09   1.00000313914832E-16   2.48378692212726E-06   5.41608664208260E-05   6.70700700809665E-04   5.70409189278938E+00   5.04344816642329E-08   3.99214556871705E-09
  1.67289E-01                4.41314463303781E-05   1.42367339713889E-05   3.65299116241663E-05   1.98681727716137E-05   8.65695110308974E-09   1.00000313914832E-16   2.48408638590038E-06   5.41648126187708E-05   6.70700700809665E-04   5.70411284425519E+00   5.04362222371548E-08   3.99228257572530E-09
  1.77289E-01                4.41327689706514E-05   1.42373810642812E-05   3.65300590872095E-05   1.98687716991042E-05   8.65544269723061E-09   1.00000313914832E-16   2.48438584964561E-06   5.41687588167038E-05   6.70700700809666E-04   5.70413379503680E+00   5.04379628120684E-08   3.99241958313519E-09
  1.87289E-01                4.41340916108221E-05   1.42380281570951E-05   3.65302065502412E-05   1.98693706265389E-05   8.65393464128703E-09   1.00000313914832E-16   2.48468531336297E-06   5.41727050146251E-05   6.70700700809665E-04   5.70415474513428E+00   5.04397033889730E-08   3.99255659094657E-09
  1.97289E-01                4.41354142508901E-05   1.42386752498307E-05   3.65303540132615E-05   1.98699695539179E-05   8.65242693515771E-09   1.00000313914832E-16   2.48498477705245E-06   5.41766512125345E-05   6.70700700809665E-04   5.70417569454768E+00   5.04414439678684E-08   3.99269359915933E-09
  2.07289E-01                4.41367368908556E-05   1.42393223424878E-05   3.65305014762704E-05   1.98705684812411E-05   8.65091957874167E-09   1.00000313914832E-16   2.48528424071405E-06   5.41805974104318E-05   6.70700700809665E-04   5.70419664327704E+00   5.04431845487536E-08   3.99283060777333E-09
  2.17289E-01                4.41380595307185E-05   1.42399694350666E-05   3.65306489392678E-05   1.98711674085085E-05   8.64941257193792E-09   1.00000313914832E-16   2.48558370434777E-06   5.41845436083170E-05   6.70700700809665E-04   5.70421759132242E+00   5.04449251316284E-08   3.99296761678841E-09
  2.27289E-01                4.41393821704788E-05   1.42406165275670E-05   3.65307964022538E-05   1.98717663357202E-05   8.64790591464545E-09   1.00000313914832E-16   2.48588316795362E-06   5.41884898061899E-05   6.70700700809665E-04   5.70423853868387E+00   5.04466657164922E-08   3.99310462620446E-09
  2.37289E-01                4.41407048101365E-05   1.42412636199890E-05   3.65309438652284E-05   1.98723652628761E-05   8.64639960676334E-09   1.00000313914832E-16   2.48618263153158E-06   5.41924360040504E-05   6.70700700809665E-04   5.70425948536145E+00   5.04484063033443E-08   3.99324163602131E-09
  2.47289E-01                4.41420274496915E-05   1.42419107123326E-05   3.65310913281915E-05   1.98729641899763E-05   8.64489364819079E-09   1.00000313914832E-16   2.48648209508167E-06   5.41963822018984E-05   6.70700700809666E-04   5.70428043135519E+00   5.04501468921843E-08   3.99337864623886E-09
  2.57289E-01                4.41433500891440E-05   1.42425578045978E-05   3.65312387911432E-05   1.98735631170207E-05   8.64338803882686E-09   1.00000313914832E-16   2.48678155860387E-06   5.42003283997337E-05   6.70700700809665E-04   5.70430137666517E+00   5.04518874830117E-08   3.99351565685696E-09
  2.67289E-01                4.41446727284939E-05   1.42432048967845E-05   3.65313862540835E-05   1.98741620440093E-05   8.64188277857086E-09   1.00000313914832E-16   2.48708102209820E-06   5.42042745975563E-05   6.70700700809665E-04   5.70432232129142E+00   5.04536280758258E-08   3.99365266787547E-09
  2.77289E-01                4.41459953677413E-05   1.42438519888928E-05   3.65315337170123E-05   1.98747609709422E-05   8.64037786732183E-09   1.00000313914832E-16   2.48738048556464E-06   5.42082207953661E-05   6.70700700809665E-04   5.70434326523400E+00   5.04553686706262E-08   3.99378967929427E-09
  2.87289E-01                4.41473180068859E-05   1.42444990809227E-05   3.65316811799297E-05   1.98753598978193E-05   8.63887330497907E-09   1.00000313914832E-16   2.48767994900321E-06   5.42121669931629E-05   6.70700700809665E-04   5.70436420849296E+00   5.04571092674122E-08   3.99392669111320E-09
  2.97289E-01                4.41486406459280E-05   1.42451461728741E-05   3.65318286428356E-05   1.98759588246407E-05   8.63736909144195E-09   1.00000313914832E-16   2.48797941241390E-06   5.42161131909466E-05   6.70700700809664E-04   5.70438515106836E+00   5.04588498661834E-08   3.99406370333213E-09
  3.07289E-01                4.41499632848675E-05   1.42457932647470E-05   3.65319761057301E-05   1.98765577514063E-05   8.63586522660960E-09   1.00000313914832E-16   2.48827887579671E-06   5.42200593887171E-05   6.70700700809664E-04   5.70440609296024E+00   5.04605904669392E-08   3.99420071595094E-09
  3.17289E-01                4.41512859237044E-05   1.42464403565415E-05   3.65321235686131E-05   1.98771566781162E-05   8.63436171038151E-09   1.00000313914832E-16   2.48857833915164E-06   5.42240055864743E-05   6.70700700809664E-04   5.70442703416865E+00   5.04623310696791E-08   3.99433772896948E-09
  3.27289E-01                4.41526085624387E-05   1.42470874482575E-05   3.65322710314847E-05   1.98777556047703E-05   8.63285854265712E-09   1.00000313914832E-16   2.48887780247870E-06   5.42279517842181E-05   6.70700700809665E-04   5.70444797469366E+00   5.04640716744026E-08   3.99447474238762E-09
  3.37289E-01                4.41539312010705E-05   1.42477345398951E-05   3.65324184943449E-05   1.98783545313686E-05   8.63135572333572E-09   1.00000313914832E-16   2.48917726577787E-06   5.42318979819483E-05   6.70700700809664E-04   5.70446891453530E+00   5.04658122811089E-08   3.99461175620522E-09
  3.47289E-01                4.41552538395996E-05   1.42483816314541E-05   3.65325659571936E-05   1.98789534579112E-05   8.62985325231682E-09   1.00000313914832E-16   2.48947672904916E-06   5.42358441796648E-05   6.70700700809665E-04   5.70448985369363E+00   5.04675528897977E-08   3.99474877042214E-09
  3.57289E-01                4.41565764780261E-05   1.42490287229347E-05   3.65327134200310E-05   1.98795523843980E-05   8.62835112950000E-09   1.00000313914832E-16   2.48977619229258E-06   5.42397903773675E-05   6.70700700809664E-04   5.70451079216871E+00   5.04692935004686E-08   3.99488578503826E-09
  3.67289E-01                4.41578991163499E-05   1.42496758143367E-05   3.65328608828568E-05   1.98801513108291E-05   8.62684935478464E-09   1.00000313914832E-16   2.49007565550811E-06   5.42437365750563E-05   6.70700700809664E-04   5.70453172996058E+00   5.04710341131206E-08   3.99502280005343E-09
  3.77289E-01                4.41592217545713E-05   1.42503229056602E-05   3.65330083456712E-05   1.98807502372044E-05   8.62534792807041E-09   1.00000313914832E-16   2.49037511869577E-06   5.42476827727310E-05   6.70700700809665E-04   5.70455266706929E+00   5.04727747277536E-08   3.99515981546752E-09
  3.87289E-01                4.41605443926899E-05   1.42509699969053E-05   3.65331558084742E-05   1.98813491635240E-05   8.62384684925677E-09   1.00000313914832E-16   2.49067458185554E-06   5.42516289703917E-05   6.70700700809665E-04   5.70457360349491E+00   5.04745153443668E-08   3.99529683128039E-09
  3.97289E-01                4.41618670307060E-05   1.42516170880718E-05   3.65333032712657E-05   1.98819480897878E-05   8.62234611824353E-09   1.00000313914832E-16   2.49097404498744E-06   5.42555751680381E-05   6.70700700809665E-04   5.70459453923747E+00   5.04762559629599E-08   3.99543384749193E-09
  4.07289E-01                4.41631896686196E-05   1.42522641791597E-05   3.65334507340458E-05   1.98825470159958E-05   8.62084573493022E-09   1.00000313914832E-16   2.49127350809146E-06   5.42595213656701E-05   6.70700700809664E-04   5.70461547429703E+00   5.04779965835321E-08   3.99557086410197E-09
  4.17289E-01                4.41645123064305E-05   1.42529112701691E-05   3.65335981968144E-05   1.98831459421481E-05   8.61934569921664E-09   1.00000313914832E-16   2.49157297116759E-06   5.42634675632875E-05   6.70700700809665E-04   5.70463640867365E+00   5.04797372060829E-08   3.99570788111039E-09
  4.27289E-01                4.41658349441388E-05   1.42535583611000E-05   3.65337456595716E-05   1.98837448682446E-05   8.61784601100251E-09   1.00000313914832E-16   2.49187243421585E-06   5.42674137608904E-05   6.70700700809664E-04   5.70465734236737E+00   5.04814778306121E-08   3.99584489851705E-09
  4.37289E-01                4.41671575817446E-05   1.42542054519522E-05   3.65338931223174E-05   1.98843437942854E-05   8.61634667018743E-09   1.00000313914832E-16   2.49217189723622E-06   5.42713599584785E-05   6.70700700809664E-04   5.70467827537825E+00   5.04832184571188E-08   3.99598191632182E-09
  4.47289E-01                4.41684802192476E-05   1.42548525427259E-05   3.65340405850517E-05   1.98849427202703E-05   8.61484767667157E-09   1.00000313914832E-16   2.49247136022871E-06   5.42753061560516E-05   6.70700700809664E-04   5.70469920770633E+00   5.04849590856023E-08   3.99611893452455E-09
  4.57289E-01                4.41698028566480E-05   1.42554996334210E-05   3.65341880477746E-05   1.98855416461995E-05   8.61334903035453E-09   1.00000313914832E-16   2.49277082319330E-06   5.42792523536096E-05   6.70700700809664E-04   5.70472013935167E+00   5.04866997160624E-08   3.99625595312512E-09
