# Time series at grid cell:   9   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.69138351618583E-05   1.06874767084148E-05   3.57252099006753E-05   1.66097277880260E-05   2.71074342106445E-08   1.00000313914791E-16   8.54863894105992E-07   3.26046737409105E-05   6.70700700809698E-04   5.57810899064953E+00   4.13307233819081E-08   3.28450482345617E-09
  2.00000E-02                3.69151021794099E-05   1.06881056994006E-05   3.57253511622623E-05   1.66102965338997E-05   2.71008166937577E-08   1.00000313914791E-16   8.55148267042833E-07   3.26084670226620E-05   6.70700700809699E-04   5.57813345718382E+00   4.13321931299290E-08   3.28461525742911E-09
  3.00000E-02                3.69163691968615E-05   1.06887346903404E-05   3.57254924238382E-05   1.66108652797193E-05   2.70942013440134E-08   1.00000313914791E-16   8.55432639952607E-07   3.26122603062476E-05   6.70700700809701E-04   5.57815792275063E+00   4.13336628900659E-08   3.28472569472200E-09
  4.00000E-02                3.69176362142130E-05   1.06893636812343E-05   3.57256336854029E-05   1.66114340254848E-05   2.70875881553589E-08   1.00000313914791E-16   8.55717012835318E-07   3.26160535916613E-05   6.70700700809703E-04   5.57818238736429E+00   4.13351326622791E-08   3.28483613533056E-09
  5.00000E-02                3.69189032314644E-05   1.06899926720822E-05   3.57257749469564E-05   1.66120027711961E-05   2.70809771264664E-08   1.00000313914791E-16   8.56001385690964E-07   3.26198468789017E-05   6.70700700809705E-04   5.57820685102486E+00   4.13366024465605E-08   3.28494657925311E-09
  5.00010E-02                3.69189033579547E-05   1.06899927348762E-05   3.57257749610590E-05   1.66120028279757E-05   2.70809765063133E-08   1.00000313914791E-16   8.56001414080783E-07   3.26198472576372E-05   6.70700700809709E-04   5.57820678144018E+00   4.13366025935622E-08   3.28494659030103E-09
  5.00030E-02                3.69189036109352E-05   1.06899928604645E-05   3.57257749892642E-05   1.66120029415350E-05   2.70809752658342E-08   1.00000313914791E-16   8.56001470860421E-07   3.26198480151080E-05   6.70700700809704E-04   5.57820678631864E+00   4.13366028875645E-08   3.28494661239679E-09
  5.00070E-02                3.69189041168961E-05   1.06899931116408E-05   3.57257750456744E-05   1.66120031686536E-05   2.70809727841661E-08   1.00000313914791E-16   8.56001584419702E-07   3.26198495300490E-05   6.70700700809705E-04   5.57820679610424E+00   4.13366034755642E-08   3.28494665658790E-09
  5.00150E-02                3.69189051288180E-05   1.06899936139936E-05   3.57257751584950E-05   1.66120036228907E-05   2.70809678179905E-08   1.00000313914791E-16   8.56001811538274E-07   3.26198525599281E-05   6.70700700809705E-04   5.57820681567539E+00   4.13366046515446E-08   3.28494674496856E-09
  5.00309E-02                3.69189071526618E-05   1.06899946186992E-05   3.57257753841362E-05   1.66120045313649E-05   2.70809578744772E-08   1.00000313914791E-16   8.56002265775467E-07   3.26198586196754E-05   6.70700700809705E-04   5.57820685481754E+00   4.13366070034300E-08   3.28494692172374E-09
  5.00629E-02                3.69189112003496E-05   1.06899966281104E-05   3.57257758354187E-05   1.66120063483134E-05   2.70809379442970E-08   1.00000313914791E-16   8.56003174250030E-07   3.26198707391277E-05   6.70700700809706E-04   5.57820693310120E+00   4.13366117069102E-08   3.28494727521033E-09
  5.01268E-02                3.69189192957255E-05   1.06900006469330E-05   3.57257767379835E-05   1.66120099822105E-05   2.70808979225223E-08   1.00000313914791E-16   8.56004991199878E-07   3.26198949778738E-05   6.70700700809709E-04   5.57820708966618E+00   4.13366211127825E-08   3.28494798209464E-09
  5.02546E-02                3.69189354864786E-05   1.06900086845795E-05   3.57257785431133E-05   1.66120172500053E-05   2.70808173119973E-08   1.00000313914791E-16   8.56008625102464E-07   3.26199434548109E-05   6.70700700809722E-04   5.57820740278783E+00   4.13366399207056E-08   3.28494939555113E-09
  5.05101E-02                3.69189678679901E-05   1.06900247598769E-05   3.57257821533730E-05   1.66120317855972E-05   2.70806543157887E-08   1.00000313914791E-16   8.56015892919189E-07   3.26200404069594E-05   6.70700700809773E-04   5.57820802900508E+00   4.13366775245885E-08   3.28495222148725E-09
  5.10213E-02                3.69190326310342E-05   1.06900569104898E-05   3.57257893738927E-05   1.66120608567905E-05   2.70803237580237E-08   1.00000313914791E-16   8.56030428598847E-07   3.26202343068943E-05   6.70700700809978E-04   5.57820928137188E+00   4.13367527015910E-08   3.28495787084965E-09
  5.20436E-02                3.69191621572063E-05   1.06901212117875E-05   3.57258038149328E-05   1.66121189992146E-05   2.70796539950026E-08   1.00000313914791E-16   8.56059500142989E-07   3.26206220989530E-05   6.70700700810796E-04   5.57821178597326E+00   4.13369029973537E-08   3.28496916483498E-09
  5.40882E-02                3.69194212098875E-05   1.06902498146711E-05   3.57258326970170E-05   1.66122352842133E-05   2.70783037690490E-08   1.00000313914791E-16   8.56117643970563E-07   3.26213976757746E-05   6.70700700814071E-04   5.57821679499132E+00   4.13372035169632E-08   3.28499174701760E-09
  5.81773E-02                3.69199393129602E-05   1.06905070184968E-05   3.57258904611544E-05   1.66124678531840E-05   2.70755956659566E-08   1.00000313914791E-16   8.56233926684915E-07   3.26229487987285E-05   6.70700700809707E-04   5.57822681279430E+00   4.13378045020394E-08   3.28503690737363E-09
  6.63557E-02                3.69209755208570E-05   1.06910214276646E-05   3.57260059894450E-05   1.66129329919034E-05   2.70701773479389E-08   1.00000313914791E-16   8.56466496044551E-07   3.26260510606636E-05   6.70700700809709E-04   5.57824684787627E+00   4.13390064580081E-08   3.28512722845786E-09
  7.63557E-02                3.69222425378449E-05   1.06916504183913E-05   3.57261472509692E-05   1.66135017374720E-05   2.70635643721445E-08   1.00000313914791E-16   8.56750868828869E-07   3.26298443450608E-05   6.70700700809710E-04   5.57827132204426E+00   4.13404762226021E-08   3.28523767689913E-09
  8.63557E-02                3.69235095547327E-05   1.06922794090721E-05   3.57262885124822E-05   1.66140704829866E-05   2.70569605424859E-08   1.00000313914791E-16   8.57035241586119E-07   3.26336376382880E-05   6.70700700809712E-04   5.57829578223414E+00   4.13419460463658E-08   3.28534813250232E-09
  9.63557E-02                3.69247765715205E-05   1.06929083997070E-05   3.57264297739841E-05   1.66146392284470E-05   2.70503594591092E-08   1.00000313914791E-16   8.57319614316306E-07   3.26374309339298E-05   6.70700700809714E-04   5.57832024147673E+00   4.13434158861563E-08   3.28545859173841E-09
  1.00000E-01                3.69252383162703E-05   1.06931376256547E-05   3.57264812545623E-05   1.66148464989672E-05   2.70479729512134E-08   1.00000313914791E-16   8.57423249576423E-07   3.26388133612873E-05   6.70700700809715E-04   5.57832910951991E+00   4.13439516754440E-08   3.28549885774760E-09
  1.07289E-01                3.69261618057168E-05   1.06935960775257E-05   3.57265842157128E-05   1.66152610399790E-05   2.70431559034859E-08   1.00000313914791E-16   8.57630520082284E-07   3.26415781716833E-05   6.70700700809716E-04   5.57834696238715E+00   4.13450229558612E-08   3.28557936661771E-09
  1.17289E-01                3.69274288222953E-05   1.06942250680643E-05   3.57267254771913E-05   1.66158297853261E-05   2.70365493912315E-08   1.00000313914791E-16   8.57914892755816E-07   3.26453714611749E-05   6.70700700809718E-04   5.57837143902885E+00   4.13464927538500E-08   3.28568982729378E-09
  1.27289E-01                3.69286958387737E-05   1.06948540585569E-05   3.57268667386587E-05   1.66163985306191E-05   2.70299541807758E-08   1.00000313914791E-16   8.58199265402283E-07   3.26491647616575E-05   6.70700700809720E-04   5.57839589531769E+00   4.13479626255448E-08   3.28580029631620E-09
