# Time          3.0000E+00
    Distance         pH
  5.0000E-02    5.5060E+00
  1.5000E-01    5.5006E+00
  2.5000E-01    5.5082E+00
  3.5000E-01    5.5227E+00
  4.5000E-01    5.5386E+00
  5.5000E-01    5.5515E+00
  6.5000E-01    5.5609E+00
  7.5000E-01    5.5684E+00
  8.5000E-01    5.5752E+00
  9.5000E-01    5.5818E+00
  1.0500E+00    5.5882E+00
  1.1500E+00    5.5946E+00
  1.2500E+00    5.6009E+00
  1.3500E+00    5.6072E+00
  1.4500E+00    5.6134E+00
  1.5500E+00    5.6195E+00
  1.6500E+00    5.6257E+00
  1.7500E+00    5.6318E+00
  1.8500E+00    5.6378E+00
  1.9500E+00    5.6438E+00
  2.0500E+00    5.6497E+00
  2.1500E+00    5.6556E+00
  2.2500E+00    5.6615E+00
  2.3500E+00    5.6673E+00
  2.4500E+00    5.6731E+00
  2.5500E+00    5.6788E+00
  2.6500E+00    5.6845E+00
  2.7500E+00    5.6902E+00
  2.8500E+00    5.6958E+00
  2.9500E+00    5.7014E+00
  3.0500E+00    5.7069E+00
  3.1500E+00    5.7124E+00
  3.2500E+00    5.7179E+00
  3.3500E+00    5.7234E+00
  3.4500E+00    5.7288E+00
  3.5500E+00    5.7341E+00
  3.6500E+00    5.7395E+00
  3.7500E+00    5.7448E+00
  3.8500E+00    5.7501E+00
  3.9500E+00    5.7553E+00
  4.0500E+00    5.7605E+00
  4.1500E+00    5.7657E+00
  4.2500E+00    5.7709E+00
  4.3500E+00    5.7760E+00
  4.4500E+00    5.7811E+00
  4.5500E+00    5.7862E+00
  4.6500E+00    5.7912E+00
  4.7500E+00    5.7962E+00
  4.8500E+00    5.8012E+00
  4.9500E+00    5.8062E+00
  5.0500E+00    5.8111E+00
  5.1500E+00    5.8160E+00
  5.2500E+00    5.8209E+00
  5.3500E+00    5.8258E+00
  5.4500E+00    5.8306E+00
  5.5500E+00    5.8355E+00
  5.6500E+00    5.8403E+00
  5.7500E+00    5.8450E+00
  5.8500E+00    5.8498E+00
  5.9500E+00    5.8545E+00
  6.0500E+00    5.8592E+00
  6.1500E+00    5.8639E+00
  6.2500E+00    5.8686E+00
  6.3500E+00    5.8732E+00
  6.4500E+00    5.8779E+00
  6.5500E+00    5.8825E+00
  6.6500E+00    5.8871E+00
  6.7500E+00    5.8916E+00
  6.8500E+00    5.8962E+00
  6.9500E+00    5.9007E+00
  7.0500E+00    5.9052E+00
  7.1500E+00    5.9097E+00
  7.2500E+00    5.9142E+00
  7.3500E+00    5.9187E+00
  7.4500E+00    5.9231E+00
  7.5500E+00    5.9276E+00
  7.6500E+00    5.9320E+00
  7.7500E+00    5.9364E+00
  7.8500E+00    5.9407E+00
  7.9500E+00    5.9451E+00
  8.0500E+00    5.9495E+00
  8.1500E+00    5.9538E+00
  8.2500E+00    5.9581E+00
  8.3500E+00    5.9624E+00
  8.4500E+00    5.9667E+00
  8.5500E+00    5.9710E+00
  8.6500E+00    5.9753E+00
  8.7500E+00    5.9795E+00
  8.8500E+00    5.9838E+00
  8.9500E+00    5.9880E+00
  9.0500E+00    5.9922E+00
  9.1500E+00    5.9964E+00
  9.2500E+00    6.0006E+00
  9.3500E+00    6.0048E+00
  9.4500E+00    6.0090E+00
  9.5500E+00    6.0131E+00
  9.6500E+00    6.0173E+00
  9.7500E+00    6.0214E+00
  9.8500E+00    6.0255E+00
  9.9500E+00    6.0297E+00
  1.0050E+01    6.0338E+00
  1.0150E+01    6.0379E+00
  1.0250E+01    6.0419E+00
  1.0350E+01    6.0460E+00
  1.0450E+01    6.0501E+00
  1.0550E+01    6.0541E+00
  1.0650E+01    6.0582E+00
  1.0750E+01    6.0622E+00
  1.0850E+01    6.0662E+00
  1.0950E+01    6.0703E+00
  1.1050E+01    6.0743E+00
  1.1150E+01    6.0783E+00
  1.1250E+01    6.0823E+00
  1.1350E+01    6.0862E+00
  1.1450E+01    6.0902E+00
  1.1550E+01    6.0942E+00
  1.1650E+01    6.0982E+00
  1.1750E+01    6.1021E+00
  1.1850E+01    6.1061E+00
  1.1950E+01    6.1100E+00
  1.2050E+01    6.1139E+00
  1.2150E+01    6.1179E+00
  1.2250E+01    6.1218E+00
  1.2350E+01    6.1257E+00
  1.2450E+01    6.1296E+00
  1.2550E+01    6.1335E+00
  1.2650E+01    6.1374E+00
  1.2750E+01    6.1413E+00
  1.2850E+01    6.1452E+00
  1.2950E+01    6.1490E+00
  1.3050E+01    6.1529E+00
  1.3150E+01    6.1568E+00
  1.3250E+01    6.1607E+00
  1.3350E+01    6.1645E+00
  1.3450E+01    6.1684E+00
  1.3550E+01    6.1722E+00
  1.3650E+01    6.1761E+00
  1.3750E+01    6.1799E+00
  1.3850E+01    6.1837E+00
  1.3950E+01    6.1876E+00
  1.4050E+01    6.1914E+00
  1.4150E+01    6.1952E+00
  1.4250E+01    6.1990E+00
  1.4350E+01    6.2028E+00
  1.4450E+01    6.2067E+00
  1.4550E+01    6.2105E+00
  1.4650E+01    6.2143E+00
  1.4750E+01    6.2181E+00
  1.4850E+01    6.2219E+00
  1.4950E+01    6.2257E+00
  1.5050E+01    6.2295E+00
  1.5150E+01    6.2333E+00
  1.5250E+01    6.2370E+00
  1.5350E+01    6.2408E+00
  1.5450E+01    6.2446E+00
  1.5550E+01    6.2484E+00
  1.5650E+01    6.2522E+00
  1.5750E+01    6.2560E+00
  1.5850E+01    6.2597E+00
  1.5950E+01    6.2635E+00
  1.6050E+01    6.2673E+00
  1.6150E+01    6.2710E+00
  1.6250E+01    6.2748E+00
  1.6350E+01    6.2786E+00
  1.6450E+01    6.2824E+00
  1.6550E+01    6.2861E+00
  1.6650E+01    6.2899E+00
  1.6750E+01    6.2937E+00
  1.6850E+01    6.2974E+00
  1.6950E+01    6.3012E+00
  1.7050E+01    6.3050E+00
  1.7150E+01    6.3087E+00
  1.7250E+01    6.3125E+00
  1.7350E+01    6.3162E+00
  1.7450E+01    6.3200E+00
  1.7550E+01    6.3238E+00
  1.7650E+01    6.3275E+00
  1.7750E+01    6.3313E+00
  1.7850E+01    6.3351E+00
  1.7950E+01    6.3388E+00
  1.8050E+01    6.3426E+00
  1.8150E+01    6.3464E+00
  1.8250E+01    6.3502E+00
  1.8350E+01    6.3539E+00
  1.8450E+01    6.3577E+00
  1.8550E+01    6.3615E+00
  1.8650E+01    6.3652E+00
  1.8750E+01    6.3690E+00
  1.8850E+01    6.3728E+00
  1.8950E+01    6.3766E+00
  1.9050E+01    6.3804E+00
  1.9150E+01    6.3841E+00
  1.9250E+01    6.3879E+00
  1.9350E+01    6.3917E+00
  1.9450E+01    6.3955E+00
  1.9550E+01    6.3993E+00
  1.9650E+01    6.4031E+00
  1.9750E+01    6.4069E+00
  1.9850E+01    6.4108E+00
  1.9950E+01    6.4138E+00
