# Time          2.5000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    0.0000000E+00   -4.0108994E-11   -1.6226745E-10   -3.2554263E-11    8.4179750E-11    6.9518612E-12
    1.5000000E-01    0.0000000E+00   -4.0122587E-11   -1.6260346E-10   -3.2635729E-11    1.1723737E-10    9.6688567E-12
    2.5000000E-01   -1.6333148E-15   -4.0145135E-11   -1.6294018E-10   -3.2717381E-11    1.1637088E-10    9.5776689E-12
    3.5000000E-01   -9.4135201E-15   -4.0164808E-11   -1.6327757E-10   -3.2799212E-11    1.1653899E-10    9.5703507E-12
    4.5000000E-01   -1.1386846E-14   -4.0182612E-11   -1.6361559E-10   -3.2881213E-11    1.1717469E-10    9.6077979E-12
    5.5000000E-01   -1.0864029E-14   -4.0199830E-11   -1.6395420E-10   -3.2963375E-11    1.1765975E-10    9.6384325E-12
    6.5000000E-01   -9.6407711E-15   -4.0216892E-11   -1.6429339E-10   -3.3045692E-11    1.1791934E-10    9.6530296E-12
    7.5000000E-01   -8.2658489E-15   -4.0233915E-11   -1.6463312E-10   -3.3128158E-11    1.1811536E-10    9.6634723E-12
    8.5000000E-01   -6.8621397E-15   -4.0250925E-11   -1.6497337E-10   -3.3210767E-11    1.1830241E-10    9.6738267E-12
    9.5000000E-01   -5.4517806E-15   -4.0267924E-11   -1.6531411E-10   -3.3293513E-11    1.1849122E-10    9.6848463E-12
    1.0500000E+00   -4.0381509E-15   -4.0284913E-11   -1.6565534E-10   -3.3376393E-11    1.1868317E-10    9.6965772E-12
    1.1500000E+00   -2.6217105E-15   -4.0301888E-11   -1.6599703E-10   -3.3459403E-11    1.1887810E-10    9.7089577E-12
    1.2500000E+00   -1.2025249E-15   -4.0318848E-11   -1.6633916E-10   -3.3542538E-11    1.1907572E-10    9.7219190E-12
    1.3500000E+00    0.0000000E+00   -4.0335790E-11   -1.6668173E-10   -3.3625797E-11    1.1927573E-10    9.7353993E-12
    1.4500000E+00    0.0000000E+00   -4.0352712E-11   -1.6702473E-10   -3.3709175E-11    1.1947789E-10    9.7493442E-12
    1.5500000E+00    0.0000000E+00   -4.0369612E-11   -1.6736814E-10   -3.3792672E-11    1.1968198E-10    9.7637053E-12
    1.6500000E+00    0.0000000E+00   -4.0386488E-11   -1.6771195E-10   -3.3876284E-11    1.1988781E-10    9.7784405E-12
    1.7500000E+00    0.0000000E+00   -4.0403338E-11   -1.6805616E-10   -3.3960009E-11    1.2009521E-10    9.7935120E-12
    1.8500000E+00    0.0000000E+00   -4.0420160E-11   -1.6840076E-10   -3.4043848E-11    1.2030405E-10    9.8088869E-12
