# Time          3.5000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -3.1799272E-01   -4.7011043E+00   -8.8525124E+00   -3.2297171E+01    4.9589413E-03   -1.0978869E-02
    1.5000000E-01   -8.4812326E-02   -4.0198787E+00   -8.2220355E+00   -3.0793800E+01    6.0854327E-03   -9.8597624E-03
    2.5000000E-01   -6.3863386E-03   -3.7916164E+00   -8.0126448E+00   -3.0176245E+01    5.9338011E-03   -1.0018339E-02
    3.5000000E-01   -1.7821596E-02   -3.8275892E+00   -8.0499362E+00   -3.0059605E+01    5.9342559E-03   -1.0027109E-02
    4.5000000E-01   -5.4941074E-02   -3.9387811E+00   -8.1580671E+00   -3.0101918E+01    5.9639742E-03   -1.0008283E-02
    5.5000000E-01   -8.0604953E-02   -4.0154227E+00   -8.2340613E+00   -3.0112990E+01    5.9971695E-03   -9.9852519E-03
    6.5000000E-01   -8.7035416E-02   -4.0347357E+00   -8.2559819E+00   -3.0052066E+01    6.0311750E-03   -9.9589485E-03
    7.5000000E-01   -8.1078561E-02   -4.0171862E+00   -8.2428474E+00   -2.9946682E+01    6.0631711E-03   -9.9323773E-03
    8.5000000E-01   -6.9905245E-02   -3.9840335E+00   -8.2147372E+00   -2.9825264E+01    6.0935545E-03   -9.9060435E-03
    9.5000000E-01   -5.7196224E-02   -3.9461499E+00   -8.1819943E+00   -2.9701604E+01    6.1235166E-03   -9.8793893E-03
    1.0500000E+00   -4.4308128E-02   -3.9075389E+00   -8.1484482E+00   -2.9580314E+01    6.1536365E-03   -9.8521293E-03
    1.1500000E+00   -3.1637532E-02   -3.8693777E+00   -8.1152325E+00   -2.9462415E+01    6.1840940E-03   -9.8242038E-03
    1.2500000E+00   -1.9273471E-02   -3.8319405E+00   -8.0826157E+00   -2.9347874E+01    6.2149282E-03   -9.7956293E-03
    1.3500000E+00   -7.2228936E-03   -3.7952604E+00   -8.0506340E+00   -2.9236433E+01    6.2461403E-03   -9.7664387E-03
    1.4500000E+00    4.5256307E-03   -3.7593160E+00   -8.0192708E+00   -2.9127822E+01    6.2777239E-03   -9.7366649E-03
    1.5500000E+00    1.5986453E-02   -3.7240762E+00   -7.9884999E+00   -2.9021802E+01    6.3096721E-03   -9.7063372E-03
    1.6500000E+00    2.7173591E-02   -3.6895102E+00   -7.9582951E+00   -2.8918168E+01    6.3419796E-03   -9.6754813E-03
    1.7500000E+00    3.8100183E-02   -3.6555887E+00   -7.9286314E+00   -2.8816743E+01    6.3746417E-03   -9.6441193E-03
    1.8500000E+00    4.8778466E-02   -3.6222844E+00   -7.8994858E+00   -2.8717372E+01    6.4076553E-03   -9.6122702E-03
    1.9500000E+00    5.9219836E-02   -3.5895719E+00   -7.8708364E+00   -2.8619918E+01    6.4410181E-03   -9.5799504E-03
    2.0500000E+00    6.9434925E-02   -3.5574270E+00   -7.8426629E+00   -2.8524264E+01    6.4747286E-03   -9.5471740E-03
    2.1500000E+00    7.9433668E-02   -3.5258274E+00   -7.8149464E+00   -2.8430301E+01    6.5087862E-03   -9.5139527E-03
    2.2500000E+00    8.9225361E-02   -3.4947520E+00   -7.7876689E+00   -2.8337934E+01    6.5431908E-03   -9.4802966E-03
    2.3500000E+00    9.8818716E-02   -3.4641809E+00   -7.7608136E+00   -2.8247078E+01    6.5779431E-03   -9.4462141E-03
    2.4500000E+00    1.0822191E-01   -3.4340953E+00   -7.7343648E+00   -2.8157654E+01    6.6130440E-03   -9.4117120E-03
    2.5500000E+00    1.1744262E-01   -3.4044777E+00   -7.7083074E+00   -2.8069592E+01    6.6484953E-03   -9.3767958E-03
    2.6500000E+00    1.2648807E-01   -3.3753113E+00   -7.6826275E+00   -2.7982828E+01    6.6842988E-03   -9.3414700E-03
    2.7500000E+00    1.3536507E-01   -3.3465803E+00   -7.6573117E+00   -2.7897301E+01    6.7204571E-03   -9.3057378E-03
    2.8500000E+00    1.4408003E-01   -3.3182699E+00   -7.6323475E+00   -2.7812958E+01    6.7569728E-03   -9.2696015E-03
    2.9500000E+00    1.5263902E-01   -3.2903659E+00   -7.6077229E+00   -2.7729748E+01    6.7938490E-03   -9.2330628E-03
    3.0500000E+00    1.6104776E-01   -3.2628548E+00   -7.5834266E+00   -2.7647625E+01    6.8310892E-03   -9.1961223E-03
    3.1500000E+00    1.6931167E-01   -3.2357239E+00   -7.5594480E+00   -2.7566545E+01    6.8686970E-03   -9.1587801E-03
    3.2500000E+00    1.7743586E-01   -3.2089610E+00   -7.5357768E+00   -2.7486468E+01    6.9066764E-03   -9.1210354E-03
    3.3500000E+00    1.8542522E-01   -3.1825547E+00   -7.5124033E+00   -2.7407357E+01    6.9450316E-03   -9.0828871E-03
    3.4500000E+00    1.9328434E-01   -3.1564939E+00   -7.4893184E+00   -2.7329177E+01    6.9837670E-03   -9.0443334E-03
    3.5500000E+00    2.0101760E-01   -3.1307681E+00   -7.4665132E+00   -2.7251894E+01    7.0228873E-03   -9.0053720E-03
    3.6500000E+00    2.0862917E-01   -3.1053674E+00   -7.4439795E+00   -2.7175478E+01    7.0623973E-03   -8.9660002E-03
    3.7500000E+00    2.1612301E-01   -3.0802823E+00   -7.4217090E+00   -2.7099899E+01    7.1023023E-03   -8.9262148E-03
    3.8500000E+00    2.2350289E-01   -3.0555035E+00   -7.3996944E+00   -2.7025130E+01    7.1426075E-03   -8.8860123E-03
    3.9500000E+00    2.3077239E-01   -3.0310224E+00   -7.3779282E+00   -2.6951145E+01    7.1833185E-03   -8.8453887E-03
    4.0500000E+00    2.3793495E-01   -3.0068306E+00   -7.3564035E+00   -2.6877920E+01    7.2244410E-03   -8.8043398E-03
    4.1500000E+00    2.4499382E-01   -2.9829201E+00   -7.3351135E+00   -2.6805431E+01    7.2659809E-03   -8.7628608E-03
    4.2500000E+00    2.5195213E-01   -2.9592833E+00   -7.3140520E+00   -2.6733656E+01    7.3079443E-03   -8.7209468E-03
    4.3500000E+00    2.5881286E-01   -2.9359129E+00   -7.2932128E+00   -2.6662574E+01    7.3503377E-03   -8.6785926E-03
    4.4500000E+00    2.6557886E-01   -2.9128017E+00   -7.2725899E+00   -2.6592165E+01    7.3931675E-03   -8.6357925E-03
    4.5500000E+00    2.7225286E-01   -2.8899431E+00   -7.2521777E+00   -2.6522410E+01    7.4364404E-03   -8.5925407E-03
    4.6500000E+00    2.7883745E-01   -2.8673305E+00   -7.2319709E+00   -2.6453291E+01    7.4801634E-03   -8.5488311E-03
    4.7500000E+00    2.8533516E-01   -2.8449577E+00   -7.2119642E+00   -2.6384791E+01    7.5243436E-03   -8.5046571E-03
    4.8500000E+00    2.9174837E-01   -2.8228186E+00   -7.1921525E+00   -2.6316893E+01    7.5689884E-03   -8.4600122E-03
    4.9500000E+00    2.9807938E-01   -2.8009075E+00   -7.1725311E+00   -2.6249581E+01    7.6141052E-03   -8.4148893E-03
    5.0500000E+00    3.0433039E-01   -2.7792188E+00   -7.1530953E+00   -2.6182841E+01    7.6597019E-03   -8.3692813E-03
    5.1500000E+00    3.1050354E-01   -2.7577472E+00   -7.1338407E+00   -2.6116657E+01    7.7057864E-03   -8.3231806E-03
    5.2500000E+00    3.1660085E-01   -2.7364874E+00   -7.1147628E+00   -2.6051015E+01    7.7523669E-03   -8.2765794E-03
    5.3500000E+00    3.2262428E-01   -2.7154345E+00   -7.0958577E+00   -2.5985902E+01    7.7994518E-03   -8.2294699E-03
    5.4500000E+00    3.2857570E-01   -2.6945836E+00   -7.0771212E+00   -2.5921306E+01    7.8470498E-03   -8.1818436E-03
    5.5500000E+00    3.3445694E-01   -2.6739302E+00   -7.0585495E+00   -2.5857214E+01    7.8951697E-03   -8.1336920E-03
    5.6500000E+00    3.4026973E-01   -2.6534697E+00   -7.0401389E+00   -2.5793613E+01    7.9438206E-03   -8.0850063E-03
    5.7500000E+00    3.4601575E-01   -2.6331979E+00   -7.0218857E+00   -2.5730493E+01    7.9930120E-03   -8.0357775E-03
    5.8500000E+00    3.5169662E-01   -2.6131104E+00   -7.0037865E+00   -2.5667843E+01    8.0427533E-03   -7.9859961E-03
    5.9500000E+00    3.5731389E-01   -2.5932033E+00   -6.9858378E+00   -2.5605651E+01    8.0930546E-03   -7.9356525E-03
    6.0500000E+00    3.6286908E-01   -2.5734726E+00   -6.9680364E+00   -2.5543907E+01    8.1439258E-03   -7.8847367E-03
    6.1500000E+00    3.6836362E-01   -2.5539146E+00   -6.9503792E+00   -2.5482602E+01    8.1953775E-03   -7.8332386E-03
    6.2500000E+00    3.7379892E-01   -2.5345255E+00   -6.9328631E+00   -2.5421726E+01    8.2474203E-03   -7.7811476E-03
    6.3500000E+00    3.7917634E-01   -2.5153019E+00   -6.9154851E+00   -2.5361269E+01    8.3000653E-03   -7.7284529E-03
