 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0527456E+01
    1.5000000E-01   -1.4621758E+01
    2.5000000E-01   -1.6078587E+01
    3.5000000E-01   -1.6981201E+01
    4.5000000E-01   -1.7770759E+01
    5.5000000E-01   -1.8474802E+01
    6.5000000E-01   -1.9103300E+01
    7.5000000E-01   -1.9664635E+01
    8.5000000E-01   -2.0166209E+01
    9.5000000E-01   -2.0614571E+01
    1.0500000E+00   -2.1015521E+01
    1.1500000E+00   -2.1374198E+01
    1.2500000E+00   -2.1695160E+01
    1.3500000E+00   -2.1982449E+01
    1.4500000E+00   -2.2239655E+01
    1.5500000E+00   -2.2469967E+01
    1.6500000E+00   -2.2676220E+01
    1.7500000E+00   -2.2860936E+01
    1.8500000E+00   -2.3026361E+01
    1.9500000E+00   -2.3174494E+01
    2.0500000E+00   -2.3307119E+01
    2.1500000E+00   -2.3425825E+01
    2.2500000E+00   -2.3532032E+01
    2.3500000E+00   -2.3627007E+01
    2.4500000E+00   -2.3711883E+01
    2.5500000E+00   -2.3787674E+01
    2.6500000E+00   -2.3855286E+01
    2.7500000E+00   -2.3915531E+01
    2.8500000E+00   -2.3969136E+01
    2.9500000E+00   -2.4016753E+01
    3.0500000E+00   -2.4058967E+01
    3.1500000E+00   -2.4096304E+01
    3.2500000E+00   -2.4129235E+01
    3.3500000E+00   -2.4158184E+01
    3.4500000E+00   -2.4183532E+01
    3.5500000E+00   -2.4205623E+01
    3.6500000E+00   -2.4224764E+01
    3.7500000E+00   -2.4241236E+01
    3.8500000E+00   -2.4255287E+01
    3.9500000E+00   -2.4267145E+01
    4.0500000E+00   -2.4277014E+01
    4.1500000E+00   -2.4285078E+01
    4.2500000E+00   -2.4291503E+01
    4.3500000E+00   -2.4296440E+01
    4.4500000E+00   -2.4300025E+01
    4.5500000E+00   -2.4302382E+01
    4.6500000E+00   -2.4303621E+01
    4.7500000E+00   -2.4303844E+01
    4.8500000E+00   -2.4303142E+01
    4.9500000E+00   -2.4301599E+01
    5.0500000E+00   -2.4299290E+01
    5.1500000E+00   -2.4296282E+01
    5.2500000E+00   -2.4292638E+01
    5.3500000E+00   -2.4288415E+01
    5.4500000E+00   -2.4283664E+01
    5.5500000E+00   -2.4278430E+01
    5.6500000E+00   -2.4272758E+01
    5.7500000E+00   -2.4266684E+01
    5.8500000E+00   -2.4260244E+01
    5.9500000E+00   -2.4253471E+01
    6.0500000E+00   -2.4246393E+01
    6.1500000E+00   -2.4239037E+01
    6.2500000E+00   -2.4231427E+01
    6.3500000E+00   -2.4223584E+01
    6.4500000E+00   -2.4215530E+01
    6.5500000E+00   -2.4207283E+01
    6.6500000E+00   -2.4198858E+01
