 TITLE = "Isotope ratios" 
    Distance        Kaolinite_Li7   
    5.0000000E-02    5.1744126E+00
    1.5000000E-01    5.1160257E+00
    2.5000000E-01    5.0644381E+00
    3.5000000E-01    5.0184103E+00
    4.5000000E-01    4.9773558E+00
    5.5000000E-01    4.9407544E+00
    6.5000000E-01    4.9081441E+00
    7.5000000E-01    4.8791142E+00
    8.5000000E-01    4.8532991E+00
    9.5000000E-01    4.8303729E+00
    1.0500000E+00    4.8100452E+00
    1.1500000E+00    4.7920567E+00
    1.2500000E+00    4.7761756E+00
    1.3500000E+00    4.7621946E+00
    1.4500000E+00    4.7499283E+00
    1.5500000E+00    4.7392106E+00
    1.6500000E+00    4.7298926E+00
    1.7500000E+00    4.7218404E+00
    1.8500000E+00    4.7149342E+00
    1.9500000E+00    4.7090660E+00
    2.0500000E+00    4.7041390E+00
    2.1500000E+00    4.7000656E+00
    2.2500000E+00    4.6967674E+00
    2.3500000E+00    4.6941734E+00
    2.4500000E+00    4.6922197E+00
    2.5500000E+00    4.6908485E+00
    2.6500000E+00    4.6900077E+00
    2.7500000E+00    4.6896501E+00
    2.8500000E+00    4.6897331E+00
    2.9500000E+00    4.6902182E+00
    3.0500000E+00    4.6910702E+00
    3.1500000E+00    4.6922575E+00
    3.2500000E+00    4.6937514E+00
    3.3500000E+00    4.6955258E+00
    3.4500000E+00    4.6975569E+00
    3.5500000E+00    4.6998232E+00
    3.6500000E+00    4.7023050E+00
    3.7500000E+00    4.7049847E+00
    3.8500000E+00    4.7078459E+00
    3.9500000E+00    4.7108739E+00
    4.0500000E+00    4.7140551E+00
    4.1500000E+00    4.7173772E+00
    4.2500000E+00    4.7208292E+00
    4.3500000E+00    4.7244006E+00
    4.4500000E+00    4.7280821E+00
    4.5500000E+00    4.7318652E+00
    4.6500000E+00    4.7357420E+00
    4.7500000E+00    4.7397054E+00
    4.8500000E+00    4.7437489E+00
    4.9500000E+00    4.7478663E+00
    5.0500000E+00    4.7520523E+00
    5.1500000E+00    4.7563017E+00
    5.2500000E+00    4.7606100E+00
    5.3500000E+00    4.7649729E+00
    5.4500000E+00    4.7693864E+00
    5.5500000E+00    4.7738472E+00
    5.6500000E+00    4.7783517E+00
    5.7500000E+00    4.7828972E+00
    5.8500000E+00    4.7874806E+00
    5.9500000E+00    4.7920996E+00
    6.0500000E+00    4.7967518E+00
    6.1500000E+00    4.8014351E+00
    6.2500000E+00    4.8061474E+00
    6.3500000E+00    4.8108870E+00
    6.4500000E+00    4.8156521E+00
    6.5500000E+00    4.8204413E+00
    6.6500000E+00    4.8252531E+00
    6.7500000E+00    4.8300863E+00
    6.8500000E+00    4.8349397E+00
    6.9500000E+00    4.8398121E+00
    7.0500000E+00    4.8447026E+00
    7.1500000E+00    4.8496102E+00
    7.2500000E+00    4.8545342E+00
    7.3500000E+00    4.8594737E+00
    7.4500000E+00    4.8644280E+00
    7.5500000E+00    4.8693965E+00
    7.6500000E+00    4.8743786E+00
    7.7500000E+00    4.8793738E+00
    7.8500000E+00    4.8843816E+00
    7.9500000E+00    4.8894015E+00
    8.0500000E+00    4.8944332E+00
    8.1500000E+00    4.8994762E+00
    8.2500000E+00    4.9045302E+00
    8.3500000E+00    4.9095951E+00
    8.4500000E+00    4.9146704E+00
    8.5500000E+00    4.9197560E+00
    8.6500000E+00    4.9248516E+00
    8.7500000E+00    4.9299571E+00
    8.8500000E+00    4.9350723E+00
    8.9500000E+00    4.9401971E+00
    9.0500000E+00    4.9453313E+00
    9.1500000E+00    4.9504749E+00
    9.2500000E+00    4.9556277E+00
    9.3500000E+00    4.9607898E+00
    9.4500000E+00    4.9659611E+00
    9.5500000E+00    4.9711414E+00
    9.6500000E+00    4.9763309E+00
    9.7500000E+00    4.9815295E+00
    9.8500000E+00    4.9867372E+00
    9.9500000E+00    4.9919540E+00
    1.0050000E+01    4.9971799E+00
    1.0150000E+01    5.0024150E+00
    1.0250000E+01    5.0076593E+00
    1.0350000E+01    5.0129128E+00
    1.0450000E+01    5.0181757E+00
    1.0550000E+01    5.0234479E+00
    1.0650000E+01    5.0287296E+00
    1.0750000E+01    5.0340208E+00
    1.0850000E+01    5.0393216E+00
    1.0950000E+01    5.0446320E+00
    1.1050000E+01    5.0499523E+00
    1.1150000E+01    5.0552824E+00
    1.1250000E+01    5.0606224E+00
    1.1350000E+01    5.0659725E+00
    1.1450000E+01    5.0713328E+00
    1.1550000E+01    5.0767033E+00
    1.1650000E+01    5.0820842E+00
    1.1750000E+01    5.0874755E+00
    1.1850000E+01    5.0928775E+00
    1.1950000E+01    5.0982901E+00
    1.2050000E+01    5.1037135E+00
    1.2150000E+01    5.1091478E+00
    1.2250000E+01    5.1145931E+00
    1.2350000E+01    5.1200495E+00
    1.2450000E+01    5.1255171E+00
    1.2550000E+01    5.1309960E+00
    1.2650000E+01    5.1364863E+00
    1.2750000E+01    5.1419881E+00
    1.2850000E+01    5.1475015E+00
    1.2950000E+01    5.1530265E+00
    1.3050000E+01    5.1585633E+00
    1.3150000E+01    5.1641119E+00
    1.3250000E+01    5.1696724E+00
    1.3350000E+01    5.1752448E+00
    1.3450000E+01    5.1808293E+00
    1.3550000E+01    5.1864257E+00
    1.3650000E+01    5.1920341E+00
    1.3750000E+01    5.1976547E+00
    1.3850000E+01    5.2032872E+00
    1.3950000E+01    5.2089319E+00
    1.4050000E+01    5.2145885E+00
    1.4150000E+01    5.2202571E+00
    1.4250000E+01    5.2259375E+00
    1.4350000E+01    5.2316298E+00
    1.4450000E+01    5.2373337E+00
    1.4550000E+01    5.2430492E+00
    1.4650000E+01    5.2487760E+00
    1.4750000E+01    5.2545139E+00
    1.4850000E+01    5.2602627E+00
    1.4950000E+01    5.2660222E+00
    1.5050000E+01    5.2717918E+00
    1.5150000E+01    5.2775714E+00
    1.5250000E+01    5.2833604E+00
    1.5350000E+01    5.2891583E+00
    1.5450000E+01    5.2949645E+00
    1.5550000E+01    5.3007784E+00
    1.5650000E+01    5.3065992E+00
    1.5750000E+01    5.3124262E+00
    1.5850000E+01    5.3182582E+00
    1.5950000E+01    5.3240943E+00
    1.6050000E+01    5.3299331E+00
    1.6150000E+01    5.3357734E+00
    1.6250000E+01    5.3416134E+00
    1.6350000E+01    5.3474515E+00
    1.6450000E+01    5.3532856E+00
    1.6550000E+01    5.3591133E+00
    1.6650000E+01    5.3649321E+00
    1.6750000E+01    5.3707390E+00
    1.6850000E+01    5.3765304E+00
    1.6950000E+01    5.3823026E+00
    1.7050000E+01    5.3880509E+00
    1.7150000E+01    5.3937702E+00
    1.7250000E+01    5.3994546E+00
    1.7350000E+01    5.4050970E+00
    1.7450000E+01    5.4106893E+00
    1.7550000E+01    5.4162221E+00
    1.7650000E+01    5.4216843E+00
    1.7750000E+01    5.4270625E+00
    1.7850000E+01    5.4323413E+00
    1.7950000E+01    5.4375018E+00
    1.8050000E+01    5.4425214E+00
    1.8150000E+01    5.4473725E+00
    1.8250000E+01    5.4520215E+00
    1.8350000E+01    5.4564266E+00
    1.8450000E+01    5.4605352E+00
    1.8550000E+01    5.4642810E+00
    1.8650000E+01    5.4675781E+00
    1.8750000E+01    5.4703147E+00
    1.8850000E+01    5.4723414E+00
    1.8950000E+01    5.4734545E+00
    1.9050000E+01    5.4733698E+00
    1.9150000E+01    5.4716779E+00
    1.9250000E+01    5.4677674E+00
    1.9350000E+01    5.4606842E+00
    1.9450000E+01    5.4488528E+00
    1.9550000E+01    5.4294756E+00
    1.9650000E+01    5.3970681E+00
    1.9750000E+01    5.3392298E+00
    1.9850000E+01    5.2207848E+00
    1.9950000E+01    4.8875287E+00
