# Time          1.0000E-01
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.0215394E-04    1.1160829E-04    2.9894041E-05    1.1798203E-04    5.0237535E-05    2.1073277E-08    3.3388238E-16    2.4460793E-07    1.2377511E-07    9.9328526E-09    7.3859048E-05    2.2393444E-03    1.0966755E-03    2.7647367E-04
    1.5000000E-01   -7.0103440E-05    3.7861506E-05    1.0402714E-05    3.8953210E-05    1.7039448E-05    4.1995361E-08    1.0987817E-16    3.3382647E-07    4.2279030E-08    3.3788189E-09    2.7742503E-05    7.3695131E-04    3.6090760E-04    9.0985393E-05
    2.5000000E-01   -6.5427159E-05    3.5028135E-05    9.7276114E-06    3.5613371E-05    1.5763361E-05    4.0810622E-08    1.0031161E-16    4.0848882E-07    3.9156603E-08    3.1246569E-09    2.6719807E-05    6.7278859E-04    3.2948515E-04    8.3063743E-05
    3.5000000E-01   -6.6255657E-05    3.5259574E-05    9.8659343E-06    3.5543441E-05    1.5866971E-05    3.8001303E-08    1.0000875E-16    4.8285689E-07    3.9418868E-08    3.1426998E-09    2.7648339E-05    6.7075728E-04    3.2849036E-04    8.2812954E-05
    4.5000000E-01   -6.7262161E-05    3.5589168E-05    1.0030351E-05    3.5577588E-05    1.6014827E-05    3.5398885E-08    1.0000053E-16    5.5739780E-07    3.9793173E-08    3.1699934E-09    2.8640988E-05    6.7070212E-04    3.2846334E-04    8.2806144E-05
    5.5000000E-01   -6.8276305E-05    3.5922101E-05    1.0195697E-05    3.5614642E-05    1.6164250E-05    3.3025063E-08    1.0000032E-16    6.3212441E-07    4.0174700E-08    3.1980925E-09    2.9637381E-05    6.7070073E-04    3.2846266E-04    8.2805972E-05
    6.5000000E-01   -6.9293373E-05    3.6255790E-05    1.0361285E-05    3.5651844E-05    1.6314075E-05    3.0855983E-08    1.0000031E-16    7.0703731E-07    4.0560453E-08    3.2267327E-09    3.0635849E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -7.0313184E-05    3.6590169E-05    1.0527099E-05    3.5689124E-05    1.6464274E-05    2.8869945E-08    1.0000031E-16    7.8213683E-07    4.0950239E-08    3.2558773E-09    3.1636333E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -7.1335683E-05    3.6925238E-05    1.0693138E-05    3.5726481E-05    1.6614846E-05    2.7047973E-08    1.0000031E-16    8.5742325E-07    4.1343952E-08    3.2854989E-09    3.2638813E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -7.2360823E-05    3.7260999E-05    1.0859402E-05    3.5763916E-05    1.6765794E-05    2.5373435E-08    1.0000031E-16    9.3289685E-07    4.1741500E-08    3.3155732E-09    3.3643277E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.3388561E-05    3.7597451E-05    1.1025892E-05    3.5801427E-05    1.6917116E-05    2.3831706E-08    1.0000031E-16    1.0085579E-06    4.2142805E-08    3.3460789E-09    3.4649710E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.4418863E-05    3.7934596E-05    1.1192609E-05    3.5839016E-05    1.7068813E-05    2.2409886E-08    1.0000031E-16    1.0844067E-06    4.2547798E-08    3.3769970E-09    3.5658104E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.5451697E-05    3.8272434E-05    1.1359552E-05    3.5876682E-05    1.7220887E-05    2.1096564E-08    1.0000031E-16    1.1604435E-06    4.2956417E-08    3.4083107E-09    3.6668447E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.6487035E-05    3.8610967E-05    1.1526721E-05    3.5914426E-05    1.7373337E-05    1.9881619E-08    1.0000031E-16    1.2366685E-06    4.3368611E-08    3.4400051E-09    3.7680733E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.7524853E-05    3.8950195E-05    1.1694117E-05    3.5952247E-05    1.7526164E-05    1.8756049E-08    1.0000031E-16    1.3130820E-06    4.3784333E-08    3.4720668E-09    3.8694956E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.8565130E-05    3.9290119E-05    1.1861739E-05    3.5990145E-05    1.7679369E-05    1.7711829E-08    1.0000031E-16    1.3896843E-06    4.4203541E-08    3.5044841E-09    3.9711112E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.9607846E-05    3.9630739E-05    1.2029589E-05    3.6028121E-05    1.7832951E-05    1.6741787E-08    1.0000031E-16    1.4664756E-06    4.4626200E-08    3.5372463E-09    4.0729195E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -8.0652985E-05    3.9972058E-05    1.2197667E-05    3.6066175E-05    1.7986912E-05    1.5839502E-08    1.0000031E-16    1.5434561E-06    4.5052279E-08    3.5703440E-09    4.1749202E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -8.1700531E-05    4.0314074E-05    1.2365971E-05    3.6104307E-05    1.8141252E-05    1.4999210E-08    1.0000031E-16    1.6206261E-06    4.5481749E-08    3.6037689E-09    4.2771127E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.2750473E-05    4.0656789E-05    1.2534504E-05    3.6142517E-05    1.8295972E-05    1.4215726E-08    1.0000031E-16    1.6979859E-06    4.5914587E-08    3.6375133E-09    4.3794967E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.3802799E-05    4.1000204E-05    1.2703264E-05    3.6180805E-05    1.8451071E-05    1.3484378E-08    1.0000031E-16    1.7755356E-06    4.6350770E-08    3.6715707E-09    4.4820720E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.4857497E-05    4.1344319E-05    1.2872252E-05    3.6219171E-05    1.8606551E-05    1.2800947E-08    1.0000031E-16    1.8532755E-06    4.6790280E-08    3.7059350E-09    4.5848382E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.5914560E-05    4.1689136E-05    1.3041468E-05    3.6257615E-05    1.8762412E-05    1.2161619E-08    1.0000031E-16    1.9312059E-06    4.7233100E-08    3.7406009E-09    4.6877953E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.6973979E-05    4.2034655E-05    1.3210912E-05    3.6296137E-05    1.8918654E-05    1.1562937E-08    1.0000031E-16    2.0093270E-06    4.7679215E-08    3.7755635E-09    4.7909430E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.8035748E-05    4.2380876E-05    1.3380585E-05    3.6334738E-05    1.9075278E-05    1.1001764E-08    1.0000031E-16    2.0876391E-06    4.8128613E-08    3.8108186E-09    4.8942811E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.9099860E-05    4.2727800E-05    1.3550486E-05    3.6373417E-05    1.9232284E-05    1.0475247E-08    1.0000031E-16    2.1661422E-06    4.8581283E-08    3.8463623E-09    4.9978096E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -9.0166310E-05    4.3075429E-05    1.3720616E-05    3.6412175E-05    1.9389674E-05    9.9807898E-09    1.0000031E-16    2.2448368E-06    4.9037216E-08    3.8821913E-09    5.1015284E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -9.1235093E-05    4.3423762E-05    1.3890975E-05    3.6451011E-05    1.9547446E-05    9.5160259E-09    1.0000031E-16    2.3237231E-06    4.9496402E-08    3.9183025E-09    5.2054375E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -9.2306205E-05    4.3772801E-05    1.4061563E-05    3.6489926E-05    1.9705602E-05    9.0787936E-09    1.0000031E-16    2.4028011E-06    4.9958836E-08    3.9546931E-09    5.3095366E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.9500000E+00   -9.3379642E-05    4.4122546E-05    1.4232380E-05    3.6528919E-05    1.9864143E-05    8.6671164E-09    1.0000031E-16    2.4820713E-06    5.0424510E-08    3.9913607E-09    5.4138259E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.0500000E+00   -9.4455402E-05    4.4472999E-05    1.4403426E-05    3.6567992E-05    2.0023068E-05    8.2791849E-09    1.0000031E-16    2.5615339E-06    5.0893421E-08    4.0283032E-09    5.5183053E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.1500000E+00   -9.5533482E-05    4.4824158E-05    1.4574701E-05    3.6607143E-05    2.0182378E-05    7.9133406E-09    1.0000031E-16    2.6411890E-06    5.1365564E-08    4.0655186E-09    5.6229749E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.2500000E+00   -9.6613880E-05    4.5176027E-05    1.4746205E-05    3.6646373E-05    2.0342074E-05    7.5680608E-09    1.0000031E-16    2.7210369E-06    5.1840936E-08    4.1030052E-09    5.7278345E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.3500000E+00   -9.7696593E-05    4.5528604E-05    1.4917939E-05    3.6685683E-05    2.0502156E-05    7.2419463E-09    1.0000031E-16    2.8010778E-06    5.2319534E-08    4.1407615E-09    5.8328843E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.4500000E+00   -9.8781621E-05    4.5881891E-05    1.5089902E-05    3.6725071E-05    2.0662624E-05    6.9337099E-09    1.0000031E-16    2.8813120E-06    5.2801357E-08    4.1787862E-09    5.9381242E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5500000E+00   -9.9868962E-05    4.6235889E-05    1.5262095E-05    3.6764539E-05    2.0823480E-05    6.6421658E-09    1.0000031E-16    2.9617398E-06    5.3286404E-08    4.2170782E-09    6.0435544E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.6500000E+00   -1.0095862E-04    4.6590598E-05    1.5434517E-05    3.6804086E-05    2.0984722E-05    6.3662206E-09    1.0000031E-16    3.0423612E-06    5.3774674E-08    4.2556363E-09    6.1491748E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.7500000E+00   -1.0205058E-04    4.6946019E-05    1.5607169E-05    3.6843712E-05    2.1146353E-05    6.1048650E-09    1.0000031E-16    3.1231767E-06    5.4266167E-08    4.2944597E-09    6.2549855E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.8500000E+00   -1.0314486E-04    4.7302153E-05    1.5780051E-05    3.6883418E-05    2.1308373E-05    5.8571663E-09    1.0000031E-16    3.2041863E-06    5.4760883E-08    4.3335476E-09    6.3609866E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.9500000E+00   -1.0424144E-04    4.7659000E-05    1.5953163E-05    3.6923204E-05    2.1470781E-05    5.6222619E-09    1.0000031E-16    3.2853904E-06    5.5258823E-08    4.3728994E-09    6.4671782E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.0500000E+00   -1.0534034E-04    4.8016561E-05    1.6126504E-05    3.6963069E-05    2.1633578E-05    5.3993529E-09    1.0000031E-16    3.3667892E-06    5.5759989E-08    4.4125144E-09    6.5735602E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.1500000E+00   -1.0644155E-04    4.8374837E-05    1.6300075E-05    3.7003013E-05    2.1796766E-05    5.1876991E-09    1.0000031E-16    3.4483828E-06    5.6264382E-08    4.4523923E-09    6.6801329E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.2500000E+00   -1.0754507E-04    4.8733829E-05    1.6473877E-05    3.7043038E-05    2.1960343E-05    4.9866138E-09    1.0000031E-16    3.5301716E-06    5.6772005E-08    4.4925326E-09    6.7868962E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.3500000E+00   -1.0865090E-04    4.9093536E-05    1.6647907E-05    3.7083142E-05    2.2124312E-05    4.7954594E-09    1.0000031E-16    3.6121558E-06    5.7282859E-08    4.5329351E-09    6.8938502E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
