# Time          3.0000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.2923870E-05    3.4656301E-05    9.2829346E-06    3.6634106E-05    1.5599619E-05    5.6354666E-08    1.0367197E-16    7.6272038E-08    3.8769994E-08    3.1120379E-09    2.2987767E-05    6.9532642E-04    3.4052262E-04    8.5846306E-05
    1.5000000E-01   -9.9792474E-05    5.4803241E-05    1.4761597E-05    5.7594534E-05    2.4667317E-05    3.6709941E-08    1.6287631E-16    1.9941143E-07    6.0972818E-08    4.8888484E-09    3.7131871E-05    1.0924091E-03    5.3498616E-04    1.3487088E-04
    2.5000000E-01   -1.0136977E-04    5.5293469E-05    1.5021379E-05    5.7586478E-05    2.4886617E-05    3.3730202E-08    1.6267791E-16    3.2384237E-07    6.1524841E-08    4.9264685E-09    3.8756704E-05    1.0910785E-03    5.3433449E-04    1.3470660E-04
    3.5000000E-01   -8.7375398E-05    4.7180830E-05    1.2975596E-05    4.8488810E-05    2.1233683E-05    3.4594857E-08    1.3675795E-16    4.2840626E-07    5.2575823E-08    4.2023591E-09    3.4682244E-05    9.1723366E-04    4.4919738E-04    1.1324339E-04
    4.5000000E-01   -7.6033963E-05    4.0597663E-05    1.1318149E-05    4.1094424E-05    1.8269542E-05    3.4842142E-08    1.1568703E-16    5.1611428E-07    4.5315675E-08    3.6153441E-09    3.1404427E-05    7.7591131E-04    3.7998750E-04    9.5795467E-05
    5.5000000E-01   -7.0939291E-05    3.7517399E-05    1.0581893E-05    3.7472089E-05    1.6882419E-05    3.3634034E-08    1.0531386E-16    5.9535147E-07    4.1925256E-08    3.3400281E-09    3.0271075E-05    7.0633858E-04    3.4591561E-04    8.7205888E-05
    6.5000000E-01   -6.9704215E-05    3.6594308E-05    1.0415105E-05    3.6163617E-05    1.6466456E-05    3.1743601E-08    1.0149996E-16    6.7150462E-07    4.0920458E-08    3.2567853E-09    3.0480913E-05    6.8075881E-04    3.3338841E-04    8.4047761E-05
    7.5000000E-01   -7.0051498E-05    3.6553915E-05    1.0481720E-05    3.5800116E-05    1.6447917E-05    2.9758518E-08    1.0036424E-16    7.4684611E-07    4.0894345E-08    3.2524155E-09    3.1244982E-05    6.7314153E-04    3.2965800E-04    8.3107317E-05
    8.5000000E-01   -7.0903374E-05    3.6794224E-05    1.0622650E-05    3.5736417E-05    1.6555803E-05    2.7877557E-08    1.0007796E-16    8.2211696E-07    4.1181777E-08    3.2734187E-09    3.2187020E-05    6.7122144E-04    3.2871767E-04    8.2870260E-05
    9.5000000E-01   -7.1890084E-05    3.7108927E-05    1.0783317E-05    3.5751641E-05    1.6697241E-05    2.6138402E-08    1.0001512E-16    8.9751717E-07    4.1554602E-08    3.3014374E-09    3.3177473E-05    6.7080001E-04    3.2851128E-04    8.2818229E-05
    1.0500000E+00   -7.2909359E-05    3.7441013E-05    1.0948631E-05    3.5784794E-05    1.6846567E-05    2.4536596E-08    1.0000287E-16    9.7309326E-07    4.1949689E-08    3.3313817E-09    3.4180435E-05    6.7071785E-04    3.2847105E-04    8.2808085E-05
    1.1500000E+00   -7.3937195E-05    3.7777124E-05    1.1115054E-05    3.5821587E-05    1.6997770E-05    2.3060268E-08    1.0000072E-16    1.0488549E-06    4.2352184E-08    3.3620437E-09    3.5187468E-05    6.7070341E-04    3.2846397E-04    8.2806302E-05
    1.2500000E+00   -7.4968648E-05    3.8114526E-05    1.1281861E-05    3.5859095E-05    1.7149617E-05    2.1697575E-08    1.0000037E-16    1.1248042E-06    4.2758994E-08    3.3931623E-09    3.6196833E-05    6.7070110E-04    3.2846284E-04    8.2806017E-05
    1.3500000E+00   -7.6002793E-05    3.8452719E-05    1.1448920E-05    3.5896785E-05    1.7301884E-05    2.0437839E-08    1.0000032E-16    1.2009415E-06    4.3169509E-08    3.4246773E-09    3.7208205E-05    6.7070075E-04    3.2846267E-04    8.2805975E-05
    1.4500000E+00   -7.7039455E-05    3.8791621E-05    1.1616210E-05    3.5934567E-05    1.7454535E-05    1.9271555E-08    1.0000031E-16    1.2772672E-06    4.3583590E-08    3.4565672E-09    3.8221527E-05    6.7070071E-04    3.2846265E-04    8.2805969E-05
    1.5500000E+00   -7.8078590E-05    3.9131221E-05    1.1783727E-05    3.5972429E-05    1.7607563E-05    1.8190257E-08    1.0000031E-16    1.3537816E-06    4.4001178E-08    3.4888183E-09    3.9236785E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.9120172E-05    3.9471518E-05    1.1951471E-05    3.6010370E-05    1.7760970E-05    1.7186391E-08    1.0000031E-16    1.4304849E-06    4.4422233E-08    3.5214194E-09    4.0253972E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -8.0164186E-05    3.9812512E-05    1.2119443E-05    3.6048387E-05    1.7914755E-05    1.6253195E-08    1.0000031E-16    1.5073773E-06    4.4846723E-08    3.5543605E-09    4.1273085E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -8.1210614E-05    4.0154203E-05    1.2287642E-05    3.6086483E-05    1.8068918E-05    1.5384609E-08    1.0000031E-16    1.5844591E-06    4.5274617E-08    3.5876326E-09    4.2294118E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.2259444E-05    4.0496594E-05    1.2456068E-05    3.6124657E-05    1.8223461E-05    1.4575186E-08    1.0000031E-16    1.6617306E-06    4.5705889E-08    3.6212279E-09    4.3317068E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.3310662E-05    4.0839684E-05    1.2624722E-05    3.6162908E-05    1.8378384E-05    1.3820023E-08    1.0000031E-16    1.7391919E-06    4.6140516E-08    3.6551393E-09    4.4341932E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.4364258E-05    4.1183474E-05    1.2793604E-05    3.6201238E-05    1.8533687E-05    1.3114696E-08    1.0000031E-16    1.8168434E-06    4.6578479E-08    3.6893603E-09    4.5368708E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.5420223E-05    4.1527965E-05    1.2962714E-05    3.6239646E-05    1.8689370E-05    1.2455207E-08    1.0000031E-16    1.8946852E-06    4.7019759E-08    3.7238855E-09    4.6397392E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.6478547E-05    4.1873157E-05    1.3132053E-05    3.6278132E-05    1.8845435E-05    1.1837937E-08    1.0000031E-16    1.9727176E-06    4.7464341E-08    3.7587097E-09    4.7427983E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.7539225E-05    4.2219052E-05    1.3301619E-05    3.6316696E-05    1.9001882E-05    1.1259605E-08    1.0000031E-16    2.0509408E-06    4.7912213E-08    3.7938284E-09    4.8460480E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.8602248E-05    4.2565650E-05    1.3471414E-05    3.6355339E-05    1.9158710E-05    1.0717228E-08    1.0000031E-16    2.1293551E-06    4.8363361E-08    3.8292376E-09    4.9494881E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -8.9667612E-05    4.2912951E-05    1.3641438E-05    3.6394060E-05    1.9315921E-05    1.0208095E-08    1.0000031E-16    2.2079606E-06    4.8817775E-08    3.8649335E-09    5.0531185E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -9.0735311E-05    4.3260957E-05    1.3811691E-05    3.6432860E-05    1.9473515E-05    9.7297344E-09    1.0000031E-16    2.2867577E-06    4.9275447E-08    3.9009131E-09    5.1569392E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -9.1805341E-05    4.3609668E-05    1.3982172E-05    3.6471738E-05    1.9631493E-05    9.2798910E-09    1.0000031E-16    2.3657466E-06    4.9736370E-08    3.9371735E-09    5.2609500E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.9500000E+00   -9.2877698E-05    4.3959086E-05    1.4152882E-05    3.6510695E-05    1.9789855E-05    8.8565047E-09    1.0000031E-16    2.4449274E-06    5.0200536E-08    3.9737120E-09    5.3651510E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.0500000E+00   -9.3952379E-05    4.4309210E-05    1.4323821E-05    3.6549731E-05    1.9948601E-05    8.4576901E-09    1.0000031E-16    2.5243005E-06    5.0667941E-08    4.0105263E-09    5.4695421E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.1500000E+00   -9.5029381E-05    4.4660041E-05    1.4494990E-05    3.6588845E-05    2.0107732E-05    8.0817200E-09    1.0000031E-16    2.6038661E-06    5.1138580E-08    4.0476146E-09    5.5741234E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.2500000E+00   -9.6108702E-05    4.5011580E-05    1.4666388E-05    3.6628039E-05    2.0267249E-05    7.7270099E-09    1.0000031E-16    2.6836243E-06    5.1612449E-08    4.0849748E-09    5.6788947E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.3500000E+00   -9.7190340E-05    4.5363828E-05    1.4838015E-05    3.6667312E-05    2.0427151E-05    7.3921045E-09    1.0000031E-16    2.7635755E-06    5.2089545E-08    4.1226054E-09    5.7838562E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.4500000E+00   -9.8274292E-05    4.5716786E-05    1.5009872E-05    3.6706663E-05    2.0587440E-05    7.0756655E-09    1.0000031E-16    2.8437199E-06    5.2569868E-08    4.1605051E-09    5.8890078E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5500000E+00   -9.9360559E-05    4.6070453E-05    1.5181958E-05    3.6746094E-05    2.0748115E-05    6.7764610E-09    1.0000031E-16    2.9240576E-06    5.3053414E-08    4.1986725E-09    5.9943496E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
