# Time          2.5000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5494387E+00   -5.5452858E+00   -4.9250050E+00   -5.4971759E+00   -4.9007757E+00   -5.2716493E+00   -7.2764591E+00   -1.6448988E+01   -7.5941091E+00   -7.8538661E+00   -8.9486694E+00   -5.0979403E+00   -3.6698355E+00   -3.9325033E+00   -4.5309342E+00   -7.8960454E+00   -1.0034600E+01   -7.2503943E+00   -4.6081833E+00   -1.6942206E+01   -8.7074348E+00   -9.4084076E+00   -9.7610424E+00   -1.1687845E+01   -1.4411966E+01   -1.5798172E+01   -1.0286343E+01   -1.2871748E+01   -1.4775663E+01   -9.0923967E+00   -9.5679545E+00   -1.3783456E+01   -9.2330429E+00
    1.5000000E-01    5.5258216E+00   -5.5204044E+00   -4.6765181E+00   -5.2466055E+00   -4.6544271E+00   -5.0231604E+00   -7.4425636E+00   -1.6202894E+01   -7.1490978E+00   -7.6219462E+00   -8.7175994E+00   -4.8453492E+00   -3.4214893E+00   -3.6864093E+00   -4.2848411E+00   -8.1194745E+00   -1.0305264E+01   -7.4463017E+00   -4.3821439E+00   -1.6731618E+01   -8.9557913E+00   -9.1400160E+00   -9.5307581E+00   -1.1193814E+01   -1.4186332E+01   -1.5822964E+01   -9.7943871E+00   -1.2395592E+01   -1.4552103E+01   -9.1147047E+00   -9.3616277E+00   -1.3333851E+01   -8.7611319E+00
    2.5000000E-01    5.5203884E+00   -5.5142057E+00   -4.5517487E+00   -5.1196094E+00   -4.5319785E+00   -4.8983930E+00   -7.5535053E+00   -1.6080722E+01   -6.8806016E+00   -7.5012771E+00   -8.5974345E+00   -4.7127444E+00   -3.2988635E+00   -3.5642380E+00   -4.1626703E+00   -8.2473890E+00   -1.0444044E+01   -7.5664041E+00   -4.2641517E+00   -1.6606688E+01   -9.0899385E+00   -9.0132179E+00   -9.4027869E+00   -1.0946254E+01   -1.4065575E+01   -1.5838571E+01   -9.5490482E+00   -1.2144447E+01   -1.4433566E+01   -9.1193392E+00   -9.2466897E+00   -1.3097319E+01   -8.5199655E+00
    3.5000000E-01    5.5221063E+00   -5.5155567E+00   -4.4961009E+00   -5.0613013E+00   -4.4791544E+00   -4.8427546E+00   -7.6218191E+00   -1.6028237E+01   -6.6978763E+00   -7.4468846E+00   -8.5435143E+00   -4.6469604E+00   -3.2465844E+00   -3.5117526E+00   -4.1101852E+00   -8.3151929E+00   -1.0508413E+01   -7.6347817E+00   -4.2097699E+00   -1.6535933E+01   -9.1564093E+00   -8.9628388E+00   -9.3349002E+00   -1.0836235E+01   -1.4005937E+01   -1.5848058E+01   -9.4416862E+00   -1.2021680E+01   -1.4376586E+01   -9.1172369E+00   -9.1894458E+00   -1.2985954E+01   -8.4107034E+00
    4.5000000E-01    5.5269336E+00   -5.5202316E+00   -4.4728645E+00   -5.0350545E+00   -4.4591696E+00   -4.8195322E+00   -7.6699841E+00   -1.6008645E+01   -6.5641230E+00   -7.4240808E+00   -8.5211866E+00   -4.6122092E+00   -3.2274846E+00   -3.4921605E+00   -4.0905931E+00   -8.3549178E+00   -1.0538483E+01   -7.6788581E+00   -4.1856827E+00   -1.6490889E+01   -9.1914671E+00   -8.9482355E+00   -9.2951616E+00   -1.0790719E+01   -1.3975024E+01   -1.5855212E+01   -9.3991784E+00   -1.1959024E+01   -1.4348682E+01   -9.1122497E+00   -9.1600557E+00   -1.2933962E+01   -8.3636991E+00
    5.5000000E-01    5.5330652E+00   -5.5263010E+00   -4.4626137E+00   -5.0216159E+00   -4.4524224E+00   -4.8092969E+00   -7.7102734E+00   -1.6002324E+01   -6.4603964E+00   -7.4139795E+00   -8.5115472E+00   -4.5899212E+00   -3.2217826E+00   -3.4858398E+00   -4.0842723E+00   -8.3834404E+00   -1.0554742E+01   -7.7133177E+00   -4.1737835E+00   -1.6456076E+01   -9.2139236E+00   -8.9481125E+00   -9.2666764E+00   -1.0771091E+01   -1.3955520E+01   -1.5861351E+01   -9.3827381E+00   -1.1920419E+01   -1.4332365E+01   -9.1060526E+00   -9.1418301E+00   -1.2905746E+01   -8.3416798E+00
    6.5000000E-01    5.5396588E+00   -5.5328631E+00   -4.4567939E+00   -5.0125712E+00   -4.4502085E+00   -4.8034918E+00   -7.7476829E+00   -1.6000553E+01   -6.3762138E+00   -7.4081950E+00   -8.5061924E+00   -4.5721317E+00   -3.2206822E+00   -3.4840689E+00   -4.0825014E+00   -8.4079131E+00   -1.0566028E+01   -7.7442858E+00   -4.1660566E+00   -1.6424968E+01   -9.2318358E+00   -8.9529684E+00   -9.2422604E+00   -1.0760342E+01   -1.3939915E+01   -1.5866882E+01   -9.3752134E+00   -1.1890249E+01   -1.4319985E+01   -9.0994262E+00   -9.1274115E+00   -1.2885638E+01   -8.3281988E+00
    7.5000000E-01    5.5463652E+00   -5.5395472E+00   -4.4522827E+00   -5.0048736E+00   -4.4493229E+00   -4.7989939E+00   -7.7838386E+00   -1.6000117E+01   -6.3054981E+00   -7.4036589E+00   -8.5020461E+00   -4.5560012E+00   -3.2209364E+00   -3.4836328E+00   -4.0820652E+00   -8.4308347E+00   -1.0575537E+01   -7.7738437E+00   -4.1595807E+00   -1.6395330E+01   -9.2480746E+00   -8.9592626E+00   -9.2193998E+00   -1.0752256E+01   -1.3925535E+01   -1.5871927E+01   -9.3703134E+00   -1.1862924E+01   -1.4308791E+01   -9.0926961E+00   -9.1141590E+00   -1.2867968E+01   -8.3172589E+00
    8.5000000E-01    5.5530632E+00   -5.5462250E+00   -4.4481243E+00   -4.9975959E+00   -4.4487752E+00   -4.7948469E+00   -7.8191918E+00   -1.6000022E+01   -6.2445459E+00   -7.3994320E+00   -8.4981691E+00   -4.5406629E+00   -3.2215396E+00   -3.4835371E+00   -4.0819694E+00   -8.4529531E+00   -1.0584259E+01   -7.8025969E+00   -4.1534646E+00   -1.6366511E+01   -9.2635162E+00   -8.9658862E+00   -9.1973423E+00   -1.0744925E+01   -1.3911581E+01   -1.5876533E+01   -9.3661018E+00   -1.1836750E+01   -1.4297956E+01   -9.0859769E+00   -9.1012818E+00   -1.2851017E+01   -8.3070268E+00
    9.5000000E-01    5.5597172E+00   -5.5528593E+00   -4.4440674E+00   -4.9904942E+00   -4.4483034E+00   -4.7907996E+00   -7.8538680E+00   -1.6000003E+01   -6.1909771E+00   -7.3952695E+00   -8.4943193E+00   -4.5258717E+00   -3.2222245E+00   -3.4835181E+00   -4.0819504E+00   -8.4744784E+00   -1.0592476E+01   -7.8307145E+00   -4.1474747E+00   -1.6338329E+01   -9.2784082E+00   -8.9725421E+00   -9.1758763E+00   -1.0737846E+01   -1.3897846E+01   -1.5880735E+01   -9.3620675E+00   -1.1811269E+01   -1.4287265E+01   -9.0793021E+00   -9.0885762E+00   -1.2834337E+01   -8.2970215E+00
