# Time          2.2500E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    5.0732999E-03    9.1907042E-02
    1.5000000E-01    7.9465539E-03    1.4358250E-01
    2.5000000E-01    9.3275539E-03    1.6857245E-01
    3.5000000E-01    9.7889374E-03    1.7711015E-01
    4.5000000E-01    9.9003925E-03    1.7938658E-01
    5.5000000E-01    9.9125975E-03    1.7988765E-01
    6.5000000E-01    9.9020218E-03    1.7998206E-01
    7.5000000E-01    9.8869824E-03    1.7999770E-01
    8.5000000E-01    9.8711378E-03    1.8000006E-01
    9.5000000E-01    9.8551204E-03    1.8000042E-01
    1.0500000E+00    9.8390279E-03    1.8000051E-01
    1.1500000E+00    9.8228749E-03    1.8000056E-01
    1.2500000E+00    9.8066640E-03    1.8000062E-01
    1.3500000E+00    9.7903966E-03    1.8000067E-01
    1.4500000E+00    9.7740736E-03    1.8000072E-01
    1.5500000E+00    9.7576959E-03    1.8000077E-01
    1.6500000E+00    9.7412643E-03    1.8000082E-01
    1.7500000E+00    9.7247795E-03    1.8000088E-01
    1.8500000E+00    9.7082423E-03    1.8000093E-01
    1.9500000E+00    9.6916533E-03    1.8000098E-01
    2.0500000E+00    9.6750130E-03    1.8000104E-01
    2.1500000E+00    9.6583221E-03    1.8000109E-01
    2.2500000E+00    9.6415810E-03    1.8000114E-01
    2.3500000E+00    9.6247903E-03    1.8000120E-01
    2.4500000E+00    9.6079504E-03    1.8000125E-01
    2.5500000E+00    9.5910617E-03    1.8000130E-01
    2.6500000E+00    9.5741246E-03    1.8000136E-01
    2.7500000E+00    9.5571395E-03    1.8000141E-01
    2.8500000E+00    9.5401067E-03    1.8000147E-01
    2.9500000E+00    9.5230267E-03    1.8000152E-01
    3.0500000E+00    9.5058996E-03    1.8000157E-01
    3.1500000E+00    9.4887259E-03    1.8000163E-01
    3.2500000E+00    9.4715057E-03    1.8000168E-01
    3.3500000E+00    9.4542394E-03    1.8000174E-01
    3.4500000E+00    9.4369272E-03    1.8000179E-01
    3.5500000E+00    9.4195693E-03    1.8000185E-01
    3.6500000E+00    9.4021660E-03    1.8000190E-01
    3.7500000E+00    9.3847175E-03    1.8000196E-01
    3.8500000E+00    9.3672239E-03    1.8000202E-01
    3.9500000E+00    9.3496856E-03    1.8000207E-01
    4.0500000E+00    9.3321026E-03    1.8000213E-01
    4.1500000E+00    9.3144752E-03    1.8000218E-01
    4.2500000E+00    9.2968034E-03    1.8000224E-01
    4.3500000E+00    9.2790876E-03    1.8000230E-01
    4.4500000E+00    9.2613277E-03    1.8000235E-01
    4.5500000E+00    9.2435241E-03    1.8000241E-01
    4.6500000E+00    9.2256767E-03    1.8000247E-01
    4.7500000E+00    9.2077858E-03    1.8000252E-01
    4.8500000E+00    9.1898514E-03    1.8000258E-01
    4.9500000E+00    9.1718737E-03    1.8000264E-01
    5.0500000E+00    9.1538528E-03    1.8000269E-01
    5.1500000E+00    9.1357888E-03    1.8000275E-01
    5.2500000E+00    9.1176818E-03    1.8000281E-01
    5.3500000E+00    9.0995319E-03    1.8000287E-01
    5.4500000E+00    9.0813392E-03    1.8000293E-01
    5.5500000E+00    9.0631038E-03    1.8000298E-01
    5.6500000E+00    9.0448257E-03    1.8000304E-01
    5.7500000E+00    9.0265051E-03    1.8000310E-01
    5.8500000E+00    9.0081421E-03    1.8000316E-01
    5.9500000E+00    8.9897366E-03    1.8000322E-01
    6.0500000E+00    8.9712888E-03    1.8000328E-01
    6.1500000E+00    8.9527987E-03    1.8000333E-01
    6.2500000E+00    8.9342665E-03    1.8000339E-01
    6.3500000E+00    8.9156921E-03    1.8000345E-01
    6.4500000E+00    8.8970756E-03    1.8000351E-01
    6.5500000E+00    8.8784171E-03    1.8000357E-01
    6.6500000E+00    8.8597167E-03    1.8000363E-01
    6.7500000E+00    8.8409743E-03    1.8000369E-01
    6.8500000E+00    8.8221901E-03    1.8000375E-01
    6.9500000E+00    8.8033641E-03    1.8000381E-01
    7.0500000E+00    8.7844962E-03    1.8000387E-01
    7.1500000E+00    8.7655867E-03    1.8000393E-01
    7.2500000E+00    8.7466354E-03    1.8000399E-01
