# Time series at grid cell:   4   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.44089121739992E-05   9.44278589993921E-06   3.54459324779063E-05   1.54859284501819E-05   4.59347306936769E-08   1.00000313914774E-16   2.92964225188624E-07   2.51086293662834E-05   6.70700700413987E-04   5.52779966200048E+00   3.84797514355966E-08   3.07606403788709E-09
  2.00000E-02                3.44089121735430E-05   9.44278589958257E-06   3.54459324778558E-05   1.54859284499416E-05   4.59347290200621E-08   1.00000313914774E-16   2.92964225068459E-07   2.51086293632984E-05   6.70700700809148E-04   5.52779966198678E+00   3.84797514259526E-08   3.07606403710093E-09
  3.00000E-02                3.44089121730897E-05   9.44278589922596E-06   3.54459324778052E-05   1.54859284497011E-05   4.59347288431440E-08   1.00000313914774E-16   2.92964224948230E-07   2.51086293614985E-05   6.70700700809264E-04   5.52779966197528E+00   3.84797514242991E-08   3.07606403697209E-09
  4.00000E-02                3.44089121726361E-05   9.44278589886927E-06   3.54459324777546E-05   1.54859284494605E-05   4.59347288245237E-08   1.00000313914774E-16   2.92964224827935E-07   2.51086293598566E-05   6.70700700809267E-04   5.52779966196410E+00   3.84797514237107E-08   3.07606403693085E-09
  5.00000E-02                3.44089121721823E-05   9.44278589851249E-06   3.54459324777040E-05   1.54859284492198E-05   4.59347288269847E-08   1.00000313914774E-16   2.92964224707576E-07   2.51086293582351E-05   6.70700700809267E-04   5.52779966195295E+00   3.84797514232634E-08   3.07606403690123E-09
  5.00000E-02                3.44089121717283E-05   9.44278589815563E-06   3.54459324776534E-05   1.54859284489789E-05   4.59347288322568E-08   1.00000313914774E-16   2.92964224587151E-07   2.51086293566158E-05   6.70700700809267E-04   5.52779966195298E+00   3.84797514228340E-08   3.07606403687309E-09
  5.00000E-02                3.44089121717283E-05   9.44278589815563E-06   3.54459324776534E-05   1.54859284489789E-05   4.59347288322491E-08   1.00000313914774E-16   2.92964224587151E-07   2.51086293566158E-05   6.70700700809276E-04   5.52779966195298E+00   3.84797514228340E-08   3.07606403687309E-09
  5.00000E-02                3.44089121717283E-05   9.44278589815563E-06   3.54459324776534E-05   1.54859284489789E-05   4.59347288322491E-08   1.00000313914774E-16   2.92964224587151E-07   2.51086293566158E-05   6.70700700809276E-04   5.52779966195298E+00   3.84797514228340E-08   3.07606403687309E-09
  5.00000E-02                3.44089121717283E-05   9.44278589815563E-06   3.54459324776534E-05   1.54859284489789E-05   4.59347288322491E-08   1.00000313914774E-16   2.92964224587151E-07   2.51086293566158E-05   6.70700700809276E-04   5.52779966195298E+00   3.84797514228340E-08   3.07606403687309E-09
  5.00000E-02                3.44089121717283E-05   9.44278589815563E-06   3.54459324776534E-05   1.54859284489789E-05   4.59347288322491E-08   1.00000313914774E-16   2.92964224587151E-07   2.51086293566158E-05   6.70700700809276E-04   5.52779966195298E+00   3.84797514228340E-08   3.07606403687309E-09
