# Time          1.7500E+00
    Distance         pH
  5.0000E-02    5.5104E+00
  1.5000E-01    5.5135E+00
  2.5000E-01    5.5200E+00
  3.5000E-01    5.5269E+00
  4.5000E-01    5.5338E+00
  5.5000E-01    5.5406E+00
  6.5000E-01    5.5473E+00
  7.5000E-01    5.5540E+00
  8.5000E-01    5.5607E+00
  9.5000E-01    5.5673E+00
  1.0500E+00    5.5738E+00
  1.1500E+00    5.5803E+00
  1.2500E+00    5.5867E+00
  1.3500E+00    5.5931E+00
  1.4500E+00    5.5995E+00
  1.5500E+00    5.6057E+00
  1.6500E+00    5.6120E+00
  1.7500E+00    5.6182E+00
  1.8500E+00    5.6243E+00
  1.9500E+00    5.6304E+00
  2.0500E+00    5.6364E+00
  2.1500E+00    5.6424E+00
  2.2500E+00    5.6484E+00
  2.3500E+00    5.6543E+00
  2.4500E+00    5.6602E+00
  2.5500E+00    5.6660E+00
  2.6500E+00    5.6718E+00
  2.7500E+00    5.6775E+00
  2.8500E+00    5.6832E+00
  2.9500E+00    5.6889E+00
  3.0500E+00    5.6945E+00
  3.1500E+00    5.7001E+00
  3.2500E+00    5.7057E+00
  3.3500E+00    5.7112E+00
  3.4500E+00    5.7167E+00
  3.5500E+00    5.7221E+00
  3.6500E+00    5.7275E+00
  3.7500E+00    5.7329E+00
  3.8500E+00    5.7383E+00
  3.9500E+00    5.7436E+00
  4.0500E+00    5.7489E+00
  4.1500E+00    5.7541E+00
  4.2500E+00    5.7593E+00
  4.3500E+00    5.7645E+00
  4.4500E+00    5.7697E+00
  4.5500E+00    5.7748E+00
  4.6500E+00    5.7799E+00
  4.7500E+00    5.7850E+00
  4.8500E+00    5.7901E+00
  4.9500E+00    5.7951E+00
  5.0500E+00    5.8001E+00
  5.1500E+00    5.8051E+00
  5.2500E+00    5.8100E+00
  5.3500E+00    5.8149E+00
  5.4500E+00    5.8198E+00
  5.5500E+00    5.8247E+00
  5.6500E+00    5.8295E+00
  5.7500E+00    5.8344E+00
  5.8500E+00    5.8392E+00
  5.9500E+00    5.8440E+00
  6.0500E+00    5.8487E+00
  6.1500E+00    5.8534E+00
  6.2500E+00    5.8582E+00
  6.3500E+00    5.8629E+00
  6.4500E+00    5.8675E+00
  6.5500E+00    5.8722E+00
  6.6500E+00    5.8768E+00
  6.7500E+00    5.8814E+00
  6.8500E+00    5.8860E+00
  6.9500E+00    5.8906E+00
  7.0500E+00    5.8951E+00
  7.1500E+00    5.8997E+00
  7.2500E+00    5.9042E+00
  7.3500E+00    5.9087E+00
  7.4500E+00    5.9132E+00
  7.5500E+00    5.9177E+00
  7.6500E+00    5.9221E+00
  7.7500E+00    5.9265E+00
  7.8500E+00    5.9310E+00
  7.9500E+00    5.9354E+00
  8.0500E+00    5.9398E+00
  8.1500E+00    5.9441E+00
  8.2500E+00    5.9485E+00
  8.3500E+00    5.9528E+00
  8.4500E+00    5.9572E+00
  8.5500E+00    5.9615E+00
  8.6500E+00    5.9658E+00
  8.7500E+00    5.9700E+00
  8.8500E+00    5.9743E+00
  8.9500E+00    5.9786E+00
  9.0500E+00    5.9828E+00
  9.1500E+00    5.9871E+00
  9.2500E+00    5.9913E+00
  9.3500E+00    5.9955E+00
  9.4500E+00    5.9997E+00
  9.5500E+00    6.0039E+00
  9.6500E+00    6.0080E+00
  9.7500E+00    6.0122E+00
  9.8500E+00    6.0163E+00
  9.9500E+00    6.0205E+00
  1.0050E+01    6.0246E+00
  1.0150E+01    6.0287E+00
  1.0250E+01    6.0328E+00
  1.0350E+01    6.0369E+00
  1.0450E+01    6.0410E+00
  1.0550E+01    6.0451E+00
  1.0650E+01    6.0492E+00
  1.0750E+01    6.0532E+00
  1.0850E+01    6.0573E+00
  1.0950E+01    6.0613E+00
  1.1050E+01    6.0653E+00
  1.1150E+01    6.0693E+00
  1.1250E+01    6.0734E+00
  1.1350E+01    6.0774E+00
  1.1450E+01    6.0814E+00
  1.1550E+01    6.0853E+00
