# Time          5.0000E-02
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1628476E-14   -4.0115323E-11   -1.6226745E-10   -3.2554263E-11    1.1830340E-10    9.7720036E-12
    1.5000000E-01   -2.0248725E-14   -4.0132373E-11   -1.6260346E-10   -3.2635729E-11    1.1721974E-10    9.6675521E-12
    2.5000000E-01   -1.8865778E-14   -4.0149434E-11   -1.6294018E-10   -3.2717381E-11    1.1735226E-10    9.6651789E-12
    3.5000000E-01   -1.7479717E-14   -4.0166503E-11   -1.6327757E-10   -3.2799212E-11    1.1749683E-10    9.6652344E-12
    4.5000000E-01   -1.6090608E-14   -4.0183578E-11   -1.6361559E-10   -3.2881213E-11    1.1765087E-10    9.6673386E-12
    5.5000000E-01   -1.4698507E-14   -4.0200657E-11   -1.6395420E-10   -3.2963375E-11    1.1781297E-10    9.6712319E-12
    6.5000000E-01   -1.3303459E-14   -4.0217737E-11   -1.6429339E-10   -3.3045692E-11    1.1798200E-10    9.6766924E-12
    7.5000000E-01   -1.1905506E-14   -4.0234816E-11   -1.6463312E-10   -3.3128158E-11    1.1815699E-10    9.6835293E-12
    8.5000000E-01   -1.0504681E-14   -4.0251891E-11   -1.6497337E-10   -3.3210767E-11    1.1833716E-10    9.6915784E-12
    9.5000000E-01   -9.1010139E-15   -4.0268961E-11   -1.6531411E-10   -3.3293513E-11    1.1852184E-10    9.7006974E-12
    1.0500000E+00   -7.6945298E-15   -4.0286024E-11   -1.6565534E-10   -3.3376393E-11    1.1871046E-10    9.7107631E-12
    1.1500000E+00   -6.2852507E-15   -4.0303076E-11   -1.6599703E-10   -3.3459403E-11    1.1890255E-10    9.7216681E-12
    1.2500000E+00   -4.8731953E-15   -4.0320117E-11   -1.6633916E-10   -3.3542538E-11    1.1909771E-10    9.7333188E-12
    1.3500000E+00   -3.4583800E-15   -4.0337144E-11   -1.6668173E-10   -3.3625797E-11    1.1929558E-10    9.7456332E-12
