# Time          2.2500E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -3.6764512E-14   -4.0116569E-11   -1.6226745E-10   -3.2554263E-11   -3.9450138E-11   -3.2608279E-12
    1.5000000E-01   -2.7191416E-14   -4.0133198E-11   -1.6260346E-10   -3.2635729E-11    1.2909019E-10    1.0653989E-11
    2.5000000E-01   -2.1792298E-14   -4.0149858E-11   -1.6294018E-10   -3.2717381E-11    1.1992680E-10    9.8858864E-12
    3.5000000E-01   -1.9026929E-14   -4.0166752E-11   -1.6327757E-10   -3.2799212E-11    1.1819336E-10    9.7314348E-12
    4.5000000E-01   -1.7270434E-14   -4.0183784E-11   -1.6361559E-10   -3.2881213E-11    1.1796711E-10    9.7017015E-12
    5.5000000E-01   -1.5799082E-14   -4.0200865E-11   -1.6395420E-10   -3.2963375E-11    1.1803260E-10    9.6968548E-12
    6.5000000E-01   -1.4390931E-14   -4.0217958E-11   -1.6429339E-10   -3.3045692E-11    1.1816520E-10    9.6985213E-12
    7.5000000E-01   -1.2992686E-14   -4.0235054E-11   -1.6463312E-10   -3.3128158E-11    1.1831770E-10    9.7027793E-12
    8.5000000E-01   -1.1593714E-14   -4.0252148E-11   -1.6497337E-10   -3.3210767E-11    1.1847992E-10    9.7087010E-12
    9.5000000E-01   -1.0192204E-14   -4.0269237E-11   -1.6531411E-10   -3.3293513E-11    1.1864923E-10    9.7159787E-12
    1.0500000E+00   -8.7879015E-15   -4.0286320E-11   -1.6565534E-10   -3.3376393E-11    1.1882449E-10    9.7244328E-12
    1.1500000E+00   -7.3807928E-15   -4.0303394E-11   -1.6599703E-10   -3.3459403E-11    1.1900491E-10    9.7339216E-12
    1.2500000E+00   -5.9708942E-15   -4.0320457E-11   -1.6633916E-10   -3.3542538E-11    1.1918982E-10    9.7443243E-12
    1.3500000E+00   -4.5582234E-15   -4.0337508E-11   -1.6668174E-10   -3.3625797E-11    1.1937868E-10    9.7555362E-12
    1.4500000E+00   -3.1427960E-15   -4.0354544E-11   -1.6702473E-10   -3.3709175E-11    1.1957101E-10    9.7674663E-12
    1.5500000E+00   -1.7246258E-15   -4.0371563E-11   -1.6736814E-10   -3.3792672E-11    1.1976642E-10    9.7800351E-12
    1.6500000E+00   -3.0372371E-16   -4.0388564E-11   -1.6771195E-10   -3.3876284E-11    1.1996456E-10    9.7931733E-12
    1.7500000E+00    0.0000000E+00   -4.0405544E-11   -1.6805616E-10   -3.3960009E-11    1.2016514E-10    9.8068200E-12
    1.8500000E+00    0.0000000E+00   -4.0422502E-11   -1.6840076E-10   -3.4043848E-11    1.2036790E-10    9.8209217E-12
    1.9500000E+00    0.0000000E+00   -4.0439434E-11   -1.6874575E-10   -3.4127797E-11    1.2057261E-10    9.8354312E-12
    2.0500000E+00    0.0000000E+00   -4.0456341E-11   -1.6909111E-10   -3.4211856E-11    1.2077910E-10    9.8503071E-12
    2.1500000E+00    0.0000000E+00   -4.0473218E-11   -1.6943685E-10   -3.4296024E-11    1.2098718E-10    9.8655127E-12
    2.2500000E+00    0.0000000E+00   -4.0490065E-11   -1.6978297E-10   -3.4380300E-11    1.2119672E-10    9.8810155E-12
    2.3500000E+00    0.0000000E+00   -4.0506879E-11   -1.7012945E-10   -3.4464683E-11    1.2140758E-10    9.8967867E-12
    2.4500000E+00    0.0000000E+00   -4.0523658E-11   -1.7047630E-10   -3.4549173E-11    1.2161965E-10    9.9128008E-12
    2.5500000E+00    0.0000000E+00   -4.0540400E-11   -1.7082351E-10   -3.4633769E-11    1.2183283E-10    9.9290350E-12
    2.6500000E+00    0.0000000E+00   -4.0557102E-11   -1.7117109E-10   -3.4718470E-11    1.2204703E-10    9.9454690E-12
    2.7500000E+00    0.0000000E+00   -4.0573762E-11   -1.7151902E-10   -3.4803277E-11    1.2226217E-10    9.9620849E-12
    2.8500000E+00    0.0000000E+00   -4.0590379E-11   -1.7186732E-10   -3.4888189E-11    1.2247818E-10    9.9788665E-12
    2.9500000E+00    0.0000000E+00   -4.0606948E-11   -1.7221597E-10   -3.4973206E-11    1.2269500E-10    9.9957993E-12
    3.0500000E+00    0.0000000E+00   -4.0623469E-11   -1.7256499E-10   -3.5058327E-11    1.2291258E-10    1.0012870E-11
    3.1500000E+00    0.0000000E+00   -4.0639939E-11   -1.7291435E-10   -3.5143552E-11    1.2313085E-10    1.0030068E-11
    3.2500000E+00    0.0000000E+00   -4.0656354E-11   -1.7326408E-10   -3.5228882E-11    1.2334979E-10    1.0047383E-11
    3.3500000E+00    0.0000000E+00   -4.0672713E-11   -1.7361416E-10   -3.5314316E-11    1.2356934E-10    1.0064804E-11
    3.4500000E+00    0.0000000E+00   -4.0689012E-11   -1.7396460E-10   -3.5399854E-11    1.2378947E-10    1.0082324E-11
    3.5500000E+00    0.0000000E+00   -4.0705249E-11   -1.7431539E-10   -3.5485495E-11    1.2401015E-10    1.0099935E-11
    3.6500000E+00    0.0000000E+00   -4.0721421E-11   -1.7466654E-10   -3.5571241E-11    1.2423135E-10    1.0117631E-11
    3.7500000E+00    0.0000000E+00   -4.0737526E-11   -1.7501804E-10   -3.5657090E-11    1.2445303E-10    1.0135404E-11
    3.8500000E+00    0.0000000E+00   -4.0753559E-11   -1.7536989E-10   -3.5743043E-11    1.2467518E-10    1.0153250E-11
    3.9500000E+00    0.0000000E+00   -4.0769518E-11   -1.7572210E-10   -3.5829100E-11    1.2489778E-10    1.0171163E-11
    4.0500000E+00    0.0000000E+00   -4.0785401E-11   -1.7607466E-10   -3.5915260E-11    1.2512079E-10    1.0189139E-11
