# Time          5.0000E-02
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2917983E-01   -4.4411235E+00   -8.6110730E+00   -3.1816036E+01    5.9478698E-03   -9.9907342E-03
    1.5000000E-01   -2.1033839E-01   -4.3886855E+00   -8.5657331E+00   -3.1406377E+01    5.9071519E-03   -1.0041210E-02
    2.5000000E-01   -1.9223952E-01   -4.3378860E+00   -8.5217844E+00   -3.1126650E+01    5.9321233E-03   -1.0024929E-02
    3.5000000E-01   -1.7482649E-01   -4.2886396E+00   -8.4791602E+00   -3.0900776E+01    5.9579497E-03   -1.0006847E-02
    4.5000000E-01   -1.5804869E-01   -4.2408408E+00   -8.4377687E+00   -3.0705087E+01    5.9844977E-03   -9.9872018E-03
    5.5000000E-01   -1.4186086E-01   -4.1943948E+00   -8.3975276E+00   -3.0529037E+01    6.0116987E-03   -9.9661570E-03
    6.5000000E-01   -1.2622236E-01   -4.1492162E+00   -8.3583629E+00   -3.0366980E+01    6.0394964E-03   -9.9438518E-03
    7.5000000E-01   -1.1109656E-01   -4.1052276E+00   -8.3202076E+00   -3.0215524E+01    6.0678448E-03   -9.9204059E-03
    8.5000000E-01   -9.6450367E-02   -4.0623586E+00   -8.2830011E+00   -3.0072459E+01    6.0967060E-03   -9.8959225E-03
    9.5000000E-01   -8.2253750E-02   -4.0205455E+00   -8.2466882E+00   -2.9936262E+01    6.1260488E-03   -9.8704906E-03
    1.0500000E+00   -6.8479397E-02   -3.9797296E+00   -8.2112185E+00   -2.9805831E+01    6.1558471E-03   -9.8441873E-03
    1.1500000E+00   -5.5102397E-02   -3.9398575E+00   -8.1765460E+00   -2.9680342E+01    6.1860798E-03   -9.8170794E-03
    1.2500000E+00   -4.2099962E-02   -3.9008800E+00   -8.1426283E+00   -2.9559159E+01    6.2167292E-03   -9.7892246E-03
    1.3500000E+00   -2.9451203E-02   -3.8627517E+00   -8.1094268E+00   -2.9441779E+01    6.2477807E-03   -9.7606732E-03
    1.4500000E+00   -1.7136918E-02   -3.8254309E+00   -8.0769055E+00   -2.9327797E+01    6.2792226E-03   -9.7314687E-03
    1.5500000E+00   -5.1394195E-03   -3.7888789E+00   -8.0450314E+00   -2.9216879E+01    6.3110451E-03   -9.7016490E-03
    1.6500000E+00    6.5576389E-03   -3.7530597E+00   -8.0137737E+00   -2.9108749E+01    6.3432406E-03   -9.6712467E-03
    1.7500000E+00    1.7969373E-02   -3.7179401E+00   -7.9831041E+00   -2.9003171E+01    6.3758029E-03   -9.6402902E-03
    1.8500000E+00    2.9109776E-02   -3.6834891E+00   -7.9529962E+00   -2.8899945E+01    6.4087272E-03   -9.6088041E-03
    1.9500000E+00    3.9991841E-02   -3.6496777E+00   -7.9234252E+00   -2.8798898E+01    6.4420099E-03   -9.5768095E-03
    2.0500000E+00    5.0627651E-02   -3.6164789E+00   -7.8943683E+00   -2.8699879E+01    6.4756485E-03   -9.5443247E-03
    2.1500000E+00    6.1028468E-02   -3.5838674E+00   -7.8658040E+00   -2.8602757E+01    6.5096414E-03   -9.5113651E-03
    2.2500000E+00    7.1204795E-02   -3.5518197E+00   -7.8377122E+00   -2.8507412E+01    6.5439878E-03   -9.4779442E-03
    2.3500000E+00    8.1166455E-02   -3.5203134E+00   -7.8100741E+00   -2.8413742E+01    6.5786875E-03   -9.4440730E-03
    2.4500000E+00    9.0922636E-02   -3.4893277E+00   -7.7828720E+00   -2.8321651E+01    6.6137410E-03   -9.4097610E-03
    2.5500000E+00    1.0048195E-01   -3.4588429E+00   -7.7560893E+00   -2.8231057E+01    6.6491493E-03   -9.3750160E-03
    2.6500000E+00    1.0985249E-01   -3.4288406E+00   -7.7297103E+00   -2.8141882E+01    6.6849141E-03   -9.3398443E-03
    2.7500000E+00    1.1904185E-01   -3.3993031E+00   -7.7037203E+00   -2.8054057E+01    6.7210372E-03   -9.3042511E-03
    2.8500000E+00    1.2805718E-01   -3.3702141E+00   -7.6781053E+00   -2.7967518E+01    6.7575212E-03   -9.2682403E-03
    2.9500000E+00    1.3690521E-01   -3.3415578E+00   -7.6528521E+00   -2.7882206E+01    6.7943687E-03   -9.2318147E-03
    3.0500000E+00    1.4559230E-01   -3.3133195E+00   -7.6279484E+00   -2.7798069E+01    6.8315829E-03   -9.1949763E-03
    3.1500000E+00    1.5412444E-01   -3.2854852E+00   -7.6033822E+00   -2.7715057E+01    6.8691672E-03   -9.1577261E-03
    3.2500000E+00    1.6250731E-01   -3.2580415E+00   -7.5791425E+00   -2.7633123E+01    6.9071254E-03   -9.1200647E-03
    3.3500000E+00    1.7074627E-01   -3.2309758E+00   -7.5552185E+00   -2.7552226E+01    6.9454614E-03   -9.0819915E-03
    3.4500000E+00    1.7884639E-01   -3.2042761E+00   -7.5316002E+00   -2.7472324E+01    6.9841796E-03   -9.0435056E-03
    3.5500000E+00    1.8681249E-01   -3.1779310E+00   -7.5082781E+00   -2.7393382E+01    7.0232844E-03   -9.0046055E-03
    3.6500000E+00    1.9464915E-01   -3.1519295E+00   -7.4852428E+00   -2.7315364E+01    7.0627807E-03   -8.9652889E-03
    3.7500000E+00    2.0236070E-01   -3.1262612E+00   -7.4624858E+00   -2.7238238E+01    7.1026734E-03   -8.9255534E-03
    3.8500000E+00    2.0995127E-01   -3.1009163E+00   -7.4399988E+00   -2.7161974E+01    7.1429677E-03   -8.8853958E-03
    3.9500000E+00    2.1742479E-01   -3.0758853E+00   -7.4177737E+00   -2.7086542E+01    7.1836691E-03   -8.8448127E-03
    4.0500000E+00    2.2478498E-01   -3.0511591E+00   -7.3958031E+00   -2.7011915E+01    7.2247832E-03   -8.8038001E-03
    4.1500000E+00    2.3203542E-01   -3.0267290E+00   -7.3740797E+00   -2.6938067E+01    7.2663158E-03   -8.7623538E-03
    4.2500000E+00    2.3917950E-01   -3.0025869E+00   -7.3525965E+00   -2.6864975E+01    7.3082731E-03   -8.7204690E-03
    4.3500000E+00    2.4622045E-01   -2.9787247E+00   -7.3313470E+00   -2.6792615E+01    7.3506613E-03   -8.6781409E-03
    4.4500000E+00    2.5316137E-01   -2.9551349E+00   -7.3103248E+00   -2.6720965E+01    7.3934869E-03   -8.6353641E-03
    4.5500000E+00    2.6000523E-01   -2.9318101E+00   -7.2895238E+00   -2.6650004E+01    7.4367565E-03   -8.5921329E-03
    4.6500000E+00    2.6675484E-01   -2.9087435E+00   -7.2689381E+00   -2.6579713E+01    7.4804771E-03   -8.5484415E-03
    4.7500000E+00    2.7341291E-01   -2.8859281E+00   -7.2485622E+00   -2.6510073E+01    7.5246557E-03   -8.5042835E-03
    4.8500000E+00    2.7998204E-01   -2.8633577E+00   -7.2283907E+00   -2.6441066E+01    7.5692996E-03   -8.4596525E-03
    4.9500000E+00    2.8646470E-01   -2.8410260E+00   -7.2084183E+00   -2.6372675E+01    7.6144164E-03   -8.4145416E-03
    5.0500000E+00    2.9286327E-01   -2.8189270E+00   -7.1886402E+00   -2.6304882E+01    7.6600138E-03   -8.3689438E-03
    5.1500000E+00    2.9918005E-01   -2.7970549E+00   -7.1690515E+00   -2.6237673E+01    7.7060997E-03   -8.3228517E-03
