# Time          1.5000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.4127781E-01   -4.4768343E+00   -8.6442821E+00   -3.1883316E+01    5.3046294E-03   -1.0633876E-02
    1.5000000E-01   -2.1153582E-01   -4.3921247E+00   -8.5688406E+00   -3.1418782E+01    5.9119314E-03   -1.0036174E-02
    2.5000000E-01   -1.9279226E-01   -4.3394461E+00   -8.5231407E+00   -3.1134058E+01    5.9337319E-03   -1.0023069E-02
    3.5000000E-01   -1.7532989E-01   -4.2900676E+00   -8.4803965E+00   -3.0906912E+01    5.9592114E-03   -1.0005359E-02
    4.5000000E-01   -1.5853285E-01   -4.2422241E+00   -8.4389666E+00   -3.0710517E+01    5.9856050E-03   -9.9858931E-03
    5.5000000E-01   -1.4232825E-01   -4.1957396E+00   -8.3986928E+00   -3.0533986E+01    6.0126796E-03   -9.9649965E-03
    6.5000000E-01   -1.2667415E-01   -4.1505249E+00   -8.3594975E+00   -3.0371574E+01    6.0403686E-03   -9.9428194E-03
    7.5000000E-01   -1.1153379E-01   -4.1065024E+00   -8.3213135E+00   -3.0219843E+01    6.0686229E-03   -9.9194848E-03
    8.5000000E-01   -9.6873950E-02   -4.0636016E+00   -8.2840800E+00   -3.0076556E+01    6.0974023E-03   -9.8950986E-03
    9.5000000E-01   -8.2664531E-02   -4.0217583E+00   -8.2477416E+00   -2.9940175E+01    6.1266735E-03   -9.8697518E-03
    1.0500000E+00   -6.8878144E-02   -3.9809140E+00   -8.2122478E+00   -2.9809587E+01    6.1564093E-03   -9.8435233E-03
    1.1500000E+00   -5.5489809E-02   -3.9410149E+00   -8.1775525E+00   -2.9683963E+01    6.1865869E-03   -9.8164812E-03
    1.2500000E+00   -4.2476681E-02   -3.9020118E+00   -8.1436133E+00   -2.9562661E+01    6.2171877E-03   -9.7886846E-03
    1.3500000E+00   -2.9817816E-02   -3.8638592E+00   -8.1103913E+00   -2.9445176E+01    6.2481963E-03   -9.7601847E-03
    1.4500000E+00   -1.7493968E-02   -3.8265152E+00   -8.0778505E+00   -2.9331099E+01    6.2796001E-03   -9.7310260E-03
    1.5500000E+00   -5.4874050E-03   -3.7899412E+00   -8.0459579E+00   -2.9220095E+01    6.3113888E-03   -9.7012469E-03
    1.6500000E+00    6.2182557E-03   -3.7541010E+00   -8.0146825E+00   -2.9111886E+01    6.3435540E-03   -9.6708810E-03
    1.7500000E+00    1.7638164E-02   -3.7189613E+00   -7.9839961E+00   -2.9006236E+01    6.3760893E-03   -9.6399570E-03
    1.8500000E+00    2.8786346E-02   -3.6844911E+00   -7.9538720E+00   -2.8902944E+01    6.4089894E-03   -9.6085000E-03
    1.9500000E+00    3.9675821E-02   -3.6506613E+00   -7.9242856E+00   -2.8801836E+01    6.4422503E-03   -9.5765315E-03
    2.0500000E+00    5.0318699E-02   -3.6174448E+00   -7.8952139E+00   -2.8702759E+01    6.4758694E-03   -9.5440702E-03
    2.1500000E+00    6.0726263E-02   -3.5848165E+00   -7.8666354E+00   -2.8605583E+01    6.5098446E-03   -9.5111318E-03
    2.2500000E+00    7.0909040E-02   -3.5527525E+00   -7.8385301E+00   -2.8510188E+01    6.5441751E-03   -9.4777299E-03
    2.3500000E+00    8.0876870E-02   -3.5212307E+00   -7.8108789E+00   -2.8416469E+01    6.5788603E-03   -9.4438760E-03
