 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0084579E+01
    1.5000000E-01   -1.1926825E+01
    2.5000000E-01   -1.3823328E+01
    3.5000000E-01   -1.4885670E+01
    4.5000000E-01   -1.5154505E+01
    5.5000000E-01   -1.5263168E+01
    6.5000000E-01   -1.5496861E+01
    7.5000000E-01   -1.5893944E+01
    8.5000000E-01   -1.6420276E+01
    9.5000000E-01   -1.7027242E+01
    1.0500000E+00   -1.7668308E+01
    1.1500000E+00   -1.8305733E+01
    1.2500000E+00   -1.8913507E+01
    1.3500000E+00   -1.9477047E+01
    1.4500000E+00   -1.9990618E+01
    1.5500000E+00   -2.0454104E+01
    1.6500000E+00   -2.0870312E+01
    1.7500000E+00   -2.1243232E+01
    1.8500000E+00   -2.1577087E+01
    1.9500000E+00   -2.1875912E+01
    2.0500000E+00   -2.2143398E+01
    2.1500000E+00   -2.2382862E+01
    2.2500000E+00   -2.2597265E+01
    2.3500000E+00   -2.2789242E+01
    2.4500000E+00   -2.2961142E+01
    2.5500000E+00   -2.3115054E+01
    2.6500000E+00   -2.3252839E+01
    2.7500000E+00   -2.3376160E+01
    2.8500000E+00   -2.3486495E+01
    2.9500000E+00   -2.3585168E+01
    3.0500000E+00   -2.3673358E+01
    3.1500000E+00   -2.3752122E+01
    3.2500000E+00   -2.3822405E+01
    3.3500000E+00   -2.3885050E+01
    3.4500000E+00   -2.3940814E+01
    3.5500000E+00   -2.3990376E+01
    3.6500000E+00   -2.4034344E+01
    3.7500000E+00   -2.4073264E+01
    3.8500000E+00   -2.4107625E+01
    3.9500000E+00   -2.4137867E+01
    4.0500000E+00   -2.4164386E+01
    4.1500000E+00   -2.4187538E+01
    4.2500000E+00   -2.4207643E+01
    4.3500000E+00   -2.4224990E+01
    4.4500000E+00   -2.4239838E+01
    4.5500000E+00   -2.4252422E+01
    4.6500000E+00   -2.4262953E+01
    4.7500000E+00   -2.4271621E+01
    4.8500000E+00   -2.4278599E+01
    4.9500000E+00   -2.4284043E+01
    5.0500000E+00   -2.4288093E+01
    5.1500000E+00   -2.4290876E+01
    5.2500000E+00   -2.4292508E+01
    5.3500000E+00   -2.4293094E+01
    5.4500000E+00   -2.4292726E+01
    5.5500000E+00   -2.4291492E+01
    5.6500000E+00   -2.4289469E+01
    5.7500000E+00   -2.4286727E+01
    5.8500000E+00   -2.4283331E+01
    5.9500000E+00   -2.4279338E+01
    6.0500000E+00   -2.4274801E+01
    6.1500000E+00   -2.4269768E+01
    6.2500000E+00   -2.4264283E+01
    6.3500000E+00   -2.4258385E+01
    6.4500000E+00   -2.4252111E+01
    6.5500000E+00   -2.4245494E+01
    6.6500000E+00   -2.4238563E+01
    6.7500000E+00   -2.4231346E+01
    6.8500000E+00   -2.4223867E+01
    6.9500000E+00   -2.4216150E+01
    7.0500000E+00   -2.4208214E+01
    7.1500000E+00   -2.4200080E+01
    7.2500000E+00   -2.4191763E+01
    7.3500000E+00   -2.4183280E+01
    7.4500000E+00   -2.4174645E+01
    7.5500000E+00   -2.4165872E+01
    7.6500000E+00   -2.4156971E+01
    7.7500000E+00   -2.4147955E+01
    7.8500000E+00   -2.4138832E+01
    7.9500000E+00   -2.4129613E+01
    8.0500000E+00   -2.4120305E+01
    8.1500000E+00   -2.4110916E+01
    8.2500000E+00   -2.4101454E+01
    8.3500000E+00   -2.4091923E+01
    8.4500000E+00   -2.4082331E+01
    8.5500000E+00   -2.4072681E+01
    8.6500000E+00   -2.4062980E+01
    8.7500000E+00   -2.4053232E+01
    8.8500000E+00   -2.4043440E+01
    8.9500000E+00   -2.4033608E+01
    9.0500000E+00   -2.4023740E+01
    9.1500000E+00   -2.4013838E+01
    9.2500000E+00   -2.4003906E+01
    9.3500000E+00   -2.3993945E+01
    9.4500000E+00   -2.3983957E+01
    9.5500000E+00   -2.3973946E+01
    9.6500000E+00   -2.3963913E+01
    9.7500000E+00   -2.3953858E+01
    9.8500000E+00   -2.3943785E+01
    9.9500000E+00   -2.3933693E+01
    1.0050000E+01   -2.3923585E+01
    1.0150000E+01   -2.3913461E+01
    1.0250000E+01   -2.3903323E+01
    1.0350000E+01   -2.3893170E+01
    1.0450000E+01   -2.3883004E+01
    1.0550000E+01   -2.3872825E+01
    1.0650000E+01   -2.3862633E+01
    1.0750000E+01   -2.3852430E+01
    1.0850000E+01   -2.3842215E+01
    1.0950000E+01   -2.3831988E+01
    1.1050000E+01   -2.3821751E+01
    1.1150000E+01   -2.3811502E+01
    1.1250000E+01   -2.3801242E+01
    1.1350000E+01   -2.3790971E+01
    1.1450000E+01   -2.3780688E+01
    1.1550000E+01   -2.3770394E+01
    1.1650000E+01   -2.3760089E+01
    1.1750000E+01   -2.3749772E+01
    1.1850000E+01   -2.3739443E+01
    1.1950000E+01   -2.3729102E+01
    1.2050000E+01   -2.3718748E+01
    1.2150000E+01   -2.3708381E+01
    1.2250000E+01   -2.3698001E+01
    1.2350000E+01   -2.3687607E+01
    1.2450000E+01   -2.3677198E+01
    1.2550000E+01   -2.3666775E+01
    1.2650000E+01   -2.3656336E+01
    1.2750000E+01   -2.3645881E+01
    1.2850000E+01   -2.3635410E+01
    1.2950000E+01   -2.3624922E+01
    1.3050000E+01   -2.3614416E+01
    1.3150000E+01   -2.3603891E+01
    1.3250000E+01   -2.3593347E+01
    1.3350000E+01   -2.3582783E+01
    1.3450000E+01   -2.3572199E+01
    1.3550000E+01   -2.3561594E+01
    1.3650000E+01   -2.3550966E+01
    1.3750000E+01   -2.3540315E+01
    1.3850000E+01   -2.3529640E+01
    1.3950000E+01   -2.3518941E+01
    1.4050000E+01   -2.3508217E+01
    1.4150000E+01   -2.3497466E+01
    1.4250000E+01   -2.3486687E+01
    1.4350000E+01   -2.3475881E+01
    1.4450000E+01   -2.3465045E+01
    1.4550000E+01   -2.3454179E+01
    1.4650000E+01   -2.3443282E+01
    1.4750000E+01   -2.3432353E+01
    1.4850000E+01   -2.3421391E+01
    1.4950000E+01   -2.3410394E+01
    1.5050000E+01   -2.3399362E+01
    1.5150000E+01   -2.3388293E+01
    1.5250000E+01   -2.3377187E+01
    1.5350000E+01   -2.3366042E+01
    1.5450000E+01   -2.3354858E+01
    1.5550000E+01   -2.3343632E+01
    1.5650000E+01   -2.3332363E+01
    1.5750000E+01   -2.3321052E+01
