# Time          5.0000E-02
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0683937E-05    3.3421326E-05    8.9504257E-06    3.5335825E-05    1.5043747E-05    5.8281853E-08    1.0000031E-16    7.1873354E-08    3.7414355E-08    3.0033196E-09    2.2154890E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5000000E-01   -6.1677366E-05    3.3749841E-05    9.1143233E-06    3.5372452E-05    1.5190773E-05    5.3719424E-08    1.0000031E-16    1.4538626E-07    3.7763945E-08    3.0267043E-09    2.3137214E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5000000E-01   -6.2674362E-05    3.4079036E-05    9.2784432E-06    3.5409154E-05    1.5338166E-05    4.9624641E-08    1.0000031E-16    2.1908308E-07    3.8119201E-08    3.0509784E-09    2.4121813E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5000000E-01   -6.3674740E-05    3.4408912E-05    9.4427859E-06    3.5445932E-05    1.5485928E-05    4.5934729E-08    1.0000031E-16    2.9296422E-07    3.8479751E-08    3.0760640E-09    2.5108629E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4678357E-05    3.4739472E-05    9.6073517E-06    3.5482787E-05    1.5634060E-05    4.2600074E-08    1.0000031E-16    3.6703007E-07    3.8845307E-08    3.1018960E-09    2.6097616E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5685089E-05    3.5070715E-05    9.7721411E-06    3.5519718E-05    1.5782562E-05    3.9578353E-08    1.0000031E-16    4.4128098E-07    3.9215624E-08    3.1284175E-09    2.7088732E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6694830E-05    3.5402644E-05    9.9371544E-06    3.5556725E-05    1.5931435E-05    3.6833280E-08    1.0000031E-16    5.1571731E-07    3.9590494E-08    3.1555786E-09    2.8081947E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7707491E-05    3.5735259E-05    1.0102392E-05    3.5593809E-05    1.6080679E-05    3.4333602E-08    1.0000031E-16    5.9033939E-07    3.9969740E-08    3.1833358E-09    2.9077230E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8722993E-05    3.6068561E-05    1.0267854E-05    3.5630969E-05    1.6230295E-05    3.2052285E-08    1.0000031E-16    6.6514755E-07    4.0353210E-08    3.2116510E-09    3.0074558E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9741269E-05    3.6402552E-05    1.0433541E-05    3.5668206E-05    1.6380284E-05    2.9965854E-08    1.0000031E-16    7.4014208E-07    4.0740773E-08    3.2404904E-09    3.1073910E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0762261E-05    3.6737233E-05    1.0599453E-05    3.5705520E-05    1.6530647E-05    2.8053841E-08    1.0000031E-16    8.1532330E-07    4.1132316E-08    3.2698244E-09    3.2075267E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.1785919E-05    3.7072603E-05    1.0765590E-05    3.5742911E-05    1.6681383E-05    2.6298343E-08    1.0000031E-16    8.9069150E-07    4.1527742E-08    3.2996268E-09    3.3078614E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.2812198E-05    3.7408665E-05    1.0931953E-05    3.5780379E-05    1.6832494E-05    2.4683644E-08    1.0000031E-16    9.6624696E-07    4.1926964E-08    3.3298744E-09    3.4083938E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.3841059E-05    3.7745419E-05    1.1098542E-05    3.5817924E-05    1.6983980E-05    2.3195908E-08    1.0000031E-16    1.0419899E-06    4.2329909E-08    3.3605467E-09    3.5091227E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.4872469E-05    3.8082866E-05    1.1265357E-05    3.5855547E-05    1.7135841E-05    2.1822912E-08    1.0000031E-16    1.1179207E-06    4.2736511E-08    3.3916255E-09    3.6100471E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.5906399E-05    3.8421006E-05    1.1432398E-05    3.5893247E-05    1.7288079E-05    2.0553834E-08    1.0000031E-16    1.1940396E-06    4.3146715E-08    3.4230947E-09    3.7111662E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.6942821E-05    3.8759842E-05    1.1599666E-05    3.5931024E-05    1.7440694E-05    1.9379060E-08    1.0000031E-16    1.2703468E-06    4.3560469E-08    3.4549398E-09    3.8124793E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -7.7981713E-05    3.9099372E-05    1.1767160E-05    3.5968879E-05    1.7593685E-05    1.8290034E-08    1.0000031E-16    1.3468426E-06    4.3977732E-08    3.4871482E-09    3.9139859E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -7.9023054E-05    3.9439599E-05    1.1934882E-05    3.6006811E-05    1.7747055E-05    1.7279119E-08    1.0000031E-16    1.4235273E-06    4.4398464E-08    3.5197083E-09    4.0156855E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.0066827E-05    3.9780523E-05    1.2102831E-05    3.6044821E-05    1.7900802E-05    1.6339485E-08    1.0000031E-16    1.5004010E-06    4.4822631E-08    3.5526100E-09    4.1175776E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.1113017E-05    4.0122145E-05    1.2271007E-05    3.6082909E-05    1.8054928E-05    1.5465006E-08    1.0000031E-16    1.5774641E-06    4.5250204E-08    3.5858444E-09    4.2196617E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.2161608E-05    4.0464465E-05    1.2439411E-05    3.6121075E-05    1.8209433E-05    1.4650183E-08    1.0000031E-16    1.6547167E-06    4.5681156E-08    3.6194032E-09    4.3219375E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.3212589E-05    4.0807484E-05    1.2608042E-05    3.6159318E-05    1.8364318E-05    1.3890062E-08    1.0000031E-16    1.7321592E-06    4.6115465E-08    3.6532792E-09    4.4244047E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.4265948E-05    4.1151203E-05    1.2776901E-05    3.6197640E-05    1.8519584E-05    1.3180177E-08    1.0000031E-16    1.8097918E-06    4.6553110E-08    3.6874661E-09    4.5270631E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.5321677E-05    4.1495623E-05    1.2945988E-05    3.6236040E-05    1.8675229E-05    1.2516493E-08    1.0000031E-16    1.8876146E-06    4.6994074E-08    3.7219580E-09    4.6299123E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.6379766E-05    4.1840745E-05    1.3115303E-05    3.6274518E-05    1.8831256E-05    1.1895356E-08    1.0000031E-16    1.9656280E-06    4.7438340E-08    3.7567498E-09    4.7329522E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -8.7440208E-05    4.2186569E-05    1.3284847E-05    3.6313074E-05    1.8987664E-05    1.1313453E-08    1.0000031E-16    2.0438322E-06    4.7885896E-08    3.7918368E-09    4.8361826E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -8.8502997E-05    4.2533095E-05    1.3454619E-05    3.6351709E-05    1.9144455E-05    1.0767777E-08    1.0000031E-16    2.1222275E-06    4.8336729E-08    3.8272150E-09    4.9396035E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -8.9568126E-05    4.2880326E-05    1.3624620E-05    3.6390422E-05    1.9301628E-05    1.0255591E-08    1.0000031E-16    2.2008140E-06    4.8790829E-08    3.8628806E-09    5.0432147E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.9500000E+00   -9.0635591E-05    4.3228260E-05    1.3794849E-05    3.6429214E-05    1.9459184E-05    9.7744022E-09    1.0000031E-16    2.2795919E-06    4.9248188E-08    3.8988303E-09    5.1470162E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.0500000E+00   -9.1705388E-05    4.3576900E-05    1.3965307E-05    3.6468084E-05    1.9617123E-05    9.3219358E-09    1.0000031E-16    2.3585617E-06    4.9708797E-08    3.9350613E-09    5.2510078E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.1500000E+00   -9.2777512E-05    4.3926246E-05    1.4135994E-05    3.6507034E-05    1.9775447E-05    8.8961141E-09    1.0000031E-16    2.4377234E-06    5.0172650E-08    3.9715709E-09    5.3551895E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.2500000E+00   -9.3851960E-05    4.4276298E-05    1.4306911E-05    3.6546061E-05    1.9934154E-05    8.4950359E-09    1.0000031E-16    2.5170772E-06    5.0639741E-08    4.0083568E-09    5.4595614E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.3500000E+00   -9.4928729E-05    4.4627057E-05    1.4478056E-05    3.6585168E-05    2.0093247E-05    8.1169597E-09    1.0000031E-16    2.5966236E-06    5.1110067E-08    4.0454168E-09    5.5641234E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.4500000E+00   -9.6007817E-05    4.4978525E-05    1.4649431E-05    3.6624354E-05    2.0252725E-05    7.7602881E-09    1.0000031E-16    2.6763626E-06    5.1583623E-08    4.0827492E-09    5.6688755E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
