# Time          2.5000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.1890406E-05    1.1885520E-05    3.1829093E-06    1.2566786E-05    5.3499608E-06    1.2385161E-07    3.5564118E-17    2.5461901E-08    1.4000185E-08    1.1254610E-09    7.9812157E-06    2.3852804E-04    1.1681448E-04    2.9449120E-05
    1.5000000E-01   -3.8521948E-05    2.1063031E-05    5.6675448E-06    2.2160158E-05    9.4806812E-06    8.0630505E-08    6.2676691E-17    7.0941784E-08    2.3881067E-08    1.9160220E-09    1.4277747E-05    4.2037169E-04    2.0586887E-04    5.1899878E-05
    2.5000000E-01   -5.1416100E-05    2.8073872E-05    7.5926110E-06    2.9377948E-05    1.2635922E-05    6.1602619E-08    8.3038084E-17    1.3164316E-07    3.1529917E-08    2.5267682E-09    1.9376013E-05    5.5693527E-04    2.7274823E-04    6.8760274E-05
    3.5000000E-01   -5.8681562E-05    3.1912207E-05    8.6835905E-06    3.3177647E-05    1.4363007E-05    5.2641812E-08    9.3704984E-17    2.0050424E-07    3.5736769E-08    2.8607874E-09    2.2544905E-05    6.2847801E-04    3.0778490E-04    7.7593075E-05
    4.5000000E-01   -6.2229801E-05    3.3666384E-05    9.2245720E-06    3.4740039E-05    1.5151923E-05    4.7417321E-08    9.8029048E-17    2.7282044E-07    3.7663363E-08    3.0117110E-09    2.4423040E-05    6.5747945E-04    3.2198780E-04    8.1173647E-05
    5.5000000E-01   -6.4081159E-05    3.4470597E-05    9.5144753E-06    3.5283981E-05    1.5513259E-05    4.3610950E-08    9.9466205E-17    3.4642041E-07    3.8549647E-08    3.0793046E-09    2.5709160E-05    6.6711844E-04    3.2670831E-04    8.2363696E-05
    6.5000000E-01   -6.5327307E-05    3.4935723E-05    9.7147018E-06    3.5464302E-05    1.5722012E-05    4.0418944E-08    9.9872615E-17    4.2051947E-07    3.9066536E-08    3.1175071E-09    2.6784131E-05    6.6984423E-04    3.2804321E-04    8.2700226E-05
    7.5000000E-01   -6.6395590E-05    3.5300575E-05    9.8884236E-06    3.5536697E-05    1.5885688E-05    3.7582249E-08    9.9972953E-17    4.9488218E-07    3.9476716E-08    3.1474133E-09    2.7797654E-05    6.7051719E-04    3.2837278E-04    8.2783312E-05
    8.5000000E-01   -6.7420493E-05    3.5640274E-05    1.0055526E-05    3.5581537E-05    1.6038103E-05    3.5013486E-08    9.9994995E-17    5.6944792E-07    3.9862805E-08    3.1756367E-09    2.8796957E-05    6.7066503E-04    3.2844518E-04    8.2801563E-05
    9.5000000E-01   -6.8437795E-05    3.5974827E-05    1.0221308E-05    3.5620219E-05    1.6188265E-05    3.2672863E-08    9.9999366E-17    6.4420312E-07    4.0246715E-08    3.2039122E-09    2.9794627E-05    6.7069434E-04    3.2845953E-04    8.2805183E-05
    1.0500000E+00   -6.9455768E-05    3.6308886E-05    1.0387001E-05    3.5657714E-05    1.6338267E-05    3.0533806E-08    1.0000016E-16    7.1914523E-07    4.0633446E-08    3.2326176E-09    3.0793578E-05    6.7069965E-04    3.2846214E-04    8.2805839E-05
    1.1500000E+00   -7.0476082E-05    3.6643416E-05    1.0552861E-05    3.5695053E-05    1.6488545E-05    2.8574701E-08    1.0000029E-16    7.9427404E-07    4.1023944E-08    3.2618076E-09    3.1794401E-05    6.7070054E-04    3.2846257E-04    8.2805948E-05
