# Time          5.0000E-02
# Units: Volume % (m^3 mineral/m^3 porous medium)
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    2.9999987E+01    2.0269526E+01    1.6424422E+01    4.0754052E+00    8.6990033E+00    7.0916590E-01
    1.5000000E-01    2.9999989E+01    2.0282593E+01    1.6475470E+01    4.0907140E+00    8.6624262E+00    7.0614302E-01
    2.5000000E-01    2.9999990E+01    2.0295683E+01    1.6526677E+01    4.1060772E+00    8.6261494E+00    7.0314972E-01
    3.5000000E-01    2.9999992E+01    2.0308797E+01    1.6578040E+01    4.1214933E+00    8.5897954E+00    7.0015430E-01
    4.5000000E-01    2.9999993E+01    2.0321932E+01    1.6629551E+01    4.1369605E+00    8.5533640E+00    6.9715630E-01
    5.5000000E-01    2.9999994E+01    2.0335088E+01    1.6681208E+01    4.1524777E+00    8.5168557E+00    6.9415535E-01
    6.5000000E-01    2.9999995E+01    2.0348265E+01    1.6733004E+01    4.1680435E+00    8.4802710E+00    6.9115112E-01
    7.5000000E-01    2.9999996E+01    2.0361460E+01    1.6784938E+01    4.1836569E+00    8.4436103E+00    6.8814336E-01
    8.5000000E-01    2.9999997E+01    2.0374673E+01    1.6837004E+01    4.1993168E+00    8.4068744E+00    6.8513183E-01
    9.5000000E-01    2.9999998E+01    2.0387904E+01    1.6889201E+01    4.2150224E+00    8.3700637E+00    6.8211632E-01
    1.0500000E+00    2.9999998E+01    2.0401153E+01    1.6941524E+01    4.2307730E+00    8.3331789E+00    6.7909666E-01
    1.1500000E+00    2.9999999E+01    2.0414417E+01    1.6993973E+01    4.2465677E+00    8.2962204E+00    6.7607270E-01
    1.2500000E+00    2.9999999E+01    2.0427698E+01    1.7046545E+01    4.2624061E+00    8.2591886E+00    6.7304428E-01
    1.3500000E+00    3.0000000E+01    2.0440994E+01    1.7099238E+01    4.2782876E+00    8.2220841E+00    6.7001130E-01
    1.4500000E+00    3.0000000E+01    2.0454305E+01    1.7152050E+01    4.2942117E+00    8.1849071E+00    6.6697363E-01
    1.5500000E+00    3.0000000E+01    2.0467631E+01    1.7204980E+01    4.3101780E+00    8.1476580E+00    6.6393118E-01
    1.6500000E+00    3.0000000E+01    2.0480971E+01    1.7258027E+01    4.3261863E+00    8.1103369E+00    6.6088386E-01
    1.7500000E+00    3.0000000E+01    2.0494325E+01    1.7311190E+01    4.3422362E+00    8.0729442E+00    6.5783158E-01
    1.8500000E+00    3.0000000E+01    2.0507694E+01    1.7364468E+01    4.3583275E+00    8.0354800E+00    6.5477427E-01
    1.9500000E+00    3.0000000E+01    2.0521076E+01    1.7417860E+01    4.3744599E+00    7.9979443E+00    6.5171185E-01
    2.0500000E+00    3.0000000E+01    2.0534471E+01    1.7471365E+01    4.3906334E+00    7.9603373E+00    6.4864427E-01
    2.1500000E+00    3.0000000E+01    2.0547879E+01    1.7524983E+01    4.4068477E+00    7.9226591E+00    6.4557146E-01
    2.2500000E+00    3.0000000E+01    2.0561301E+01    1.7578714E+01    4.4231028E+00    7.8849096E+00    6.4249337E-01
    2.3500000E+00    3.0000000E+01    2.0574735E+01    1.7632557E+01    4.4393985E+00    7.8470889E+00    6.3940993E-01
    2.4500000E+00    3.0000000E+01    2.0588182E+01    1.7686513E+01    4.4557349E+00    7.8091969E+00    6.3632112E-01
    2.5500000E+00    3.0000000E+01    2.0601641E+01    1.7740579E+01    4.4721118E+00    7.7712337E+00    6.3322687E-01
    2.6500000E+00    3.0000000E+01    2.0615113E+01    1.7794758E+01    4.4885292E+00    7.7331991E+00    6.3012716E-01
    2.7500000E+00    3.0000000E+01    2.0628598E+01    1.7849047E+01    4.5049871E+00    7.6950931E+00    6.2702193E-01
    2.8500000E+00    3.0000000E+01    2.0642094E+01    1.7903448E+01    4.5214855E+00    7.6569157E+00    6.2391116E-01
    2.9500000E+00    3.0000000E+01    2.0655603E+01    1.7957961E+01    4.5380243E+00    7.6186667E+00    6.2079480E-01
    3.0500000E+00    3.0000000E+01    2.0669123E+01    1.8012584E+01    4.5546037E+00    7.5803461E+00    6.1767283E-01
    3.1500000E+00    3.0000000E+01    2.0682656E+01    1.8067319E+01    4.5712236E+00    7.5419537E+00    6.1454522E-01
