# Time          7.0000E+00
# Units: Weight % Mineral
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    3.7667410E+01    2.4568443E+01    2.0424891E+01    5.7684334E+00    1.0698641E+01    8.7218171E-01
    1.5000000E-01    3.7647727E+01    2.4571433E+01    2.0477665E+01    5.7870760E+00    1.0648089E+01    8.6801016E-01
    2.5000000E-01    3.7627797E+01    2.4574274E+01    2.0530437E+01    5.8057348E+00    1.0597883E+01    8.6387312E-01
    3.5000000E-01    3.7607815E+01    2.4577093E+01    2.0583305E+01    5.8244371E+00    1.0547615E+01    8.5973616E-01
    4.5000000E-01    3.7587783E+01    2.4579888E+01    2.0636263E+01    5.8431810E+00    1.0497285E+01    8.5559884E-01
    5.5000000E-01    3.7567707E+01    2.4582663E+01    2.0689308E+01    5.8619651E+00    1.0446896E+01    8.5146080E-01
    6.5000000E-01    3.7547588E+01    2.4585417E+01    2.0742436E+01    5.8807878E+00    1.0396450E+01    8.4732174E-01
    7.5000000E-01    3.7527430E+01    2.4588152E+01    2.0795642E+01    5.8996478E+00    1.0345948E+01    8.4318140E-01
    8.5000000E-01    3.7507235E+01    2.4590867E+01    2.0848923E+01    5.9185440E+00    1.0295392E+01    8.3903959E-01
    9.5000000E-01    3.7487006E+01    2.4593564E+01    2.0902276E+01    5.9374754E+00    1.0244783E+01    8.3489611E-01
    1.0500000E+00    3.7466743E+01    2.4596242E+01    2.0955699E+01    5.9564408E+00    1.0194123E+01    8.3075082E-01
    1.1500000E+00    3.7446450E+01    2.4598903E+01    2.1009190E+01    5.9754396E+00    1.0143414E+01    8.2660357E-01
    1.2500000E+00    3.7426127E+01    2.4601546E+01    2.1062745E+01    5.9944710E+00    1.0092657E+01    8.2245424E-01
    1.3500000E+00    3.7405776E+01    2.4604173E+01    2.1116363E+01    6.0135342E+00    1.0041852E+01    8.1830274E-01
    1.4500000E+00    3.7385397E+01    2.4606782E+01    2.1170043E+01    6.0326287E+00    9.9910003E+00    8.1414897E-01
    1.5500000E+00    3.7364993E+01    2.4609374E+01    2.1223783E+01    6.0517539E+00    9.9401035E+00    8.0999284E-01
    1.6500000E+00    3.7344564E+01    2.4611950E+01    2.1277581E+01    6.0709094E+00    9.8891622E+00    8.0583429E-01
    1.7500000E+00    3.7324110E+01    2.4614509E+01    2.1331436E+01    6.0900947E+00    9.8381769E+00    8.0167325E-01
    1.8500000E+00    3.7303633E+01    2.4617052E+01    2.1385347E+01    6.1093096E+00    9.7871482E+00    7.9750965E-01
    1.9500000E+00    3.7283133E+01    2.4619578E+01    2.1439314E+01    6.1285536E+00    9.7360768E+00    7.9334344E-01
    2.0500000E+00    3.7262611E+01    2.4622089E+01    2.1493336E+01    6.1478265E+00    9.6849631E+00    7.8917457E-01
    2.1500000E+00    3.7242068E+01    2.4624582E+01    2.1547411E+01    6.1671281E+00    9.6338075E+00    7.8500300E-01
    2.2500000E+00    3.7221503E+01    2.4627060E+01    2.1601540E+01    6.1864581E+00    9.5826104E+00    7.8082869E-01
    2.3500000E+00    3.7200917E+01    2.4629522E+01    2.1655721E+01    6.2058164E+00    9.5313721E+00    7.7665159E-01
    2.4500000E+00    3.7180310E+01    2.4631967E+01    2.1709955E+01    6.2252027E+00    9.4800930E+00    7.7247167E-01
    2.5500000E+00    3.7159684E+01    2.4634396E+01    2.1764241E+01    6.2446170E+00    9.4287733E+00    7.6828891E-01
    2.6500000E+00    3.7139038E+01    2.4636809E+01    2.1818577E+01    6.2640591E+00    9.3774131E+00    7.6410327E-01
    2.7500000E+00    3.7118372E+01    2.4639206E+01    2.1872965E+01    6.2835288E+00    9.3260129E+00    7.5991473E-01
    2.8500000E+00    3.7097687E+01    2.4641587E+01    2.1927404E+01    6.3030262E+00    9.2745726E+00    7.5572327E-01
    2.9500000E+00    3.7076983E+01    2.4643951E+01    2.1981894E+01    6.3225511E+00    9.2230926E+00    7.5152886E-01
    3.0500000E+00    3.7056259E+01    2.4646299E+01    2.2036433E+01    6.3421034E+00    9.1715729E+00    7.4733150E-01
    3.1500000E+00    3.7035518E+01    2.4648631E+01    2.2091023E+01    6.3616830E+00    9.1200138E+00    7.4313116E-01
    3.2500000E+00    3.7014757E+01    2.4650947E+01    2.2145663E+01    6.3812899E+00    9.0684153E+00    7.3892783E-01
    3.3500000E+00    3.6993979E+01    2.4653246E+01    2.2200352E+01    6.4009240E+00    9.0167777E+00    7.3472151E-01
