# Time series at grid cell: 101   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                6.83849613285021E-05   2.58143015525841E-05   3.92339704691595E-05   3.10071669728764E-05   1.00942186521133E-09   1.00000313914936E-16   8.05358348652453E-06   1.25972298015126E-04   6.70700700810316E-04   6.01071737380988E+00   8.77379688656704E-08   6.94557686622808E-09
  2.00000E-02                6.83849714543493E-05   2.58143048911669E-05   3.92339715981046E-05   3.10071725496448E-05   1.00942124257423E-09   1.00000313914936E-16   8.05358627490875E-06   1.25972325017551E-04   6.70700700810315E-04   6.01071748398989E+00   8.77380141688980E-08   6.94558050790604E-09
  3.00000E-02                6.83849815801595E-05   2.58143082297349E-05   3.92339727270456E-05   3.10071781263891E-05   1.00942061994770E-09   1.00000313914936E-16   8.05358906328091E-06   1.25972352019873E-04   6.70700700810316E-04   6.01071759416941E+00   8.77380594719077E-08   6.94558414955532E-09
  4.00000E-02                6.83849917059329E-05   2.58143115682880E-05   3.92339738559824E-05   3.10071837031093E-05   1.00941999732424E-09   1.00000313914936E-16   8.05359185164102E-06   1.25972379022091E-04   6.70700700810315E-04   6.01071770434846E+00   8.77381047746995E-08   6.94558779117588E-09
  5.00000E-02                6.83850018316694E-05   2.58143149068264E-05   3.92339749849152E-05   3.10071892798055E-05   1.00941937470380E-09   1.00000313914936E-16   8.05359463998908E-06   1.25972406024206E-04   6.70700700810315E-04   6.01071781452705E+00   8.77381500772732E-08   6.94559143276775E-09
  5.00011E-02                6.83850018328007E-05   2.58143149071994E-05   3.92339749850413E-05   3.10071892804286E-05   1.00941937476870E-09   1.00000313914936E-16   8.05359464030064E-06   1.25972406027223E-04   6.70700700810315E-04   6.01071781399958E+00   8.77381500823360E-08   6.94559143317473E-09
  5.00034E-02                6.83850018350636E-05   2.58143149079455E-05   3.92339749852936E-05   3.10071892816748E-05   1.00941937488699E-09   1.00000313914936E-16   8.05359464092377E-06   1.25972406033258E-04   6.70700700810314E-04   6.01071781402424E+00   8.77381500924615E-08   6.94559143398868E-09
  5.00078E-02                6.83850018395893E-05   2.58143149094377E-05   3.92339749857982E-05   3.10071892841673E-05   1.00941937508128E-09   1.00000313914936E-16   8.05359464217000E-06   1.25972406045327E-04   6.70700700810315E-04   6.01071781407360E+00   8.77381501127126E-08   6.94559143561654E-09
  5.00168E-02                6.83850018486407E-05   2.58143149124220E-05   3.92339749868074E-05   3.10071892891523E-05   1.00941937532629E-09   1.00000313914936E-16   8.05359464466249E-06   1.25972406069465E-04   6.70700700810314E-04   6.01071781417234E+00   8.77381501532138E-08   6.94559143887218E-09
  5.00346E-02                6.83850018667433E-05   2.58143149183906E-05   3.92339749888257E-05   3.10071892991222E-05   1.00941937539311E-09   1.00000313914936E-16   8.05359464964746E-06   1.25972406117740E-04   6.70700700810315E-04   6.01071781436980E+00   8.77381502342131E-08   6.94559144538323E-09
  5.00704E-02                6.83850019029486E-05   2.58143149303277E-05   3.92339749928623E-05   3.10071893190621E-05   1.00941937453916E-09   1.00000313914936E-16   8.05359465961741E-06   1.25972406214289E-04   6.70700700810314E-04   6.01071781476472E+00   8.77381503962053E-08   6.94559145840477E-09
  5.01419E-02                6.83850019753593E-05   2.58143149542021E-05   3.92339750009354E-05   3.10071893589419E-05   1.00941937120414E-09   1.00000313914936E-16   8.05359467955731E-06   1.25972406407387E-04   6.70700700810314E-04   6.01071781555456E+00   8.77381507201783E-08   6.94559148444696E-09
  5.02849E-02                6.83850021201806E-05   2.58143150019509E-05   3.92339750170817E-05   3.10071894387015E-05   1.00941936284620E-09   1.00000313914936E-16   8.05359471943710E-06   1.25972406793579E-04   6.70700700810315E-04   6.01071781713424E+00   8.77381513681131E-08   6.94559153653040E-09
  5.05710E-02                6.83850024098233E-05   2.58143150974485E-05   3.92339750493744E-05   3.10071895982206E-05   1.00941934512438E-09   1.00000313914936E-16   8.05359479919668E-06   1.25972407565964E-04   6.70700700810315E-04   6.01071782029357E+00   8.77381526639755E-08   6.94559164069668E-09
  5.11431E-02                6.83850029891085E-05   2.58143152884435E-05   3.92339751139597E-05   3.10071899172588E-05   1.00941930935688E-09   1.00000313914936E-16   8.05359495871579E-06   1.25972409110733E-04   6.70700700810315E-04   6.01071782661224E+00   8.77381552556977E-08   6.94559184902902E-09
  5.22873E-02                6.83850041476782E-05   2.58143156704334E-05   3.92339752431303E-05   3.10071905553350E-05   1.00941923776759E-09   1.00000313914936E-16   8.05359527775386E-06   1.25972412200269E-04   6.70700700810315E-04   6.01071783924957E+00   8.77381604391382E-08   6.94559226569324E-09
  5.45756E-02                6.83850064648159E-05   2.58143164344124E-05   3.92339755014713E-05   3.10071918314859E-05   1.00941909458450E-09   1.00000313914936E-16   8.05359591582935E-06   1.25972418379336E-04   6.70700700810315E-04   6.01071786452421E+00   8.77381708060089E-08   6.94559309902025E-09
  5.91524E-02                6.83850110990834E-05   2.58143179623673E-05   3.92339760181524E-05   3.10071943837828E-05   1.00941880821875E-09   1.00000313914936E-16   8.05359719197778E-06   1.25972430737448E-04   6.70700700810315E-04   6.01071791507338E+00   8.77381915397025E-08   6.94559476566813E-09
  6.83058E-02                6.83850203675875E-05   2.58143210182647E-05   3.92339770515111E-05   3.10071994883564E-05   1.00941823548966E-09   1.00000313914936E-16   8.05359974426457E-06   1.25972455453585E-04   6.70700700810315E-04   6.01071801617135E+00   8.77382330069087E-08   6.94559809893995E-09
  7.83058E-02                6.83850304932195E-05   2.58143243567611E-05   3.92339781804321E-05   3.10072050649843E-05   1.00941761234326E-09   1.00000313914936E-16   8.05360253257853E-06   1.25972482455406E-04   6.70700700810314E-04   6.01071812639434E+00   8.77382783088619E-08   6.94560174045032E-09
  8.83058E-02                6.83850406188146E-05   2.58143276952428E-05   3.92339793093492E-05   3.10072106415881E-05   1.00941698973173E-09   1.00000313914936E-16   8.05360532088043E-06   1.25972509457123E-04   6.70700700810315E-04   6.01071823657116E+00   8.77383236106006E-08   6.94560538193227E-09
  9.83058E-02                6.83850507443727E-05   2.58143310337096E-05   3.92339804382621E-05   3.10072162181678E-05   1.00941636712591E-09   1.00000313914936E-16   8.05360810917027E-06   1.25972536458736E-04   6.70700700810314E-04   6.01071834674751E+00   8.77383689121212E-08   6.94560902338556E-09
  1.08306E-01                6.83850608698939E-05   2.58143343721616E-05   3.92339815671708E-05   3.10072217947234E-05   1.00941574452313E-09   1.00000313914936E-16   8.05361089744807E-06   1.25972563460246E-04   6.70700700810314E-04   6.01071845692341E+00   8.77384142134238E-08   6.94561266481016E-09
  1.18306E-01                6.83850709953782E-05   2.58143377105988E-05   3.92339826960755E-05   3.10072273712549E-05   1.00941512192339E-09   1.00000313914936E-16   8.05361368571382E-06   1.25972590461653E-04   6.70700700810314E-04   6.01071856709884E+00   8.77384595145086E-08   6.94561630620607E-09
  1.28306E-01                6.83850811208258E-05   2.58143410490212E-05   3.92339838249760E-05   3.10072329477623E-05   1.00941449932667E-09   1.00000313914936E-16   8.05361647396751E-06   1.25972617462955E-04   6.70700700810314E-04   6.01071867727380E+00   8.77385048153752E-08   6.94561994757329E-09
  1.38306E-01                6.83850912462364E-05   2.58143443874288E-05   3.92339849538724E-05   3.10072385242456E-05   1.00941387673298E-09   1.00000313914936E-16   8.05361926220916E-06   1.25972644464154E-04   6.70700700810315E-04   6.01071878744831E+00   8.77385501160240E-08   6.94562358891183E-09
  1.48306E-01                6.83851013716100E-05   2.58143477258217E-05   3.92339860827647E-05   3.10072441007048E-05   1.00941325414233E-09   1.00000313914936E-16   8.05362205043876E-06   1.25972671465249E-04   6.70700700810314E-04   6.01071889762235E+00   8.77385954164545E-08   6.94562723022169E-09
  1.58306E-01                6.83851114969469E-05   2.58143510641996E-05   3.92339872116529E-05   3.10072496771399E-05   1.00941263155470E-09   1.00000313914936E-16   8.05362483865630E-06   1.25972698466240E-04   6.70700700810314E-04   6.01071900779593E+00   8.77386407166672E-08   6.94563087150287E-09
  1.68306E-01                6.83851216222468E-05   2.58143544025628E-05   3.92339883405370E-05   3.10072552535509E-05   1.00941200897010E-09   1.00000313914936E-16   8.05362762686179E-06   1.25972725467128E-04   6.70700700810314E-04   6.01071911796904E+00   8.77386860166617E-08   6.94563451275539E-09
  1.78306E-01                6.83851317475098E-05   2.58143577409112E-05   3.92339894694170E-05   3.10072608299378E-05   1.00941138638852E-09   1.00000313914936E-16   8.05363041505524E-06   1.25972752467912E-04   6.70700700810315E-04   6.01071922814170E+00   8.77387313164383E-08   6.94563815397921E-09
  1.88306E-01                6.83851418727358E-05   2.58143610792448E-05   3.92339905982928E-05   3.10072664063006E-05   1.00941076380998E-09   1.00000313914936E-16   8.05363320323664E-06   1.25972779468592E-04   6.70700700810315E-04   6.01071933831389E+00   8.77387766159967E-08   6.94564179517438E-09
