# Time series at grid cell:  19   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.82556948531398E-05   1.13499404426207E-05   3.58746049695078E-05   1.72141191485152E-05   2.11641533117588E-08   9.99996471078915E-17   1.15710925131270E-06   3.66161289271360E-05   6.70696228544819E-04   5.60352095160645E+00   4.29615416299940E-08   3.40912871437366E-09
  2.00000E-02                3.82557021660332E-05   1.13499429689499E-05   3.58746038519872E-05   1.72141232982618E-05   2.11641192164952E-08   9.99996409931373E-17   1.15711178173378E-06   3.66161524686503E-05   6.70696187533247E-04   5.60352113825276E+00   4.29615793022256E-08   3.40913173254408E-09
  3.00000E-02                3.82557094622321E-05   1.13499454908608E-05   3.58746027166261E-05   1.72141274404851E-05   2.11640851250018E-08   9.99996348278308E-17   1.15711431215932E-06   3.66161759996169E-05   6.70696146182621E-04   5.60352132495765E+00   4.29616169557942E-08   3.40913474920163E-09
  4.00000E-02                3.82557167416151E-05   1.13499480083212E-05   3.58746015632940E-05   1.72141315751303E-05   2.11640510332229E-08   9.99996286116023E-17   1.15711684258948E-06   3.66161995199558E-05   6.70696104490466E-04   5.60352151172158E+00   4.29616545905378E-08   3.40913776433329E-09
  5.00000E-02                3.82557240040597E-05   1.13499505212989E-05   3.58746003918599E-05   1.72141357021424E-05   2.11640169408723E-08   9.99996223440811E-17   1.15711937302441E-06   3.66162230295900E-05   6.70696062454288E-04   5.60352169854498E+00   4.29616922063190E-08   3.40914077792805E-09
  5.00011E-02                3.82557240048712E-05   1.13499505215797E-05   3.58746003917290E-05   1.72141357026035E-05   2.11640169372868E-08   9.99996223433805E-17   1.15711937330715E-06   3.66162230322172E-05   6.70696062449592E-04   5.60352169818379E+00   4.29616922105235E-08   3.40914077826490E-09
  5.00034E-02                3.82557240064942E-05   1.13499505221413E-05   3.58746003914672E-05   1.72141357035258E-05   2.11640169301145E-08   9.99996223419800E-17   1.15711937387263E-06   3.66162230374714E-05   6.70696062440196E-04   5.60352169822551E+00   4.29616922189327E-08   3.40914077893860E-09
  5.00078E-02                3.82557240097401E-05   1.13499505232644E-05   3.58746003909436E-05   1.72141357053703E-05   2.11640169157644E-08   9.99996223391791E-17   1.15711937500360E-06   3.66162230479799E-05   6.70696062421409E-04   5.60352169830911E+00   4.29616922357509E-08   3.40914078028600E-09
  5.00168E-02                3.82557240162319E-05   1.13499505255107E-05   3.58746003898965E-05   1.72141357090594E-05   2.11640168870423E-08   9.99996223335765E-17   1.15711937726554E-06   3.66162230689967E-05   6.70696062383832E-04   5.60352169847631E+00   4.29616922693872E-08   3.40914078298079E-09
  5.00346E-02                3.82557240292155E-05   1.13499505300034E-05   3.58746003878021E-05   1.72141357164376E-05   2.11640168295123E-08   9.99996223223713E-17   1.15711938178942E-06   3.66162231110304E-05   6.70696062308678E-04   5.60352169881070E+00   4.29616923366591E-08   3.40914078837033E-09
  5.00704E-02                3.82557240551825E-05   1.13499505389886E-05   3.58746003836131E-05   1.72141357311939E-05   2.11640167141256E-08   9.99996222999601E-17   1.15711939083718E-06   3.66162231950971E-05   6.70696062158367E-04   5.60352169947948E+00   4.29616924712007E-08   3.40914079914921E-09
  5.01419E-02                3.82557241071156E-05   1.13499505569589E-05   3.58746003752341E-05   1.72141357607060E-05   2.11640164821596E-08   9.99996222551350E-17   1.15711940893271E-06   3.66162233632288E-05   6.70696061857725E-04   5.60352170081703E+00   4.29616927402745E-08   3.40914082070625E-09
  5.02849E-02                3.82557242109784E-05   1.13499505928984E-05   3.58746003584725E-05   1.72141358197286E-05   2.11640160142286E-08   9.99996221654741E-17   1.15711944512376E-06   3.66162236994861E-05   6.70696061256371E-04   5.60352170349208E+00   4.29616932783917E-08   3.40914086381779E-09
  5.05710E-02                3.82557244186900E-05   1.13499506647738E-05   3.58746003249346E-05   1.72141359377677E-05   2.11640150668224E-08   9.99996219861103E-17   1.15711951750585E-06   3.66162243719802E-05   6.70696060053380E-04   5.60352170884207E+00   4.29616943545327E-08   3.40914095003326E-09
  5.11431E-02                3.82557248340580E-05   1.13499508085099E-05   3.58746002577993E-05   1.72141361738209E-05   2.11640131459381E-08   9.99996216272144E-17   1.15711966227007E-06   3.66162257169074E-05   6.70696057646273E-04   5.60352171954189E+00   4.29616965065767E-08   3.40914112244483E-09
  5.22873E-02                3.82557256645716E-05   1.13499510959234E-05   3.58746001232915E-05   1.72141366458271E-05   2.11640092631496E-08   9.99996209087511E-17   1.15711995179858E-06   3.66162284065802E-05   6.70696052827547E-04   5.60352174094173E+00   4.29617008101397E-08   3.40914146722525E-09
  5.45756E-02                3.82557273247090E-05   1.13499516705149E-05   3.58745998533246E-05   1.72141375894385E-05   2.11640014573973E-08   9.99996194691288E-17   1.15712053085592E-06   3.66162337853234E-05   6.70696043172020E-04   5.60352178374394E+00   4.29617094159992E-08   3.40914215668324E-09
  5.91524E-02                3.82557306414121E-05   1.13499528187526E-05   3.58745993095738E-05   1.72141394750517E-05   2.11639858234466E-08   9.99996165790684E-17   1.15712168897125E-06   3.66162445405294E-05   6.70696023788424E-04   5.60352186936036E+00   4.29617266235675E-08   3.40914353526279E-09
  6.83058E-02                3.82557372604374E-05   1.13499551114220E-05   3.58745982067027E-05   1.72141432397977E-05   2.11639545486773E-08   9.99996107553966E-17   1.15712400520644E-06   3.66162660418488E-05   6.70695984729137E-04   5.60352204064268E+00   4.29617610225652E-08   3.40914629111396E-09
