# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.5067223E+00   -5.5000009E+00   -4.4740376E+00   -5.0461582E+00   -4.4497858E+00   -4.8206451E+00   -7.5685092E+00   -1.5998000E+01   -7.1414325E+00   -7.4249954E+00   -8.5204880E+00   -4.6525493E+00   -3.2148779E+00   -3.4815151E+00   -4.0799480E+00   -8.2940204E+00   -1.0518008E+01   -7.5976887E+00   -4.1932668E+00   -1.6571570E+01   -9.1508014E+00   -8.9173997E+00   -9.3556925E+00   -1.0791218E+01   -1.4006360E+01   -1.5835951E+01   -9.3897473E+00   -1.2020769E+01   -1.4370087E+01   -9.1324406E+00   -9.1877903E+00   -1.2962951E+01   -8.3724970E+00
    1.5000000E-01    5.5139202E+00   -5.5071937E+00   -4.4717458E+00   -5.0402168E+00   -4.4513089E+00   -4.8183771E+00   -7.6072582E+00   -1.5999975E+01   -6.8364523E+00   -7.4228730E+00   -8.5190877E+00   -4.6355898E+00   -3.2175432E+00   -3.4834901E+00   -4.0819229E+00   -8.3184145E+00   -1.0528006E+01   -7.6292647E+00   -4.1887288E+00   -1.6540193E+01   -9.1680030E+00   -8.9265781E+00   -9.3315297E+00   -1.0787263E+01   -1.3993226E+01   -1.5843668E+01   -9.3894412E+00   -1.1994325E+01   -1.4360602E+01   -9.1252373E+00   -9.1760383E+00   -1.2948929E+01   -8.3656780E+00
    2.5000000E-01    5.5209062E+00   -5.5141604E+00   -4.4675543E+00   -5.0324895E+00   -4.4508820E+00   -4.8142068E+00   -7.6462273E+00   -1.5999998E+01   -6.6587091E+00   -7.4188259E+00   -8.5156817E+00   -4.6175159E+00   -3.2182482E+00   -3.4835137E+00   -4.0819464E+00   -8.3435656E+00   -1.0539185E+01   -7.6613414E+00   -4.1824276E+00   -1.6508066E+01   -9.1861884E+00   -8.9336080E+00   -9.3064495E+00   -1.0779600E+01   -1.3978533E+01   -1.5850696E+01   -9.3853140E+00   -1.1965094E+01   -1.4349445E+01   -9.1182310E+00   -9.1626907E+00   -1.2931470E+01   -8.3552258E+00
    3.5000000E-01    5.5278318E+00   -5.5210665E+00   -4.4633719E+00   -5.0248653E+00   -4.4504314E+00   -4.8100433E+00   -7.6843476E+00   -1.5999998E+01   -6.5326740E+00   -7.4147347E+00   -8.5121616E+00   -4.6001062E+00   -3.2189339E+00   -3.4835140E+00   -4.0819466E+00   -8.3679901E+00   -1.0549759E+01   -7.6926306E+00   -4.1761671E+00   -1.6476723E+01   -9.2037078E+00   -8.9405545E+00   -9.2820937E+00   -1.0772017E+01   -1.3964004E+01   -1.5857128E+01   -9.3811728E+00   -1.1936596E+01   -1.4338358E+01   -9.1112849E+00   -9.1494437E+00   -1.2914122E+01   -8.3448238E+00
    4.5000000E-01    5.5346996E+00   -5.5279148E+00   -4.4592206E+00   -5.0173623E+00   -4.4499801E+00   -4.8059089E+00   -7.7216570E+00   -1.5999998E+01   -6.4348890E+00   -7.4106257E+00   -8.5085618E+00   -4.5833314E+00   -3.2196235E+00   -3.4835140E+00   -4.0819465E+00   -8.3917197E+00   -1.0559753E+01   -7.7231669E+00   -4.1699684E+00   -1.6446131E+01   -9.2205902E+00   -8.9474430E+00   -9.2584306E+00   -1.0764555E+01   -1.3949654E+01   -1.5863011E+01   -9.3770626E+00   -1.1908823E+01   -1.4327359E+01   -9.1043966E+00   -9.1363161E+00   -1.2896925E+01   -8.3345148E+00
    5.5000000E-01    5.5415099E+00   -5.5347055E+00   -4.4551001E+00   -5.0099768E+00   -4.4495283E+00   -4.8018033E+00   -7.7582020E+00   -1.5999998E+01   -6.3549434E+00   -7.4065028E+00   -8.5048929E+00   -4.5671464E+00   -3.2203171E+00   -3.4835140E+00   -4.0819464E+00   -8.4148000E+00   -1.0569212E+01   -7.7529963E+00   -4.1638311E+00   -1.6416243E+01   -9.2368808E+00   -8.9542740E+00   -9.2354146E+00   -1.0757211E+01   -1.3935479E+01   -1.5868392E+01   -9.3729833E+00   -1.1881728E+01   -1.4316449E+01   -9.0975658E+00   -9.1233074E+00   -1.2879877E+01   -8.3242980E+00
    6.5000000E-01    5.5482633E+00   -5.5414394E+00   -4.4510100E+00   -5.0027050E+00   -4.4490761E+00   -4.7977261E+00   -7.7940250E+00   -1.5999998E+01   -6.2872954E+00   -7.4023690E+00   -8.5011641E+00   -4.5515104E+00   -3.2210147E+00   -3.4835140E+00   -4.0819464E+00   -8.4372722E+00   -1.0578178E+01   -7.7821608E+00   -4.1577546E+00   -1.6387018E+01   -9.2526202E+00   -8.9610481E+00   -9.2130047E+00   -1.0749981E+01   -1.3921475E+01   -1.5873308E+01   -9.3689344E+00   -1.1855269E+01   -1.4305626E+01   -9.0907918E+00   -9.1104163E+00   -1.2862977E+01   -8.3141726E+00
    7.5000000E-01    5.5549604E+00   -5.5481169E+00   -4.4469497E+00   -4.9955433E+00   -4.4486234E+00   -4.7936767E+00   -7.8291647E+00   -1.5999998E+01   -6.2286417E+00   -7.3982267E+00   -8.4973835E+00   -4.5363871E+00   -3.2217161E+00   -3.4835140E+00   -4.0819463E+00   -8.4591738E+00   -1.0586685E+01   -7.8106982E+00   -4.1517384E+00   -1.6358418E+01   -9.2678452E+00   -8.9677660E+00   -9.1911636E+00   -1.0742860E+01   -1.3907637E+01   -1.5877796E+01   -9.3649153E+00   -1.1829408E+01   -1.4294889E+01   -9.0840741E+00   -9.0976417E+00   -1.2846224E+01   -8.3041371E+00
    8.5000000E-01    5.5616020E+00   -5.5547388E+00   -4.4429188E+00   -4.9884883E+00   -4.4481702E+00   -4.7896548E+00   -7.8636561E+00   -1.5999998E+01   -6.1768538E+00   -7.3940783E+00   -8.4935580E+00   -4.5217432E+00   -3.2224215E+00   -3.4835140E+00   -4.0819462E+00   -8.4805384E+00   -1.0594767E+01   -7.8386431E+00   -4.1457815E+00   -1.6330409E+01   -9.2825890E+00   -8.9744283E+00   -9.1698575E+00   -1.0735847E+01   -1.3893961E+01   -1.5881888E+01   -9.3609257E+00   -1.1804113E+01   -1.4284238E+01   -9.0774119E+00   -9.0849820E+00   -1.2829615E+01   -8.2941905E+00
    9.5000000E-01    5.5681886E+00   -5.5613059E+00   -4.4389167E+00   -4.9815368E+00   -4.4477166E+00   -4.7856599E+00   -7.8975317E+00   -1.5999998E+01   -6.1304793E+00   -7.3899256E+00   -8.4896938E+00   -4.5075487E+00   -3.2231306E+00   -3.4835140E+00   -4.0819462E+00   -8.5013971E+00   -1.0602452E+01   -7.8660271E+00   -4.1398833E+00   -1.6302959E+01   -9.2968817E+00   -8.9810357E+00   -9.1490557E+00   -1.0728937E+01   -1.3880444E+01   -1.5885613E+01   -9.3569649E+00   -1.1779350E+01   -1.4273670E+01   -9.0708046E+00   -9.0724358E+00   -1.2813149E+01   -8.2843315E+00
