# Time          3.5000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    0.0000000E+00   -4.0103223E-11   -1.6226745E-10   -3.2554263E-11    1.3279722E-10    1.0979861E-11
    1.5000000E-01   -1.7741830E-14   -4.0131985E-11   -1.6260346E-10   -3.2635728E-11    1.1709043E-10    9.6509751E-12
    2.5000000E-01   -1.7182793E-14   -4.0149162E-11   -1.6294018E-10   -3.2717381E-11    1.1721839E-10    9.6480368E-12
    3.5000000E-01   -1.5812861E-14   -4.0166211E-11   -1.6327757E-10   -3.2799212E-11    1.1738037E-10    9.6503446E-12
    4.5000000E-01   -1.4420648E-14   -4.0183263E-11   -1.6361559E-10   -3.2881213E-11    1.1754799E-10    9.6543192E-12
    5.5000000E-01   -1.3025029E-14   -4.0200316E-11   -1.6395420E-10   -3.2963375E-11    1.1772173E-10    9.6598332E-12
    6.5000000E-01   -1.1626500E-14   -4.0217369E-11   -1.6429339E-10   -3.3045692E-11    1.1790077E-10    9.6667037E-12
    7.5000000E-01   -1.0225105E-14   -4.0234419E-11   -1.6463312E-10   -3.3128158E-11    1.1808443E-10    9.6747715E-12
    8.5000000E-01   -8.8208729E-15   -4.0251465E-11   -1.6497337E-10   -3.3210767E-11    1.1827213E-10    9.6838980E-12
    9.5000000E-01   -7.4138284E-15   -4.0268503E-11   -1.6531411E-10   -3.3293513E-11    1.1846338E-10    9.6939629E-12
    1.0500000E+00   -6.0039926E-15   -4.0285533E-11   -1.6565534E-10   -3.3376393E-11    1.1865775E-10    9.7048609E-12
    1.1500000E+00   -4.5913839E-15   -4.0302551E-11   -1.6599703E-10   -3.3459403E-11    1.1885488E-10    9.7165001E-12
    1.2500000E+00   -3.1760182E-15   -4.0319555E-11   -1.6633916E-10   -3.3542538E-11    1.1905448E-10    9.7287999E-12
    1.3500000E+00   -1.7579092E-15   -4.0336544E-11   -1.6668173E-10   -3.3625797E-11    1.1925628E-10    9.7416896E-12
    1.4500000E+00   -3.3706895E-16   -4.0353515E-11   -1.6702473E-10   -3.3709175E-11    1.1946005E-10    9.7551067E-12
    1.5500000E+00    0.0000000E+00   -4.0370467E-11   -1.6736814E-10   -3.3792671E-11    1.1966559E-10    9.7689965E-12
    1.6500000E+00    0.0000000E+00   -4.0387397E-11   -1.6771195E-10   -3.3876283E-11    1.1987273E-10    9.7833103E-12
    1.7500000E+00    0.0000000E+00   -4.0404303E-11   -1.6805616E-10   -3.3960009E-11    1.2008133E-10    9.7980054E-12
    1.8500000E+00    0.0000000E+00   -4.0421183E-11   -1.6840076E-10   -3.4043848E-11    1.2029124E-10    9.8130437E-12
    1.9500000E+00    0.0000000E+00   -4.0438035E-11   -1.6874575E-10   -3.4127797E-11    1.2050237E-10    9.8283915E-12
    2.0500000E+00    0.0000000E+00   -4.0454857E-11   -1.6909111E-10   -3.4211856E-11    1.2071459E-10    9.8440189E-12
    2.1500000E+00    0.0000000E+00   -4.0471646E-11   -1.6943685E-10   -3.4296024E-11    1.2092784E-10    9.8598993E-12
    2.2500000E+00    0.0000000E+00   -4.0488401E-11   -1.6978296E-10   -3.4380300E-11    1.2114201E-10    9.8760091E-12
    2.3500000E+00    0.0000000E+00   -4.0505120E-11   -1.7012945E-10   -3.4464683E-11    1.2135706E-10    9.8923269E-12
    2.4500000E+00    0.0000000E+00   -4.0521799E-11   -1.7047630E-10   -3.4549173E-11    1.2157291E-10    9.9088341E-12
    2.5500000E+00    0.0000000E+00   -4.0538437E-11   -1.7082351E-10   -3.4633769E-11    1.2178950E-10    9.9255137E-12
    2.6500000E+00    0.0000000E+00   -4.0555031E-11   -1.7117109E-10   -3.4718470E-11    1.2200680E-10    9.9423506E-12
    2.7500000E+00    0.0000000E+00   -4.0571579E-11   -1.7151902E-10   -3.4803277E-11    1.2222475E-10    9.9593313E-12
    2.8500000E+00    0.0000000E+00   -4.0588079E-11   -1.7186732E-10   -3.4888189E-11    1.2244331E-10    9.9764437E-12
    2.9500000E+00    0.0000000E+00   -4.0604527E-11   -1.7221597E-10   -3.4973206E-11    1.2266245E-10    9.9936770E-12
    3.0500000E+00    0.0000000E+00   -4.0620922E-11   -1.7256499E-10   -3.5058327E-11    1.2288214E-10    1.0011021E-11
    3.1500000E+00    0.0000000E+00   -4.0637261E-11   -1.7291435E-10   -3.5143552E-11    1.2310234E-10    1.0028468E-11
    3.2500000E+00    0.0000000E+00   -4.0653540E-11   -1.7326408E-10   -3.5228882E-11    1.2332302E-10    1.0046008E-11
    3.3500000E+00    0.0000000E+00   -4.0669758E-11   -1.7361416E-10   -3.5314316E-11    1.2354417E-10    1.0063636E-11
    3.4500000E+00    0.0000000E+00   -4.0685911E-11   -1.7396460E-10   -3.5399854E-11    1.2376577E-10    1.0081345E-11
    3.5500000E+00    0.0000000E+00   -4.0701997E-11   -1.7431539E-10   -3.5485495E-11    1.2398778E-10    1.0099128E-11
    3.6500000E+00    0.0000000E+00   -4.0718012E-11   -1.7466654E-10   -3.5571241E-11    1.2421020E-10    1.0116981E-11
    3.7500000E+00    0.0000000E+00   -4.0733954E-11   -1.7501804E-10   -3.5657090E-11    1.2443300E-10    1.0134898E-11
    3.8500000E+00    0.0000000E+00   -4.0749819E-11   -1.7536989E-10   -3.5743043E-11    1.2465617E-10    1.0152876E-11
    3.9500000E+00    0.0000000E+00   -4.0765604E-11   -1.7572210E-10   -3.5829100E-11    1.2487970E-10    1.0170910E-11
    4.0500000E+00    0.0000000E+00   -4.0781306E-11   -1.7607466E-10   -3.5915260E-11    1.2510356E-10    1.0188997E-11
    4.1500000E+00    0.0000000E+00   -4.0796921E-11   -1.7642758E-10   -3.6001524E-11    1.2532776E-10    1.0207134E-11
    4.2500000E+00    0.0000000E+00   -4.0812446E-11   -1.7678085E-10   -3.6087892E-11    1.2555227E-10    1.0225317E-11
    4.3500000E+00    0.0000000E+00   -4.0827878E-11   -1.7713447E-10   -3.6174363E-11    1.2577709E-10    1.0243544E-11
    4.4500000E+00    0.0000000E+00   -4.0843212E-11   -1.7748845E-10   -3.6260938E-11    1.2600221E-10    1.0261812E-11
    4.5500000E+00    0.0000000E+00   -4.0858446E-11   -1.7784279E-10   -3.6347616E-11    1.2622761E-10    1.0280120E-11
    4.6500000E+00    0.0000000E+00   -4.0873575E-11   -1.7819747E-10   -3.6434398E-11    1.2645329E-10    1.0298464E-11
    4.7500000E+00    0.0000000E+00   -4.0888595E-11   -1.7855251E-10   -3.6521284E-11    1.2667925E-10    1.0316843E-11
    4.8500000E+00    0.0000000E+00   -4.0903503E-11   -1.7890790E-10   -3.6608273E-11    1.2690546E-10    1.0335255E-11
    4.9500000E+00    0.0000000E+00   -4.0918294E-11   -1.7926365E-10   -3.6695366E-11    1.2713192E-10    1.0353699E-11
    5.0500000E+00    0.0000000E+00   -4.0932964E-11   -1.7961975E-10   -3.6782562E-11    1.2735864E-10    1.0372174E-11
    5.1500000E+00    0.0000000E+00   -4.0947509E-11   -1.7997620E-10   -3.6869862E-11    1.2758559E-10    1.0390676E-11
    5.2500000E+00    0.0000000E+00   -4.0961924E-11   -1.8033301E-10   -3.6957266E-11    1.2781278E-10    1.0409207E-11
    5.3500000E+00    0.0000000E+00   -4.0976206E-11   -1.8069017E-10   -3.7044773E-11    1.2804019E-10    1.0427763E-11
    5.4500000E+00    0.0000000E+00   -4.0990348E-11   -1.8104769E-10   -3.7132384E-11    1.2826783E-10    1.0446345E-11
    5.5500000E+00    0.0000000E+00   -4.1004347E-11   -1.8140555E-10   -3.7220098E-11    1.2849568E-10    1.0464950E-11
    5.6500000E+00    0.0000000E+00   -4.1018198E-11   -1.8176378E-10   -3.7307916E-11    1.2872374E-10    1.0483579E-11
    5.7500000E+00    0.0000000E+00   -4.1031896E-11   -1.8212235E-10   -3.7395837E-11    1.2895200E-10    1.0502229E-11
    5.8500000E+00    0.0000000E+00   -4.1045435E-11   -1.8248128E-10   -3.7483862E-11    1.2918047E-10    1.0520901E-11
    5.9500000E+00    0.0000000E+00   -4.1058811E-11   -1.8284056E-10   -3.7571990E-11    1.2940913E-10    1.0539594E-11
    6.0500000E+00    0.0000000E+00   -4.1072018E-11   -1.8320020E-10   -3.7660222E-11    1.2963797E-10    1.0558306E-11
    6.1500000E+00    0.0000000E+00   -4.1085051E-11   -1.8356019E-10   -3.7748558E-11    1.2986701E-10    1.0577037E-11
    6.2500000E+00    0.0000000E+00   -4.1097905E-11   -1.8392053E-10   -3.7836997E-11    1.3009622E-10    1.0595786E-11
    6.3500000E+00    0.0000000E+00   -4.1110573E-11   -1.8428123E-10   -3.7925540E-11    1.3032561E-10    1.0614553E-11
    6.4500000E+00    0.0000000E+00   -4.1123049E-11   -1.8464228E-10   -3.8014186E-11    1.3055517E-10    1.0633337E-11
    6.5500000E+00    0.0000000E+00   -4.1135329E-11   -1.8500368E-10   -3.8102936E-11    1.3078489E-10    1.0652138E-11
    6.6500000E+00    0.0000000E+00   -4.1147405E-11   -1.8536544E-10   -3.8191790E-11    1.3101478E-10    1.0670954E-11
    6.7500000E+00    0.0000000E+00   -4.1159272E-11   -1.8572755E-10   -3.8280747E-11    1.3124482E-10    1.0689786E-11
    6.8500000E+00    0.0000000E+00   -4.1170923E-11   -1.8609001E-10   -3.8369807E-11    1.3147501E-10    1.0708632E-11
    6.9500000E+00    0.0000000E+00   -4.1182351E-11   -1.8645283E-10   -3.8458972E-11    1.3170536E-10    1.0727492E-11
    7.0500000E+00    0.0000000E+00   -4.1193551E-11   -1.8681600E-10   -3.8548239E-11    1.3193585E-10    1.0746366E-11
