# Time          1.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2719009E-01   -4.4351926E+00   -8.6055480E+00   -3.1804923E+01    6.1699192E-03   -9.7694987E-03
    1.5000000E-01   -2.1023054E-01   -4.3883821E+00   -8.5654666E+00   -3.1404778E+01    5.9049029E-03   -1.0045022E-02
    2.5000000E-01   -1.9215649E-01   -4.3376528E+00   -8.5215828E+00   -3.1125498E+01    5.9308423E-03   -1.0028409E-02
    3.5000000E-01   -1.7474674E-01   -4.2884139E+00   -8.4789650E+00   -3.0899805E+01    5.9567892E-03   -1.0010772E-02
    4.5000000E-01   -1.5797180E-01   -4.2406216E+00   -8.4375790E+00   -3.0704226E+01    5.9834319E-03   -9.9915370E-03
    5.5000000E-01   -1.4178662E-01   -4.1941818E+00   -8.3973431E+00   -3.0528252E+01    6.0107151E-03   -9.9708604E-03
    6.5000000E-01   -1.2615059E-01   -4.1490088E+00   -8.3581833E+00   -3.0366252E+01    6.0385845E-03   -9.9488855E-03
    7.5000000E-01   -1.1102711E-01   -4.1050256E+00   -8.3200325E+00   -3.0214839E+01    6.0669956E-03   -9.9257359E-03
    8.5000000E-01   -9.6383077E-02   -4.0621617E+00   -8.2828303E+00   -3.0071809E+01    6.0959117E-03   -9.9015182E-03
    9.5000000E-01   -8.2188491E-02   -4.0203533E+00   -8.2465214E+00   -2.9935641E+01    6.1253026E-03   -9.8763247E-03
    1.0500000E+00   -6.8416049E-02   -3.9795420E+00   -8.2110555E+00   -2.9805235E+01    6.1551434E-03   -9.8502353E-03
    1.1500000E+00   -5.5040847E-02   -3.9396741E+00   -8.1763866E+00   -2.9679768E+01    6.1854134E-03   -9.8233192E-03
    1.2500000E+00   -4.2040111E-02   -3.9007006E+00   -8.1424724E+00   -2.9558603E+01    6.2160957E-03   -9.7956365E-03
