# Time          7.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    2.8965628E-01   -2.9163967E+00   -7.1945135E+00   -2.8891529E+01    6.5712432E-03   -9.3700252E-03
    1.5000000E-01   -1.3292821E-01   -4.1661098E+00   -8.3657681E+00   -3.0653917E+01    5.8830552E-03   -1.0086195E-02
    2.5000000E-01   -1.4846295E-01   -4.2133319E+00   -8.4137293E+00   -3.0606824E+01    5.9189756E-03   -1.0060257E-02
    3.5000000E-01   -1.3357187E-01   -4.1705180E+00   -8.3768544E+00   -3.0442817E+01    5.9468644E-03   -1.0038619E-02
    4.5000000E-01   -1.1823255E-01   -4.1260496E+00   -8.3382998E+00   -3.0286729E+01    5.9745543E-03   -1.0016406E-02
    5.5000000E-01   -1.0336265E-01   -4.0826583E+00   -8.3006508E+00   -3.0139876E+01    6.0027187E-03   -9.9931285E-03
    6.5000000E-01   -8.8955624E-02   -4.0403507E+00   -8.2639193E+00   -3.0000553E+01    6.0313490E-03   -9.9688642E-03
    7.5000000E-01   -7.4983525E-02   -3.9990675E+00   -8.2280543E+00   -2.9867481E+01    6.0604204E-03   -9.9436946E-03
    8.5000000E-01   -6.1420348E-02   -3.9587529E+00   -8.1930080E+00   -2.9739718E+01    6.0899120E-03   -9.9176914E-03
    9.5000000E-01   -4.8242329E-02   -3.9193558E+00   -8.1587362E+00   -2.9616546E+01    6.1198064E-03   -9.8909167E-03
    1.0500000E+00   -3.5427701E-02   -3.8808291E+00   -8.1251986E+00   -2.9497403E+01    6.1500895E-03   -9.8634249E-03
    1.1500000E+00   -2.2956485E-02   -3.8431293E+00   -8.0923579E+00   -2.9381842E+01    6.1807494E-03   -9.8352630E-03
    1.2500000E+00   -1.0810294E-02   -3.8062164E+00   -8.0601798E+00   -2.9269497E+01    6.2117765E-03   -9.8064720E-03
    1.3500000E+00    1.0278281E-03   -3.7700531E+00   -8.0286326E+00   -2.9160065E+01    6.2431631E-03   -9.7770877E-03
    1.4500000E+00    1.2573571E-02   -3.7346049E+00   -7.9976867E+00   -2.9053294E+01    6.2749031E-03   -9.7471410E-03
    1.5500000E+00    2.3841456E-02   -3.6998397E+00   -7.9673147E+00   -2.8948967E+01    6.3069915E-03   -9.7166589E-03
    1.6500000E+00    3.4844951E-02   -3.6657276E+00   -7.9374913E+00   -2.8846899E+01    6.3394246E-03   -9.6856647E-03
    1.7500000E+00    4.5596551E-02   -3.6322409E+00   -7.9081927E+00   -2.8746929E+01    6.3721999E-03   -9.6541785E-03
    1.8500000E+00    5.6107896E-02   -3.5993532E+00   -7.8793966E+00   -2.8648916E+01    6.4053155E-03   -9.6222177E-03
    1.9500000E+00    6.6389842E-02   -3.5670404E+00   -7.8510826E+00   -2.8552736E+01    6.4387704E-03   -9.5897972E-03
    2.0500000E+00    7.6452526E-02   -3.5352794E+00   -7.8232310E+00   -2.8458278E+01    6.4725643E-03   -9.5569298E-03
    2.1500000E+00    8.6305432E-02   -3.5040488E+00   -7.7958237E+00   -2.8365443E+01    6.5066975E-03   -9.5236261E-03
    2.2500000E+00    9.5957443E-02   -3.4733284E+00   -7.7688436E+00   -2.8274144E+01    6.5411707E-03   -9.4898952E-03
    2.3500000E+00    1.0541689E-01   -3.4430990E+00   -7.7422746E+00   -2.8184300E+01    6.5759854E-03   -9.4557446E-03
    2.4500000E+00    1.1469160E-01   -3.4133428E+00   -7.7161014E+00   -2.8095839E+01    6.6111433E-03   -9.4211806E-03
    2.5500000E+00    1.2378892E-01   -3.3840427E+00   -7.6903098E+00   -2.8008693E+01    6.6466465E-03   -9.3862078E-03
    2.6500000E+00    1.3271580E-01   -3.3551827E+00   -7.6648863E+00   -2.7922802E+01    6.6824975E-03   -9.3508303E-03
    2.7500000E+00    1.4147875E-01   -3.3267477E+00   -7.6398180E+00   -2.7838111E+01    6.7186992E-03   -9.3150507E-03
    2.8500000E+00    1.5008394E-01   -3.2987232E+00   -7.6150929E+00   -2.7754567E+01    6.7552546E-03   -9.2788711E-03
    2.9500000E+00    1.5853720E-01   -3.2710956E+00   -7.5906995E+00   -2.7672124E+01    6.7921674E-03   -9.2422924E-03
    3.0500000E+00    1.6684403E-01   -3.2438519E+00   -7.5666268E+00   -2.7590737E+01    6.8294410E-03   -9.2053152E-03
    3.1500000E+00    1.7500964E-01   -3.2169799E+00   -7.5428646E+00   -2.7510364E+01    6.8670796E-03   -9.1679390E-03
    3.2500000E+00    1.8303897E-01   -3.1904678E+00   -7.5194029E+00   -2.7430969E+01    6.9050872E-03   -9.1301631E-03
    3.3500000E+00    1.9093671E-01   -3.1643045E+00   -7.4962326E+00   -2.7352514E+01    6.9434684E-03   -9.0919858E-03
    3.4500000E+00    1.9870730E-01   -3.1384794E+00   -7.4733446E+00   -2.7274966E+01    6.9822277E-03   -9.0534053E-03
    3.5500000E+00    2.0635498E-01   -3.1129822E+00   -7.4507304E+00   -2.7198294E+01    7.0213700E-03   -9.0144191E-03
    3.6500000E+00    2.1388375E-01   -3.0878034E+00   -7.4283820E+00   -2.7122468E+01    7.0609004E-03   -8.9750243E-03
    3.7500000E+00    2.2129745E-01   -3.0629337E+00   -7.4062915E+00   -2.7047460E+01    7.1008241E-03   -8.9352176E-03
    3.8500000E+00    2.2859972E-01   -3.0383642E+00   -7.3844517E+00   -2.6973243E+01    7.1411465E-03   -8.8949952E-03
    3.9500000E+00    2.3579403E-01   -3.0140865E+00   -7.3628555E+00   -2.6899794E+01    7.1818733E-03   -8.8543532E-03
    4.0500000E+00    2.4288369E-01   -2.9900926E+00   -7.3414960E+00   -2.6827087E+01    7.2230103E-03   -8.8132870E-03
    4.1500000E+00    2.4987186E-01   -2.9663745E+00   -7.3203668E+00   -2.6755101E+01    7.2645636E-03   -8.7717920E-03
    4.2500000E+00    2.5676158E-01   -2.9429250E+00   -7.2994617E+00   -2.6683814E+01    7.3065394E-03   -8.7298632E-03
    4.3500000E+00    2.6355572E-01   -2.9197369E+00   -7.2787747E+00   -2.6613206E+01    7.3489440E-03   -8.6874950E-03
    4.4500000E+00    2.7025705E-01   -2.8968033E+00   -7.2583001E+00   -2.6543258E+01    7.3917841E-03   -8.6446820E-03
    4.5500000E+00    2.7686822E-01   -2.8741176E+00   -7.2380325E+00   -2.6473951E+01    7.4350665E-03   -8.6014182E-03
    4.6500000E+00    2.8339175E-01   -2.8516736E+00   -7.2179664E+00   -2.6405268E+01    7.4787981E-03   -8.5576973E-03
    4.7500000E+00    2.8983007E-01   -2.8294651E+00   -7.1980970E+00   -2.6337192E+01    7.5229861E-03   -8.5135129E-03
    4.8500000E+00    2.9618552E-01   -2.8074863E+00   -7.1784192E+00   -2.6269707E+01    7.5676379E-03   -8.4688583E-03
    4.9500000E+00    3.0246032E-01   -2.7857316E+00   -7.1589284E+00   -2.6202797E+01    7.6127612E-03   -8.4237264E-03
    5.0500000E+00    3.0865662E-01   -2.7641955E+00   -7.1396201E+00   -2.6136448E+01    7.6583635E-03   -8.3781100E-03
    5.1500000E+00    3.1477649E-01   -2.7428728E+00   -7.1204899E+00   -2.6070646E+01    7.7044531E-03   -8.3320015E-03
    5.2500000E+00    3.2082189E-01   -2.7217585E+00   -7.1015336E+00   -2.6005377E+01    7.7510381E-03   -8.2853932E-03
    5.3500000E+00    3.2679473E-01   -2.7008476E+00   -7.0827472E+00   -2.5940628E+01    7.7981269E-03   -8.2382771E-03
    5.4500000E+00    3.3269685E-01   -2.6801356E+00   -7.0641267E+00   -2.5876386E+01    7.8457282E-03   -8.1906447E-03
    5.5500000E+00    3.3853001E-01   -2.6596178E+00   -7.0456684E+00   -2.5812640E+01    7.8938509E-03   -8.1424876E-03
    5.6500000E+00    3.4429590E-01   -2.6392900E+00   -7.0273686E+00   -2.5749378E+01    7.9425042E-03   -8.0937969E-03
    5.7500000E+00    3.4999616E-01   -2.6191477E+00   -7.0092238E+00   -2.5686588E+01    7.9916973E-03   -8.0445635E-03
    5.8500000E+00    3.5563236E-01   -2.5991871E+00   -6.9912305E+00   -2.5624260E+01    8.0414400E-03   -7.9947780E-03
    5.9500000E+00    3.6120603E-01   -2.5794040E+00   -6.9733856E+00   -2.5562384E+01    8.0917421E-03   -7.9444308E-03
    6.0500000E+00    3.6671863E-01   -2.5597948E+00   -6.9556857E+00   -2.5500949E+01    8.1426138E-03   -7.8935118E-03
    6.1500000E+00    3.7217157E-01   -2.5403556E+00   -6.9381278E+00   -2.5439946E+01    8.1940654E-03   -7.8420110E-03
    6.2500000E+00    3.7756622E-01   -2.5210828E+00   -6.9207090E+00   -2.5379365E+01    8.2461078E-03   -7.7899177E-03
    6.3500000E+00    3.8290390E-01   -2.5019731E+00   -6.9034262E+00   -2.5319197E+01    8.2987518E-03   -7.7372210E-03
    6.4500000E+00    3.8818589E-01   -2.4830230E+00   -6.8862768E+00   -2.5259434E+01    8.3520088E-03   -7.6839099E-03
    6.5500000E+00    3.9341341E-01   -2.4642292E+00   -6.8692579E+00   -2.5200067E+01    8.4058904E-03   -7.6299729E-03
