# Time          1.0000E-01
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0962464E-05    3.3575504E-05    8.9917154E-06    3.5498834E-05    1.5113146E-05    5.8079125E-08    1.0046163E-16    7.2205027E-08    3.7584129E-08    3.0165591E-09    2.2256622E-05    6.7379473E-04    3.2997789E-04    8.3187963E-05
    1.5000000E-01   -6.1685270E-05    3.3753192E-05    9.1155712E-06    3.5374560E-05    1.5192277E-05    5.3697202E-08    1.0000580E-16    1.4572955E-07    3.7768257E-08    3.0263012E-09    2.3142960E-05    6.7073752E-04    3.2848068E-04    8.2810513E-05
    2.5000000E-01   -6.2679054E-05    3.4080592E-05    9.2792147E-06    3.5409345E-05    1.5338863E-05    4.9606417E-08    1.0000037E-16    2.1942737E-07    3.8121852E-08    3.0501289E-09    2.4126425E-05    6.7070107E-04    3.2846283E-04    8.2806013E-05
    3.5000000E-01   -6.3679417E-05    3.4410453E-05    9.4435537E-06    3.5446104E-05    1.5486619E-05    4.5918298E-08    1.0000031E-16    2.9330938E-07    3.8482671E-08    3.0749518E-09    2.5113240E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4683048E-05    3.4741016E-05    9.6081206E-06    3.5482959E-05    1.5634752E-05    4.2585205E-08    1.0000031E-16    3.6737610E-07    3.8848491E-08    3.1005456E-09    2.6102237E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5689794E-05    3.5072263E-05    9.7729111E-06    3.5519890E-05    1.5783256E-05    3.9564862E-08    1.0000031E-16    4.4162788E-07    3.9219050E-08    3.1268496E-09    2.7093364E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6699549E-05    3.5404195E-05    9.9379254E-06    3.5556898E-05    1.5932130E-05    3.6821009E-08    1.0000031E-16    5.1606508E-07    3.9594143E-08    3.1538116E-09    2.8086588E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7712223E-05    3.5736813E-05    1.0103164E-05    3.5593982E-05    1.6081376E-05    3.4322414E-08    1.0000031E-16    5.9068804E-07    3.9973594E-08    3.1813861E-09    2.9081881E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8727738E-05    3.6070119E-05    1.0268627E-05    3.5631143E-05    1.6230994E-05    3.2042064E-08    1.0000031E-16    6.6549706E-07    4.0357255E-08    3.2095332E-09    3.0079218E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9746028E-05    3.6404113E-05    1.0434315E-05    3.5668380E-05    1.6380985E-05    2.9956495E-08    1.0000031E-16    7.4049247E-07    4.0744994E-08    3.2382177E-09    3.1078579E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0767033E-05    3.6738796E-05    1.0600228E-05    3.5705695E-05    1.6531349E-05    2.8045256E-08    1.0000031E-16    8.1567457E-07    4.1136701E-08    3.2674084E-09    3.2079946E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.1790703E-05    3.7074170E-05    1.0766366E-05    3.5743086E-05    1.6682087E-05    2.6290453E-08    1.0000031E-16    8.9104364E-07    4.1532279E-08    3.2970780E-09    3.3083303E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.2816994E-05    3.7410235E-05    1.0932730E-05    3.5780554E-05    1.6833200E-05    2.4676381E-08    1.0000031E-16    9.6659997E-07    4.1931644E-08    3.3272021E-09    3.4088636E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.3845867E-05    3.7746992E-05    1.1099320E-05    3.5818100E-05    1.6984688E-05    2.3189210E-08    1.0000031E-16    1.0423438E-06    4.2334723E-08    3.3577593E-09    3.5095934E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.4877289E-05    3.8084442E-05    1.1266136E-05    3.5855723E-05    1.7136551E-05    2.1816725E-08    1.0000031E-16    1.1182755E-06    4.2741452E-08    3.3887305E-09    3.6105187E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.5911230E-05    3.8422586E-05    1.1433179E-05    3.5893423E-05    1.7288791E-05    2.0548111E-08    1.0000031E-16    1.1943953E-06    4.3151775E-08    3.4200988E-09    3.7116387E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.6947664E-05    3.8761425E-05    1.1600448E-05    3.5931200E-05    1.7441407E-05    1.9373758E-08    1.0000031E-16    1.2707034E-06    4.3565643E-08    3.4518491E-09    3.8129527E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -7.7986567E-05    3.9100959E-05    1.1767943E-05    3.5969055E-05    1.7594400E-05    1.8285116E-08    1.0000031E-16    1.3472000E-06    4.3983012E-08    3.4839679E-09    3.9144602E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -7.9027920E-05    3.9441189E-05    1.1935666E-05    3.6006988E-05    1.7747771E-05    1.7274550E-08    1.0000031E-16    1.4238856E-06    4.4403846E-08    3.5164434E-09    4.0161607E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.0071705E-05    3.9782116E-05    1.2103616E-05    3.6044999E-05    1.7901520E-05    1.6335234E-08    1.0000031E-16    1.5007602E-06    4.4828111E-08    3.5492648E-09    4.1180537E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.1117905E-05    4.0123741E-05    1.2271793E-05    3.6083087E-05    1.8055648E-05    1.5461048E-08    1.0000031E-16    1.5778241E-06    4.5255778E-08    3.5824227E-09    4.2201387E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
