# Time          1.0000E-01
# Units: Weight % Mineral
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    3.7667410E+01    2.4568442E+01    2.0424891E+01    5.7684332E+00    1.0698467E+01    8.7235710E-01
    1.5000000E-01    3.7647727E+01    2.4571432E+01    2.0477665E+01    5.7870759E+00    1.0647919E+01    8.6818113E-01
    2.5000000E-01    3.7627798E+01    2.4574274E+01    2.0530437E+01    5.8057348E+00    1.0597717E+01    8.6404018E-01
    3.5000000E-01    3.7607815E+01    2.4577092E+01    2.0583305E+01    5.8244371E+00    1.0547452E+01    8.5989967E-01
    4.5000000E-01    3.7587784E+01    2.4579888E+01    2.0636263E+01    5.8431810E+00    1.0497125E+01    8.5575910E-01
    5.5000000E-01    3.7567707E+01    2.4582662E+01    2.0689308E+01    5.8619650E+00    1.0446739E+01    8.5161809E-01
    6.5000000E-01    3.7547588E+01    2.4585417E+01    2.0742436E+01    5.8807877E+00    1.0396296E+01    8.4747631E-01
    7.5000000E-01    3.7527430E+01    2.4588151E+01    2.0795642E+01    5.8996478E+00    1.0345796E+01    8.4333349E-01
    8.5000000E-01    3.7507235E+01    2.4590866E+01    2.0848923E+01    5.9185440E+00    1.0295242E+01    8.3918939E-01
    9.5000000E-01    3.7487006E+01    2.4593563E+01    2.0902276E+01    5.9374754E+00    1.0244636E+01    8.3504380E-01
    1.0500000E+00    3.7466743E+01    2.4596242E+01    2.0955699E+01    5.9564408E+00    1.0193978E+01    8.3089655E-01
    1.1500000E+00    3.7446450E+01    2.4598903E+01    2.1009190E+01    5.9754396E+00    1.0143271E+01    8.2674748E-01
    1.2500000E+00    3.7426127E+01    2.4601546E+01    2.1062745E+01    5.9944710E+00    1.0092515E+01    8.2259647E-01
    1.3500000E+00    3.7405776E+01    2.4604172E+01    2.1116363E+01    6.0135342E+00    1.0041711E+01    8.1844340E-01
    1.4500000E+00    3.7385397E+01    2.4606781E+01    2.1170043E+01    6.0326287E+00    9.9908615E+00    8.1428816E-01
    1.5500000E+00    3.7364993E+01    2.4609374E+01    2.1223783E+01    6.0517539E+00    9.9399661E+00    8.1013066E-01
    1.6500000E+00    3.7344564E+01    2.4611949E+01    2.1277581E+01    6.0709094E+00    9.8890260E+00    8.0597081E-01
    1.7500000E+00    3.7324110E+01    2.4614509E+01    2.1331436E+01    6.0900948E+00    9.8380419E+00    8.0180854E-01
    1.8500000E+00    3.7303633E+01    2.4617051E+01    2.1385348E+01    6.1093096E+00    9.7870145E+00    7.9764379E-01
    1.9500000E+00    3.7283133E+01    2.4619578E+01    2.1439314E+01    6.1285536E+00    9.7359441E+00    7.9347648E-01
    2.0500000E+00    3.7262611E+01    2.4622088E+01    2.1493336E+01    6.1478265E+00    9.6848315E+00    7.8930657E-01
    2.1500000E+00    3.7242068E+01    2.4624582E+01    2.1547411E+01    6.1671281E+00    9.6336769E+00    7.8513400E-01
    2.2500000E+00    3.7221503E+01    2.4627060E+01    2.1601540E+01    6.1864581E+00    9.5824807E+00    7.8095873E-01
    2.3500000E+00    3.7200917E+01    2.4629521E+01    2.1655722E+01    6.2058164E+00    9.5312434E+00    7.7678072E-01
    2.4500000E+00    3.7180311E+01    2.4631967E+01    2.1709955E+01    6.2252027E+00    9.4799651E+00    7.7259992E-01
    2.5500000E+00    3.7159684E+01    2.4634396E+01    2.1764241E+01    6.2446170E+00    9.4286462E+00    7.6841631E-01
    2.6500000E+00    3.7139038E+01    2.4636809E+01    2.1818577E+01    6.2640591E+00    9.3772869E+00    7.6422985E-01
    2.7500000E+00    3.7118372E+01    2.4639206E+01    2.1872966E+01    6.2835289E+00    9.3258874E+00    7.6004051E-01
    2.8500000E+00    3.7097687E+01    2.4641586E+01    2.1927404E+01    6.3030262E+00    9.2744479E+00    7.5584827E-01
    2.9500000E+00    3.7076983E+01    2.4643951E+01    2.1981894E+01    6.3225511E+00    9.2229686E+00    7.5165312E-01
    3.0500000E+00    3.7056260E+01    2.4646299E+01    2.2036433E+01    6.3421034E+00    9.1714497E+00    7.4745502E-01
    3.1500000E+00    3.7035518E+01    2.4648631E+01    2.2091023E+01    6.3616830E+00    9.1198913E+00    7.4325396E-01
    3.2500000E+00    3.7014757E+01    2.4650946E+01    2.2145663E+01    6.3812899E+00    9.0682935E+00    7.3904993E-01
