# Time          2.0000E+00
# Units: Log10 mol/kgw
    Distance      pH               H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-              Al(OH)2+         AlO2-            AlOH++           HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          KOH(aq)          NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            NaCO3-           NaHCO3(aq)   
    5.0000000E-02    5.4854029E+00   -5.4740866E+00   -3.9918005E+00   -4.5637183E+00   -3.9675332E+00   -4.3382958E+00   -7.9495621E+00   -1.5515758E+01   -6.6480257E+00   -6.9465933E+00   -8.0422135E+00   -4.1708075E+00   -2.7311085E+00   -2.9992739E+00   -3.5977113E+00   -8.7543089E+00   -1.1020935E+01   -8.0220886E+00   -3.7258962E+00   -1.6112858E+01   -9.6373299E+00   -8.4188247E+00   -8.8903496E+00   -9.8364639E+00   -1.3550220E+01   -1.5866442E+01   -8.4351353E+00   -1.1082990E+01   -1.3914090E+01   -9.1488491E+00   -8.7271698E+00   -1.2039543E+01   -7.4326907E+00
    1.5000000E-01    5.5094431E+00   -5.5008926E+00   -4.2480915E+00   -4.8131993E+00   -4.2311521E+00   -4.5947064E+00   -7.8157376E+00   -1.5780241E+01   -6.4480312E+00   -7.2016675E+00   -8.2984795E+00   -4.3993889E+00   -2.9975661E+00   -3.2637562E+00   -3.8621905E+00   -8.5503851E+00   -1.0768931E+01   -7.8510248E+00   -3.9712966E+00   -1.6305241E+01   -9.4063829E+00   -8.7043207E+00   -9.0978738E+00   -1.0344404E+01   -1.3772638E+01   -1.5864790E+01   -8.9499260E+00   -1.1540866E+01   -1.4143358E+01   -9.1277853E+00   -8.9573499E+00   -1.2514238E+01   -7.9284430E+00
    2.5000000E-01    5.5352292E+00   -5.5281081E+00   -4.4135702E+00   -4.9702875E+00   -4.4058820E+00   -4.7602668E+00   -7.7714654E+00   -1.5956092E+01   -6.3554718E+00   -7.3656082E+00   -8.4637568E+00   -4.5325932E+00   -3.1758064E+00   -3.4396073E+00   -4.0380401E+00   -8.4431497E+00   -1.0610124E+01   -7.7740740E+00   -4.1252673E+00   -1.6392920E+01   -9.2718450E+00   -8.9044238E+00   -9.2068084E+00   -1.0674287E+01   -1.3902407E+01   -1.5868438E+01   -9.2882156E+00   -1.1812257E+01   -1.4281534E+01   -9.1035132E+00   -9.0900330E+00   -1.2806396E+01   -8.2448698E+00
    3.5000000E-01    5.5475339E+00   -5.5406743E+00   -4.4462319E+00   -4.9981059E+00   -4.4440515E+00   -4.7929578E+00   -7.7956290E+00   -1.5994943E+01   -6.2866910E+00   -7.3978027E+00   -8.4966235E+00   -4.5474875E+00   -3.2158878E+00   -3.4784587E+00   -4.0768912E+00   -8.4406187E+00   -1.0582983E+01   -7.7846666E+00   -4.1533197E+00   -1.6384305E+01   -9.2567336E+00   -8.9553012E+00   -9.2096737E+00   -1.0740402E+01   -1.3917643E+01   -1.5873410E+01   -9.3591760E+00   -1.1847234E+01   -1.4301615E+01   -9.0914838E+00   -9.1065996E+00   -1.2854531E+01   -8.3050342E+00
    4.5000000E-01    5.5549764E+00   -5.5481296E+00   -4.4464947E+00   -4.9950344E+00   -4.4481908E+00   -4.7932335E+00   -7.8297785E+00   -1.5999569E+01   -6.2280280E+00   -7.3979318E+00   -8.4971444E+00   -4.5358409E+00   -3.2212885E+00   -3.4830843E+00   -4.0815166E+00   -8.4597816E+00   -1.0587261E+01   -7.8113118E+00   -4.1512913E+00   -1.6357827E+01   -9.2684405E+00   -8.9673557E+00   -9.1905980E+00   -1.0741929E+01   -1.3907115E+01   -1.5877924E+01   -9.3640374E+00   -1.1828395E+01   -1.4294422E+01   -9.0840547E+00   -9.0971685E+00   -1.2845310E+01   -8.3032419E+00
    5.5000000E-01    5.5616871E+00   -5.5548235E+00   -4.4428342E+00   -4.9883289E+00   -4.4481342E+00   -4.7895822E+00   -7.8642025E+00   -1.5999969E+01   -6.1763016E+00   -7.3941482E+00   -8.4936808E+00   -4.5214937E+00   -3.2224008E+00   -3.4834842E+00   -4.0819165E+00   -8.4809184E+00   -1.0594977E+01   -7.8391067E+00   -4.1456752E+00   -1.6329987E+01   -9.2828844E+00   -8.9744841E+00   -9.1695224E+00   -1.0735659E+01   -1.3893717E+01   -1.5882014E+01   -9.3608124E+00   -1.1803694E+01   -1.4284068E+01   -9.0773263E+00   -9.0847890E+00   -1.2829340E+01   -8.2940007E+00
    6.5000000E-01    5.5682783E+00   -5.5613953E+00   -4.4388583E+00   -4.9814033E+00   -4.4477083E+00   -4.7856132E+00   -7.8980672E+00   -1.5999997E+01   -6.1299809E+00   -7.3900197E+00   -8.4898355E+00   -4.5073257E+00   -3.2231386E+00   -3.4835122E+00   -4.0819444E+00   -8.5017556E+00   -1.0602631E+01   -7.8664743E+00   -4.1398013E+00   -1.6302555E+01   -9.2971508E+00   -8.9811240E+00   -9.1487427E+00   -1.0728802E+01   -1.3880221E+01   -1.5885734E+01   -9.3569053E+00   -1.1778979E+01   -1.4273522E+01   -9.0707146E+00   -9.0722631E+00   -1.2812919E+01   -8.2841916E+00
    7.5000000E-01    5.5748106E+00   -5.5679079E+00   -4.4348865E+00   -4.9745553E+00   -4.4472559E+00   -4.7816467E+00   -7.9313487E+00   -1.5999998E+01   -6.0880288E+00   -7.3858648E+00   -8.4859335E+00   -4.4935610E+00   -3.2238532E+00   -3.4835139E+00   -4.0819460E+00   -8.5221289E+00   -1.0609940E+01   -7.8933185E+00   -4.1339631E+00   -1.6275644E+01   -9.3110125E+00   -8.9876786E+00   -9.1284251E+00   -1.0721998E+01   -1.3866861E+01   -1.5889112E+01   -9.3529766E+00   -1.1754731E+01   -1.4263038E+01   -9.0641618E+00   -9.0598313E+00   -1.2796598E+01   -8.2744228E+00
    8.5000000E-01    5.5812892E+00   -5.5743669E+00   -4.4309413E+00   -4.9678033E+00   -4.4468014E+00   -4.7777049E+00   -7.9640719E+00   -1.5999998E+01   -6.0496836E+00   -7.3817073E+00   -8.4820022E+00   -4.4801920E+00   -3.2245700E+00   -3.4835140E+00   -4.0819461E+00   -8.5420513E+00   -1.0616905E+01   -7.9196581E+00   -4.1281805E+00   -1.6249235E+01   -9.3244770E+00   -8.9941782E+00   -9.1085568E+00   -1.0715287E+01   -1.3853652E+01   -1.5892173E+01   -9.3490728E+00   -1.1730959E+01   -1.4252635E+01   -9.0576625E+00   -9.0475087E+00   -1.2780412E+01   -8.2647363E+00
    9.5000000E-01    5.5877154E+00   -5.5807734E+00   -4.4270235E+00   -4.9611456E+00   -4.4463464E+00   -4.7737889E+00   -7.9962621E+00   -1.5999998E+01   -6.0143669E+00   -7.3775500E+00   -8.4780471E+00   -4.4671971E+00   -3.2252904E+00   -3.4835140E+00   -4.0819460E+00   -8.5615457E+00   -1.0623547E+01   -7.9455172E+00   -4.1224540E+00   -1.6223305E+01   -9.3375658E+00   -9.0006252E+00   -9.0891150E+00   -1.0708671E+01   -1.3840589E+01   -1.5894939E+01   -9.3451964E+00   -1.1707640E+01   -1.4242312E+01   -9.0512156E+00   -9.0352946E+00   -1.2764362E+01   -8.2551332E+00
    1.0500000E+00    5.5940900E+00   -5.5871284E+00   -4.4231327E+00   -4.9545796E+00   -4.4458909E+00   -4.7698982E+00   -8.0279427E+00   -1.5999998E+01   -5.9816294E+00   -7.3733939E+00   -8.4740721E+00   -4.4545554E+00   -3.2260145E+00   -3.4835140E+00   -4.0819460E+00   -8.5806337E+00   -1.0629886E+01   -7.9709184E+00   -4.1167828E+00   -1.6197832E+01   -9.3503000E+00   -9.0070206E+00   -9.0700781E+00   -1.0702147E+01   -1.3827669E+01   -1.5897428E+01   -9.3413471E+00   -1.1684754E+01   -1.4232067E+01   -9.0448204E+00   -9.0231873E+00   -1.2748446E+01   -8.2456125E+00
    1.1500000E+00    5.6004138E+00   -5.5934326E+00   -4.4192687E+00   -4.9481027E+00   -4.4454349E+00   -4.7660326E+00   -8.0591356E+00   -1.5999998E+01   -5.9511146E+00   -7.3692401E+00   -8.4700803E+00   -4.4422479E+00   -3.2267422E+00   -3.4835140E+00   -4.0819459E+00   -8.5993355E+00   -1.0635940E+01   -7.9958825E+00   -4.1111660E+00   -1.6172794E+01   -9.3626987E+00   -9.0133653E+00   -9.0514260E+00   -1.0695711E+01   -1.3814889E+01   -1.5899659E+01   -9.3375244E+00   -1.1662279E+01   -1.4221900E+01   -9.0384759E+00   -9.0111852E+00   -1.2732662E+01   -8.2361729E+00
    1.2500000E+00    5.6066877E+00   -5.5996869E+00   -4.4154309E+00   -4.9417123E+00   -4.4449785E+00   -4.7621916E+00   -8.0898609E+00   -1.5999998E+01   -5.9225355E+00   -7.3650894E+00   -8.4660747E+00   -4.4302568E+00   -3.2274735E+00   -3.4835140E+00   -4.0819459E+00   -8.6176696E+00   -1.0641727E+01   -8.0204291E+00   -4.1056028E+00   -1.6148172E+01   -9.3747796E+00   -9.0196601E+00   -9.0331403E+00   -1.0689363E+01   -1.3802246E+01   -1.5901649E+01   -9.3337280E+00   -1.1640197E+01   -1.4211809E+01   -9.0321813E+00   -8.9992865E+00   -1.2717007E+01   -8.2268131E+00
    1.3500000E+00    5.6129126E+00   -5.6058921E+00   -4.4116189E+00   -4.9354061E+00   -4.4445217E+00   -4.7583749E+00   -8.1201377E+00   -1.5999998E+01   -5.8956572E+00   -7.3609427E+00   -8.4620579E+00   -4.4185658E+00   -3.2282085E+00   -3.4835140E+00   -4.0819458E+00   -8.6356533E+00   -1.0647260E+01   -8.0445761E+00   -4.1000921E+00   -1.6123949E+01   -9.3865590E+00   -9.0259058E+00   -9.0152037E+00   -1.0683098E+01   -1.3789735E+01   -1.5903412E+01   -9.3299575E+00   -1.1618489E+01   -1.4201793E+01   -9.0259357E+00   -8.9874895E+00   -1.2701480E+01   -8.2175318E+00
