# Time          3.0000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    1.0353230E-02    1.8660932E-01
    1.5000000E-01    1.6279098E-02    2.9318484E-01
    2.5000000E-01    1.6232152E-02    2.9282782E-01
    3.5000000E-01    1.3603752E-02    2.4616795E-01
    4.5000000E-01    1.1466968E-02    2.0823786E-01
    5.5000000E-01    1.0407523E-02    1.8956522E-01
    6.5000000E-01    1.0007974E-02    1.8269994E-01
    7.5000000E-01    9.8777039E-03    1.8065560E-01
    8.5000000E-01    9.8327801E-03    1.8014032E-01
    9.5000000E-01    9.8102608E-03    1.8002726E-01
    1.0500000E+00    9.7927694E-03    1.8000526E-01
    1.1500000E+00    9.7762370E-03    1.8000144E-01
    1.2500000E+00    9.7598314E-03    1.8000087E-01
    1.3500000E+00    9.7434015E-03    1.8000083E-01
    1.4500000E+00    9.7269226E-03    1.8000087E-01
    1.5500000E+00    9.7103919E-03    1.8000092E-01
    1.6500000E+00    9.6938093E-03    1.8000097E-01
    1.7500000E+00    9.6771754E-03    1.8000103E-01
    1.8500000E+00    9.6604908E-03    1.8000108E-01
    1.9500000E+00    9.6437559E-03    1.8000113E-01
    2.0500000E+00    9.6269714E-03    1.8000119E-01
    2.1500000E+00    9.6101375E-03    1.8000124E-01
    2.2500000E+00    9.5932548E-03    1.8000129E-01
    2.3500000E+00    9.5763237E-03    1.8000135E-01
    2.4500000E+00    9.5593446E-03    1.8000140E-01
    2.5500000E+00    9.5423177E-03    1.8000146E-01
    2.6500000E+00    9.5252435E-03    1.8000151E-01
    2.7500000E+00    9.5081222E-03    1.8000157E-01
    2.8500000E+00    9.4909542E-03    1.8000162E-01
    2.9500000E+00    9.4737398E-03    1.8000168E-01
    3.0500000E+00    9.4564791E-03    1.8000173E-01
    3.1500000E+00    9.4391726E-03    1.8000179E-01
    3.2500000E+00    9.4218203E-03    1.8000184E-01
    3.3500000E+00    9.4044226E-03    1.8000190E-01
    3.4500000E+00    9.3869796E-03    1.8000195E-01
    3.5500000E+00    9.3694916E-03    1.8000201E-01
    3.6500000E+00    9.3519588E-03    1.8000206E-01
    3.7500000E+00    9.3343813E-03    1.8000212E-01
    3.8500000E+00    9.3167593E-03    1.8000218E-01
    3.9500000E+00    9.2990930E-03    1.8000223E-01
    4.0500000E+00    9.2813826E-03    1.8000229E-01
    4.1500000E+00    9.2636282E-03    1.8000234E-01
    4.2500000E+00    9.2458299E-03    1.8000240E-01
    4.3500000E+00    9.2279879E-03    1.8000246E-01
    4.4500000E+00    9.2101023E-03    1.8000251E-01
    4.5500000E+00    9.1921732E-03    1.8000257E-01
    4.6500000E+00    9.1742008E-03    1.8000263E-01
    4.7500000E+00    9.1561852E-03    1.8000269E-01
    4.8500000E+00    9.1381265E-03    1.8000274E-01
    4.9500000E+00    9.1200248E-03    1.8000280E-01
    5.0500000E+00    9.1018801E-03    1.8000286E-01
    5.1500000E+00    9.0836927E-03    1.8000292E-01
    5.2500000E+00    9.0654625E-03    1.8000297E-01
    5.3500000E+00    9.0471896E-03    1.8000303E-01
    5.4500000E+00    9.0288742E-03    1.8000309E-01
    5.5500000E+00    9.0105163E-03    1.8000315E-01
    5.6500000E+00    8.9921160E-03    1.8000321E-01
    5.7500000E+00    8.9736734E-03    1.8000327E-01
    5.8500000E+00    8.9551885E-03    1.8000333E-01
    5.9500000E+00    8.9366614E-03    1.8000338E-01
    6.0500000E+00    8.9180922E-03    1.8000344E-01
    6.1500000E+00    8.8994808E-03    1.8000350E-01
    6.2500000E+00    8.8808275E-03    1.8000356E-01
    6.3500000E+00    8.8621322E-03    1.8000362E-01
    6.4500000E+00    8.8433949E-03    1.8000368E-01
    6.5500000E+00    8.8246158E-03    1.8000374E-01
    6.6500000E+00    8.8057948E-03    1.8000380E-01
    6.7500000E+00    8.7869321E-03    1.8000386E-01
    6.8500000E+00    8.7680276E-03    1.8000392E-01
    6.9500000E+00    8.7490815E-03    1.8000398E-01
    7.0500000E+00    8.7300936E-03    1.8000404E-01
    7.1500000E+00    8.7110642E-03    1.8000410E-01
    7.2500000E+00    8.6919932E-03    1.8000416E-01
    7.3500000E+00    8.6728806E-03    1.8000422E-01
    7.4500000E+00    8.6537265E-03    1.8000429E-01
    7.5500000E+00    8.6345309E-03    1.8000435E-01
    7.6500000E+00    8.6152938E-03    1.8000441E-01
    7.7500000E+00    8.5960153E-03    1.8000447E-01
    7.8500000E+00    8.5766954E-03    1.8000453E-01
    7.9500000E+00    8.5573341E-03    1.8000459E-01
    8.0500000E+00    8.5379314E-03    1.8000465E-01
    8.1500000E+00    8.5184875E-03    1.8000472E-01
    8.2500000E+00    8.4990022E-03    1.8000478E-01
    8.3500000E+00    8.4794756E-03    1.8000484E-01
    8.4500000E+00    8.4599077E-03    1.8000490E-01
    8.5500000E+00    8.4402986E-03    1.8000496E-01
    8.6500000E+00    8.4206482E-03    1.8000503E-01
    8.7500000E+00    8.4009567E-03    1.8000509E-01
    8.8500000E+00    8.3812239E-03    1.8000515E-01
    8.9500000E+00    8.3614499E-03    1.8000522E-01
