# Time series at grid cell: 117   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                7.73209742455495E-05   2.99514508273961E-05   4.02302592449162E-05   3.51743228383362E-05   6.16995848786287E-10   1.00000313914701E-16   1.01371614192715E-05   1.52175356882663E-04   6.70700700808804E-04   6.09986900702774E+00   1.03709680887658E-07   8.20224647613533E-09
  2.00000E-02                7.73225402573288E-05   2.99521703601985E-05   4.02304338417943E-05   3.51750552306769E-05   6.16947704064423E-10   1.00000313914701E-16   1.01375276154419E-05   1.52179937963142E-04   6.70700700808804E-04   6.09988395426884E+00   1.03712560354134E-07   8.20247451185994E-09
  3.00000E-02                7.73241062689961E-05   2.99528898920283E-05   4.02306084386600E-05   3.51757876229560E-05   6.16899564797876E-10   1.00000313914701E-16   1.01378938115814E-05   1.52184519041459E-04   6.70700700808805E-04   6.09989890129184E+00   1.03715439826402E-07   8.20270254800366E-09
  4.00000E-02                7.73256722805518E-05   2.99536094228853E-05   4.02307830355132E-05   3.51765200151734E-05   6.16851430964912E-10   1.00000313914701E-16   1.01382600076901E-05   1.52189100117614E-04   6.70700700808804E-04   6.09991384810027E+00   1.03718319304462E-07   8.20293058456659E-09
  5.00000E-02                7.73272382919954E-05   2.99543289527696E-05   4.02309576323540E-05   3.51772524073291E-05   6.16803302564687E-10   1.00000313914701E-16   1.01386262037680E-05   1.52193681191607E-04   6.70700700808803E-04   6.09992879469414E+00   1.03721198788313E-07   8.20315862154874E-09
  5.00010E-02                7.73272384483351E-05   2.99543290246025E-05   4.02309576497846E-05   3.51772524804460E-05   6.16803310634755E-10   1.00000313914701E-16   1.01386262403265E-05   1.52193681648963E-04   6.70700700808815E-04   6.09992872125074E+00   1.03721199075868E-07   8.20315864432146E-09
  5.00030E-02                7.73272387610146E-05   2.99543291682682E-05   4.02309576846457E-05   3.51772526266799E-05   6.16803325343385E-10   1.00000313914701E-16   1.01386263134434E-05   1.52193682563673E-04   6.70700700808803E-04   6.09992872423911E+00   1.03721199650968E-07   8.20315868986609E-09
  5.00070E-02                7.73272393863736E-05   2.99543294555998E-05   4.02309577543678E-05   3.51772529191478E-05   6.16803349634960E-10   1.00000313914701E-16   1.01386264596774E-05   1.52193684393087E-04   6.70700700808803E-04   6.09992873022288E+00   1.03721200801132E-07   8.20315878095253E-09
  5.00150E-02                7.73272406370916E-05   2.99543300302629E-05   4.02309578938122E-05   3.51772535040835E-05   6.16803381617386E-10   1.00000313914701E-16   1.01386267521452E-05   1.52193688051900E-04   6.70700700808804E-04   6.09992874219034E+00   1.03721203101349E-07   8.20315896311630E-09
  5.00309E-02                7.73272431385276E-05   2.99543311795891E-05   4.02309581727008E-05   3.51772546739550E-05   6.16803400418883E-10   1.00000313914701E-16   1.01386273370810E-05   1.52193695369480E-04   6.70700700808803E-04   6.09992876612508E+00   1.03721207701478E-07   8.20315932741904E-09
