# Time series at grid cell:   4   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                3.52481853906278E-05   9.86028448609229E-06   3.55420725996229E-05   1.58618692800339E-05   3.80942367318742E-08   1.00008439179604E-16   4.80329309785076E-07   2.76144792860545E-05   6.70755196846353E-04   5.54503553632339E+00   3.94080465258406E-08   3.13996393591115E-09
  2.00000E-02                3.52494506473200E-05   9.86091221400098E-06   3.55422244271137E-05   1.58624360480024E-05   3.80838899592989E-08   1.00008473227003E-16   4.80610157246060E-07   2.76182414166703E-05   6.70755425201783E-04   5.54506101265199E+00   3.94094520733265E-08   3.14006447476974E-09
  3.00000E-02                3.52507159439173E-05   9.86153995248493E-06   3.55423762972833E-05   1.58630028339254E-05   3.80735469659300E-08   1.00008507395346E-16   4.80891004673991E-07   2.76220035762191E-05   6.70755654368379E-04   5.54508648785300E+00   3.94108576861854E-08   3.14016502328089E-09
  4.00000E-02                3.52519812805204E-05   9.86216770157082E-06   3.55425282102391E-05   1.58635696378481E-05   3.80632077427727E-08   1.00008541684937E-16   4.81171852068847E-07   2.76257657647558E-05   6.70755884348185E-04   5.54511196194181E+00   3.94122633644699E-08   3.14026558144670E-09
  5.00000E-02                3.52532466572301E-05   9.86279546128540E-06   3.55426801660887E-05   1.58641364598160E-05   3.80528722872429E-08   1.00008576096081E-16   4.81452699430607E-07   2.76295279823419E-05   6.70756115143244E-04   5.54513743491819E+00   3.94136691082762E-08   3.14036614927282E-09
  5.00010E-02                3.52532467835566E-05   9.86279552395659E-06   3.55426801812589E-05   1.58641365164036E-05   3.80528712971395E-08   1.00008576099516E-16   4.81452727468460E-07   2.76295283579775E-05   6.70756115166289E-04   5.54513736554290E+00   3.94136692488970E-08   3.14036615933589E-09
  5.00030E-02                3.52532470362095E-05   9.86279564929897E-06   3.55426802115994E-05   1.58641366295788E-05   3.80528693168009E-08   1.00008576106387E-16   4.81452783544178E-07   2.76295291092486E-05   6.70756115212367E-04   5.54513737062161E+00   3.94136695301379E-08   3.14036617946198E-09
  5.00070E-02                3.52532475415153E-05   9.86279589998373E-06   3.55426802722803E-05   1.58641368559291E-05   3.80528653555808E-08   1.00008576120128E-16   4.81452895695620E-07   2.76295306117902E-05   6.70756115304531E-04   5.54513738081050E+00   3.94136700926161E-08   3.14036621971385E-09
  5.00150E-02                3.52532485521271E-05   9.86279640135325E-06   3.55426803936421E-05   1.58641373086298E-05   3.80528574309517E-08   1.00008576147612E-16   4.81453119998525E-07   2.76295336168714E-05   6.70756115488860E-04   5.54513740118826E+00   3.94136712175576E-08   3.14036630021638E-09
  5.00309E-02                3.52532505733507E-05   9.86279740409235E-06   3.55426806363658E-05   1.58641382140313E-05   3.80528415730454E-08   1.00008576202578E-16   4.81453568604411E-07   2.76295396270253E-05   6.70756115857520E-04   5.54513744194363E+00   3.94136734673825E-08   3.14036646121668E-09
