# Time series at grid cell:  97   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                6.91881904473315E-05   2.61903614849896E-05   3.93235236247211E-05   3.13797293821884E-05   9.60957971972928E-10   1.00000313914700E-16   8.23986469119730E-06   1.28335938122113E-04   6.70700700808798E-04   6.01907798457474E+00   8.91096169020022E-08   7.04599250665325E-09
  2.00000E-02                6.91896986926926E-05   2.61910658317090E-05   3.93236917811393E-05   3.13804299047088E-05   9.60870774906759E-10   1.00000313914700E-16   8.24021495245753E-06   1.28340372826315E-04   6.70700700808798E-04   6.01909361410417E+00   8.91122105697902E-08   7.04619783816911E-09
  3.00000E-02                6.91912069379441E-05   2.61917701778582E-05   3.93238599375452E-05   3.13811304271690E-05   9.60783588993591E-10   1.00000313914700E-16   8.24056521368759E-06   1.28344807529169E-04   6.70700700808798E-04   6.01910924335562E+00   8.91148042407521E-08   7.04640316989501E-09
  4.00000E-02                6.91927151830860E-05   2.61924745234372E-05   3.93240280939389E-05   3.13818309495688E-05   9.60696414185431E-10   1.00000313914700E-16   8.24091547488749E-06   1.28349242230675E-04   6.70700700808798E-04   6.01912487233351E+00   8.91173979148883E-08   7.04660850183096E-09
  5.00000E-02                6.91942234281182E-05   2.61931788684459E-05   3.93241962503203E-05   3.13825314719082E-05   9.60609250480279E-10   1.00000313914700E-16   8.24126573605722E-06   1.28353676930833E-04   6.70700700808798E-04   6.01914050103785E+00   8.91199915921988E-08   7.04681383397701E-09
  5.00010E-02                6.91942235786909E-05   2.61931789387629E-05   3.93241962671079E-05   3.13825315418435E-05   9.60609258690812E-10   1.00000313914700E-16   8.24126577102488E-06   1.28353677373580E-04   6.70700700808808E-04   6.01914042745496E+00   8.91199918512475E-08   7.04681385448524E-09
  5.00030E-02                6.91942238798364E-05   2.61931790793967E-05   3.93241963006831E-05   3.13825316817141E-05   9.60609273718812E-10   1.00000313914700E-16   8.24126584096018E-06   1.28353678259072E-04   6.70700700808798E-04   6.01914043057873E+00   8.91199923693359E-08   7.04681389550094E-09
  5.00070E-02                6.91942244821274E-05   2.61931793606644E-05   3.93241963678333E-05   3.13825319614553E-05   9.60609298638816E-10   1.00000313914700E-16   8.24126598083079E-06   1.28353680030051E-04   6.70700700808798E-04   6.01914043683505E+00   8.91199934054779E-08   7.04681397752951E-09
  5.00150E-02                6.91942256867094E-05   2.61931799231999E-05   3.93241965021339E-05   3.13825325209378E-05   9.60609330941166E-10   1.00000313914700E-16   8.24126626057202E-06   1.28353683571991E-04   6.70700700808799E-04   6.01914044934758E+00   8.91199954776437E-08   7.04681414157703E-09
  5.00309E-02                6.91942280958734E-05   2.61931810482709E-05   3.93241967707350E-05   3.13825336399027E-05   9.60609343314985E-10   1.00000313914700E-16   8.24126682005448E-06   1.28353690655820E-04   6.70700700808799E-04   6.01914047437238E+00   8.91199996216231E-08   7.04681446964338E-09
  5.00629E-02                6.91942329142016E-05   2.61931832984128E-05   3.93241973079372E-05   3.13825358778325E-05   9.60609244158867E-10   1.00000313914700E-16   8.24126793901941E-06   1.28353704823354E-04   6.70700700808799E-04   6.01914052442131E+00   8.91200079087459E-08   7.04681512570804E-09
  5.01268E-02                6.91942425508583E-05   2.61931877986969E-05   3.93241983823417E-05   3.13825403536922E-05   9.60608836933847E-10   1.00000313914700E-16   8.24127017694941E-06   1.28353733158213E-04   6.70700700808802E-04   6.01914062451805E+00   8.91200244815840E-08   7.04681643772263E-09
  5.02546E-02                6.91942618241726E-05   2.61931967992654E-05   3.93242005311508E-05   3.13825493054122E-05   9.60607799329307E-10   1.00000313914700E-16   8.24127465280985E-06   1.28353789827712E-04   6.70700700808811E-04   6.01914082471034E+00   8.91200576257586E-08   7.04681906162941E-09
  5.05101E-02                6.91943003708051E-05   2.61932148004044E-05   3.93242048287689E-05   3.13825672088541E-05   9.60605586574725E-10   1.00000313914700E-16   8.24128360453253E-06   1.28353903166589E-04   6.70700700808851E-04   6.01914122509406E+00   8.91201239131913E-08   7.04682430936830E-09
  5.10213E-02                6.91943774640859E-05   2.61932508026903E-05   3.93242134240054E-05   3.13826030157454E-05   9.60601115155202E-10   1.00000313914700E-16   8.24130150798509E-06   1.28354129844369E-04   6.70700700809013E-04   6.01914202586072E+00   8.91202564877919E-08   7.04683480482428E-09
  5.20436E-02                6.91945316507108E-05   2.61933228072933E-05   3.93242306144797E-05   3.13826746295579E-05   9.60592164397150E-10   1.00000313914700E-16   8.24133731491906E-06   1.28354583200207E-04   6.70700700809662E-04   6.01914362739185E+00   8.91205216371198E-08   7.04685579574573E-09
  5.40882E-02                6.91948400242139E-05   2.61934668166237E-05   3.93242649954335E-05   3.13828178573031E-05   9.60574262503336E-10   1.00000313914700E-16   8.24140892890244E-06   1.28355489913027E-04   6.70700700812255E-04   6.01914683044548E+00   8.91210519364942E-08   7.04689777764388E-09
  5.81773E-02                6.91954567694828E-05   2.61937548341994E-05   3.93243337573014E-05   3.13831043119663E-05   9.60538460187147E-10   1.00000313914700E-16   8.24155215608627E-06   1.28357303330435E-04   6.70700700808797E-04   6.01915323651826E+00   8.91221125318308E-08   7.04698174116275E-09
  6.63557E-02                6.91966902613224E-05   2.61943308697606E-05   3.93244712810591E-05   3.13836772219059E-05   9.60466861097808E-10   1.00000313914700E-16   8.24183861105606E-06   1.28360930170752E-04   6.70700700808797E-04   6.01916604852589E+00   8.91242337277705E-08   7.04714966859017E-09
  7.63557E-02                6.91981985060656E-05   2.61950352132661E-05   3.93246394374083E-05   3.13843777440863E-05   9.60379578704174E-10   1.00000313914700E-16   8.24218887214631E-06   1.28365364867207E-04   6.70700700808797E-04   6.01918169020026E+00   8.91268274124512E-08   7.04735500120883E-09
  8.63557E-02                6.91997067506990E-05   2.61957395562011E-05   3.93248075937453E-05   3.13850782662065E-05   9.60292454655876E-10   1.00000313914700E-16   8.24253913320637E-06   1.28369799562461E-04   6.70700700808798E-04   6.01919731791104E+00   8.91294211013008E-08   7.04756033411860E-09
