# Time          2.0000E+00
    Distance         pH
  5.0000E-02    5.4854E+00
  1.5000E-01    5.5094E+00
  2.5000E-01    5.5352E+00
  3.5000E-01    5.5475E+00
  4.5000E-01    5.5550E+00
  5.5000E-01    5.5617E+00
  6.5000E-01    5.5683E+00
  7.5000E-01    5.5748E+00
  8.5000E-01    5.5813E+00
  9.5000E-01    5.5877E+00
  1.0500E+00    5.5941E+00
  1.1500E+00    5.6004E+00
  1.2500E+00    5.6067E+00
  1.3500E+00    5.6129E+00
  1.4500E+00    5.6191E+00
  1.5500E+00    5.6252E+00
  1.6500E+00    5.6313E+00
  1.7500E+00    5.6373E+00
  1.8500E+00    5.6433E+00
  1.9500E+00    5.6493E+00
  2.0500E+00    5.6552E+00
  2.1500E+00    5.6610E+00
  2.2500E+00    5.6669E+00
  2.3500E+00    5.6726E+00
  2.4500E+00    5.6784E+00
  2.5500E+00    5.6841E+00
  2.6500E+00    5.6897E+00
  2.7500E+00    5.6954E+00
  2.8500E+00    5.7010E+00
  2.9500E+00    5.7065E+00
  3.0500E+00    5.7120E+00
  3.1500E+00    5.7175E+00
  3.2500E+00    5.7229E+00
  3.3500E+00    5.7284E+00
  3.4500E+00    5.7337E+00
  3.5500E+00    5.7391E+00
  3.6500E+00    5.7444E+00
  3.7500E+00    5.7497E+00
  3.8500E+00    5.7549E+00
  3.9500E+00    5.7601E+00
  4.0500E+00    5.7653E+00
  4.1500E+00    5.7705E+00
  4.2500E+00    5.7756E+00
  4.3500E+00    5.7807E+00
  4.4500E+00    5.7858E+00
  4.5500E+00    5.7908E+00
  4.6500E+00    5.7959E+00
  4.7500E+00    5.8008E+00
  4.8500E+00    5.8058E+00
  4.9500E+00    5.8108E+00
  5.0500E+00    5.8157E+00
  5.1500E+00    5.8206E+00
  5.2500E+00    5.8254E+00
  5.3500E+00    5.8303E+00
  5.4500E+00    5.8351E+00
  5.5500E+00    5.8399E+00
  5.6500E+00    5.8447E+00
  5.7500E+00    5.8494E+00
  5.8500E+00    5.8542E+00
  5.9500E+00    5.8589E+00
  6.0500E+00    5.8636E+00
  6.1500E+00    5.8682E+00
  6.2500E+00    5.8729E+00
  6.3500E+00    5.8775E+00
  6.4500E+00    5.8821E+00
  6.5500E+00    5.8867E+00
  6.6500E+00    5.8913E+00
  6.7500E+00    5.8958E+00
  6.8500E+00    5.9004E+00
  6.9500E+00    5.9049E+00
  7.0500E+00    5.9094E+00
  7.1500E+00    5.9139E+00
  7.2500E+00    5.9183E+00
  7.3500E+00    5.9228E+00
  7.4500E+00    5.9272E+00
  7.5500E+00    5.9316E+00
  7.6500E+00    5.9360E+00
  7.7500E+00    5.9404E+00
  7.8500E+00    5.9448E+00
  7.9500E+00    5.9491E+00
  8.0500E+00    5.9535E+00
  8.1500E+00    5.9578E+00
  8.2500E+00    5.9621E+00
  8.3500E+00    5.9664E+00
  8.4500E+00    5.9707E+00
  8.5500E+00    5.9750E+00
  8.6500E+00    5.9792E+00
  8.7500E+00    5.9835E+00
  8.8500E+00    5.9877E+00
  8.9500E+00    5.9919E+00
  9.0500E+00    5.9961E+00
  9.1500E+00    6.0003E+00
  9.2500E+00    6.0045E+00
  9.3500E+00    6.0087E+00
  9.4500E+00    6.0128E+00
  9.5500E+00    6.0170E+00
  9.6500E+00    6.0211E+00
  9.7500E+00    6.0252E+00
  9.8500E+00    6.0294E+00
  9.9500E+00    6.0335E+00
  1.0050E+01    6.0376E+00
  1.0150E+01    6.0416E+00
  1.0250E+01    6.0457E+00
  1.0350E+01    6.0498E+00
  1.0450E+01    6.0538E+00
  1.0550E+01    6.0579E+00
  1.0650E+01    6.0619E+00
  1.0750E+01    6.0659E+00
  1.0850E+01    6.0700E+00
  1.0950E+01    6.0740E+00
  1.1050E+01    6.0780E+00
  1.1150E+01    6.0820E+00
  1.1250E+01    6.0859E+00
  1.1350E+01    6.0899E+00
  1.1450E+01    6.0939E+00
  1.1550E+01    6.0979E+00
  1.1650E+01    6.1018E+00
  1.1750E+01    6.1058E+00
  1.1850E+01    6.1097E+00
  1.1950E+01    6.1136E+00
  1.2050E+01    6.1176E+00
  1.2150E+01    6.1215E+00
  1.2250E+01    6.1254E+00
  1.2350E+01    6.1293E+00
  1.2450E+01    6.1332E+00
  1.2550E+01    6.1371E+00
  1.2650E+01    6.1410E+00
  1.2750E+01    6.1449E+00
  1.2850E+01    6.1488E+00
  1.2950E+01    6.1526E+00
  1.3050E+01    6.1565E+00
  1.3150E+01    6.1604E+00
  1.3250E+01    6.1642E+00
  1.3350E+01    6.1681E+00
  1.3450E+01    6.1719E+00
  1.3550E+01    6.1758E+00
  1.3650E+01    6.1796E+00
  1.3750E+01    6.1834E+00
  1.3850E+01    6.1873E+00
  1.3950E+01    6.1911E+00
  1.4050E+01    6.1949E+00
  1.4150E+01    6.1987E+00
  1.4250E+01    6.2026E+00
  1.4350E+01    6.2064E+00
  1.4450E+01    6.2102E+00
  1.4550E+01    6.2140E+00
  1.4650E+01    6.2178E+00
  1.4750E+01    6.2216E+00
  1.4850E+01    6.2254E+00
  1.4950E+01    6.2292E+00
  1.5050E+01    6.2330E+00
  1.5150E+01    6.2368E+00
  1.5250E+01    6.2405E+00
  1.5350E+01    6.2443E+00
  1.5450E+01    6.2481E+00
  1.5550E+01    6.2519E+00
  1.5650E+01    6.2557E+00
  1.5750E+01    6.2594E+00
  1.5850E+01    6.2632E+00
  1.5950E+01    6.2670E+00
  1.6050E+01    6.2708E+00
  1.6150E+01    6.2745E+00
  1.6250E+01    6.2783E+00
  1.6350E+01    6.2821E+00
  1.6450E+01    6.2858E+00
  1.6550E+01    6.2896E+00
  1.6650E+01    6.2934E+00
  1.6750E+01    6.2971E+00
  1.6850E+01    6.3009E+00
  1.6950E+01    6.3047E+00
  1.7050E+01    6.3084E+00
  1.7150E+01    6.3122E+00
  1.7250E+01    6.3160E+00
  1.7350E+01    6.3197E+00
  1.7450E+01    6.3235E+00
  1.7550E+01    6.3273E+00
  1.7650E+01    6.3310E+00
  1.7750E+01    6.3348E+00
  1.7850E+01    6.3386E+00
  1.7950E+01    6.3423E+00
  1.8050E+01    6.3461E+00
  1.8150E+01    6.3499E+00
  1.8250E+01    6.3536E+00
  1.8350E+01    6.3574E+00
  1.8450E+01    6.3612E+00
  1.8550E+01    6.3650E+00
  1.8650E+01    6.3687E+00
  1.8750E+01    6.3725E+00
  1.8850E+01    6.3763E+00
  1.8950E+01    6.3801E+00
  1.9050E+01    6.3839E+00
  1.9150E+01    6.3877E+00
  1.9250E+01    6.3914E+00
  1.9350E+01    6.3952E+00
  1.9450E+01    6.3990E+00
  1.9550E+01    6.4028E+00
  1.9650E+01    6.4066E+00
  1.9750E+01    6.4104E+00
  1.9850E+01    6.4145E+00
  1.9950E+01    6.4331E+00
