# Time          3.5000E+00
# Units:           Transport Porosity  Mineral Porosity
    5.0000000E-02    9.9900000E-02    1.9822491E-01
    1.5000000E-01    9.9900000E-02    1.9782666E-01
    2.5000000E-01    9.9900000E-02    1.9742273E-01
    3.5000000E-01    9.9900000E-02    1.9701730E-01
    4.5000000E-01    9.9900000E-02    1.9661043E-01
    5.5000000E-01    9.9900000E-02    1.9620222E-01
    6.5000000E-01    9.9900000E-02    1.9579271E-01
    7.5000000E-01    9.9900000E-02    1.9538196E-01
    8.5000000E-01    9.9900000E-02    1.9497003E-01
    9.5000000E-01    9.9900000E-02    1.9455695E-01
    1.0500000E+00    9.9900000E-02    1.9414277E-01
    1.1500000E+00    9.9900000E-02    1.9372750E-01
    1.2500000E+00    9.9900000E-02    1.9331119E-01
    1.3500000E+00    9.9900000E-02    1.9289386E-01
    1.4500000E+00    9.9900000E-02    1.9247553E-01
    1.5500000E+00    9.9900000E-02    1.9205622E-01
    1.6500000E+00    9.9900000E-02    1.9163595E-01
    1.7500000E+00    9.9900000E-02    1.9121473E-01
    1.8500000E+00    9.9900000E-02    1.9079257E-01
    1.9500000E+00    9.9900000E-02    1.9036949E-01
    2.0500000E+00    9.9900000E-02    1.8994550E-01
    2.1500000E+00    9.9900000E-02    1.8952060E-01
    2.2500000E+00    9.9900000E-02    1.8909480E-01
    2.3500000E+00    9.9900000E-02    1.8866811E-01
    2.4500000E+00    9.9900000E-02    1.8824053E-01
    2.5500000E+00    9.9900000E-02    1.8781207E-01
    2.6500000E+00    9.9900000E-02    1.8738274E-01
    2.7500000E+00    9.9900000E-02    1.8695253E-01
    2.8500000E+00    9.9900000E-02    1.8652146E-01
    2.9500000E+00    9.9900000E-02    1.8608951E-01
    3.0500000E+00    9.9900000E-02    1.8565671E-01
    3.1500000E+00    9.9900000E-02    1.8522303E-01
    3.2500000E+00    9.9900000E-02    1.8478850E-01
    3.3500000E+00    9.9900000E-02    1.8435311E-01
    3.4500000E+00    9.9900000E-02    1.8391686E-01
    3.5500000E+00    9.9900000E-02    1.8347975E-01
    3.6500000E+00    9.9900000E-02    1.8304179E-01
    3.7500000E+00    9.9900000E-02    1.8260297E-01
    3.8500000E+00    9.9900000E-02    1.8216330E-01
    3.9500000E+00    9.9900000E-02    1.8172277E-01
