# Time          1.0000E-01
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    0.0000000E+00   -4.0066751E-11   -1.6226744E-10   -3.2554263E-11    1.3137392E-10    1.0861589E-11
    1.5000000E-01   -1.3780048E-14   -4.0131248E-11   -1.6260346E-10   -3.2635728E-11    1.1697636E-10    9.6282281E-12
    2.5000000E-01   -1.5216684E-14   -4.0148810E-11   -1.6294018E-10   -3.2717381E-11    1.1713353E-10    9.6258524E-12
    3.5000000E-01   -1.3912494E-14   -4.0165845E-11   -1.6327757E-10   -3.2799212E-11    1.1730922E-10    9.6307948E-12
    4.5000000E-01   -1.2518241E-14   -4.0182868E-11   -1.6361559E-10   -3.2881213E-11    1.1748485E-10    9.6368949E-12
    5.5000000E-01   -1.1118729E-14   -4.0199890E-11   -1.6395420E-10   -3.2963375E-11    1.1766536E-10    9.6442731E-12
    6.5000000E-01   -9.7163021E-15   -4.0216910E-11   -1.6429339E-10   -3.3045692E-11    1.1785027E-10    9.6527876E-12
    7.5000000E-01   -8.3110453E-15   -4.0233926E-11   -1.6463312E-10   -3.3128158E-11    1.1803905E-10    9.6623079E-12
    8.5000000E-01   -6.9029835E-15   -4.0250936E-11   -1.6497337E-10   -3.3210767E-11    1.1823121E-10    9.6727201E-12
    9.5000000E-01   -5.4921368E-15   -4.0267936E-11   -1.6531411E-10   -3.3293513E-11    1.1842636E-10    9.6839250E-12
    1.0500000E+00   -4.0785229E-15   -4.0284926E-11   -1.6565534E-10   -3.3376393E-11    1.1862417E-10    9.6958355E-12
    1.1500000E+00   -2.6621567E-15   -4.0301902E-11   -1.6599703E-10   -3.3459403E-11    1.1882435E-10    9.7083752E-12
    1.2500000E+00   -1.2430515E-15   -4.0318862E-11   -1.6633916E-10   -3.3542538E-11    1.1902664E-10    9.7214772E-12
    1.3500000E+00    0.0000000E+00   -4.0335805E-11   -1.6668173E-10   -3.3625797E-11    1.1923083E-10    9.7350823E-12
    1.4500000E+00    0.0000000E+00   -4.0352728E-11   -1.6702473E-10   -3.3709175E-11    1.1943672E-10    9.7491385E-12
    1.5500000E+00    0.0000000E+00   -4.0369630E-11   -1.6736814E-10   -3.3792671E-11    1.1964416E-10    9.7635996E-12
    1.6500000E+00    0.0000000E+00   -4.0386507E-11   -1.6771195E-10   -3.3876283E-11    1.1985300E-10    9.7784250E-12
    1.7500000E+00    0.0000000E+00   -4.0403358E-11   -1.6805616E-10   -3.3960009E-11    1.2006312E-10    9.7935786E-12
    1.8500000E+00    0.0000000E+00   -4.0420181E-11   -1.6840076E-10   -3.4043848E-11    1.2027441E-10    9.8090282E-12
