 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0243322E+01
    1.5000000E-01   -1.1477809E+01
    2.5000000E-01   -1.2642627E+01
    3.5000000E-01   -1.4189591E+01
    4.5000000E-01   -1.6013465E+01
    5.5000000E-01   -1.7712523E+01
    6.5000000E-01   -1.8997872E+01
    7.5000000E-01   -1.9902098E+01
    8.5000000E-01   -2.0576446E+01
    9.5000000E-01   -2.1126930E+01
    1.0500000E+00   -2.1602610E+01
    1.1500000E+00   -2.2023584E+01
    1.2500000E+00   -2.2399142E+01
    1.3500000E+00   -2.2735005E+01
    1.4500000E+00   -2.3035606E+01
    1.5500000E+00   -2.3304738E+01
    1.6500000E+00   -2.3545742E+01
    1.7500000E+00   -2.3761583E+01
    1.8500000E+00   -2.3954898E+01
    1.9500000E+00   -2.4128035E+01
    2.0500000E+00   -2.4283083E+01
    2.1500000E+00   -2.4421909E+01
    2.2500000E+00   -2.4546173E+01
    2.3500000E+00   -2.4657360E+01
    2.4500000E+00   -2.4756796E+01
    2.5500000E+00   -2.4845665E+01
    2.6500000E+00   -2.4925028E+01
    2.7500000E+00   -2.4995831E+01
    2.8500000E+00   -2.5058925E+01
    2.9500000E+00   -2.5115070E+01
    3.0500000E+00   -2.5164948E+01
    3.1500000E+00   -2.5209170E+01
    3.2500000E+00   -2.5248288E+01
    3.3500000E+00   -2.5282793E+01
    3.4500000E+00   -2.5313130E+01
    3.5500000E+00   -2.5339697E+01
    3.6500000E+00   -2.5362854E+01
    3.7500000E+00   -2.5382923E+01
    3.8500000E+00   -2.5400196E+01
    3.9500000E+00   -2.5414935E+01
    4.0500000E+00   -2.5427377E+01
    4.1500000E+00   -2.5437736E+01
    4.2500000E+00   -2.5446204E+01
    4.3500000E+00   -2.5452956E+01
    4.4500000E+00   -2.5458149E+01
    4.5500000E+00   -2.5461927E+01
    4.6500000E+00   -2.5464417E+01
    4.7500000E+00   -2.5465737E+01
    4.8500000E+00   -2.5465992E+01
    4.9500000E+00   -2.5465278E+01
    5.0500000E+00   -2.5463683E+01
    5.1500000E+00   -2.5461284E+01
    5.2500000E+00   -2.5458154E+01
    5.3500000E+00   -2.5454358E+01
    5.4500000E+00   -2.5449954E+01
    5.5500000E+00   -2.5444996E+01
    5.6500000E+00   -2.5439534E+01
    5.7500000E+00   -2.5433610E+01
    5.8500000E+00   -2.5427267E+01
    5.9500000E+00   -2.5420540E+01
    6.0500000E+00   -2.5413463E+01
    6.1500000E+00   -2.5406066E+01
    6.2500000E+00   -2.5398378E+01
    6.3500000E+00   -2.5390424E+01
    6.4500000E+00   -2.5382226E+01
    6.5500000E+00   -2.5373806E+01
    6.6500000E+00   -2.5365183E+01
    6.7500000E+00   -2.5356375E+01
    6.8500000E+00   -2.5347397E+01
    6.9500000E+00   -2.5338265E+01
    7.0500000E+00   -2.5328991E+01
    7.1500000E+00   -2.5319588E+01
    7.2500000E+00   -2.5310067E+01
    7.3500000E+00   -2.5300438E+01
    7.4500000E+00   -2.5290711E+01
    7.5500000E+00   -2.5280894E+01
    7.6500000E+00   -2.5270994E+01
    7.7500000E+00   -2.5261019E+01
    7.8500000E+00   -2.5250976E+01
    7.9500000E+00   -2.5240870E+01
    8.0500000E+00   -2.5230706E+01
    8.1500000E+00   -2.5220489E+01
    8.2500000E+00   -2.5210225E+01
    8.3500000E+00   -2.5199916E+01
    8.4500000E+00   -2.5189568E+01
    8.5500000E+00   -2.5179182E+01
    8.6500000E+00   -2.5168762E+01
    8.7500000E+00   -2.5158312E+01
    8.8500000E+00   -2.5147833E+01
    8.9500000E+00   -2.5137327E+01
    9.0500000E+00   -2.5126797E+01
    9.1500000E+00   -2.5116245E+01
    9.2500000E+00   -2.5105672E+01
    9.3500000E+00   -2.5095080E+01
    9.4500000E+00   -2.5084470E+01
    9.5500000E+00   -2.5073843E+01
    9.6500000E+00   -2.5063200E+01
    9.7500000E+00   -2.5052542E+01
    9.8500000E+00   -2.5041871E+01
    9.9500000E+00   -2.5031186E+01
    1.0050000E+01   -2.5020488E+01
    1.0150000E+01   -2.5009778E+01
    1.0250000E+01   -2.4999055E+01
    1.0350000E+01   -2.4988321E+01
    1.0450000E+01   -2.4977576E+01
    1.0550000E+01   -2.4966819E+01
    1.0650000E+01   -2.4956051E+01
    1.0750000E+01   -2.4945272E+01
    1.0850000E+01   -2.4934482E+01
    1.0950000E+01   -2.4923680E+01
    1.1050000E+01   -2.4912867E+01
    1.1150000E+01   -2.4902042E+01
    1.1250000E+01   -2.4891206E+01
    1.1350000E+01   -2.4880357E+01
    1.1450000E+01   -2.4869495E+01
    1.1550000E+01   -2.4858621E+01
    1.1650000E+01   -2.4847733E+01
    1.1750000E+01   -2.4836832E+01
    1.1850000E+01   -2.4825916E+01
    1.1950000E+01   -2.4814986E+01
    1.2050000E+01   -2.4804041E+01
    1.2150000E+01   -2.4793079E+01
    1.2250000E+01   -2.4782101E+01
    1.2350000E+01   -2.4771106E+01
    1.2450000E+01   -2.4760094E+01
    1.2550000E+01   -2.4749063E+01
    1.2650000E+01   -2.4738013E+01
    1.2750000E+01   -2.4726943E+01
    1.2850000E+01   -2.4715852E+01
    1.2950000E+01   -2.4704740E+01
    1.3050000E+01   -2.4693606E+01
    1.3150000E+01   -2.4682449E+01
    1.3250000E+01   -2.4671268E+01
    1.3350000E+01   -2.4660062E+01
    1.3450000E+01   -2.4648831E+01
    1.3550000E+01   -2.4637573E+01
    1.3650000E+01   -2.4626288E+01
    1.3750000E+01   -2.4614974E+01
    1.3850000E+01   -2.4603631E+01
    1.3950000E+01   -2.4592257E+01
    1.4050000E+01   -2.4580852E+01
    1.4150000E+01   -2.4569415E+01
    1.4250000E+01   -2.4557943E+01
    1.4350000E+01   -2.4546438E+01
    1.4450000E+01   -2.4534896E+01
    1.4550000E+01   -2.4523318E+01
    1.4650000E+01   -2.4511701E+01
    1.4750000E+01   -2.4500046E+01
    1.4850000E+01   -2.4488349E+01
    1.4950000E+01   -2.4476612E+01
    1.5050000E+01   -2.4464831E+01
    1.5150000E+01   -2.4453006E+01
    1.5250000E+01   -2.4441135E+01
    1.5350000E+01   -2.4429217E+01
    1.5450000E+01   -2.4417252E+01
    1.5550000E+01   -2.4405236E+01
    1.5650000E+01   -2.4393170E+01
    1.5750000E+01   -2.4381051E+01
    1.5850000E+01   -2.4368878E+01
    1.5950000E+01   -2.4356649E+01
    1.6050000E+01   -2.4344363E+01
    1.6150000E+01   -2.4332019E+01
    1.6250000E+01   -2.4319614E+01
    1.6350000E+01   -2.4307147E+01
    1.6450000E+01   -2.4294617E+01
    1.6550000E+01   -2.4282020E+01
    1.6650000E+01   -2.4269357E+01
    1.6750000E+01   -2.4256624E+01
    1.6850000E+01   -2.4243820E+01
    1.6950000E+01   -2.4230943E+01
    1.7050000E+01   -2.4217991E+01
    1.7150000E+01   -2.4204961E+01
