# Time          7.0000E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -1.0936372E-04    6.0342996E-05    1.6161427E-05    6.3794578E-05    2.7161827E-05    3.5632585E-08    1.8053683E-16    1.3096188E-07    6.7084721E-08    5.3831774E-09    3.9943944E-05    1.2108580E-03    5.9299419E-04    1.4949480E-04
    1.5000000E-01   -7.5256802E-05    4.1070349E-05    1.1140151E-05    4.2844640E-05    1.8485182E-05    4.3939039E-08    1.2105730E-16    2.2385086E-07    4.5822455E-08    3.6684473E-09    2.8630271E-05    8.1192959E-04    3.9762675E-04    1.0024235E-04
    2.5000000E-01   -9.1746645E-05    4.9903615E-05    1.3601603E-05    5.1790654E-05    2.2460295E-05    3.5733988E-08    1.4624331E-16    3.3505543E-07    5.5576391E-08    4.4458011E-09    3.5435815E-05    9.8085181E-04    4.8035313E-04    1.2109781E-04
    3.5000000E-01   -9.3791711E-05    5.0691785E-05    1.3927675E-05    5.2151874E-05    2.2813982E-05    3.2831392E-08    1.4710806E-16    4.4747443E-07    5.6460195E-08    4.5110973E-09    3.7122786E-05    9.8665172E-04    4.8319353E-04    1.2181387E-04
    4.5000000E-01   -8.6423134E-05    4.6277314E-05    1.2860110E-05    4.7013139E-05    2.0825932E-05    3.2076434E-08    1.3240820E-16    5.4858607E-07    5.1597791E-08    4.1160564E-09    3.5370115E-05    8.8805994E-04    4.3491011E-04    1.0964155E-04
    5.5000000E-01   -7.8584899E-05    4.1639680E-05    1.1720484E-05    4.1688048E-05    1.8737663E-05    3.1346664E-08    1.1719749E-16    6.3764603E-07    4.6488607E-08    3.7023615E-09    3.3346718E-05    7.8604191E-04    3.8494877E-04    9.7046211E-05
    6.5000000E-01   -7.3916442E-05    3.8790265E-05    1.1047417E-05    3.8303419E-05    1.7454537E-05    3.0035984E-08    1.0749490E-16    7.1892365E-07    4.3356572E-08    3.4481803E-09    3.2381287E-05    7.2096677E-04    3.5307948E-04    8.9011911E-05
    7.5000000E-01   -7.2166136E-05    3.7576054E-05    1.0804501E-05    3.6678853E-05    1.6907616E-05    2.8378206E-08    1.0278369E-16    7.9644738E-07    4.2034495E-08    3.3397166E-09    3.2419054E-05    6.8936876E-04    3.3760497E-04    8.5110761E-05
    8.5000000E-01   -7.2080914E-05    3.7292365E-05    1.0807056E-05    3.6052834E-05    1.6779657E-05    2.6668188E-08    1.0090327E-16    8.7255832E-07    4.1744382E-08    3.3143253E-09    3.3035250E-05    6.7675683E-04    3.3142852E-04    8.3553669E-05
    9.5000000E-01   -7.2727391E-05    3.7416646E-05    1.0917410E-05    3.5863611E-05    1.6835416E-05    2.5039491E-08    1.0026081E-16    9.4830109E-07    4.1908619E-08    3.3255677E-09    3.3907482E-05    6.7244785E-04    3.2931828E-04    8.3021674E-05
    1.0500000E+00   -7.3641779E-05    3.7689716E-05    1.1067141E-05    3.5833129E-05    1.6958219E-05    2.3526326E-08    1.0006806E-16    1.0240622E-06    4.2240481E-08    3.3504014E-09    3.4874419E-05    6.7115508E-04    3.2868517E-04    8.2862067E-05
    1.1500000E+00   -7.4642048E-05    3.8009963E-05    1.1229394E-05    3.5852494E-05    1.7102322E-05    2.2128113E-08    1.0001637E-16    1.0999651E-06    4.2627469E-08    3.3797808E-09    3.5872499E-05    6.7080838E-04    3.2851538E-04    8.2819263E-05
    1.2500000E+00   -7.5667982E-05    3.8343806E-05    1.1395288E-05    3.5885745E-05    1.7252611E-05    2.0835972E-08    1.0000381E-16    1.1760447E-06    4.3032352E-08    3.4107057E-09    3.6880644E-05    6.7072416E-04    3.2847414E-04    8.2808864E-05
    1.3500000E+00   -7.6702193E-05    3.8681565E-05    1.1562261E-05    3.5922520E-05    1.7404725E-05    1.9640290E-08    1.0000102E-16    1.2523102E-06    4.3444362E-08    3.4423005E-09    3.7892759E-05    6.7070543E-04    3.2846497E-04    8.2806552E-05
    1.4500000E+00   -7.7740193E-05    3.9020752E-05    1.1729655E-05    3.5960155E-05    1.7557547E-05    1.8532263E-08    1.0000045E-16    1.3287637E-06    4.3860697E-08    3.4743305E-09    3.8907275E-05    6.7070159E-04    3.2846308E-04    8.2806078E-05
    1.5500000E+00   -7.8780923E-05    3.9360788E-05    1.1897317E-05    3.5998032E-05    1.7710815E-05    1.7504037E-08    1.0000034E-16    1.4054059E-06    4.4280676E-08    3.5067321E-09    3.9923819E-05    6.7070086E-04    3.2846272E-04    8.2805987E-05
    1.6500000E+00   -7.9824142E-05    3.9701551E-05    1.2065213E-05    3.6036018E-05    1.7864475E-05    1.6548597E-08    1.0000032E-16    1.4822372E-06    4.4704129E-08    3.5394837E-09    4.0942307E-05    6.7070073E-04    3.2846266E-04    8.2805971E-05
    1.7500000E+00   -8.0869791E-05    4.0043017E-05    1.2233338E-05    3.6074087E-05    1.8018516E-05    1.5659664E-08    1.0000031E-16    1.5592579E-06    4.5130997E-08    3.5725732E-09    4.1962721E-05    6.7070070E-04    3.2846265E-04    8.2805969E-05
    1.8500000E+00   -8.1917847E-05    4.0385182E-05    1.2401691E-05    3.6112235E-05    1.8172936E-05    1.4831599E-08    1.0000031E-16    1.6364681E-06    4.5561250E-08    3.6059918E-09    4.2985053E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.2968296E-05    4.0728046E-05    1.2570272E-05    3.6150462E-05    1.8327736E-05    1.4059330E-08    1.0000031E-16    1.7138682E-06    4.5994863E-08    3.6397318E-09    4.4009301E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.4021126E-05    4.1071611E-05    1.2739081E-05    3.6188766E-05    1.8482917E-05    1.3338284E-08    1.0000031E-16    1.7914583E-06    4.6431815E-08    3.6737861E-09    4.5035461E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.5076328E-05    4.1415876E-05    1.2908117E-05    3.6227149E-05    1.8638477E-05    1.2664331E-08    1.0000031E-16    1.8692387E-06    4.6872087E-08    3.7081486E-09    4.6063531E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.6133893E-05    4.1760843E-05    1.3077382E-05    3.6265610E-05    1.8794419E-05    1.2033733E-08    1.0000031E-16    1.9472096E-06    4.7315665E-08    3.7428140E-09    4.7093509E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.7193813E-05    4.2106512E-05    1.3246875E-05    3.6304149E-05    1.8950742E-05    1.1443102E-08    1.0000031E-16    2.0253712E-06    4.7762534E-08    3.7777772E-09    4.8125392E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.8256081E-05    4.2452883E-05    1.3416597E-05    3.6342766E-05    1.9107448E-05    1.0889365E-08    1.0000031E-16    2.1037239E-06    4.8212681E-08    3.8130338E-09    4.9159181E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.9320692E-05    4.2799958E-05    1.3586547E-05    3.6381462E-05    1.9264535E-05    1.0369724E-08    1.0000031E-16    2.1822677E-06    4.8666097E-08    3.8485799E-09    5.0194873E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -9.0387639E-05    4.3147738E-05    1.3756726E-05    3.6420237E-05    1.9422006E-05    9.8816323E-09    1.0000031E-16    2.2610031E-06    4.9122773E-08    3.8844121E-09    5.1232467E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -9.1456919E-05    4.3496222E-05    1.3927134E-05    3.6459090E-05    1.9579860E-05    9.4227681E-09    1.0000031E-16    2.3399301E-06    4.9582699E-08    3.9205271E-09    5.2271964E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -9.2528527E-05    4.3845412E-05    1.4097770E-05    3.6498021E-05    1.9738098E-05    8.9910098E-09    1.0000031E-16    2.4190491E-06    5.0045871E-08    3.9569222E-09    5.3313362E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
