# Time          1.5000E+00
# Units: Mole component in mineral/m^3 porous medium
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -2.3015270E+04    1.4646315E+03    2.1326857E+03    1.6329385E+02    5.4219452E+02    5.8110891E+03    0.0000000E+00    2.7109726E+02    2.9143925E+01    2.3703550E+00    2.6247796E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -2.3028710E+04    1.4691836E+03    2.1349041E+03    1.6380137E+02    5.4423121E+02    5.8109357E+03    0.0000000E+00    2.7211561E+02    2.9148513E+01    2.3706432E+00    2.6261212E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -2.3042465E+04    1.4737500E+03    2.1371283E+03    1.6431048E+02    5.4627515E+02    5.8108719E+03    0.0000000E+00    2.7313758E+02    2.9153739E+01    2.3709913E+00    2.6274759E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -2.3056283E+04    1.4783302E+03    2.1393582E+03    1.6482114E+02    5.4832611E+02    5.8108146E+03    0.0000000E+00    2.7416305E+02    2.9159045E+01    2.3713526E+00    2.6288350E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -2.3070160E+04    1.4829237E+03    2.1415934E+03    1.6533327E+02    5.5038389E+02    5.8107630E+03    0.0000000E+00    2.7519194E+02    2.9164427E+01    2.3717257E+00    2.6301985E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -2.3084094E+04    1.4875301E+03    2.1438339E+03    1.6584685E+02    5.5244830E+02    5.8107163E+03    0.0000000E+00    2.7622415E+02    2.9169878E+01    2.3721096E+00    2.6315661E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -2.3098080E+04    1.4921490E+03    2.1460795E+03    1.6636182E+02    5.5451919E+02    5.8106741E+03    0.0000000E+00    2.7725959E+02    2.9175395E+01    2.3725036E+00    2.6329377E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -2.3112117E+04    1.4967801E+03    2.1483300E+03    1.6687815E+02    5.5659640E+02    5.8106357E+03    0.0000000E+00    2.7829820E+02    2.9180975E+01    2.3729067E+00    2.6343131E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -2.3126202E+04    1.5014231E+03    2.1505852E+03    1.6739580E+02    5.5867981E+02    5.8106007E+03    0.0000000E+00    2.7933991E+02    2.9186615E+01    2.3733184E+00    2.6356921E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -2.3140333E+04    1.5060777E+03    2.1528452E+03    1.6791474E+02    5.6076930E+02    5.8105688E+03    0.0000000E+00    2.8038465E+02    2.9192312E+01    2.3737380E+00    2.6370748E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.0500000E+00   -2.3154509E+04    1.5107436E+03    2.1551096E+03    1.6843495E+02    5.6286476E+02    5.8105397E+03    0.0000000E+00    2.8143238E+02    2.9198065E+01    2.3741650E+00    2.6384608E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.1500000E+00   -2.3168728E+04    1.5154207E+03    2.1573785E+03    1.6895641E+02    5.6496610E+02    5.8105130E+03    0.0000000E+00    2.8248305E+02    2.9203870E+01    2.3745989E+00    2.6398503E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.2500000E+00   -2.3182989E+04    1.5201087E+03    2.1596518E+03    1.6947908E+02    5.6707325E+02    5.8104885E+03    0.0000000E+00    2.8353662E+02    2.9209728E+01    2.3750394E+00    2.6412430E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.3500000E+00   -2.3197290E+04    1.5248075E+03    2.1619294E+03    1.7000296E+02    5.6918613E+02    5.8104659E+03    0.0000000E+00    2.8459306E+02    2.9215635E+01    2.3754861E+00    2.6426390E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.4500000E+00   -2.3211631E+04    1.5295170E+03    2.1642112E+03    1.7052803E+02    5.7130468E+02    5.8104451E+03    0.0000000E+00    2.8565234E+02    2.9221592E+01    2.3759387E+00    2.6440381E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5500000E+00   -2.3226011E+04    1.5342370E+03    2.1664972E+03    1.7105426E+02    5.7342886E+02    5.8104260E+03    0.0000000E+00    2.8671443E+02    2.9227596E+01    2.3763968E+00    2.6454403E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.6500000E+00   -2.3240429E+04    1.5389674E+03    2.1687872E+03    1.7158167E+02    5.7555861E+02    5.8104083E+03    0.0000000E+00    2.8777930E+02    2.9233648E+01    2.3768603E+00    2.6468456E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.7500000E+00   -2.3254884E+04    1.5437082E+03    2.1710814E+03    1.7211022E+02    5.7769390E+02    5.8103919E+03    0.0000000E+00    2.8884695E+02    2.9239745E+01    2.3773288E+00    2.6482539E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.8500000E+00   -2.3269376E+04    1.5484592E+03    2.1733795E+03    1.7263991E+02    5.7983469E+02    5.8103767E+03    0.0000000E+00    2.8991735E+02    2.9245889E+01    2.3778023E+00    2.6496651E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.9500000E+00   -2.3283904E+04    1.5532203E+03    2.1756817E+03    1.7317074E+02    5.8198096E+02    5.8103626E+03    0.0000000E+00    2.9099048E+02    2.9252077E+01    2.3782805E+00    2.6510794E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.0500000E+00   -2.3298468E+04    1.5579916E+03    2.1779878E+03    1.7370270E+02    5.8413269E+02    5.8103495E+03    0.0000000E+00    2.9206635E+02    2.9258310E+01    2.3787633E+00    2.6524965E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.1500000E+00   -2.3313068E+04    1.5627730E+03    2.1802978E+03    1.7423578E+02    5.8628986E+02    5.8103373E+03    0.0000000E+00    2.9314493E+02    2.9264586E+01    2.3792506E+00    2.6539165E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.2500000E+00   -2.3327702E+04    1.5675644E+03    2.1826117E+03    1.7476998E+02    5.8845244E+02    5.8103259E+03    0.0000000E+00    2.9422622E+02    2.9270907E+01    2.3797421E+00    2.6553394E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.3500000E+00   -2.3342371E+04    1.5723658E+03    2.1849296E+03    1.7530530E+02    5.9062044E+02    5.8103153E+03    0.0000000E+00    2.9531022E+02    2.9277270E+01    2.3802379E+00    2.6567652E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.4500000E+00   -2.3357074E+04    1.5771772E+03    2.1872513E+03    1.7584173E+02    5.9279384E+02    5.8103054E+03    0.0000000E+00    2.9639692E+02    2.9283676E+01    2.3807378E+00    2.6581939E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5500000E+00   -2.3371812E+04    1.5819985E+03    2.1895768E+03    1.7637927E+02    5.9497263E+02    5.8102962E+03    0.0000000E+00    2.9748631E+02    2.9290125E+01    2.3812417E+00    2.6596253E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.6500000E+00   -2.3386583E+04    1.5868298E+03    2.1919062E+03    1.7691791E+02    5.9715681E+02    5.8102875E+03    0.0000000E+00    2.9857841E+02    2.9296617E+01    2.3817495E+00    2.6610596E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.7500000E+00   -2.3401389E+04    1.5916711E+03    2.1942394E+03    1.7745767E+02    5.9934638E+02    5.8102794E+03    0.0000000E+00    2.9967319E+02    2.9303150E+01    2.3822613E+00    2.6624967E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.8500000E+00   -2.3416228E+04    1.5965222E+03    2.1965764E+03    1.7799853E+02    6.0154134E+02    5.8102718E+03    0.0000000E+00    3.0077067E+02    2.9309726E+01    2.3827768E+00    2.6639366E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.9500000E+00   -2.3431100E+04    1.6013833E+03    2.1989172E+03    1.7854050E+02    6.0374168E+02    5.8102647E+03    0.0000000E+00    3.0187084E+02    2.9316344E+01    2.3832961E+00    2.6653793E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.0500000E+00   -2.3446006E+04    1.6062543E+03    2.2012618E+03    1.7908357E+02    6.0594741E+02    5.8102580E+03    0.0000000E+00    3.0297370E+02    2.9323004E+01    2.3838192E+00    2.6668248E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.1500000E+00   -2.3460946E+04    1.6111352E+03    2.2036102E+03    1.7962775E+02    6.0815853E+02    5.8102517E+03    0.0000000E+00    3.0407926E+02    2.9329705E+01    2.3843459E+00    2.6682731E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.2500000E+00   -2.3475918E+04    1.6160260E+03    2.2059624E+03    1.8017304E+02    6.1037503E+02    5.8102457E+03    0.0000000E+00    3.0518752E+02    2.9336448E+01    2.3848762E+00    2.6697241E+04    0.0000000E+00    0.0000000E+00    0.0000000E+00
