# Time          2.5000E+00
# Units: Weight % Component
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -1.0997992E+00    1.5964064E+00    3.9533442E+00    3.1028142E-01    6.2478507E-01    7.4336741E+00    0.0000000E+00    7.1780234E-01    9.5906929E-03    7.8003724E-04    7.4771096E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    1.5000000E-01   -1.0998664E+00    1.6005312E+00    3.9553883E+00    3.1108312E-01    6.2680428E-01    7.4295933E+00    0.0000000E+00    7.2012216E-01    9.5871897E-03    7.7972437E-04    7.4770220E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    2.5000000E-01   -1.0999407E+00    1.6046559E+00    3.9574129E+00    3.1188480E-01    6.2882524E-01    7.4255784E+00    0.0000000E+00    7.2244401E-01    9.5838321E-03    7.7942603E-04    7.4769183E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    3.5000000E-01   -1.1000158E+00    1.6087880E+00    3.9594381E+00    3.1268793E-01    6.3085090E-01    7.4215614E+00    0.0000000E+00    7.2477125E-01    9.5804856E-03    7.7913076E-04    7.4768129E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    4.5000000E-01   -1.1000916E+00    1.6129273E+00    3.9614637E+00    3.1349244E-01    6.3288108E-01    7.4175422E+00    0.0000000E+00    7.2710368E-01    9.5771494E-03    7.7883825E-04    7.4767061E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    5.5000000E-01   -1.1001680E+00    1.6170732E+00    3.9634898E+00    3.1429827E-01    6.3491560E-01    7.4135205E+00    0.0000000E+00    7.2944109E-01    9.5738228E-03    7.7854824E-04    7.4765978E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    6.5000000E-01   -1.1002450E+00    1.6212257E+00    3.9655164E+00    3.1510534E-01    6.3695430E-01    7.4094961E+00    0.0000000E+00    7.3178332E-01    9.5705052E-03    7.7826050E-04    7.4764883E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    7.5000000E-01   -1.1003225E+00    1.6253842E+00    3.9675436E+00    3.1591361E-01    6.3899706E-01    7.4054691E+00    0.0000000E+00    7.3413019E-01    9.5671963E-03    7.7797482E-04    7.4763776E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    8.5000000E-01   -1.1004006E+00    1.6295487E+00    3.9695711E+00    3.1672303E-01    6.4104373E-01    7.4014392E+00    0.0000000E+00    7.3648157E-01    9.5638957E-03    7.7769104E-04    7.4762659E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
    9.5000000E-01   -1.1004791E+00    1.6337188E+00    3.9715992E+00    3.1753354E-01    6.4309420E-01    7.3974065E+00    0.0000000E+00    7.3883731E-01    9.5606030E-03    7.7740899E-04    7.4761531E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00
