# Time          2.5000E+00
# Units: M^2 mineral/m^3 porous medium
    Distance        Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02    4.9999986E+01    2.7576263E+02    6.8455949E+02    2.0412211E+02    2.3021008E+05    1.8743101E+04
    1.5000000E-01    4.9999988E+01    2.7588111E+02    6.8597703E+02    2.0463291E+02    2.2956443E+05    1.8689755E+04
    2.5000000E-01    4.9999989E+01    2.7599979E+02    6.8739755E+02    2.0514489E+02    2.2892317E+05    1.8636862E+04
    3.5000000E-01    4.9999991E+01    2.7611866E+02    6.8882089E+02    2.0565799E+02    2.2827964E+05    1.8583861E+04
    4.5000000E-01    4.9999992E+01    2.7623769E+02    6.9024689E+02    2.0617215E+02    2.2763382E+05    1.8530743E+04
    5.5000000E-01    4.9999993E+01    2.7635689E+02    6.9167542E+02    2.0668733E+02    2.2698572E+05    1.8477501E+04
    6.5000000E-01    4.9999994E+01    2.7647624E+02    6.9310634E+02    2.0720347E+02    2.2633532E+05    1.8424127E+04
    7.5000000E-01    4.9999996E+01    2.7659574E+02    6.9453956E+02    2.0772055E+02    2.2568264E+05    1.8370616E+04
    8.5000000E-01    4.9999996E+01    2.7671538E+02    6.9597497E+02    2.0823852E+02    2.2502766E+05    1.8316963E+04
    9.5000000E-01    4.9999997E+01    2.7683515E+02    6.9741248E+02    2.0875736E+02    2.2437039E+05    1.8263162E+04
    1.0500000E+00    4.9999998E+01    2.7695506E+02    6.9885202E+02    2.0927704E+02    2.2371082E+05    1.8209211E+04
    1.1500000E+00    4.9999999E+01    2.7707508E+02    7.0029350E+02    2.0979753E+02    2.2304896E+05    1.8155104E+04
    1.2500000E+00    4.9999999E+01    2.7719522E+02    7.0173688E+02    2.1031880E+02    2.2238480E+05    1.8100838E+04
    1.3500000E+00    5.0000000E+01    2.7731548E+02    7.0318208E+02    2.1084085E+02    2.2171833E+05    1.8046411E+04
    1.4500000E+00    5.0000000E+01    2.7743584E+02    7.0462908E+02    2.1136365E+02    2.2104956E+05    1.7991819E+04
    1.5500000E+00    5.0000000E+01    2.7755632E+02    7.0607782E+02    2.1188719E+02    2.2037847E+05    1.7937059E+04
    1.6500000E+00    5.0000000E+01    2.7767689E+02    7.0752827E+02    2.1241145E+02    2.1970505E+05    1.7882128E+04
    1.7500000E+00    5.0000000E+01    2.7779757E+02    7.0898039E+02    2.1293643E+02    2.1902931E+05    1.7827025E+04
    1.8500000E+00    5.0000000E+01    2.7791835E+02    7.1043416E+02    2.1346212E+02    2.1835122E+05    1.7771746E+04
    1.9500000E+00    5.0000000E+01    2.7803923E+02    7.1188955E+02    2.1398850E+02    2.1767078E+05    1.7716289E+04
    2.0500000E+00    5.0000000E+01    2.7816019E+02    7.1334655E+02    2.1451557E+02    2.1698799E+05    1.7660653E+04
    2.1500000E+00    5.0000000E+01    2.7828126E+02    7.1480513E+02    2.1504332E+02    2.1630281E+05    1.7604834E+04
    2.2500000E+00    5.0000000E+01    2.7840241E+02    7.1626528E+02    2.1557174E+02    2.1561525E+05    1.7548831E+04
    2.3500000E+00    5.0000000E+01    2.7852365E+02    7.1772699E+02    2.1610084E+02    2.1492529E+05    1.7492642E+04
    2.4500000E+00    5.0000000E+01    2.7864498E+02    7.1919025E+02    2.1663061E+02    2.1423292E+05    1.7436264E+04
    2.5500000E+00    5.0000000E+01    2.7876640E+02    7.2065504E+02    2.1716105E+02    2.1353812E+05    1.7379697E+04
    2.6500000E+00    5.0000000E+01    2.7888790E+02    7.2212137E+02    2.1769214E+02    2.1284088E+05    1.7322937E+04
    2.7500000E+00    5.0000000E+01    2.7900949E+02    7.2358921E+02    2.1822390E+02    2.1214118E+05    1.7265984E+04
    2.8500000E+00    5.0000000E+01    2.7913116E+02    7.2505857E+02    2.1875632E+02    2.1143901E+05    1.7208834E+04
    2.9500000E+00    5.0000000E+01    2.7925292E+02    7.2652945E+02    2.1928939E+02    2.1073435E+05    1.7151487E+04
    3.0500000E+00    5.0000000E+01    2.7937475E+02    7.2800183E+02    2.1982312E+02    2.1002719E+05    1.7093941E+04
    3.1500000E+00    5.0000000E+01    2.7949667E+02    7.2947572E+02    2.2035750E+02    2.0931751E+05    1.7036194E+04
    3.2500000E+00    5.0000000E+01    2.7961866E+02    7.3095111E+02    2.2089253E+02    2.0860529E+05    1.6978243E+04
    3.3500000E+00    5.0000000E+01    2.7974074E+02    7.3242801E+02    2.2142822E+02    2.0789052E+05    1.6920089E+04
    3.4500000E+00    5.0000000E+01    2.7986289E+02    7.3390640E+02    2.2196456E+02    2.0717318E+05    1.6861728E+04
    3.5500000E+00    5.0000000E+01    2.7998512E+02    7.3538629E+02    2.2250155E+02    2.0645325E+05    1.6803159E+04
    3.6500000E+00    5.0000000E+01    2.8010742E+02    7.3686767E+02    2.2303920E+02    2.0573072E+05    1.6744380E+04
    3.7500000E+00    5.0000000E+01    2.8022981E+02    7.3835055E+02    2.2357749E+02    2.0500556E+05    1.6685390E+04
    3.8500000E+00    5.0000000E+01    2.8035226E+02    7.3983493E+02    2.2411643E+02    2.0427777E+05    1.6626188E+04
    3.9500000E+00    5.0000000E+01    2.8047479E+02    7.4132080E+02    2.2465603E+02    2.0354731E+05    1.6566770E+04
    4.0500000E+00    5.0000000E+01    2.8059740E+02    7.4280816E+02    2.2519627E+02    2.0281418E+05    1.6507136E+04
