# Time          5.0000E-02
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    9.9850401E-03    1.8000005E-01
    1.5000000E-01    9.9694920E-03    1.8000010E-01
    2.5000000E-01    9.9538691E-03    1.8000015E-01
    3.5000000E-01    9.9381744E-03    1.8000020E-01
    4.5000000E-01    9.9224104E-03    1.8000025E-01
    5.5000000E-01    9.9065794E-03    1.8000030E-01
    6.5000000E-01    9.8906833E-03    1.8000035E-01
    7.5000000E-01    9.8747239E-03    1.8000040E-01
    8.5000000E-01    9.8587029E-03    1.8000045E-01
    9.5000000E-01    9.8426215E-03    1.8000050E-01
    1.0500000E+00    9.8264812E-03    1.8000055E-01
    1.1500000E+00    9.8102830E-03    1.8000060E-01
    1.2500000E+00    9.7940281E-03    1.8000066E-01
    1.3500000E+00    9.7777174E-03    1.8000071E-01
    1.4500000E+00    9.7613518E-03    1.8000076E-01
    1.5500000E+00    9.7449321E-03    1.8000081E-01
    1.6500000E+00    9.7284592E-03    1.8000086E-01
    1.7500000E+00    9.7119336E-03    1.8000092E-01
    1.8500000E+00    9.6953560E-03    1.8000097E-01
    1.9500000E+00    9.6787271E-03    1.8000102E-01
    2.0500000E+00    9.6620474E-03    1.8000108E-01
    2.1500000E+00    9.6453175E-03    1.8000113E-01
    2.2500000E+00    9.6285378E-03    1.8000118E-01
    2.3500000E+00    9.6117088E-03    1.8000124E-01
    2.4500000E+00    9.5948309E-03    1.8000129E-01
    2.5500000E+00    9.5779045E-03    1.8000134E-01
    2.6500000E+00    9.5609301E-03    1.8000140E-01
    2.7500000E+00    9.5439079E-03    1.8000145E-01
    2.8500000E+00    9.5268383E-03    1.8000151E-01
    2.9500000E+00    9.5097217E-03    1.8000156E-01
    3.0500000E+00    9.4925583E-03    1.8000162E-01
    3.1500000E+00    9.4753485E-03    1.8000167E-01
    3.2500000E+00    9.4580924E-03    1.8000173E-01
    3.3500000E+00    9.4407903E-03    1.8000178E-01
    3.4500000E+00    9.4234426E-03    1.8000184E-01
    3.5500000E+00    9.4060494E-03    1.8000189E-01
    3.6500000E+00    9.3886109E-03    1.8000195E-01
    3.7500000E+00    9.3711274E-03    1.8000200E-01
    3.8500000E+00    9.3535990E-03    1.8000206E-01
    3.9500000E+00    9.3360259E-03    1.8000211E-01
    4.0500000E+00    9.3184084E-03    1.8000217E-01
    4.1500000E+00    9.3007465E-03    1.8000223E-01
    4.2500000E+00    9.2830404E-03    1.8000228E-01
    4.3500000E+00    9.2652904E-03    1.8000234E-01
    4.4500000E+00    9.2474964E-03    1.8000240E-01
    4.5500000E+00    9.2296588E-03    1.8000245E-01
    4.6500000E+00    9.2117775E-03    1.8000251E-01
    4.7500000E+00    9.1938528E-03    1.8000257E-01
    4.8500000E+00    9.1758848E-03    1.8000262E-01
    4.9500000E+00    9.1578735E-03    1.8000268E-01
    5.0500000E+00    9.1398190E-03    1.8000274E-01
    5.1500000E+00    9.1217216E-03    1.8000280E-01
    5.2500000E+00    9.1035812E-03    1.8000285E-01
    5.3500000E+00    9.0853980E-03    1.8000291E-01
    5.4500000E+00    9.0671721E-03    1.8000297E-01
    5.5500000E+00    9.0489035E-03    1.8000303E-01
    5.6500000E+00    9.0305924E-03    1.8000309E-01
    5.7500000E+00    9.0122387E-03    1.8000314E-01
    5.8500000E+00    8.9938427E-03    1.8000320E-01
    5.9500000E+00    8.9754043E-03    1.8000326E-01
    6.0500000E+00    8.9569236E-03    1.8000332E-01
    6.1500000E+00    8.9384008E-03    1.8000338E-01
    6.2500000E+00    8.9198357E-03    1.8000344E-01
    6.3500000E+00    8.9012286E-03    1.8000350E-01
    6.4500000E+00    8.8825795E-03    1.8000356E-01
    6.5500000E+00    8.8638884E-03    1.8000362E-01
