# Time          7.0000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    5.0000000E-02    7.5023456E-03    1.3547453E-01
    1.5000000E-01    4.9659047E-03    9.0173294E-02
    2.5000000E-01    3.7723279E-03    6.8876720E-02
    3.5000000E-01    3.8864837E-03    7.1024553E-02
    4.5000000E-01    4.8261698E-03    8.8000344E-02
    5.5000000E-01    6.0985923E-03    1.1097100E-01
    6.5000000E-01    7.3330400E-03    1.3329290E-01
    7.5000000E-01    8.3224562E-03    1.5125279E-01
    8.5000000E-01    9.0084940E-03    1.6379883E-01
    9.5000000E-01    9.4283758E-03    1.7159091E-01
    1.0500000E+00    9.6566485E-03    1.7595897E-01
    1.1500000E+00    9.7655460E-03    1.7819340E-01
    1.2500000E+00    9.8082801E-03    1.7924539E-01
    1.3500000E+00    9.8178158E-03    1.7970446E-01
    1.4500000E+00    9.8120779E-03    1.7989124E-01
    1.5500000E+00    9.7998267E-03    1.7996247E-01
    1.6500000E+00    9.7849694E-03    1.7998806E-01
    1.7500000E+00    9.7691140E-03    1.7999677E-01
    1.8500000E+00    9.7528760E-03    1.7999960E-01
    1.9500000E+00    9.7364765E-03    1.8000050E-01
    2.0500000E+00    9.7199905E-03    1.8000080E-01
    2.1500000E+00    9.7034423E-03    1.8000092E-01
    2.2500000E+00    9.6868396E-03    1.8000099E-01
    2.3500000E+00    9.6701851E-03    1.8000105E-01
    2.4500000E+00    9.6534799E-03    1.8000110E-01
    2.5500000E+00    9.6367247E-03    1.8000116E-01
    2.6500000E+00    9.6199199E-03    1.8000121E-01
    2.7500000E+00    9.6030661E-03    1.8000126E-01
    2.8500000E+00    9.5861635E-03    1.8000132E-01
    2.9500000E+00    9.5692127E-03    1.8000137E-01
    3.0500000E+00    9.5522141E-03    1.8000143E-01
    3.1500000E+00    9.5351678E-03    1.8000148E-01
    3.2500000E+00    9.5180744E-03    1.8000153E-01
    3.3500000E+00    9.5009340E-03    1.8000159E-01
    3.4500000E+00    9.4837471E-03    1.8000164E-01
    3.5500000E+00    9.4665137E-03    1.8000170E-01
    3.6500000E+00    9.4492344E-03    1.8000175E-01
    3.7500000E+00    9.4319092E-03    1.8000181E-01
    3.8500000E+00    9.4145384E-03    1.8000186E-01
    3.9500000E+00    9.3971222E-03    1.8000192E-01
    4.0500000E+00    9.3796609E-03    1.8000197E-01
    4.1500000E+00    9.3621546E-03    1.8000203E-01
    4.2500000E+00    9.3446036E-03    1.8000209E-01
    4.3500000E+00    9.3270080E-03    1.8000214E-01
    4.4500000E+00    9.3093679E-03    1.8000220E-01
    4.5500000E+00    9.2916837E-03    1.8000225E-01
    4.6500000E+00    9.2739554E-03    1.8000231E-01
    4.7500000E+00    9.2561831E-03    1.8000237E-01
    4.8500000E+00    9.2383670E-03    1.8000242E-01
    4.9500000E+00    9.2205073E-03    1.8000248E-01
    5.0500000E+00    9.2026040E-03    1.8000254E-01
    5.1500000E+00    9.1846574E-03    1.8000260E-01
    5.2500000E+00    9.1666674E-03    1.8000265E-01
    5.3500000E+00    9.1486343E-03    1.8000271E-01
    5.4500000E+00    9.1305581E-03    1.8000277E-01
    5.5500000E+00    9.1124390E-03    1.8000283E-01
    5.6500000E+00    9.0942769E-03    1.8000288E-01
    5.7500000E+00    9.0760721E-03    1.8000294E-01
    5.8500000E+00    9.0578246E-03    1.8000300E-01
    5.9500000E+00    9.0395345E-03    1.8000306E-01
    6.0500000E+00    9.0212019E-03    1.8000312E-01
    6.1500000E+00    9.0028268E-03    1.8000317E-01
    6.2500000E+00    8.9844093E-03    1.8000323E-01
    6.3500000E+00    8.9659496E-03    1.8000329E-01
    6.4500000E+00    8.9474476E-03    1.8000335E-01
    6.5500000E+00    8.9289034E-03    1.8000341E-01
    6.6500000E+00    8.9103171E-03    1.8000347E-01
    6.7500000E+00    8.8916887E-03    1.8000353E-01
    6.8500000E+00    8.8730184E-03    1.8000359E-01
    6.9500000E+00    8.8543061E-03    1.8000365E-01
    7.0500000E+00    8.8355519E-03    1.8000371E-01
    7.1500000E+00    8.8167558E-03    1.8000377E-01
    7.2500000E+00    8.7979179E-03    1.8000383E-01
    7.3500000E+00    8.7790383E-03    1.8000389E-01
    7.4500000E+00    8.7601170E-03    1.8000395E-01
    7.5500000E+00    8.7411540E-03    1.8000401E-01
    7.6500000E+00    8.7221493E-03    1.8000407E-01
    7.7500000E+00    8.7031030E-03    1.8000413E-01
    7.8500000E+00    8.6840152E-03    1.8000419E-01
    7.9500000E+00    8.6648858E-03    1.8000425E-01
    8.0500000E+00    8.6457149E-03    1.8000431E-01
    8.1500000E+00    8.6265026E-03    1.8000437E-01
    8.2500000E+00    8.6072487E-03    1.8000443E-01
    8.3500000E+00    8.5879535E-03    1.8000449E-01
    8.4500000E+00    8.5686169E-03    1.8000456E-01
    8.5500000E+00    8.5492389E-03    1.8000462E-01
    8.6500000E+00    8.5298195E-03    1.8000468E-01
    8.7500000E+00    8.5103589E-03    1.8000474E-01
    8.8500000E+00    8.4908569E-03    1.8000480E-01
    8.9500000E+00    8.4713136E-03    1.8000487E-01
    9.0500000E+00    8.4517291E-03    1.8000493E-01
    9.1500000E+00    8.4321034E-03    1.8000499E-01
    9.2500000E+00    8.4124364E-03    1.8000505E-01
    9.3500000E+00    8.3927282E-03    1.8000512E-01
    9.4500000E+00    8.3729788E-03    1.8000518E-01
    9.5500000E+00    8.3531882E-03    1.8000524E-01
    9.6500000E+00    8.3333565E-03    1.8000531E-01
    9.7500000E+00    8.3134836E-03    1.8000537E-01
    9.8500000E+00    8.2935696E-03    1.8000543E-01
    9.9500000E+00    8.2736145E-03    1.8000550E-01
    1.0050000E+01    8.2536183E-03    1.8000556E-01
    1.0150000E+01    8.2335810E-03    1.8000562E-01
    1.0250000E+01    8.2135026E-03    1.8000569E-01
