# Time series at grid cell:  64   1   1
  Time(day)                  Na+                    K+                     Ca++                   Mg++                   Al+++                  Fe+++                  Fe++                   SiO2(aq)               CO2(aq)                pH                     Li7+                   Li6+                  
  1.00000E-02                5.54822701881686E-05   1.97191805826785E-05   3.77954311025468E-05   2.50473103603023E-05   2.58324348782005E-09   1.00000313914715E-16   5.07365518025325E-06   8.78964649872750E-05   6.70700698866501E-04   5.86347745821652E+00   6.67306194010116E-08   5.27459252840192E-09
  2.00000E-02                5.54822701881262E-05   1.97191805825076E-05   3.77954311025439E-05   2.50473103602882E-05   2.58324329265172E-09   1.00000313914715E-16   5.07365518024622E-06   8.78964649868122E-05   6.70700700808700E-04   5.86347745821581E+00   6.67306194011126E-08   5.27459252840972E-09
  3.00000E-02                5.54822701880996E-05   1.97191805823372E-05   3.77954311025409E-05   2.50473103602742E-05   2.58324329130515E-09   1.00000313914715E-16   5.07365518023919E-06   8.78964649864172E-05   6.70700700808877E-04   5.86347745821481E+00   6.67306194020695E-08   5.27459252848722E-09
  4.00000E-02                5.54822701880729E-05   1.97191805821669E-05   3.77954311025380E-05   2.50473103602601E-05   2.58324329131303E-09   1.00000313914715E-16   5.07365518023216E-06   8.78964649860234E-05   6.70700700808877E-04   5.86347745821382E+00   6.67306194030355E-08   5.27459252856548E-09
  5.00000E-02                5.54822701880463E-05   1.97191805819965E-05   3.77954311025350E-05   2.50473103602461E-05   2.58324329133513E-09   1.00000313914715E-16   5.07365518022513E-06   8.78964649856296E-05   6.70700700808877E-04   5.86347745821282E+00   6.67306194040016E-08   5.27459252864373E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135738E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808877E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
  5.00000E-02                5.54822701880197E-05   1.97191805818261E-05   3.77954311025321E-05   2.50473103602320E-05   2.58324329135731E-09   1.00000313914715E-16   5.07365518021810E-06   8.78964649852358E-05   6.70700700808879E-04   5.86347745821282E+00   6.67306194049679E-08   5.27459252872199E-09
