# Time          5.0000E-02
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.1628476E-14   -4.0115322E-11   -1.6226745E-10   -3.2554263E-11    1.1829246E-10    9.7829531E-12
    1.5000000E-01   -2.0248725E-14   -4.0132372E-11   -1.6260346E-10   -3.2635728E-11    1.1720992E-10    9.6773693E-12
    2.5000000E-01   -1.8865777E-14   -4.0149433E-11   -1.6294018E-10   -3.2717381E-11    1.1734335E-10    9.6740896E-12
    3.5000000E-01   -1.7479716E-14   -4.0166502E-11   -1.6327757E-10   -3.2799212E-11    1.1748873E-10    9.6733388E-12
    4.5000000E-01   -1.6090607E-14   -4.0183577E-11   -1.6361559E-10   -3.2881213E-11    1.1764348E-10    9.6747255E-12
    5.5000000E-01   -1.4698506E-14   -4.0200656E-11   -1.6395420E-10   -3.2963375E-11    1.1780622E-10    9.6779798E-12
    6.5000000E-01   -1.3303458E-14   -4.0217736E-11   -1.6429339E-10   -3.3045692E-11    1.1797582E-10    9.6828706E-12
    7.5000000E-01   -1.1905505E-14   -4.0234815E-11   -1.6463312E-10   -3.3128158E-11    1.1815132E-10    9.6891994E-12
    8.5000000E-01   -1.0504680E-14   -4.0251890E-11   -1.6497337E-10   -3.3210767E-11    1.1833194E-10    9.6967950E-12
    9.5000000E-01   -9.1010125E-15   -4.0268960E-11   -1.6531411E-10   -3.3293513E-11    1.1851703E-10    9.7055091E-12
    1.0500000E+00   -7.6945283E-15   -4.0286023E-11   -1.6565534E-10   -3.3376393E-11    1.1870601E-10    9.7152129E-12
    1.1500000E+00   -6.2852491E-15   -4.0303075E-11   -1.6599703E-10   -3.3459403E-11    1.1889843E-10    9.7257943E-12
    1.2500000E+00   -4.8731936E-15   -4.0320116E-11   -1.6633916E-10   -3.3542538E-11    1.1909387E-10    9.7371556E-12
