# Time          7.0000E+00
# Units: Mol/m**3 Porous Medium/s
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.9293956E-14   -4.0116139E-11   -1.6226745E-10   -3.2554263E-11    1.1802848E-10    9.7628131E-12
    1.5000000E-01   -3.6056353E-14   -4.0133777E-11   -1.6260346E-10   -3.2635728E-11    1.1819321E-10    9.7568362E-12
    2.5000000E-01   -3.9036047E-14   -4.0151145E-11   -1.6294018E-10   -3.2717381E-11    1.1920669E-10    9.8201666E-12
    3.5000000E-01   -3.8151135E-14   -4.0168411E-11   -1.6327757E-10   -3.2799212E-11    1.1999788E-10    9.8739296E-12
    4.5000000E-01   -3.4696730E-14   -4.0185593E-11   -1.6361559E-10   -3.2881213E-11    1.2001756E-10    9.8727068E-12
    5.5000000E-01   -3.0073743E-14   -4.0202658E-11   -1.6395420E-10   -3.2963375E-11    1.1965841E-10    9.8420373E-12
    6.5000000E-01   -2.5379141E-14   -4.0219606E-11   -1.6429339E-10   -3.3045692E-11    1.1927713E-10    9.8082019E-12
    7.5000000E-01   -2.1258662E-14   -4.0236494E-11   -1.6463312E-10   -3.3128158E-11    1.1901703E-10    9.7825896E-12
    8.5000000E-01   -1.7928345E-14   -4.0253394E-11   -1.6497337E-10   -3.3210767E-11    1.1889347E-10    9.7668297E-12
    9.5000000E-01   -1.5317005E-14   -4.0270351E-11   -1.6531411E-10   -3.3293513E-11    1.1888010E-10    9.7592644E-12
    1.0500000E+00   -1.3232533E-14   -4.0287373E-11   -1.6565534E-10   -3.3376393E-11    1.1894637E-10    9.7578686E-12
    1.1500000E+00   -1.1479153E-14   -4.0304444E-11   -1.6599703E-10   -3.3459403E-11    1.1906627E-10    9.7608989E-12
    1.2500000E+00   -9.9094786E-15   -4.0321542E-11   -1.6633916E-10   -3.3542538E-11    1.1921994E-10    9.7669993E-12
    1.3500000E+00   -8.4310668E-15   -4.0338651E-11   -1.6668173E-10   -3.3625797E-11    1.1939372E-10    9.7752035E-12
    1.4500000E+00   -6.9932500E-15   -4.0355759E-11   -1.6702473E-10   -3.3709175E-11    1.1957917E-10    9.7848801E-12
    1.5500000E+00   -5.5711313E-15   -4.0372859E-11   -1.6736814E-10   -3.3792671E-11    1.1977153E-10    9.7956421E-12
    1.6500000E+00   -4.1535671E-15   -4.0389946E-11   -1.6771195E-10   -3.3876283E-11    1.1996829E-10    9.8072568E-12
    1.7500000E+00   -2.7359650E-15   -4.0407017E-11   -1.6805616E-10   -3.3960009E-11    1.2016819E-10    9.8195799E-12
    1.8500000E+00   -1.3165700E-15   -4.0424070E-11   -1.6840076E-10   -3.4043848E-11    1.2037056E-10    9.8325134E-12
    1.9500000E+00    0.0000000E+00   -4.0441103E-11   -1.6874575E-10   -3.4127797E-11    1.2057503E-10    9.8459843E-12
    2.0500000E+00    0.0000000E+00   -4.0458114E-11   -1.6909111E-10   -3.4211856E-11    1.2078133E-10    9.8599334E-12
    2.1500000E+00    0.0000000E+00   -4.0475101E-11   -1.6943685E-10   -3.4296024E-11    1.2098928E-10    9.8743104E-12
    2.2500000E+00    0.0000000E+00   -4.0492062E-11   -1.6978297E-10   -3.4380300E-11    1.2119871E-10    9.8890718E-12
    2.3500000E+00    0.0000000E+00   -4.0508995E-11   -1.7012945E-10   -3.4464683E-11    1.2140948E-10    9.9041790E-12
    2.4500000E+00    0.0000000E+00   -4.0525899E-11   -1.7047630E-10   -3.4549173E-11    1.2162149E-10    9.9195980E-12
    2.5500000E+00    0.0000000E+00   -4.0542770E-11   -1.7082351E-10   -3.4633769E-11    1.2183462E-10    9.9352987E-12
    2.6500000E+00    0.0000000E+00   -4.0559607E-11   -1.7117109E-10   -3.4718470E-11    1.2204878E-10    9.9512542E-12
    2.7500000E+00    0.0000000E+00   -4.0576408E-11   -1.7151902E-10   -3.4803277E-11    1.2226390E-10    9.9674406E-12
    2.8500000E+00    0.0000000E+00   -4.0593171E-11   -1.7186732E-10   -3.4888189E-11    1.2247990E-10    9.9838367E-12
    2.9500000E+00    0.0000000E+00   -4.0609893E-11   -1.7221597E-10   -3.4973206E-11    1.2269672E-10    1.0000423E-11
    3.0500000E+00    0.0000000E+00   -4.0626572E-11   -1.7256499E-10   -3.5058327E-11    1.2291430E-10    1.0017184E-11
    3.1500000E+00    0.0000000E+00   -4.0643206E-11   -1.7291436E-10   -3.5143552E-11    1.2313259E-10    1.0034102E-11
    3.2500000E+00    0.0000000E+00   -4.0659792E-11   -1.7326408E-10   -3.5228882E-11    1.2335154E-10    1.0051166E-11
    3.3500000E+00    0.0000000E+00   -4.0676328E-11   -1.7361416E-10   -3.5314316E-11    1.2357112E-10    1.0068362E-11
    3.4500000E+00    0.0000000E+00   -4.0692812E-11   -1.7396460E-10   -3.5399854E-11    1.2379129E-10    1.0085680E-11
    3.5500000E+00    0.0000000E+00   -4.0709240E-11   -1.7431539E-10   -3.5485495E-11    1.2401201E-10    1.0103109E-11
    3.6500000E+00    0.0000000E+00   -4.0725611E-11   -1.7466654E-10   -3.5571241E-11    1.2423325E-10    1.0120641E-11
    3.7500000E+00    0.0000000E+00   -4.0741921E-11   -1.7501804E-10   -3.5657090E-11    1.2445498E-10    1.0138268E-11
    3.8500000E+00    0.0000000E+00   -4.0758167E-11   -1.7536989E-10   -3.5743043E-11    1.2467719E-10    1.0155983E-11
    3.9500000E+00    0.0000000E+00   -4.0774347E-11   -1.7572210E-10   -3.5829100E-11    1.2489984E-10    1.0173779E-11
    4.0500000E+00    0.0000000E+00   -4.0790459E-11   -1.7607466E-10   -3.5915260E-11    1.2512293E-10    1.0191650E-11
    4.1500000E+00    0.0000000E+00   -4.0806498E-11   -1.7642758E-10   -3.6001524E-11    1.2534641E-10    1.0209591E-11
    4.2500000E+00    0.0000000E+00   -4.0822461E-11   -1.7678085E-10   -3.6087892E-11    1.2557029E-10    1.0227597E-11
    4.3500000E+00    0.0000000E+00   -4.0838347E-11   -1.7713448E-10   -3.6174363E-11    1.2579454E-10    1.0245664E-11
    4.4500000E+00    0.0000000E+00   -4.0854150E-11   -1.7748845E-10   -3.6260938E-11    1.2601915E-10    1.0263788E-11
    4.5500000E+00    0.0000000E+00   -4.0869869E-11   -1.7784279E-10   -3.6347616E-11    1.2624411E-10    1.0281964E-11
    4.6500000E+00    0.0000000E+00   -4.0885499E-11   -1.7819747E-10   -3.6434398E-11    1.2646939E-10    1.0300191E-11
    4.7500000E+00    0.0000000E+00   -4.0901038E-11   -1.7855251E-10   -3.6521284E-11    1.2669500E-10    1.0318464E-11
    4.8500000E+00    0.0000000E+00   -4.0916481E-11   -1.7890791E-10   -3.6608273E-11    1.2692092E-10    1.0336781E-11
    4.9500000E+00    0.0000000E+00   -4.0931824E-11   -1.7926365E-10   -3.6695366E-11    1.2714713E-10    1.0355139E-11
    5.0500000E+00    0.0000000E+00   -4.0947065E-11   -1.7961975E-10   -3.6782562E-11    1.2737363E-10    1.0373537E-11
    5.1500000E+00    0.0000000E+00   -4.0962200E-11   -1.7997621E-10   -3.6869862E-11    1.2760042E-10    1.0391972E-11
    5.2500000E+00    0.0000000E+00   -4.0977223E-11   -1.8033301E-10   -3.6957266E-11    1.2782747E-10    1.0410442E-11
    5.3500000E+00    0.0000000E+00   -4.0992132E-11   -1.8069017E-10   -3.7044773E-11    1.2805479E-10    1.0428945E-11
    5.4500000E+00    0.0000000E+00   -4.1006922E-11   -1.8104769E-10   -3.7132384E-11    1.2828236E-10    1.0447480E-11
    5.5500000E+00    0.0000000E+00   -4.1021589E-11   -1.8140556E-10   -3.7220098E-11    1.2851018E-10    1.0466045E-11
    5.6500000E+00    0.0000000E+00   -4.1036128E-11   -1.8176378E-10   -3.7307916E-11    1.2873824E-10    1.0484639E-11
    5.7500000E+00    0.0000000E+00   -4.1050535E-11   -1.8212235E-10   -3.7395837E-11    1.2896653E-10    1.0503260E-11
    5.8500000E+00    0.0000000E+00   -4.1064806E-11   -1.8248128E-10   -3.7483862E-11    1.2919506E-10    1.0521908E-11
    5.9500000E+00    0.0000000E+00   -4.1078936E-11   -1.8284056E-10   -3.7571990E-11    1.2942380E-10    1.0540580E-11
    6.0500000E+00    0.0000000E+00   -4.1092920E-11   -1.8320020E-10   -3.7660222E-11    1.2965276E-10    1.0559277E-11
    6.1500000E+00    0.0000000E+00   -4.1106754E-11   -1.8356019E-10   -3.7748558E-11    1.2988193E-10    1.0577997E-11
    6.2500000E+00    0.0000000E+00   -4.1120431E-11   -1.8392053E-10   -3.7836997E-11    1.3011130E-10    1.0596739E-11
    6.3500000E+00    0.0000000E+00   -4.1133948E-11   -1.8428123E-10   -3.7925540E-11    1.3034088E-10    1.0615502E-11
    6.4500000E+00    0.0000000E+00   -4.1147298E-11   -1.8464228E-10   -3.8014186E-11    1.3057064E-10    1.0634285E-11
    6.5500000E+00    0.0000000E+00   -4.1160477E-11   -1.8500368E-10   -3.8102936E-11    1.3080060E-10    1.0653088E-11
    6.6500000E+00    0.0000000E+00   -4.1173479E-11   -1.8536544E-10   -3.8191790E-11    1.3103074E-10    1.0671910E-11
    6.7500000E+00    0.0000000E+00   -4.1186298E-11   -1.8572755E-10   -3.8280747E-11    1.3126106E-10    1.0690751E-11
    6.8500000E+00    0.0000000E+00   -4.1198929E-11   -1.8609002E-10   -3.8369807E-11    1.3149156E-10    1.0709609E-11
    6.9500000E+00    0.0000000E+00   -4.1211365E-11   -1.8645283E-10   -3.8458972E-11    1.3172222E-10    1.0728484E-11
    7.0500000E+00    0.0000000E+00   -4.1223602E-11   -1.8681601E-10   -3.8548239E-11    1.3195305E-10    1.0747375E-11
    7.1500000E+00    0.0000000E+00   -4.1235632E-11   -1.8717953E-10   -3.8637611E-11    1.3218404E-10    1.0766282E-11
    7.2500000E+00    0.0000000E+00   -4.1247449E-11   -1.8754341E-10   -3.8727086E-11    1.3241519E-10    1.0785204E-11
