# Time          5.0000E-02
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.2917983E-01   -4.4411238E+00   -8.6110733E+00   -3.1816036E+01    5.9473478E-03   -9.9920539E-03
    1.5000000E-01   -2.1033839E-01   -4.3886858E+00   -8.5657334E+00   -3.1406377E+01    5.9066873E-03   -1.0043190E-02
    2.5000000E-01   -1.9223951E-01   -4.3378862E+00   -8.5217847E+00   -3.1126650E+01    5.9317048E-03   -1.0027504E-02
    3.5000000E-01   -1.7482648E-01   -4.2886398E+00   -8.4791605E+00   -3.0900776E+01    5.9575718E-03   -1.0009951E-02
    4.5000000E-01   -1.5804868E-01   -4.2408410E+00   -8.4377690E+00   -3.0705087E+01    5.9841557E-03   -9.9907790E-03
    5.5000000E-01   -1.4186085E-01   -4.1943951E+00   -8.3975279E+00   -3.0529037E+01    6.0113882E-03   -9.9701567E-03
    6.5000000E-01   -1.2622234E-01   -4.1492165E+00   -8.3583632E+00   -3.0366981E+01    6.0392137E-03   -9.9482290E-03
    7.5000000E-01   -1.1109655E-01   -4.1052278E+00   -8.3202079E+00   -3.0215524E+01    6.0675867E-03   -9.9251205E-03
    8.5000000E-01   -9.6450353E-02   -4.0623589E+00   -8.2830014E+00   -3.0072460E+01    6.0964694E-03   -9.9009388E-03
    9.5000000E-01   -8.2253735E-02   -4.0205457E+00   -8.2466885E+00   -2.9936262E+01    6.1258311E-03   -9.8757769E-03
    1.0500000E+00   -6.8479382E-02   -3.9797299E+00   -8.2112188E+00   -2.9805832E+01    6.1556460E-03   -9.8497153E-03
    1.1500000E+00   -5.5102381E-02   -3.9398578E+00   -8.1765463E+00   -2.9680343E+01    6.1858932E-03   -9.8228239E-03
    1.2500000E+00   -4.2099947E-02   -3.9008802E+00   -8.1426286E+00   -2.9559159E+01    6.2165551E-03   -9.7951632E-03
    1.3500000E+00   -2.9451188E-02   -3.8627520E+00   -8.1094271E+00   -2.9441779E+01    6.2476177E-03   -9.7667859E-03
    1.4500000E+00   -1.7136903E-02   -3.8254312E+00   -8.0769058E+00   -2.9327797E+01    6.2790691E-03   -9.7377376E-03
    1.5500000E+00   -5.1394043E-03   -3.7888791E+00   -8.0450317E+00   -2.9216879E+01    6.3108998E-03   -9.7080581E-03
    1.6500000E+00    6.5576541E-03   -3.7530600E+00   -8.0137740E+00   -2.9108749E+01    6.3431023E-03   -9.6777819E-03
    1.7500000E+00    1.7969388E-02   -3.7179404E+00   -7.9831044E+00   -2.9003171E+01    6.3756706E-03   -9.6469387E-03
    1.8500000E+00    2.9109791E-02   -3.6834893E+00   -7.9529965E+00   -2.8899945E+01    6.4085999E-03   -9.6155546E-03
    1.9500000E+00    3.9991855E-02   -3.6496779E+00   -7.9234255E+00   -2.8798898E+01    6.4418867E-03   -9.5836518E-03
    2.0500000E+00    5.0627666E-02   -3.6164791E+00   -7.8943686E+00   -2.8699880E+01    6.4755288E-03   -9.5512496E-03
    2.1500000E+00    6.1028482E-02   -3.5838677E+00   -7.8658043E+00   -2.8602757E+01    6.5095244E-03   -9.5183646E-03
    2.2500000E+00    7.1204810E-02   -3.5518199E+00   -7.8377125E+00   -2.8507412E+01    6.5438729E-03   -9.4850108E-03
