# Time          1.5000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Quartz           K-Feldspar_Li    Oligoclase_Li    Biotite_Li       Kaolinite_Li7    Kaolinite_Li6
    5.0000000E-02   -2.4127781E-01   -4.4768345E+00   -8.6442824E+00   -3.1883317E+01    5.3041645E-03   -1.0635134E-02
    1.5000000E-01   -2.1153582E-01   -4.3921250E+00   -8.5688409E+00   -3.1418782E+01    5.9114650E-03   -1.0038138E-02
    2.5000000E-01   -1.9279225E-01   -4.3394463E+00   -8.5231410E+00   -3.1134058E+01    5.9333118E-03   -1.0025627E-02
    3.5000000E-01   -1.7532988E-01   -4.2900679E+00   -8.4803968E+00   -3.0906913E+01    5.9588321E-03   -1.0008448E-02
    4.5000000E-01   -1.5853284E-01   -4.2422244E+00   -8.4389669E+00   -3.0710517E+01    5.9852617E-03   -9.9894567E-03
    5.5000000E-01   -1.4232824E-01   -4.1957399E+00   -8.3986931E+00   -3.0533986E+01    6.0123681E-03   -9.9689840E-03
    6.5000000E-01   -1.2667414E-01   -4.1505252E+00   -8.3594978E+00   -3.0371575E+01    6.0400850E-03   -9.9471857E-03
    7.5000000E-01   -1.1153377E-01   -4.1065027E+00   -8.3213138E+00   -3.0219843E+01    6.0683639E-03   -9.9241897E-03
    8.5000000E-01   -9.6873936E-02   -4.0636018E+00   -8.2840803E+00   -3.0076556E+01    6.0971649E-03   -9.9001062E-03
    9.5000000E-01   -8.2664517E-02   -4.0217586E+00   -8.2477419E+00   -2.9940175E+01    6.1264551E-03   -9.8750303E-03
    1.0500000E+00   -6.8878129E-02   -3.9809142E+00   -8.2122481E+00   -2.9809588E+01    6.1562075E-03   -9.8490443E-03
    1.1500000E+00   -5.5489794E-02   -3.9410151E+00   -8.1775528E+00   -2.9683963E+01    6.1863997E-03   -9.8222195E-03
    1.2500000E+00   -4.2476666E-02   -3.9020120E+00   -8.1436136E+00   -2.9562661E+01    6.2170132E-03   -9.7946176E-03
    1.3500000E+00   -2.9817802E-02   -3.8638594E+00   -8.1103916E+00   -2.9445176E+01    6.2480328E-03   -9.7662924E-03
    1.4500000E+00   -1.7493953E-02   -3.8265155E+00   -8.0778508E+00   -2.9331099E+01    6.2794462E-03   -9.7372904E-03
    1.5500000E+00   -5.4873900E-03   -3.7899414E+00   -8.0459581E+00   -2.9220095E+01    6.3112431E-03   -9.7076521E-03
    1.6500000E+00    6.2182707E-03   -3.7541013E+00   -8.0146828E+00   -2.9111886E+01    6.3434154E-03   -9.6774126E-03
    1.7500000E+00    1.7638179E-02   -3.7189616E+00   -7.9839964E+00   -2.9006237E+01    6.3759567E-03   -9.6466023E-03
    1.8500000E+00    2.8786361E-02   -3.6844913E+00   -7.9538723E+00   -2.8902944E+01    6.4088618E-03   -9.6152476E-03
    1.9500000E+00    3.9675835E-02   -3.6506615E+00   -7.9242859E+00   -2.8801836E+01    6.4421270E-03   -9.5833712E-03
    2.0500000E+00    5.0318714E-02   -3.6174451E+00   -7.8952142E+00   -2.8702760E+01    6.4757494E-03   -9.5509928E-03
    2.1500000E+00    6.0726277E-02   -3.5848168E+00   -7.8666358E+00   -2.8605583E+01    6.5097275E-03   -9.5181292E-03
    2.2500000E+00    7.0909055E-02   -3.5527528E+00   -7.8385304E+00   -2.8510188E+01    6.5440600E-03   -9.4847947E-03
    2.3500000E+00    8.0876884E-02   -3.5212309E+00   -7.8108792E+00   -2.8416470E+01    6.5787468E-03   -9.4510016E-03
    2.4500000E+00    9.0638974E-02   -3.4902302E+00   -7.7836646E+00   -2.8324334E+01    6.6137883E-03   -9.4167602E-03
    2.5500000E+00    1.0020396E-01   -3.4597310E+00   -7.7568698E+00   -2.8233697E+01    6.6491854E-03   -9.3820791E-03
    2.6500000E+00    1.0957993E-01   -3.4297148E+00   -7.7304791E+00   -2.8144481E+01    6.6849396E-03   -9.3469653E-03
    2.7500000E+00    1.1877450E-01   -3.4001639E+00   -7.7044779E+00   -2.8056617E+01    6.7210527E-03   -9.3114244E-03
    2.8500000E+00    1.2779484E-01   -3.3710619E+00   -7.6788520E+00   -2.7970041E+01    6.7575272E-03   -9.2754611E-03
    2.9500000E+00    1.3664770E-01   -3.3423931E+00   -7.6535884E+00   -2.7884695E+01    6.7943657E-03   -9.2390786E-03
    3.0500000E+00    1.4533943E-01   -3.3141428E+00   -7.6286746E+00   -2.7800524E+01    6.8315713E-03   -9.2022793E-03
    3.1500000E+00    1.5387604E-01   -3.2862968E+00   -7.6040987E+00   -2.7717479E+01    6.8691474E-03   -9.1650649E-03
    3.2500000E+00    1.6226321E-01   -3.2588418E+00   -7.5798495E+00   -2.7635515E+01    6.9070977E-03   -9.1274358E-03
    3.3500000E+00    1.7050631E-01   -3.2317652E+00   -7.5559164E+00   -2.7554587E+01    6.9454262E-03   -9.0893922E-03
    3.4500000E+00    1.7861044E-01   -3.2050549E+00   -7.5322893E+00   -2.7474657E+01    6.9841370E-03   -9.0509332E-03
    3.5500000E+00    1.8658042E-01   -3.1786995E+00   -7.5089586E+00   -2.7395687E+01    7.0232348E-03   -9.0120577E-03
    3.6500000E+00    1.9442081E-01   -3.1526881E+00   -7.4859150E+00   -2.7317643E+01    7.0627242E-03   -8.9727637E-03
    3.7500000E+00    2.0213598E-01   -3.1270102E+00   -7.4631500E+00   -2.7240491E+01    7.1026103E-03   -8.9330487E-03
    3.8500000E+00    2.0973005E-01   -3.1016559E+00   -7.4406551E+00   -2.7164202E+01    7.1428981E-03   -8.8929100E-03
    3.9500000E+00    2.1720694E-01   -3.0766158E+00   -7.4184225E+00   -2.7088745E+01    7.1835932E-03   -8.8523441E-03
    4.0500000E+00    2.2457042E-01   -3.0518807E+00   -7.3964445E+00   -2.7014095E+01    7.2247011E-03   -8.8113474E-03
