 TITLE = "Isotope ratios" 
    Distance        Li7+            
    5.0000000E-02   -1.0373006E+01
    1.5000000E-01   -1.2012284E+01
    2.5000000E-01   -1.3470096E+01
    3.5000000E-01   -1.4767303E+01
    4.5000000E-01   -1.5922264E+01
    5.5000000E-01   -1.6951158E+01
    6.5000000E-01   -1.7868254E+01
    7.5000000E-01   -1.8686140E+01
    8.5000000E-01   -1.9415926E+01
    9.5000000E-01   -2.0067428E+01
    1.0500000E+00   -2.0649320E+01
    1.1500000E+00   -2.1169272E+01
    1.2500000E+00   -2.1634074E+01
    1.3500000E+00   -2.2049735E+01
    1.4500000E+00   -2.2421582E+01
    1.5500000E+00   -2.2754337E+01
    1.6500000E+00   -2.3052190E+01
    1.7500000E+00   -2.3318861E+01
    1.8500000E+00   -2.3557655E+01
    1.9500000E+00   -2.3771510E+01
    2.0500000E+00   -2.3963039E+01
    2.1500000E+00   -2.4134570E+01
    2.2500000E+00   -2.4288174E+01
    2.3500000E+00   -2.4425701E+01
    2.4500000E+00   -2.4548797E+01
    2.5500000E+00   -2.4658934E+01
    2.6500000E+00   -2.4757425E+01
    2.7500000E+00   -2.4845445E+01
    2.8500000E+00   -2.4924043E+01
    2.9500000E+00   -2.4994160E+01
    3.0500000E+00   -2.5056637E+01
    3.1500000E+00   -2.5112228E+01
    3.2500000E+00   -2.5161608E+01
    3.3500000E+00   -2.5205385E+01
    3.4500000E+00   -2.5244102E+01
    3.5500000E+00   -2.5278249E+01
    3.6500000E+00   -2.5308265E+01
    3.7500000E+00   -2.5334546E+01
    3.8500000E+00   -2.5357446E+01
    3.9500000E+00   -2.5377287E+01
    4.0500000E+00   -2.5394357E+01
    4.1500000E+00   -2.5408916E+01
    4.2500000E+00   -2.5421199E+01
    4.3500000E+00   -2.5431417E+01
    4.4500000E+00   -2.5439761E+01
    4.5500000E+00   -2.5446405E+01
    4.6500000E+00   -2.5451503E+01
    4.7500000E+00   -2.5455199E+01
    4.8500000E+00   -2.5457618E+01
    4.9500000E+00   -2.5458878E+01
    5.0500000E+00   -2.5459082E+01
    5.1500000E+00   -2.5458326E+01
    5.2500000E+00   -2.5456696E+01
    5.3500000E+00   -2.5454269E+01
    5.4500000E+00   -2.5451118E+01
    5.5500000E+00   -2.5447306E+01
    5.6500000E+00   -2.5442891E+01
    5.7500000E+00   -2.5437927E+01
    5.8500000E+00   -2.5432463E+01
    5.9500000E+00   -2.5426542E+01
    6.0500000E+00   -2.5420204E+01
    6.1500000E+00   -2.5413486E+01
    6.2500000E+00   -2.5406420E+01
    6.3500000E+00   -2.5399038E+01
    6.4500000E+00   -2.5391366E+01
    6.5500000E+00   -2.5383430E+01
    6.6500000E+00   -2.5375252E+01
    6.7500000E+00   -2.5366854E+01
    6.8500000E+00   -2.5358255E+01
    6.9500000E+00   -2.5349471E+01
    7.0500000E+00   -2.5340519E+01
    7.1500000E+00   -2.5331414E+01
    7.2500000E+00   -2.5322168E+01
    7.3500000E+00   -2.5312794E+01
    7.4500000E+00   -2.5303302E+01
    7.5500000E+00   -2.5293703E+01
    7.6500000E+00   -2.5284007E+01
    7.7500000E+00   -2.5274220E+01
    7.8500000E+00   -2.5264352E+01
    7.9500000E+00   -2.5254409E+01
    8.0500000E+00   -2.5244397E+01
    8.1500000E+00   -2.5234323E+01
    8.2500000E+00   -2.5224191E+01
    8.3500000E+00   -2.5214007E+01
    8.4500000E+00   -2.5203775E+01
    8.5500000E+00   -2.5193499E+01
    8.6500000E+00   -2.5183183E+01
    8.7500000E+00   -2.5172830E+01
    8.8500000E+00   -2.5162443E+01
    8.9500000E+00   -2.5152024E+01
    9.0500000E+00   -2.5141577E+01
    9.1500000E+00   -2.5131104E+01
    9.2500000E+00   -2.5120606E+01
    9.3500000E+00   -2.5110085E+01
    9.4500000E+00   -2.5099544E+01
    9.5500000E+00   -2.5088983E+01
    9.6500000E+00   -2.5078404E+01
    9.7500000E+00   -2.5067808E+01
    9.8500000E+00   -2.5057196E+01
    9.9500000E+00   -2.5046569E+01
