# Time          5.0000E-02
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -6.0683937E-05    3.3421326E-05    8.9504257E-06    3.5335825E-05    1.5043747E-05    5.8281813E-08    1.0000031E-16    7.1873367E-08    3.7414706E-08    3.0029686E-09    2.2154890E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5000000E-01   -6.1677366E-05    3.3749841E-05    9.1143233E-06    3.5372452E-05    1.5190773E-05    5.3719387E-08    1.0000031E-16    1.4538628E-07    3.7764617E-08    3.0260323E-09    2.3137214E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5000000E-01   -6.2674362E-05    3.4079036E-05    9.2784433E-06    3.5409154E-05    1.5338166E-05    4.9624607E-08    1.0000031E-16    2.1908312E-07    3.8120165E-08    3.0500148E-09    2.4121814E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5000000E-01   -6.3674741E-05    3.4408912E-05    9.4427860E-06    3.5445932E-05    1.5485929E-05    4.5934696E-08    1.0000031E-16    2.9296427E-07    3.8480980E-08    3.0748354E-09    2.5108630E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    4.5000000E-01   -6.4678358E-05    3.4739472E-05    9.6073519E-06    3.5482787E-05    1.5634060E-05    4.2600044E-08    1.0000031E-16    3.6703012E-07    3.8846777E-08    3.1004257E-09    2.6097616E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    5.5000000E-01   -6.5685090E-05    3.5070715E-05    9.7721413E-06    3.5519718E-05    1.5782562E-05    3.9578325E-08    1.0000031E-16    4.4128104E-07    3.9217315E-08    3.1267264E-09    2.7088733E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    6.5000000E-01   -6.6694831E-05    3.5402644E-05    9.9371546E-06    3.5556725E-05    1.5931435E-05    3.6833253E-08    1.0000031E-16    5.1571738E-07    3.9592387E-08    3.1536853E-09    2.8081948E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    7.5000000E-01   -6.7707491E-05    3.5735259E-05    1.0102392E-05    3.5593809E-05    1.6080679E-05    3.4333576E-08    1.0000031E-16    5.9033946E-07    3.9971819E-08    3.1812571E-09    2.9077231E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8722993E-05    3.6068562E-05    1.0267854E-05    3.5630969E-05    1.6230295E-05    3.2052261E-08    1.0000031E-16    6.6514762E-07    4.0355460E-08    3.2094015E-09    3.0074559E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9741270E-05    3.6402553E-05    1.0433541E-05    3.5668206E-05    1.6380284E-05    2.9965831E-08    1.0000031E-16    7.4014216E-07    4.0743180E-08    3.2380835E-09    3.1073911E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0762262E-05    3.6737233E-05    1.0599453E-05    3.5705520E-05    1.6530647E-05    2.8053820E-08    1.0000031E-16    8.1532338E-07    4.1134869E-08    3.2672719E-09    3.2075268E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.1785920E-05    3.7072604E-05    1.0765590E-05    3.5742911E-05    1.6681383E-05    2.6298323E-08    1.0000031E-16    8.9069158E-07    4.1530429E-08    3.2969392E-09    3.3078615E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.2812199E-05    3.7408665E-05    1.0931953E-05    3.5780379E-05    1.6832494E-05    2.4683626E-08    1.0000031E-16    9.6624704E-07    4.1929777E-08    3.3270612E-09    3.4083939E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.3841060E-05    3.7745419E-05    1.1098542E-05    3.5817924E-05    1.6983980E-05    2.3195890E-08    1.0000031E-16    1.0419900E-06    4.2332839E-08    3.3576164E-09    3.5091229E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.4872471E-05    3.8082866E-05    1.1265357E-05    3.5855547E-05    1.7135842E-05    2.1822895E-08    1.0000031E-16    1.1179208E-06    4.2739551E-08    3.3885857E-09    3.6100473E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.5906400E-05    3.8421007E-05    1.1432398E-05    3.5893247E-05    1.7288079E-05    2.0553818E-08    1.0000031E-16    1.1940397E-06    4.3149857E-08    3.4199522E-09    3.7111663E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.6942822E-05    3.8759842E-05    1.1599666E-05    3.5931024E-05    1.7440694E-05    1.9379045E-08    1.0000031E-16    1.2703469E-06    4.3563708E-08    3.4517007E-09    3.8124794E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -7.7981714E-05    3.9099373E-05    1.1767161E-05    3.5968879E-05    1.7593685E-05    1.8290020E-08    1.0000031E-16    1.3468427E-06    4.3981062E-08    3.4838178E-09    3.9139860E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -7.9023055E-05    3.9439600E-05    1.1934882E-05    3.6006811E-05    1.7747055E-05    1.7279106E-08    1.0000031E-16    1.4235273E-06    4.4401880E-08    3.5162916E-09    4.0156856E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -8.0066829E-05    3.9780523E-05    1.2102831E-05    3.6044821E-05    1.7900802E-05    1.6339472E-08    1.0000031E-16    1.5004011E-06    4.4826129E-08    3.5491114E-09    4.1175777E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.1113018E-05    4.0122145E-05    1.2271007E-05    3.6082909E-05    1.8054928E-05    1.5464994E-08    1.0000031E-16    1.5774641E-06    4.5253779E-08    3.5822678E-09    4.2196619E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.2161609E-05    4.0464465E-05    1.2439411E-05    3.6121075E-05    1.8209434E-05    1.4650171E-08    1.0000031E-16    1.6547168E-06    4.5684806E-08    3.6157521E-09    4.3219377E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.3212590E-05    4.0807484E-05    1.2608042E-05    3.6159318E-05    1.8364319E-05    1.3890051E-08    1.0000031E-16    1.7321593E-06    4.6119186E-08    3.6495568E-09    4.4244049E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.4265949E-05    4.1151204E-05    1.2776901E-05    3.6197640E-05    1.8519584E-05    1.3180167E-08    1.0000031E-16    1.8097918E-06    4.6556900E-08    3.6836752E-09    4.5270632E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
