# Time          1.7500E+00
# Units: Mol/kgw
    Distance           H+               Na+              K+               Ca++             Mg++             Al+++            Fe+++            Fe++             Li7+             Li6+             SiO2(aq)         CO2(aq)          O2(aq)           Cl-          
    5.0000000E-02   -5.3616515E-05    2.9507747E-05    7.9023356E-06    3.1198105E-05    1.3282150E-05    6.4299297E-08    8.8290590E-17    6.3446745E-08    3.3120007E-08    2.6584793E-09    1.9573355E-05    5.9216375E-04    2.9000070E-04    7.3109648E-05
    1.5000000E-01   -6.0678540E-05    3.3223041E-05    8.9643305E-06    3.4851951E-05    1.4953747E-05    5.4832343E-08    9.8539467E-17    1.3570606E-07    3.7186594E-08    2.9802486E-09    2.2699675E-05    6.6090282E-04    3.2366433E-04    8.1596303E-05
    2.5000000E-01   -6.2458174E-05    3.3988821E-05    9.2442555E-06    3.5354868E-05    1.5297663E-05    5.0188847E-08    9.9860394E-17    2.0925551E-07    3.8021622E-08    3.0427115E-09    2.3960956E-05    6.6976226E-04    3.2800307E-04    8.2690107E-05
    3.5000000E-01   -6.3534564E-05    3.4361219E-05    9.4198738E-06    3.5437123E-05    1.5464558E-05    4.6408627E-08    9.9989267E-17    2.8310200E-07    3.8428672E-08    3.0711927E-09    2.4974537E-05    6.7062661E-04    3.2842636E-04    8.2796820E-05
    4.5000000E-01   -6.4543868E-05    3.4695092E-05    9.5853134E-06    3.5477602E-05    1.5614173E-05    4.3026529E-08    9.9999564E-17    3.5714249E-07    3.8797575E-08    3.0969830E-09    2.5965400E-05    6.7069567E-04    3.2846018E-04    8.2805347E-05
    5.5000000E-01   -6.5550609E-05    3.5026477E-05    9.7501349E-06    3.5514771E-05    1.5762731E-05    3.9965091E-08    1.0000027E-16    4.3136866E-07    3.9167752E-08    3.1232104E-09    2.6956383E-05    6.7070040E-04    3.2846250E-04    8.2805931E-05
    6.5000000E-01   -6.6559980E-05    3.5358329E-05    9.9151220E-06    3.5551784E-05    1.5911560E-05    3.7184976E-08    1.0000031E-16    5.0578024E-07    3.9542247E-08    3.1500835E-09    2.7949328E-05    6.7070068E-04    3.2846264E-04    8.2805966E-05
    7.5000000E-01   -6.7572257E-05    3.5690853E-05    1.0080330E-05    3.5588858E-05    1.6060755E-05    3.4654177E-08    1.0000031E-16    5.8037753E-07    3.9921109E-08    3.1775742E-09    2.8944337E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    8.5000000E-01   -6.8587384E-05    3.6024064E-05    1.0245762E-05    3.5626008E-05    1.6210322E-05    3.2345133E-08    1.0000031E-16    6.5516085E-07    4.0304198E-08    3.2056427E-09    2.9941394E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    9.5000000E-01   -6.9605294E-05    3.6357963E-05    1.0411419E-05    3.5663235E-05    1.6360261E-05    3.0233924E-08    1.0000031E-16    7.3013050E-07    4.0691383E-08    3.2342534E-09    3.0940477E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.0500000E+00   -7.0625927E-05    3.6692551E-05    1.0577301E-05    3.5700539E-05    1.6510574E-05    2.8299710E-08    1.0000031E-16    8.0528680E-07    4.1082549E-08    3.2633746E-09    3.1941567E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.1500000E+00   -7.1649232E-05    3.7027830E-05    1.0743408E-05    3.5737919E-05    1.6661260E-05    2.6524268E-08    1.0000031E-16    8.8063004E-07    4.1477599E-08    3.2929783E-09    3.2944650E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.2500000E+00   -7.2675163E-05    3.7363799E-05    1.0909741E-05    3.5775377E-05    1.6812321E-05    2.4891609E-08    1.0000031E-16    9.5616050E-07    4.1876447E-08    3.3230400E-09    3.3949711E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.3500000E+00   -7.3703682E-05    3.7700461E-05    1.1076299E-05    3.5812912E-05    1.6963757E-05    2.3387662E-08    1.0000031E-16    1.0318785E-06    4.2279018E-08    3.3535376E-09    3.4956738E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.4500000E+00   -7.4734754E-05    3.8037815E-05    1.1243084E-05    3.5850524E-05    1.7115568E-05    2.2000001E-08    1.0000031E-16    1.1077842E-06    4.2685247E-08    3.3844519E-09    3.5965722E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.5500000E+00   -7.5768348E-05    3.8375863E-05    1.1410095E-05    3.5888213E-05    1.7267756E-05    2.0717630E-08    1.0000031E-16    1.1838779E-06    4.3095077E-08    3.4157655E-09    3.6976653E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.6500000E+00   -7.6804439E-05    3.8714605E-05    1.1577333E-05    3.5925980E-05    1.7420320E-05    1.9530783E-08    1.0000031E-16    1.2601600E-06    4.3508459E-08    3.4474632E-09    3.7989526E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.7500000E+00   -7.7843003E-05    3.9054043E-05    1.1744797E-05    3.5963825E-05    1.7573261E-05    1.8430769E-08    1.0000031E-16    1.3366306E-06    4.3925348E-08    3.4795312E-09    3.9004334E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.8500000E+00   -7.8884019E-05    3.9394177E-05    1.1912489E-05    3.6001747E-05    1.7726580E-05    1.7409838E-08    1.0000031E-16    1.4132900E-06    4.4345707E-08    3.5119576E-09    4.0021073E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    1.9500000E+00   -7.9927468E-05    3.9735008E-05    1.2080407E-05    3.6039746E-05    1.7880277E-05    1.6461055E-08    1.0000031E-16    1.4901385E-06    4.4769500E-08    3.5447313E-09    4.1039737E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.0500000E+00   -8.0973336E-05    4.0076536E-05    1.2248553E-05    3.6077824E-05    1.8034353E-05    1.5578209E-08    1.0000031E-16    1.5671763E-06    4.5196699E-08    3.5778429E-09    4.2060322E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.1500000E+00   -8.2021607E-05    4.0418763E-05    1.2416926E-05    3.6115979E-05    1.8188807E-05    1.4755719E-08    1.0000031E-16    1.6444037E-06    4.5627277E-08    3.6112835E-09    4.3082825E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.2500000E+00   -8.3072270E-05    4.0761689E-05    1.2585527E-05    3.6154213E-05    1.8343642E-05    1.3988564E-08    1.0000031E-16    1.7218208E-06    4.6061211E-08    3.6450456E-09    4.4107242E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.3500000E+00   -8.4125312E-05    4.1105315E-05    1.2754356E-05    3.6192524E-05    1.8498856E-05    1.3272215E-08    1.0000031E-16    1.7994280E-06    4.6498482E-08    3.6791221E-09    4.5133570E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.4500000E+00   -8.5180725E-05    4.1449641E-05    1.2923412E-05    3.6230913E-05    1.8654451E-05    1.2602582E-08    1.0000031E-16    1.8772254E-06    4.6939070E-08    3.7135071E-09    4.6161807E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.5500000E+00   -8.6238500E-05    4.1794669E-05    1.3092697E-05    3.6269381E-05    1.8810427E-05    1.1975963E-08    1.0000031E-16    1.9552134E-06    4.7382961E-08    3.7481949E-09    4.7191952E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.6500000E+00   -8.7298628E-05    4.2140399E-05    1.3262210E-05    3.6307927E-05    1.8966784E-05    1.1389003E-08    1.0000031E-16    2.0333921E-06    4.7830140E-08    3.7831807E-09    4.8224002E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.7500000E+00   -8.8361104E-05    4.2486832E-05    1.3431952E-05    3.6346551E-05    1.9123524E-05    1.0838654E-08    1.0000031E-16    2.1117619E-06    4.8280597E-08    3.8184599E-09    4.9257957E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.8500000E+00   -8.9425922E-05    4.2833968E-05    1.3601922E-05    3.6385254E-05    1.9280646E-05    1.0322146E-08    1.0000031E-16    2.1903228E-06    4.8734321E-08    3.8540288E-09    5.0293815E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    2.9500000E+00   -9.0493076E-05    4.3181809E-05    1.3772121E-05    3.6424035E-05    1.9438150E-05    9.8369551E-09    1.0000031E-16    2.2690752E-06    4.9191302E-08    3.8898837E-09    5.1331576E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.0500000E+00   -9.1562561E-05    4.3530355E-05    1.3942548E-05    3.6462895E-05    1.9596039E-05    9.3807783E-09    1.0000031E-16    2.3480193E-06    4.9651533E-08    3.9260216E-09    5.2371238E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.1500000E+00   -9.2634375E-05    4.3879606E-05    1.4113205E-05    3.6501834E-05    1.9754311E-05    8.9515129E-09    1.0000031E-16    2.4271554E-06    5.0115008E-08    3.9624396E-09    5.3412802E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.2500000E+00   -9.3708513E-05    4.4229564E-05    1.4284091E-05    3.6540851E-05    1.9912967E-05    8.5472352E-09    1.0000031E-16    2.5064836E-06    5.0581721E-08    3.9991352E-09    5.4456267E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.3500000E+00   -9.4784972E-05    4.4580229E-05    1.4455205E-05    3.6579947E-05    2.0072009E-05    8.1661834E-09    1.0000031E-16    2.5860043E-06    5.1051668E-08    4.0361062E-09    5.5501633E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.4500000E+00   -9.5863751E-05    4.4931602E-05    1.4626549E-05    3.6619122E-05    2.0231435E-05    7.8067416E-09    1.0000031E-16    2.6657175E-06    5.1524845E-08    4.0733506E-09    5.6548900E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.5500000E+00   -9.6944847E-05    4.5283683E-05    1.4798123E-05    3.6658376E-05    2.0391247E-05    7.4674263E-09    1.0000031E-16    2.7456237E-06    5.2001250E-08    4.1108667E-09    5.7598068E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
    3.6500000E+00   -9.8028258E-05    4.5636474E-05    1.4969925E-05    3.6697709E-05    2.0551446E-05    7.1468733E-09    1.0000031E-16    2.8257229E-06    5.2480879E-08    4.1486528E-09    5.8649138E-05    6.7070070E-04    3.2846265E-04    8.2805968E-05
